SA4_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
201,2913,1814,1679,1646,2024,1780,1592,934,462,14847,31077,19625,20702,20511,22505,22951,21034,11207,4317,173937
202,2746,1682,1824,1761,1937,1950,1553,1063,672,15189,30064,18181,19470,19900,21340,22501,20611,11184,4517,167764
203,4619,3202,3408,3293,3118,2819,2539,1490,742,25231,59198,37910,43726,42274,40725,39586,36603,19915,7951,327878
204,3085,1970,1787,1913,2152,2342,1963,1218,550,16982,31652,19268,19590,20571,23472,26908,24963,13515,4995,184935
205,5379,3015,3362,3451,3468,3802,3563,2160,1147,29342,51030,29655,32721,32526,36176,44190,43532,23088,7929,300848
206,4690,6111,12275,7535,5664,4497,2978,1845,1044,46632,66953,80744,165518,101098,72005,57113,40849,22859,9883,617018
207,2792,2811,2798,2347,2656,2266,1784,1364,927,19753,58821,50778,48770,47868,50484,44690,35247,24535,12274,373472
208,4062,2839,3139,3166,3478,2821,2302,1600,1029,24431,73150,49514,52356,58144,62017,50866,40065,24201,12330,422639
209,7066,4587,5236,5058,4775,3861,2813,1876,1192,36472,103492,63637,79907,82221,70726,59510,45359,25301,10509,540664
210,7001,4203,5178,4767,4051,3153,2030,1344,684,32412,88099,51930,66484,63605,52242,44310,31338,18511,7813,424328
211,5598,3894,3768,3924,4180,3801,2758,1862,1113,30892,92299,60902,63632,71380,71072,65046,52068,30085,11817,518301
212,12473,8174,10063,8493,7274,5809,4087,2673,1476,60524,171128,112253,135372,128149,105254,87733,65298,38777,16090,860060
213,15137,8813,12827,11386,8206,5935,3917,2145,1141,69505,184300,100641,143011,145115,103717,80576,57764,27656,10261,853054
214,4508,2767,2700,2957,3434,2957,2607,1796,980,24709,53347,32838,33635,37531,41592,40137,37037,23071,9042,308226
215,3012,1802,2022,1980,1992,2136,1806,1183,740,16675,27029,16235,19014,17096,18791,22053,19161,11254,4936,155568
216,2665,1590,1616,1583,1667,1720,1467,1026,481,13818,24877,14995,15849,15095,17103,18610,16928,10196,3977,137618
217,2083,1313,1152,1289,1450,1478,1391,865,446,11466,21799,13297,13911,13918,16268,18691,17082,9292,3801,128069
297,0,0,0,11,3,9,0,0,0,29,0,0,6,16,3,14,4,0,0,38
299,501,403,707,880,652,410,198,23,9,3785,1143,1131,1819,1736,1393,1074,613,152,29,9089
