SA4_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
201,16515,17134,5249,1035,7519,7033,1362,3888,19722,1781,14392,78831,5872,143983,262,218,81,17,120,100,20,79,232,20,246,954,53,1877,1230,618,431,101,562,616,87,391,741,140,783,2307,203,5637,491,137,168,51,237,280,41,138,211,74,282,915,54,2135,366,110,108,44,238,204,36,81,158,49,183,682,68,1603,33,28,16,5,27,23,4,5,31,6,30,300,12,443,87,112,37,0,103,51,3,12,79,10,126,1414,55,1900,15,31,11,8,26,12,0,0,31,7,61,936,18,1111,45,74,13,3,134,52,6,8,53,10,98,2439,66,2888,108,93,39,0,57,41,9,24,133,6,116,601,31,1039,49,56,20,8,32,25,5,11,61,6,66,557,28,831,2689,1482,918,232,1542,1413,217,744,1730,329,1990,11105,590,19465,453,245,137,43,199,218,41,126,290,57,226,952,8387,10481,19653,18862,6307,1312,9260,8661,1617,4756,21746,2161,16610,90892,14847,173937,5678,8809,1787,24
202,17079,15516,5325,1088,6768,6731,1579,3181,18583,1605,13703,76837,5927,139745,244,193,68,13,89,97,20,44,232,27,190,904,87,1735,1021,479,371,93,438,486,92,242,584,113,596,2075,191,4849,317,93,102,41,150,170,27,59,152,26,180,706,71,1545,245,62,84,34,145,142,39,53,105,49,117,471,62,1103,31,29,5,8,28,16,3,3,35,3,44,310,44,481,100,120,48,9,147,45,15,6,107,13,211,2577,155,3350,17,18,3,4,22,11,0,5,21,0,35,665,33,808,52,54,18,13,110,37,7,7,48,3,93,1750,68,2127,74,73,33,0,40,41,8,12,115,6,83,503,31,859,55,47,15,3,28,25,10,14,79,6,76,508,20,758,2161,1168,754,215,1190,1077,221,438,1472,250,1623,10475,756,17611,477,213,130,45,188,209,61,90,239,65,168,866,8510,10410,19725,16900,6209,1344,8155,8020,1857,3709,20292,1916,15490,88171,15189,167764,5808,8072,1727,35
203,22941,27739,8199,1966,10631,10376,2355,4603,30411,2585,22967,152965,10512,257934,374,415,143,16,221,166,42,61,386,44,316,2379,163,4016,2450,1307,856,301,1202,1225,236,513,1421,271,1471,6370,476,13406,891,390,368,162,470,590,108,223,457,132,592,2417,157,5047,1687,449,514,339,1254,953,203,257,799,248,1050,3762,300,8312,116,82,35,3,130,61,16,21,117,18,175,1359,106,1961,229,304,74,16,305,106,38,46,206,28,411,4378,226,5890,53,69,31,4,73,46,10,4,51,9,111,2174,48,2599,113,177,39,16,275,94,29,13,123,14,232,7054,158,8060,152,207,72,21,87,57,20,22,236,15,204,1628,76,2432,131,148,66,9,84,76,19,19,165,13,188,1601,98,2340,6196,3539,2202,879,4100,3368,714,1175,3963,797,4756,33120,1803,54063,599,308,189,84,293,277,79,162,342,113,275,1447,12916,15882,29732,31588,10594,2928,15026,14014,3144,5942,34722,3494,28000,187535,25231,327878,8623,16151,3074,63
204,17940,16749,5862,1152,7870,7955,1815,3871,17952,1907,14063,86237,5787,152185,295,225,89,17,128,129,31,67,230,35,205,1070,75,2039,1297,548,424,106,559,634,130,335,641,136,674,2460,167,5664,550,175,200,63,296,336,56,133,226,80,296,1177,89,2653,510,149,176,82,353,320,73,89,197,85,315,806,85,2166,19,16,8,4,31,19,3,3,13,5,20,204,14,305,89,116,28,4,105,45,20,3,75,6,120,1627,84,2156,19,21,11,4,19,3,0,6,19,6,28,646,13,768,50,70,9,0,98,33,9,9,40,4,72,1450,34,1780,99,89,33,6,48,43,13,12,93,10,94,554,25,914,58,54,28,8,33,27,0,4,52,4,74,789,17,1048,2987,1465,1004,288,1676,1588,338,667,1590,369,1899,10789,604,19492,554,279,159,54,248,274,81,125,316,63,236,1316,10599,13261,21481,18494,7031,1495,9790,9816,2231,4666,19857,2339,16202,98339,16982,184935,6614,8994,2134,47
205,29342,25947,9065,1574,13100,13092,2751,7002,28997,3192,22736,134452,9962,240797,545,429,197,30,272,270,61,143,434,66,352,2103,164,3956,3329,1334,1033,249,1513,1573,300,859,1508,399,1616,4893,441,12738,1152,342,390,138,573,709,137,299,433,166,581,2085,173,4973,941,235,254,128,719,529,99,184,381,119,474,1598,189,4042,41,38,23,6,45,33,7,5,35,13,53,421,62,658,187,178,55,12,229,72,24,22,170,27,213,2831,242,3879,31,27,14,6,33,17,3,3,32,5,69,988,57,1223,117,113,32,6,198,76,18,15,58,11,132,1997,70,2589,212,131,75,8,106,86,14,47,188,16,193,879,33,1593,161,116,62,7,119,78,16,24,126,20,158,1045,44,1652,6723,2953,2134,589,3804,3445,682,1598,3365,828,3844,18826,1485,37309,1049,530,296,101,491,550,117,302,638,135,487,2209,17897,22742,37117,29427,11497,2263,17391,17085,3546,8901,32993,4158,27073,155493,29342,300848,9778,12874,2966,49
206,18757,36973,8830,1118,7393,8012,1937,3241,47966,1866,30927,231329,11442,362743,757,1856,386,41,339,321,85,124,2045,89,1257,9806,415,15584,1665,2152,851,141,626,756,150,315,2671,162,2052,15908,652,24770,578,792,331,77,288,370,81,109,877,90,913,9482,317,13069,5490,1503,1638,1094,3526,3062,770,704,2724,802,3620,14099,909,28836,928,649,267,116,912,520,160,135,938,113,1057,7182,313,11018,1042,1993,421,121,1280,598,186,112,1841,166,2315,28730,686,36896,594,833,319,120,724,421,117,104,1212,115,1642,31492,465,36705,442,760,152,45,751,316,93,54,697,50,856,21396,436,24985,619,1155,290,33,289,222,62,64,1730,63,1234,15165,363,19900,400,673,133,30,405,160,61,53,699,41,599,6412,298,9107,12515,12365,4776,1814,9149,6750,1760,1780,15432,1686,15531,159668,4852,220869,414,196,133,65,240,209,60,86,329,61,314,1787,30339,33400,31685,49537,13745,2991,16787,14973,3762,5104,63732,3610,46769,392779,46632,617018,11324,33966,5691,66
207,15790,19196,6781,1789,5555,7506,1502,2356,19071,1655,18389,138593,6697,214019,421,484,195,27,225,250,56,56,424,53,456,3237,136,5223,1336,912,598,182,524,725,117,197,855,153,1098,5529,248,10089,520,235,200,103,198,341,67,91,261,60,424,2371,104,4077,3440,780,1074,733,2017,1810,394,419,1207,512,2041,6750,486,15429,566,338,202,76,467,328,64,58,452,69,625,5971,246,8365,1216,1241,587,151,1365,706,175,96,773,186,2072,18430,523,25209,1304,1148,944,196,2341,1163,353,229,1137,263,3207,44401,771,54410,654,689,188,80,1076,497,100,62,449,82,808,12770,303,16395,238,321,108,21,103,100,32,27,374,16,372,3261,98,4601,271,287,106,16,174,154,41,41,241,30,376,2501,103,3827,9953,6441,4220,1591,8493,6065,1402,1294,6170,1419,11477,105222,3004,147627,307,118,104,81,147,156,34,46,132,43,176,980,10049,11826,26048,25747,11099,3460,14193,13725,2931,3688,25372,3118,30050,244790,19753,373472,7168,14039,3621,44
208,18952,24943,8617,1834,7633,9209,1956,3287,25000,2004,22815,181772,9527,278589,583,731,288,38,248,278,51,94,643,64,611,4675,254,7478,2223,1686,973,292,920,1246,209,446,1678,268,1877,12058,666,20584,852,438,369,152,396,503,86,138,517,126,722,5565,257,8620,3745,1035,1391,767,2432,2270,546,545,1723,548,2791,11275,676,22134,601,319,241,66,497,360,77,80,448,66,599,4420,195,6710,506,694,225,59,592,285,67,61,482,64,921,9053,237,12187,368,423,270,53,620,310,80,58,406,74,977,15619,284,18765,654,639,244,79,1035,504,105,80,454,87,860,12880,381,16491,370,501,172,28,177,156,44,39,612,27,564,5420,171,7579,598,697,320,74,461,312,66,88,671,55,753,5695,181,8817,10510,7174,4494,1602,7381,6225,1340,1641,7623,1376,10675,86655,3305,129365,541,187,199,84,327,351,83,86,248,94,330,1639,11601,14683,30009,32297,13314,3516,15338,15785,3372,5024,32870,3473,33825,270065,24431,422639,9385,18691,4822,55
209,24339,33845,8337,1515,11340,9784,2480,4243,35511,2383,28743,229693,13585,353639,651,808,197,36,549,303,93,99,758,88,682,5607,281,8779,1864,1217,663,186,906,916,183,379,1389,252,1417,6918,405,13168,653,312,246,90,318,352,68,130,420,88,525,2898,152,5027,8393,1970,2106,1252,5606,4099,982,1017,3419,1090,4702,16361,1420,37059,1644,1023,366,123,1571,751,259,203,1309,164,1952,11440,615,17796,935,1198,366,73,1395,470,175,105,712,128,1666,14581,530,20285,434,344,216,60,679,295,111,47,343,82,957,11920,293,14900,895,1017,223,61,2049,634,168,94,634,93,1447,30459,739,36592,348,408,131,15,190,115,24,36,482,30,451,3558,110,5220,374,373,117,23,404,128,48,28,334,28,479,4696,207,6606,16193,8673,4639,1920,13675,8061,2112,2140,9802,2046,14275,108447,4754,165437,619,276,189,111,331,297,79,120,424,98,304,1830,18138,21579,41158,42791,13161,3540,25336,18140,4670,6503,45732,4524,43322,339964,36472,540664,12250,22811,4341,56
210,16201,24634,5405,1046,8119,6842,1778,3178,22457,1645,19157,169779,10088,254652,509,769,194,27,654,273,87,87,526,69,541,6008,324,8886,1392,757,473,150,678,615,155,346,805,129,857,3841,255,7829,574,224,213,77,285,309,68,122,274,74,366,1715,92,3298,5631,1378,1525,1006,3818,2927,664,786,2243,773,3047,9092,905,22730,3806,2213,789,359,4206,2084,650,432,3052,486,5117,26298,1625,41688,669,890,214,73,995,314,121,65,463,97,1220,9180,372,13095,135,133,66,18,217,89,19,21,103,34,294,3247,93,4196,934,1058,232,82,2307,625,172,96,666,112,1490,33176,792,39789,326,295,82,33,228,135,36,32,350,28,322,2505,89,3783,186,236,53,5,310,71,30,28,194,20,263,2688,124,3799,14177,7949,3836,1834,13708,7437,2005,2014,8680,1816,13512,97757,4674,149093,490,235,134,54,306,263,81,113,294,76,260,1606,17650,20579,30872,32821,9374,2927,22136,14548,3866,5305,31434,3537,32926,269140,32412,424328,8539,15935,2795,40
