SA4_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
201,17,192,0,213,4629,367,5205,179,138,0,319,4139,333,4790,2737,239,70,3036,6505,686,10228,5308,175,134,5615,3529,656,9803,3444,291,71,3814,6357,745,10917,625,831,18,1472,8877,696,11043,109,1027,3,1137,8330,702,10169,27,204,4,227,4614,497,5341,0,11,0,13,1363,253,1624,12440,3105,290,15840,48338,4941,69115,27,333,0,368,4182,374,4920,354,300,33,686,3729,294,4708,3984,491,237,4710,5149,624,10476,6484,290,316,7093,3037,572,10704,3409,748,124,4280,6681,635,11587,310,2073,29,2410,8917,587,11909,86,1753,6,1845,8391,628,10869,24,255,0,280,5044,541,5865,0,17,0,19,2250,428,2696,14687,6258,747,21694,47377,4675,73740,48,527,0,582,8804,742,10126,535,436,32,1007,7867,626,9501,6722,729,300,7745,11647,1309,20702,11794,467,447,12711,6568,1231,20511,6851,1041,194,8086,13034,1381,22505,938,2903,49,3880,17793,1278,22951,194,2774,11,2980,16721,1329,21034,50,459,4,512,9659,1035,11207,0,27,0,26
202,12,204,4,219,4150,365,4738,146,150,3,300,3825,317,4438,2626,239,71,2935,5713,819,9464,5230,160,131,5521,3267,741,9523,3418,271,52,3746,5798,758,10303,597,816,14,1425,8555,727,10704,104,1069,0,1183,8177,667,10026,26,228,0,253,4616,474,5342,0,12,0,10,1506,261,1781,12164,3147,272,15584,45604,5125,66314,36,332,0,364,3961,333,4656,312,294,15,620,3485,249,4352,3959,412,216,4586,4809,603,10002,6394,281,299,6973,2787,610,10373,3368,683,141,4194,6208,637,11037,321,2121,22,2459,8670,658,11797,70,1855,5,1927,8054,607,10588,25,316,0,346,4950,549,5839,3,24,0,29,2194,523,2737,14485,6312,699,21493,45118,4773,71381,48,533,4,582,8105,698,9392,463,443,17,917,7308,566,8790,6587,653,284,7517,10525,1422,19470,11623,436,429,12487,6055,1352,19900,6786,956,193,7937,12011,1394,21340,920,2935,35,3889,17225,1383,22501,174,2927,9,3110,16229,1271,20611,47,549,3,596,9564,1022,11184,0,35,0,36
203,25,340,0,367,8510,531,9408,163,237,3,408,8927,676,10003,4927,457,83,5466,14777,1629,21876,11657,314,255,12222,6803,1333,20360,7297,414,114,7827,10715,1130,19673,1155,1489,17,2659,15040,961,18661,174,2378,9,2564,13853,985,17397,22,480,0,504,7977,685,9172,0,17,0,17,2647,382,3048,25420,6125,486,32032,89245,8304,129587,30,557,3,585,7865,511,8967,416,471,28,912,8118,499,9533,7358,910,343,8605,12173,1074,21849,13933,608,581,15125,5763,1021,21909,7133,1074,214,8425,11727,898,21052,561,3923,56,4539,15538,843,20919,135,4039,21,4195,14009,1006,19209,34,572,3,604,9254,889,10747,4,22,0,30,4189,683,4904,29605,12177,1234,43020,88645,7428,139095,57,896,4,957,16376,1040,18372,573,709,32,1316,17047,1174,19539,12283,1363,424,14076,26952,2700,43726,25589,919,838,27345,12569,2351,42274,14439,1488,324,16249,22441,2031,40725,1714,5411,67,7200,30577,1809,39586,308,6413,34,6752,27865,1991,36603,57,1052,3,1113,17231,1569,19915,7,44,0,47
204,19,193,5,225,4792,497,5517,181,123,4,308,3898,385,4595,2796,238,75,3107,5828,762,9700,5247,174,145,5565,3520,771,9852,3411,343,69,3823,6643,806,11275,658,872,17,1546,10585,938,13068,120,1133,7,1259,10372,913,12546,22,206,3,234,5771,552,6561,4,17,0,19,1706,223,1946,12458,3300,327,16085,53124,5843,75047,38,335,0,372,4205,469,5049,365,258,18,636,3140,334,4106,4054,366,234,4659,4564,673,9890,6429,317,333,7080,2953,689,10723,3339,821,123,4278,7151,766,12199,307,2335,22,2658,10347,831,13837,80,1844,12,1930,9724,762,12421,17,295,0,313,6004,644,6958,0,15,0,14,2625,410,3050,14624,6591,742,21952,50713,5569,78234,57,536,5,596,8999,969,10563,543,381,21,946,7042,720,8704,6851,609,310,7762,10389,1435,19590,11673,488,482,12643,6476,1456,20571,6747,1168,190,8108,13796,1567,23472,963,3200,38,4208,20936,1766,26908,200,2971,16,3186,20101,1672,24963,37,504,4,552,11775,1193,13515,7,28,0,38
205,34,305,0,344,7037,741,8120,320,241,13,564,5922,583,7068,4701,397,132,5225,9211,1490,15931,8233,305,246,8780,5461,1530,15772,4745,514,107,5377,10577,1375,17328,958,1633,34,2624,17070,1483,21171,190,1961,3,2151,17974,1539,21666,37,342,0,375,9917,1005,11297,0,17,0,17,2696,500,3215,19217,5711,534,25459,85855,10253,121572,67,610,5,680,6401,711,7793,673,462,30,1163,5025,486,6672,7146,695,417,8260,7295,1238,16790,9867,497,594,10958,4541,1250,16752,4649,1385,205,6236,11400,1206,18848,465,4176,31,4668,16963,1386,23021,112,2984,13,3107,17294,1458,21864,39,414,5,456,10204,1138,11790,5,24,0,30,3973,711,4716,23011,11242,1311,35563,83101,9589,128245,101,913,6,1023,13438,1456,15913,986,698,41,1728,10948,1072,13743,11847,1096,551,13486,16504,2733,32721,18095,800,839,19738,10006,2783,32526,9397,1903,311,11610,21978,2585,36176,1417,5808,66,7291,34035,2865,44190,300,4942,21,5264,35273,2996,43532,72,755,6,833,20118,2142,23088,5,40,0,49
206,16,295,4,318,10278,607,11202,51,257,4,319,24567,1754,26641,3805,877,45,4733,70360,5234,80322,15763,640,221,16626,31162,3197,50981,11776,368,158,12295,20921,2161,35375,2498,895,27,3422,22876,1708,28011,362,2184,15,2561,15508,1179,19248,55,679,0,738,8888,793,10415,5,43,0,47,3307,446,3804,34332,6246,471,41058,207862,17090,266006,20,445,4,464,11104,656,12229,165,603,17,780,27999,1893,30675,6329,1978,123,8435,71675,5091,85196,19020,1389,524,20940,26427,2750,50110,12052,938,261,13249,21561,1818,36623,1305,2656,45,3999,23638,1464,29097,214,4138,32,4388,16076,1139,21595,81,899,8,980,10549,909,12443,11,54,0,64,5291,726,6077,39201,13084,1009,53301,214312,16440,284057,41,736,4,786,21381,1263,23434,223,859,22,1104,52565,3642,57314,10137,2858,167,13166,142027,10325,165518,34787,2027,745,37559,57589,5943,101098,23829,1298,415,25544,42484,3974,72005,3803,3553,71,7423,46509,3172,57113,574,6327,42,6943,31581,2319,40849,125,1575,13,1719,19434,1707,22859,15,94,0,109
207,18,263,0,281,11469,359,12109,47,218,0,261,13144,604,14010,2845,282,23,3148,19934,1294,24376,12664,225,122,13012,8791,862,22670,10796,205,108,11112,11716,800,23630,2159,944,28,3129,17455,598,21188,382,2733,11,3127,12448,537,16112,73,905,3,981,9366,503,10853,12,46,3,53,4351,355,4758,28985,5822,303,35110,108680,5923,149715,27,431,0,456,10799,342,11605,82,442,4,532,11972,556,13055,4715,566,69,5354,17929,1109,24394,16140,452,314,16907,7454,835,25194,11668,489,195,12349,13730,781,26853,1236,2818,63,4116,18732,653,23503,334,4788,35,5162,13317,652,19137,79,1069,12,1155,11856,677,13688,10,34,0,43,6760,706,7512,34297,11082,693,46079,112552,6309,164939,46,696,0,746,22267,697,23713,129,657,7,791,25118,1162,27065,7561,849,93,8501,37864,2408,48770,28803,678,436,29916,16246,1702,47868,22465,693,300,23459,25449,1576,50484,3396,3759,95,7250,36185,1253,44690,720,7526,48,8289,25764,1190,35247,140,1974,15,2135,21223,1180,24535,20,79,3,103
208,29,339,0,370,11996,405,12769,64,216,4,280,11679,472,12430,3360,392,41,3794,20464,1314,25576,15676,295,212,16184,10425,1109,27721,13697,282,168,14149,14364,956,29467,2545,1108,28,3683,19903,772,24358,304,2891,24,3216,14586,704,18507,65,787,3,860,9211,614,10679,8,40,0,47,4002,366,4420,35748,6348,484,42573,116639,6715,165927,13,587,9,612,11349,378,12339,114,444,12,568,11011,392,11979,5525,810,129,6463,19136,1173,26776,19330,612,563,20505,8859,1054,30426,14303,709,264,15277,16331,944,32552,1302,3325,52,4679,21036,791,26501,231,5195,27,5453,15225,880,21564,77,984,6,1066,11621,826,13521,11,40,0,55,7028,830,7908,40910,12711,1055,54677,121612,7275,183563,43,927,12,980,23347,784,25117,179,657,15,849,22687,870,24406,8886,1199,170,10252,39604,2498,52356,35005,909,777,36690,19288,2168,58144,27997,995,429,29422,30698,1896,62017,3850,4431,82,8360,40943,1560,50866,539,8084,49,8669,29812,1589,40065,137,1772,10,1923,20835,1443,24201,20,86,0,103
209,20,461,0,485,14521,774,15777,174,376,0,550,15842,983,17366,7596,628,91,8319,28983,2205,39505,21975,432,278,22690,16021,1897,40614,12969,436,163,13567,19604,1480,34656,2038,1675,37,3746,23580,1184,28513,331,3079,13,3424,16970,996,21396,54,706,0,760,10169,755,11676,4,37,0,43,3563,467,4066,45163,7824,593,53583,149245,10741,213566,41,767,4,814,13148,667,14632,458,723,10,1195,13946,723,15866,12403,1304,311,14015,24423,1966,40405,25945,820,753,27521,12410,1675,41601,12677,1216,268,14165,20597,1314,36074,1102,5212,64,6375,23462,1163,30997,274,5159,39,5467,17381,1111,23962,63,797,3,868,11878,878,13627,13,29,3,45,5611,783,6438,52972,16028,1457,70455,142861,10287,223604,64,1221,5,1289,27673,1443,30410,632,1096,16,1748,29787,1700,33231,19997,1932,404,22331,53404,4168,79907,47918,1254,1039,50210,28432,3572,82221,25647,1653,431,27731,40199,2793,70726,3136,6887,99,10119,47040,2346,59510,608,8237,51,8895,34353,2111,45359,116,1503,3,1624,22045,1635,25301,17,64,3,86
210,30,385,8,417,11728,799,12944,185,299,0,480,12774,953,14211,6729,558,84,7374,23373,2451,33196,16246,330,185,16762,13068,1981,31808,8542,336,89,8967,15131,1411,25501,1541,1160,32,2732,17916,1064,21714,245,1734,13,1992,11991,690,14669,38,439,6,484,7393,561,8437,3,21,0,22,2770,305,3093,33553,5257,420,39226,116133,10221,165579,38,697,7,738,10569,690,11992,555,692,13,1266,10792,716,12776,11749,1007,270,13026,18295,1973,33290,19360,608,467,20429,9668,1703,31796,8266,1127,202,9593,15858,1292,26741,756,3566,63,4381,17223,984,22592,217,3031,31,3281,12585,802,16667,46,480,9,535,8850,693,10075,8,29,0,38,4161,523,4717,41000,11228,1053,53283,107996,9372,170650,63,1084,8,1152,22296,1485,24940,745,986,17,1749,23566,1670,26989,18478,1563,355,20397,41663,4424,66484,35605,933,649,37188,22732,3681,63605,16804,1456,289,18549,30984,2703,52242,2298,4726,94,7116,35137,2051,44310,462,4763,47,5272,24576,1490,31338,86,921,10,1020,16243,1251,18511,13,46,0,58
