SA4_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
201,..,747,607,152,226,293,234,79,19,2363,..,293,919,771,1179,2297,2858,2139,1113,11569,188,316,197,103,146,176,140,69,28,1359,14347,8800,9813,10080,10896,11099,9946,5248,1816,82047,..,221,5428,10387,11267,11819,11180,5452,973,56729,..,1753,5476,3225,2891,2142,1074,311,23,16896,..,217,1178,1856,2324,1227,618,372,283,8068,28982,..,..,..,..,..,..,..,..,28982,..,6942,..,..,..,..,..,..,..,6942,..,5139,2362,913,673,344,83,0,0,9514,..,618,455,175,269,467,507,282,149,2921,..,547,466,158,120,113,64,19,13,1498,..,1450,1503,413,516,594,499,186,35,5201,..,551,1982,1744,2575,4192,4783,3260,1501,20581,369,565,469,260,318,331,279,118,50,2761,29361,18006,19318,19137,20954,21229,19076,9995,3019,160093
202,..,620,518,148,219,281,236,89,10,2113,..,268,769,591,1056,2243,2639,1958,993,10517,178,310,197,114,117,167,180,62,23,1346,13823,8347,9386,9730,10351,10937,9700,5160,1729,79167,..,202,5267,10188,10789,11666,11102,5616,1094,55927,..,1483,5201,3191,2807,1996,1123,298,37,16129,..,168,1068,1768,2162,1201,576,365,270,7573,28163,..,..,..,..,..,..,..,..,28163,..,6890,..,..,..,..,..,..,..,6890,..,4877,2284,878,589,348,77,4,0,9054,..,672,459,176,242,444,497,310,164,2967,..,435,457,181,149,105,79,22,6,1437,..,1118,1221,372,473,554,485,190,32,4463,..,504,1604,1428,2344,4057,4478,2996,1379,18784,319,530,415,274,245,329,323,129,33,2602,28485,16882,17977,18454,19801,20712,18741,9924,3017,153997
203,..,1682,1643,339,283,425,278,95,17,4768,..,441,1679,1456,1807,3603,4590,3743,1936,19242,238,592,379,221,214,287,279,134,58,2413,27331,16877,20672,20782,20054,19618,17404,9548,3265,155552,..,342,12185,23401,22655,22128,21258,10381,2034,114388,..,2543,11305,6390,4672,3079,1541,466,38,30035,..,244,1513,3112,4155,2349,931,629,435,13369,55840,..,..,..,..,..,..,..,..,55840,..,14645,..,..,..,..,..,..,..,14645,..,9444,5085,1630,1101,599,119,4,0,17978,..,1144,1013,357,434,788,767,491,298,5292,..,930,1203,251,212,135,88,24,3,2847,..,3426,4204,923,688,849,614,186,40,10933,..,866,3312,3073,4050,6438,7118,5217,2640,32705,524,1111,882,489,478,535,514,249,91,4872,56369,34696,40703,39620,38442,36903,32948,17638,5593,302906
204,..,301,361,116,192,334,215,81,16,1620,..,252,706,630,1124,2280,2851,2324,1204,11369,164,262,178,130,156,214,220,94,36,1451,14452,8042,9031,9934,11318,12734,11274,6150,2033,84965,..,210,5405,10235,11825,14281,13828,6767,1229,63790,..,1652,5186,3396,3194,2458,1286,369,43,17591,..,193,1061,1776,2190,1158,604,481,302,7771,29066,..,..,..,..,..,..,..,..,29066,..,6747,..,..,..,..,..,..,..,6747,..,5153,2242,875,726,418,77,0,0,9490,..,562,377,154,238,513,529,349,202,2928,..,499,432,160,142,106,85,25,8,1458,..,703,928,334,421,657,492,176,36,3738,..,530,1608,1557,2549,4574,5166,3578,1657,21213,364,523,444,346,339,431,422,187,62,3116,29431,16773,17685,18835,21625,24590,22499,11934,3538,166903
205,..,508,592,216,345,525,415,155,34,2791,..,437,1169,1007,1794,3983,5085,3945,1876,19291,336,442,328,178,236,420,372,165,51,2533,23043,13341,15511,15438,17511,21033,19674,10461,3182,139196,..,314,8973,15781,17846,22984,23870,11870,1997,103629,..,2756,8775,5113,4736,3989,2282,612,75,28339,..,354,1955,3035,3489,1931,981,635,430,12804,46878,..,..,..,..,..,..,..,..,46878,..,10669,..,..,..,..,..,..,..,10669,..,8896,3995,1561,1129,589,122,0,0,16285,..,950,622,266,438,822,796,535,291,4716,..,721,645,277,229,183,115,43,10,2220,..,1021,1421,546,707,1073,882,345,70,6071,..,856,2668,2587,4099,7757,9156,5999,2687,35808,680,829,754,447,551,791,764,336,87,5241,47562,27359,29800,29599,33229,40116,38961,20382,5649,272663
206,..,10748,17366,2537,719,573,424,168,43,32572,..,4738,15687,11053,7294,7224,7025,4893,2528,60442,388,1534,2103,928,519,561,412,198,106,6753,31213,38020,79084,46785,34283,26892,19759,11151,4528,291717,..,728,22808,37669,31440,25021,18509,9871,2428,148478,..,7430,46345,19964,9563,5639,2560,649,67,92218,..,119,914,3445,5644,3574,1484,1142,912,17236,62566,..,..,..,..,..,..,..,..,62566,..,20161,..,..,..,..,..,..,..,20161,..,6836,6414,1999,1869,1087,181,6,0,18399,..,3932,4158,1013,716,985,980,715,466,12965,..,1615,3880,614,216,152,76,30,6,6595,..,19793,35148,6061,1908,1385,923,364,90,65667,..,8466,29547,21241,14373,13494,11511,7131,3388,109161,807,2506,3896,1834,1083,1014,699,319,149,12318,63375,71586,153113,93852,66816,52344,36930,20243,7519,565781
207,..,2057,2461,530,320,340,268,131,56,6169,..,764,2621,1871,1757,2958,4092,4552,2943,21555,231,533,454,253,194,258,223,143,79,2372,27890,23237,23258,24283,25899,22526,18116,12508,5337,183059,..,303,12503,30620,33556,29356,22824,13728,3587,146468,..,1964,9959,4304,3050,2134,1032,358,69,22886,..,47,524,2583,4715,2898,1142,935,758,13604,56614,..,..,..,..,..,..,..,..,56614,..,27542,..,..,..,..,..,..,..,27542,..,8041,8253,1997,1677,925,168,12,0,21066,..,1753,1616,497,475,1122,1215,913,642,8224,..,1121,1519,449,277,168,87,30,14,3667,..,4571,6187,1365,816,746,560,253,99,14598,..,1590,4905,3693,3535,4945,5838,6013,3883,34398,433,998,877,482,396,441,377,232,113,4345,57048,47929,46343,45985,48498,42727,33236,22465,9169,353399
208,..,1676,2222,467,369,458,356,161,33,5740,..,691,3061,2761,2714,4383,5855,5038,3209,27715,336,536,543,289,253,295,238,146,93,2744,34484,23466,25585,29333,31442,25302,20109,12178,5472,207384,..,296,13291,35728,39258,30640,22960,12070,3028,157272,..,1865,14016,7781,5830,3512,1833,514,104,35450,..,73,592,2824,5487,3432,1258,951,820,15440,70087,..,..,..,..,..,..,..,..,70087,..,28308,..,..,..,..,..,..,..,28308,..,9539,7471,1893,1551,876,211,9,0,21557,..,1317,1277,389,441,877,1057,816,563,6737,..,742,1151,303,187,145,65,37,11,2638,..,3345,5328,1165,854,945,744,364,79,12812,..,1334,5824,5247,5603,7533,8709,6840,4236,45333,668,939,972,552,538,507,417,226,132,4945,70758,47751,49915,55890,59743,48466,37257,21811,8976,400576
209,..,1540,2373,709,516,602,418,148,31,6336,..,552,2522,2357,2599,4151,4919,4215,2245,23543,428,669,620,344,302,373,245,182,109,3273,48435,29168,38602,40097,34786,29785,22644,12441,4516,260468,..,819,25999,50485,42391,35570,27823,13672,2867,199620,..,2509,16693,10198,6694,3809,1524,372,51,41865,..,233,1881,4770,6825,4556,2082,1413,875,22639,99081,..,..,..,..,..,..,..,..,99081,..,30182,..,..,..,..,..,..,..,30182,..,17033,13758,3986,2776,1341,189,9,0,39098,..,2463,2697,951,1046,1893,1887,1193,691,12826,..,1558,2196,714,441,329,156,44,12,5448,..,3558,6500,1866,1312,1352,863,283,64,15798,..,1047,5219,5227,5775,7443,7712,5883,3044,41345,918,1217,1272,794,683,670,431,276,145,6404,100000,60621,76215,78993,67944,56960,42656,23147,7749,514291
210,..,648,1064,355,289,414,272,72,12,3137,..,273,1500,1471,1684,2698,3341,3046,1755,15772,361,392,440,260,215,219,192,118,82,2280,40920,23765,31683,30355,25598,21619,15766,9200,3516,202426,..,1192,25253,40782,31759,26865,19060,9834,2201,156953,..,1842,11048,6095,4209,2490,886,242,20,26824,..,229,1826,3792,5223,3438,1574,1205,740,18025,83680,..,..,..,..,..,..,..,..,83680,..,24840,..,..,..,..,..,..,..,24840,..,14805,12511,3318,2219,1042,210,10,0,34115,..,1977,2401,889,953,1635,1611,1056,562,11084,..,1315,1652,534,329,256,102,38,16,4239,..,2125,3866,1092,808,887,575,187,32,9581,..,613,3528,3414,3843,5181,5201,4206,2392,28383,706,720,918,607,472,421,342,184,111,4482,84391,49659,62999,60539,49814,42219,29570,16949,6074,402204
