SA4_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
201,101,835,7469,30397,17995,2369,446,774,60389,18,911,2564,1482,281,27,11,128,5415,8,45,208,245,77,8,4,16,602,21,953,2770,1721,360,38,13,146,6016,8,344,579,203,9,0,3,34,1187,0,16,48,18,8,0,0,0,88,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,7,5,0,0,0,0,23,8,368,626,231,18,3,3,35,1301,25,115,103,70,27,0,7,17,363,7,32,17,26,29,7,7,5,130,162,2304,10990,32441,18427,2417,478,975,68196
202,101,924,7862,29513,17728,2407,475,767,59771,20,595,2108,719,60,13,0,85,3593,0,42,179,231,38,0,0,6,501,23,637,2290,950,94,13,4,91,4094,11,93,230,75,9,0,0,9,424,0,0,3,9,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,0,0,0,0,22,11,101,243,79,9,3,0,19,465,37,91,77,75,29,7,4,14,341,9,30,29,25,22,3,0,10,128,179,1782,10493,30645,17891,2429,481,891,64792
203,97,888,10763,53211,35959,4979,921,1242,108078,43,1753,5010,1941,341,28,9,205,9317,7,164,781,1206,262,27,4,30,2485,48,1919,5788,3140,600,56,15,239,11798,17,542,1018,360,25,3,4,39,2004,5,64,114,14,0,0,0,0,203,5,81,189,33,0,0,0,4,314,0,20,68,44,6,0,4,0,134,0,9,7,4,0,0,0,0,31,30,719,1395,446,29,3,3,51,2681,40,186,218,96,47,3,6,17,609,3,24,37,47,27,4,10,9,162,217,3742,18206,56949,36664,5049,955,1549,123332
204,172,1048,7368,32579,20161,2648,591,1166,65727,14,737,2922,609,40,8,3,292,4619,0,23,84,86,7,4,0,7,214,14,759,3006,699,48,11,11,295,4830,7,87,282,53,10,3,0,15,457,0,3,7,4,0,0,0,0,15,0,11,3,0,0,0,0,0,15,0,3,3,0,0,0,0,0,10,0,9,7,10,3,0,0,0,21,13,111,291,66,17,6,0,19,522,43,183,119,84,26,9,3,81,544,4,18,44,48,21,9,5,12,158,237,2116,10822,33477,20272,2678,611,1571,71790
205,215,1357,12195,54695,31698,4485,869,1774,107293,36,894,3083,943,76,6,9,167,5206,4,104,196,316,78,16,8,17,738,39,994,3278,1261,152,28,12,183,5944,21,788,2044,390,33,8,4,100,3385,5,8,36,6,0,0,0,0,54,0,4,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,4,0,13,11,0,6,0,0,0,36,22,816,2098,403,35,5,9,102,3495,81,379,478,85,27,8,3,70,1132,6,31,46,61,35,6,10,24,226,370,3578,18100,56505,31953,4532,903,2146,118088
206,55,649,10654,27173,14149,3069,590,467,56817,60,1901,14254,9805,2086,271,60,243,28672,98,2042,10570,14223,3713,597,112,257,31614,156,3948,24818,24026,5798,864,175,501,60286,425,7561,13152,3041,292,33,39,328,24870,572,11265,16743,2675,146,30,22,407,31857,678,13217,19725,3109,164,16,15,380,37311,1236,21505,35443,6710,235,20,34,844,66020,6,25,35,27,21,4,0,5,123,2916,53572,85090,15567,865,106,116,1961,160187,27,428,670,308,67,19,9,25,1557,25,140,187,65,15,0,9,48,492,3180,58737,121417,67139,20906,4061,893,3006,279332
207,43,341,5391,32227,33032,9847,1575,658,83097,37,643,8010,6136,1073,132,19,164,16217,21,139,2037,6843,3438,369,25,124,12992,52,782,10049,12981,4509,503,46,280,29207,183,1368,5033,1621,178,22,11,103,8523,155,1725,4249,594,50,3,3,79,6851,117,2184,4308,695,23,4,0,77,7417,26,909,2218,270,5,0,0,35,3462,0,15,11,11,9,10,0,0,53,477,6204,15818,3190,264,32,25,300,26312,3,50,100,72,4,7,5,9,248,3,26,34,42,25,3,5,10,145,579,7397,31399,48507,37832,10398,1643,1255,139003
208,52,421,7815,37614,31343,7803,1160,727,86938,43,1335,12517,7809,874,79,26,244,22921,8,217,3505,9157,3397,265,38,125,16712,53,1556,16026,16964,4264,344,64,365,39639,124,5044,11267,3502,404,43,28,327,20740,42,1252,4555,768,46,13,7,78,6770,75,1936,4532,526,17,0,5,78,7167,0,364,766,55,0,0,0,7,1201,0,12,15,15,20,4,0,5,68,238,8608,21136,4872,487,65,44,492,35941,21,264,529,151,22,9,0,20,1012,0,29,38,51,22,6,0,3,153,372,10878,45544,59657,36140,8225,1265,1606,163682
209,153,911,11442,71003,56391,9022,1500,1792,152210,42,1508,8133,4245,915,74,22,253,15193,12,387,4743,6008,1051,105,12,169,12492,56,1891,12876,10254,1966,178,33,422,27683,44,842,2752,1079,101,8,4,77,4910,46,470,980,124,13,0,0,26,1661,43,820,2077,145,4,0,6,36,3130,0,320,291,26,0,0,0,0,637,3,31,36,13,9,7,4,0,101,138,2482,6134,1393,128,19,10,139,10439,4,49,126,76,21,3,0,11,291,3,19,42,28,21,7,4,20,141,352,5350,30621,82757,58529,9228,1550,2378,190761
210,109,647,6442,55180,42642,6893,1080,1638,114632,21,618,4995,3962,482,40,12,180,10307,10,113,4672,5685,1206,98,7,162,11956,29,732,9670,9646,1691,132,18,337,22259,32,339,1709,1032,59,11,0,54,3240,0,34,183,24,0,0,0,4,248,15,96,184,21,0,0,0,6,326,0,0,0,0,0,0,0,0,0,0,26,30,15,4,0,0,0,85,50,498,2107,1093,65,16,3,69,3902,8,125,65,48,14,0,0,5,269,0,14,26,46,22,6,0,9,128,204,2016,18305,66016,44434,7045,1103,2061,141191
