SA4_CODE_2021,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
201,5523,206,15,5738,32,6,0,0,39,5,0,8,49,3,0,45,70,15,0,7,87,4,0,7,99,7,0,105,102,20,0,6,131,5,4,13,144,7,0,151,4725,671,114,64,5572,59,29,91,5659,214,15,5890,1007,169,34,33,1246,27,5,30,1271,209,3,1481,4,0,0,0,6,0,5,5,8,6,24,32,5735,839,148,103,6823,85,35,124,6947,426,36,7407,1132,164,22,11,1329,15,0,15,1341,64,0,1405,1635,244,37,7,1927,9,0,8,1937,84,0,2016,97,14,7,0,118,5,0,5,120,3,0,127,17,0,0,9,32,0,0,0,32,7,5,38,2885,422,69,35,3405,25,0,25,3432,154,5,3589,14,3,0,0,20,5,5,7,27,0,0,29,39,5,0,0,48,0,0,0,51,0,0,47,59,6,0,0,66,6,5,9,78,4,0,81,2941,425,65,38,3469,34,6,34,3510,159,6,3671,503,90,24,13
202,5646,195,3,5851,23,7,0,0,26,4,0,4,35,0,0,37,64,10,4,0,80,3,0,3,81,0,0,85,85,19,4,0,103,11,0,11,112,3,0,123,4731,782,124,70,5709,50,10,62,5761,200,3,5971,975,157,38,25,1203,18,0,27,1221,191,0,1413,12,0,0,8,17,0,0,0,17,6,26,44,5719,931,170,99,6919,67,11,81,7003,397,30,7429,1052,140,32,8,1232,15,3,22,1254,69,4,1326,1663,236,38,18,1952,10,7,14,1967,59,3,2029,79,12,11,0,102,3,0,3,102,8,0,113,12,0,0,24,41,0,0,0,37,7,0,47,2807,388,81,52,3323,32,12,45,3367,148,3,3519,11,5,0,0,17,0,0,0,17,0,0,13,24,6,4,0,31,0,0,0,36,4,0,43,40,10,4,0,47,0,0,0,52,8,0,61,2841,396,83,52,3375,32,12,46,3423,152,3,3573,415,66,15,7
203,12064,355,20,12437,52,15,0,0,64,4,0,4,75,0,0,75,185,36,0,6,222,13,8,12,239,6,0,239,236,49,0,6,290,15,8,25,311,6,0,317,10342,1486,300,110,12244,102,30,132,12373,361,26,12754,1966,309,57,55,2394,28,16,43,2433,277,3,2718,6,5,4,5,20,0,0,0,20,0,38,62,12323,1799,361,172,14652,130,48,174,14824,639,66,15530,2151,327,49,12,2536,28,8,34,2569,120,3,2687,3336,465,81,30,3906,20,8,28,3937,109,4,4043,155,24,22,3,206,0,0,0,201,8,0,213,25,5,0,34,63,0,0,0,63,0,8,71,5666,812,154,77,6705,48,19,64,6774,235,11,7021,33,11,3,0,48,6,0,6,51,3,0,54,86,4,0,0,98,5,0,5,97,5,0,98,117,18,4,0,143,7,0,7,151,11,0,154,5781,832,158,78,6845,57,19,72,6923,243,11,7180,856,191,25,15
204,5668,241,14,5924,34,8,0,0,41,6,0,6,45,3,0,56,46,6,0,0,57,0,5,3,60,3,0,64,81,14,0,0,97,8,5,13,108,7,0,118,4845,630,149,92,5721,40,14,55,5772,255,14,6042,851,151,40,30,1069,27,4,31,1099,177,0,1273,10,0,0,0,11,0,0,0,11,5,32,47,5706,787,188,124,6796,62,19,83,6885,432,47,7356,1343,148,42,15,1541,17,5,22,1556,68,0,1623,1618,247,50,21,1924,15,4,21,1946,70,0,2012,90,12,21,0,124,0,0,0,127,8,0,127,15,4,0,27,48,0,0,0,45,4,0,52,3062,407,109,57,3631,32,9,43,3673,142,0,3822,22,7,0,0,37,5,0,6,42,4,0,45,34,6,0,0,36,0,5,3,42,9,0,51,59,12,5,0,71,5,4,14,87,5,0,96,3118,422,106,63,3706,36,14,50,3762,151,5,3915,417,75,22,18
205,8570,395,21,8986,40,5,0,0,48,7,0,7,55,6,0,62,94,15,8,5,111,9,5,7,125,7,0,135,130,26,10,4,161,12,5,15,180,17,0,198,7164,1063,234,149,8604,111,32,140,8748,413,26,9186,1601,280,68,84,2026,55,20,69,2096,368,15,2480,15,0,0,13,36,3,0,3,34,10,56,98,8783,1344,302,245,10665,166,50,215,10886,787,96,11762,1669,239,36,16,1958,14,16,31,1988,115,0,2100,2562,403,67,32,3069,32,15,42,3106,181,3,3293,169,33,40,0,245,0,0,0,245,17,0,262,31,3,0,52,88,0,0,0,88,5,4,97,4437,673,147,106,5359,48,25,78,5429,312,13,5759,22,0,0,0,24,4,0,4,33,3,0,34,56,7,4,6,68,5,3,8,74,4,0,79,77,9,4,6,92,9,3,8,107,6,0,118,4510,683,148,109,5450,59,25,84,5540,320,13,5870,747,145,36,22
206,12920,463,18,13400,124,13,0,0,142,10,0,10,154,12,0,166,168,27,6,0,194,9,6,18,211,13,5,227,288,37,4,0,335,18,5,30,368,18,0,393,11085,1685,196,111,13078,176,38,208,13285,485,19,13791,2054,389,56,44,2550,55,19,77,2624,428,17,3071,25,3,0,26,49,3,0,3,53,6,56,112,13155,2081,257,178,15675,232,51,285,15967,917,91,16974,3074,392,43,6,3515,65,9,73,3590,189,0,3781,2720,438,34,22,3209,40,6,45,3252,86,4,3340,120,38,20,0,176,0,0,0,177,5,0,187,33,5,0,21,56,0,0,0,56,3,4,61,5947,874,90,51,6960,103,21,121,7080,280,5,7368,65,3,5,3,79,9,3,10,88,9,0,92,89,15,0,0,103,9,11,23,125,0,0,126,152,20,5,3,177,20,13,31,214,7,0,223,6095,893,97,52,7140,122,28,153,7296,292,5,7594,953,171,29,24
207,12576,451,30,13054,124,19,3,0,149,19,0,19,165,4,0,174,216,24,0,7,247,25,11,32,278,14,0,289,342,38,9,7,393,48,7,51,446,17,0,466,10942,1530,186,117,12774,196,56,251,13025,473,30,13526,2329,436,57,34,2865,70,29,98,2967,462,10,3430,33,14,0,34,79,0,0,0,79,3,31,111,13307,1977,245,186,15714,267,81,350,16067,936,68,17072,3400,340,42,7,3786,75,15,86,3876,190,3,4069,3377,506,52,9,3949,29,13,39,3991,134,3,4124,128,20,21,0,171,3,0,3,176,5,0,183,17,5,0,36,61,4,0,4,69,0,11,82,6923,880,116,54,7968,110,25,133,8099,335,16,8454,88,11,3,0,100,11,0,11,112,9,0,118,118,9,0,4,129,11,0,10,142,11,0,154,200,24,3,4,228,24,0,27,257,18,0,275,7123,905,118,56,8197,134,29,156,8361,350,17,8729,1374,187,32,19
208,16390,461,28,16886,132,7,0,3,147,13,0,13,163,3,0,168,243,20,0,6,263,8,8,13,279,11,0,293,377,31,4,9,410,18,8,30,442,18,0,459,14627,1584,224,149,16584,206,46,250,16834,480,28,17344,2744,260,44,63,3106,57,13,71,3176,241,4,3423,27,8,0,26,62,4,0,4,65,0,43,105,17398,1854,267,241,19755,267,59,325,20075,721,77,20882,4334,420,64,17,4830,87,15,100,4928,199,3,5132,4478,532,53,18,5084,72,4,75,5160,122,11,5293,188,25,33,6,252,0,0,0,255,14,3,270,46,4,6,32,84,4,0,4,83,4,9,97,9038,980,154,80,10253,155,15,179,10428,340,26,10795,71,13,0,0,83,11,5,8,97,0,0,98,150,12,3,0,167,0,4,6,175,5,0,180,222,24,3,0,251,13,8,18,269,11,3,277,9261,1004,160,84,10506,173,23,195,10696,345,32,11067,1417,177,22,25
209,20244,776,54,21070,180,31,3,9,224,44,5,41,269,12,0,283,366,70,9,14,460,25,4,28,492,27,0,523,548,99,12,21,691,63,8,75,766,43,3,808,17401,2578,404,250,20640,294,77,369,21004,823,53,21881,4376,903,153,152,5585,222,65,285,5867,1134,38,7034,35,10,0,59,102,4,0,4,105,6,110,226,21813,3490,562,462,26325,518,137,651,26980,1965,199,29143,4106,509,79,24,4716,82,15,98,4816,229,11,5055,5114,774,78,40,6002,77,15,93,6094,202,3,6302,231,38,44,5,314,10,0,8,322,25,0,348,51,6,0,63,124,3,0,3,127,6,6,134,9509,1320,199,129,11157,171,36,201,11362,461,21,11845,87,38,4,0,130,20,0,22,152,9,0,158,195,33,5,13,248,14,6,17,274,17,0,287,284,78,10,14,381,40,3,42,425,25,0,447,9790,1397,205,146,11541,206,40,249,11783,489,21,12288,1913,395,72,66
210,14178,588,61,14824,179,39,4,4,230,55,6,63,288,23,0,314,325,93,4,13,437,43,22,67,504,44,3,550,506,133,7,19,661,103,27,127,795,66,7,861,12153,1906,281,209,14543,328,99,421,14970,650,67,15687,4061,1568,160,227,6008,310,96,411,6421,1934,37,8389,49,19,0,82,148,0,0,0,149,11,124,286,16257,3489,441,516,20707,640,196,831,21537,2599,227,24366,2742,358,43,9,3152,69,14,79,3234,212,9,3452,3208,583,77,29,3904,80,17,95,4002,167,13,4175,169,42,20,0,236,8,0,6,247,17,0,265,35,9,0,45,90,0,0,0,97,7,13,114,6160,998,143,88,7382,153,33,188,7575,408,31,8013,86,19,0,5,114,26,9,29,146,16,0,163,144,53,0,6,200,19,17,37,240,23,3,268,234,72,3,5,313,49,25,69,385,41,3,432,6392,1066,146,93,7700,200,60,257,7957,448,35,8438,1784,788,84,107
