SA4_CODE_2021,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
201,122,276,67,48,44,24,16,37,9,648,194,536,162,40,99,51,60,64,18,1220,969,691,3005,195,237,215,791,624,84,6812,564,130,2181,67,62,72,227,354,56,3708,553,140,317,41,47,56,136,179,22,1498,134,1037,89,301,50,29,27,51,12,1725,224,926,67,117,53,30,36,37,13,1506,1129,981,251,205,427,341,212,209,41,3804,260,634,105,676,149,85,94,131,19,2156,112,345,140,76,78,89,47,87,11,983,169,17,495,92,55,66,105,153,14,1166,4,0,6,0,0,0,3,10,0,28,96,84,82,61,37,24,61,42,23,506,130,42,211,61,27,43,111,147,120,891,4656,5850,7182,1981,1365,1121,1927,2124,433,26643,102,224,72,57,97,38,3,12,10,619,47,83,29,30,59,22,9,20,4,298,63,66,66,33,46,33,36,66,7,412,40,79,59,10,33,19,0,18,3,270,94,88,80,60,92,58,11,87,8,581
202,138,319,61,34,45,15,24,36,3,670,173,415,145,28,60,41,33,56,11,968,930,777,2903,191,226,195,714,619,85,6646,610,179,1920,78,75,78,236,347,36,3552,525,163,333,43,55,52,131,195,25,1518,132,1099,66,316,47,34,32,54,11,1801,196,932,67,153,43,31,46,46,8,1539,1055,890,194,178,452,268,182,170,27,3411,288,709,101,678,136,76,71,134,47,2239,112,349,129,79,44,67,42,94,12,920,148,23,444,96,39,56,102,152,18,1071,7,5,5,3,5,0,0,9,0,34,85,89,66,55,29,21,60,48,18,470,104,51,182,47,21,48,129,117,124,820,4495,5993,6617,1974,1277,992,1811,2083,428,25671,117,231,96,51,91,24,4,25,4,648,37,63,11,10,51,14,0,19,0,208,58,109,49,30,58,22,39,78,5,454,43,111,65,18,36,16,3,12,5,300,122,124,93,58,84,56,11,81,6,624
203,303,696,173,116,98,74,39,97,25,1626,437,998,318,70,158,100,132,137,37,2385,1842,2203,5558,469,464,391,1415,1235,188,13764,1344,538,5201,222,200,169,491,923,134,9223,455,256,631,55,100,87,157,243,37,2017,334,2257,211,662,117,75,98,117,30,3904,373,1813,143,281,75,56,86,74,17,2918,2689,2361,547,504,989,731,530,398,118,8886,594,1282,269,1325,316,204,197,285,66,4540,258,727,247,174,106,163,117,177,21,1995,301,48,999,171,86,130,239,306,24,2294,9,6,8,4,4,7,3,12,0,52,150,187,161,139,66,34,132,92,42,1000,185,110,425,107,63,78,166,228,261,1625,9284,13494,14886,4292,2824,2303,3804,4332,998,56222,220,626,235,190,262,114,28,67,15,1753,71,199,52,77,107,26,14,42,7,591,114,284,102,93,114,73,64,117,19,985,112,330,174,75,129,91,15,55,10,985,121,177,125,84,137,89,18,94,3,846
204,175,221,67,28,34,28,16,35,7,610,127,228,96,30,46,28,38,50,7,659,1345,720,3937,244,287,240,1092,820,134,8810,758,114,2257,95,52,74,292,450,76,4162,804,223,422,66,67,82,201,320,38,2214,155,770,57,312,45,29,41,57,14,1470,277,778,76,176,31,19,58,58,12,1479,1172,717,223,214,300,281,237,233,36,3404,308,393,125,632,66,62,83,127,26,1829,93,170,84,61,37,47,47,77,0,626,201,33,556,95,43,84,172,254,10,1439,3,0,4,3,0,0,0,19,0,29,102,82,93,80,41,24,76,64,35,598,191,47,257,53,37,44,167,187,162,1151,5697,4495,8253,2085,1088,1032,2524,2750,551,28476,101,237,67,60,83,31,6,34,8,640,39,36,16,17,55,20,0,11,0,196,57,97,70,35,59,39,40,66,6,471,35,71,41,21,35,25,5,14,5,258,209,171,116,84,149,79,22,146,9,997
205,186,344,81,47,34,17,21,44,14,793,189,344,189,49,100,49,35,76,14,1051,1909,1280,6657,317,379,366,1700,1301,231,14129,1118,159,3557,108,105,139,605,886,125,6790,993,270,494,98,80,92,287,447,47,2809,222,1167,110,422,42,26,40,50,16,2104,331,1166,86,159,57,32,56,57,12,1959,1351,1039,288,222,485,444,250,270,67,4413,332,665,152,964,148,113,116,201,38,2727,113,256,140,78,64,71,52,110,7,897,265,42,757,109,62,114,172,300,27,1851,6,0,4,3,0,5,0,0,0,28,135,94,142,67,42,26,103,89,35,737,273,80,449,92,41,94,236,314,219,1803,7416,6910,13107,2736,1630,1601,3679,4160,850,42092,121,300,107,100,134,48,9,41,9,862,50,59,26,26,68,22,5,25,3,278,112,100,101,57,94,54,59,112,13,696,36,80,81,35,56,43,3,24,6,363,288,239,146,117,166,100,29,209,8,1297
206,1311,4194,404,353,495,294,129,274,91,7545,1997,7652,961,279,558,389,276,427,190,12734,3963,8944,4270,573,970,586,809,1142,266,21527,2032,3224,3597,207,482,235,222,582,112,10698,386,521,487,95,143,81,74,156,31,1970,722,7546,279,1008,280,160,102,173,73,10339,597,3204,151,325,190,103,67,93,43,4776,10698,13201,1427,1470,4215,2816,834,1227,600,36481,3313,10181,572,2002,1839,669,315,532,264,19687,1773,6577,1283,1041,1027,951,362,600,150,13773,726,189,2406,544,225,228,184,387,67,4955,8,14,21,13,8,5,5,20,0,99,637,1059,242,268,277,164,110,140,95,2991,367,454,370,201,150,148,151,201,564,2595,28535,66940,16469,8387,10865,6821,3634,5969,2546,150166,1171,3720,504,572,844,337,39,153,84,7436,517,2310,164,202,389,155,36,110,63,3945,695,2273,304,258,430,185,64,271,56,4542,641,2870,407,193,397,237,13,74,42,4871,302,543,169,131,217,77,12,73,22,1545
207,774,1697,237,103,220,173,61,120,43,3431,1576,3900,605,147,396,345,235,237,113,7554,2950,4723,2636,232,699,527,481,605,211,13068,1154,790,1963,83,189,136,109,288,49,4768,187,165,281,32,37,24,41,94,8,868,362,4793,159,498,122,99,60,86,58,6237,332,1347,68,148,66,49,34,39,26,2104,6874,7563,711,622,2366,1778,517,650,340,21420,1273,3459,230,815,580,303,160,181,100,7100,439,1320,352,208,204,273,106,156,43,3109,334,70,755,138,72,125,106,209,25,1827,9,9,10,10,0,11,5,14,4,68,262,338,103,75,100,76,50,54,52,1113,199,219,213,70,85,109,63,100,316,1362,16702,30394,8329,3187,5140,4022,2037,2832,1383,74023,614,1549,272,291,524,243,12,72,49,3629,432,1301,136,151,394,134,14,49,48,2662,410,920,146,107,255,149,38,80,34,2150,180,633,181,70,174,99,11,25,22,1386,100,151,76,45,83,44,6,15,9,528
208,904,1819,205,159,211,140,85,104,49,3669,1734,3898,586,131,353,254,205,206,115,7479,3637,4633,4243,301,713,541,677,751,192,15695,1807,804,3746,92,251,165,131,470,83,7550,259,183,472,39,66,51,50,133,19,1269,485,3787,184,677,135,98,57,96,34,5556,480,1882,106,213,92,73,50,59,16,2965,8617,8044,754,691,2428,2093,505,514,397,24032,1652,3944,284,1153,748,381,164,219,128,8677,620,1770,445,234,266,315,122,201,51,4026,426,86,967,179,83,159,113,157,28,2201,5,11,11,6,4,4,5,13,0,61,345,414,173,104,107,65,69,89,58,1433,316,218,319,75,74,117,83,100,361,1671,21281,31493,12488,4059,5532,4471,2314,3108,1535,86277,747,1752,264,274,548,225,20,92,48,3965,460,1219,118,96,354,97,22,61,45,2463,430,857,184,123,257,93,43,79,40,2101,239,761,196,63,220,159,6,28,9,1683,89,151,103,46,106,46,6,36,5,598
209,702,1690,333,196,237,166,162,189,31,3715,1316,3643,977,266,532,367,581,453,127,8276,3662,4785,8994,593,1068,719,2184,1690,329,24026,1596,686,6827,156,272,209,527,1042,178,11496,286,215,685,67,81,64,176,270,25,1868,415,3029,266,914,202,128,172,199,47,5362,413,2289,144,295,133,79,118,113,22,3603,5070,5069,1074,892,2544,1542,1249,954,282,18666,1150,2595,444,1996,762,351,438,402,123,8268,592,1800,610,314,376,336,217,285,47,4569,491,94,1502,295,200,217,548,434,46,3826,3,17,16,3,0,5,19,20,0,88,295,372,293,186,163,89,260,169,66,1903,282,205,673,165,159,158,323,344,520,2825,16273,26492,22832,6336,6741,4428,6977,6558,1856,98484,555,1753,446,387,586,243,35,157,44,4201,328,992,143,243,395,136,45,128,40,2455,317,770,223,173,342,124,97,175,38,2256,138,522,214,59,174,130,20,31,13,1299,129,193,209,92,146,85,21,68,5,954
210,357,737,218,105,130,98,136,137,31,1950,920,2505,719,195,395,222,561,364,104,5994,2469,3239,7211,472,888,518,2121,1446,294,18665,1103,368,4860,132,206,133,508,833,133,8279,193,115,407,48,68,36,138,199,25,1224,230,1650,176,598,93,80,120,133,28,3112,248,1452,102,179,77,42,102,85,22,2305,3254,3227,910,746,2054,1086,1344,814,217,13654,624,1326,336,1427,523,227,463,311,80,5319,291,761,292,146,209,188,188,201,32,2303,373,61,1151,253,172,198,579,345,35,3158,11,4,17,4,6,8,11,21,4,75,199,190,246,123,113,60,243,140,55,1367,211,125,487,122,103,90,358,252,460,2218,10469,15761,17147,4555,5027,2986,6876,5268,1520,69619,329,953,294,287,377,200,25,99,35,2605,192,673,88,169,316,110,32,133,43,1746,234,574,157,129,243,81,91,135,24,1662,98,254,162,48,134,82,10,31,12,832,65,84,115,54,98,54,16,52,11,553
