SA4_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
201,38,19,191,201,749,62,1267,22,0,83,32,226,10,377,126,41,385,341,1724,82,2699,35,16,78,54,269,6,455,52,25,286,374,3900,90,4727,21,9,83,98,375,12,596,75,27,298,220,788,50,1463,64,22,215,202,528,37,1079,77,9,166,169,725,50,1198,26,26,130,67,135,12,393,66,36,182,138,73,7,502,6,8,82,71,157,8,331,291,100,948,270,229,33,1874,40,20,113,93,328,19,608,184,121,475,500,729,37,2041,466,261,840,172,219,19,1976,457,217,860,345,562,51,2499,27,8,160,67,170,13,439,48,14,98,92,810,22,1089,38,15,151,111,577,138,1034,2161,995,5826,3618,13280,775,26643,25,27,122,117,168,31,493,10,5,10,10,11,0,51,58,29,231,171,332,31,847,16,10,43,32,34,3,143,14,22,123,136,269,19,580,0,0,49,53,104,12,225,46,47,431,363,888,87,1870,58,23,243,242
202,30,15,221,169,682,57,1168,37,3,130,51,528,14,760,97,41,429,360,1774,69,2780,29,20,105,85,245,13,502,34,24,262,308,3542,83,4255,20,10,86,91,304,23,520,40,33,263,211,762,48,1360,28,11,148,152,427,32,799,25,15,153,182,621,39,1037,23,16,108,53,100,18,316,75,52,392,177,130,16,844,13,6,67,57,127,7,271,276,97,844,281,249,24,1771,32,7,101,69,311,9,535,189,129,477,501,704,41,2044,381,274,748,145,193,21,1773,462,194,859,374,509,53,2447,35,24,109,63,132,14,377,51,24,117,107,846,17,1152,53,18,141,88,529,122,956,1917,1022,5765,3509,12718,731,25671,23,19,174,126,145,28,514,7,8,43,18,32,4,107,69,33,267,176,378,50,969,13,17,50,33,44,10,170,18,22,112,128,252,18,550,3,4,59,60,82,19,221,61,55,418,342,816,85,1771,48,25,189,240
203,65,22,236,193,484,43,1044,23,4,48,26,133,8,240,361,62,944,604,2513,93,4576,74,21,250,150,493,21,1012,198,65,1043,1043,8897,235,11483,101,27,412,302,914,43,1800,289,59,961,578,1440,97,3422,181,22,555,510,893,77,2243,264,57,534,537,1390,101,2877,77,29,240,121,165,15,656,222,102,823,353,212,24,1731,38,14,232,135,290,30,735,782,231,2361,689,562,78,4704,109,39,312,235,634,42,1368,361,216,1190,1008,1307,98,4182,1128,464,1731,443,437,50,4253,836,345,1900,654,937,99,4767,78,30,296,175,283,22,881,104,43,254,242,1352,53,2044,176,28,446,250,1015,270,2197,5464,1892,14766,8243,24350,1500,56222,21,32,135,110,150,23,470,4,0,8,5,12,0,37,110,38,417,299,486,47,1399,50,9,117,90,99,15,375,80,42,386,348,522,36,1405,40,23,214,169,247,19,715,178,100,1276,1069,1666,159,4449,140,56,621,481
204,72,50,385,397,1297,136,2328,9,0,24,14,164,6,223,81,41,429,386,2224,122,3287,9,3,55,76,334,6,488,42,21,237,331,4663,132,5431,11,8,83,95,476,24,695,32,26,202,230,911,55,1455,45,12,188,220,703,53,1224,20,21,139,195,1026,85,1487,10,0,56,35,94,4,203,36,19,118,108,61,9,347,12,8,37,48,142,17,258,145,77,552,225,277,17,1299,16,7,85,110,397,30,645,175,104,562,732,1236,74,2886,260,253,558,186,321,20,1606,266,125,615,315,460,38,1823,17,16,88,89,170,12,389,33,21,86,86,1039,28,1288,29,7,101,108,693,174,1116,1338,827,4604,3989,16686,1037,28476,51,77,314,318,365,84,1217,0,0,14,7,22,0,44,52,40,272,232,447,41,1092,14,0,24,22,33,0,89,26,28,122,213,322,44,755,9,6,52,62,157,15,308,43,37,337,395,1025,112,1955,43,33,271,345
205,83,45,506,459,2065,178,3338,18,4,82,92,666,22,875,66,35,348,403,2853,111,3817,63,32,333,303,1476,45,2244,44,33,287,471,7332,223,8395,17,13,87,125,716,48,1002,54,23,322,284,1396,93,2173,44,19,191,240,811,85,1395,31,18,118,210,1188,93,1655,31,14,121,66,202,13,444,40,25,138,185,92,17,491,11,3,61,90,289,18,473,242,120,856,379,475,40,2112,17,23,117,145,595,40,929,192,131,800,816,1097,76,3111,382,285,951,266,416,41,2341,420,180,899,483,838,87,2901,37,14,144,97,252,15,558,39,17,118,137,1705,48,2059,41,12,156,161,1146,260,1777,1867,1040,6632,5414,25600,1543,42092,64,78,493,366,599,122,1717,6,0,24,18,41,3,94,36,28,212,214,464,61,1015,34,29,149,72,173,12,465,20,20,160,273,497,42,1014,3,6,75,96,213,21,414,54,51,435,554,1554,179,2823,36,37,258,380
206,96,24,257,67,85,15,546,133,14,198,19,37,6,401,1182,243,2971,835,1455,138,6830,470,79,882,184,242,19,1873,1062,214,3817,1474,5684,307,12554,572,109,1650,412,548,76,3368,1174,215,3878,1341,1378,202,8178,807,114,3523,2356,2133,317,9250,844,196,2281,912,1017,173,5416,853,252,2596,611,382,97,4794,2419,686,6506,1047,572,215,11454,450,133,1443,399,546,104,3081,8350,1462,17270,1974,1015,389,30458,641,159,2148,653,700,162,4468,2303,796,4069,1076,976,127,9353,5337,1052,4044,583,440,118,11579,4156,884,5745,951,833,214,12787,608,196,2176,639,578,78,4273,517,120,1009,472,1271,84,3476,1097,171,2591,706,835,642,6041,33067,7114,69065,16728,20727,3462,150166,62,18,159,53,38,10,335,48,7,110,18,8,0,198,812,172,2130,547,368,63,4087,289,91,558,93,92,28,1145,581,138,1371,466,366,62,2983,468,121,1378,395,233,44,2645,1224,343,5586,1979,1295,262,10693,872,168,4270,2029
207,62,9,127,39,40,5,294,72,9,123,7,20,0,232,878,136,1873,545,799,85,4316,203,40,416,65,99,16,840,632,108,2056,984,3192,133,7109,518,94,1240,357,347,57,2611,815,150,2278,775,841,138,4992,345,43,1103,733,687,93,3014,541,102,1122,494,444,84,2793,464,88,1001,228,170,32,1978,1588,447,3255,596,236,86,6208,377,89,815,272,332,74,1955,3662,727,7366,932,447,188,13322,352,78,834,365,367,31,2025,837,277,1523,501,378,59,3576,2164,419,1745,281,232,59,4897,2404,419,3516,518,450,180,7490,175,46,560,166,168,24,1144,286,64,538,307,732,51,1982,631,100,1311,363,486,348,3245,17005,3457,32810,8536,10471,1746,74023,30,13,81,23,13,4,166,25,4,42,10,0,4,82,422,111,1060,312,202,32,2132,138,33,257,36,23,0,486,281,74,701,275,192,35,1556,357,88,953,285,155,49,1876,703,203,2847,1079,778,162,5772,322,62,1100,661
208,57,18,140,61,65,6,339,78,10,143,28,47,10,316,805,165,2143,791,1747,134,5790,245,54,513,133,211,17,1173,492,149,2362,1372,6360,238,10966,505,109,1449,495,588,65,3209,722,141,2333,888,1144,132,5364,247,41,955,709,740,107,2799,465,118,1156,540,713,110,3106,400,103,1136,296,242,33,2217,1480,501,3783,853,347,134,7097,236,73,854,325,430,61,1974,3565,705,8239,1397,735,242,14886,315,81,928,385,554,47,2312,866,345,1808,804,712,95,4624,1963,560,2127,440,360,82,5528,1805,395,3009,657,622,142,6629,185,76,765,252,314,42,1632,212,58,529,334,1145,69,2346,620,96,1495,508,805,433,3967,15260,3792,35885,11264,17879,2192,86277,28,10,73,34,30,3,172,29,8,73,6,6,0,121,436,137,1556,481,409,76,3082,161,43,292,76,57,17,645,262,77,933,472,430,67,2242,291,108,1021,383,232,46,2079,578,243,2955,1325,1086,204,6386,225,50,1011,610
209,64,19,130,112,199,20,549,48,6,86,29,92,4,270,872,143,2192,1323,3632,202,8366,213,32,426,164,411,34,1287,516,107,2060,2009,12238,410,17339,340,78,913,539,1103,76,3051,672,129,1867,1092,1846,196,5797,301,30,913,911,1065,144,3370,830,116,1765,1416,2122,266,6514,385,77,901,366,348,42,2124,805,240,2198,760,411,87,4504,117,38,388,241,447,46,1277,2354,482,5283,1231,799,185,10345,289,65,807,502,944,102,2714,1058,410,2309,1483,1766,150,7176,2070,710,2267,549,595,75,6268,1702,493,2948,1150,1227,191,7704,154,55,615,263,364,36,1485,297,53,538,541,2269,100,3808,518,77,1094,643,1663,554,4553,13612,3375,29710,15318,33548,2917,98484,53,15,130,80,74,17,369,18,3,26,0,12,3,67,410,101,1156,676,719,113,3174,106,40,222,106,117,12,607,211,78,745,555,718,82,2387,179,57,580,359,363,42,1584,486,183,2353,1590,1856,262,6726,262,59,979,808
210,32,13,107,72,131,23,373,17,5,47,20,73,5,169,530,86,1524,1011,2958,175,6278,114,15,300,152,353,28,960,333,68,1451,1444,8948,289,12534,199,43,648,349,808,74,2114,455,62,1254,810,1313,157,4053,263,40,692,747,739,103,2582,785,128,1725,1769,2524,288,7217,273,46,569,224,243,34,1378,498,134,1397,505,298,60,2896,82,14,258,164,336,32,888,1319,266,3092,784,546,115,6118,225,48,549,409,687,84,2008,662,227,1498,1159,1294,114,4957,1041,419,1326,357,383,60,3577,886,215,1558,631,685,134,4110,69,35,363,177,260,23,921,152,22,403,418,1843,72,2922,354,49,802,517,1345,498,3563,8272,1925,19566,11728,25760,2363,69619,19,9,71,56,52,18,229,8,0,13,5,5,0,31,264,57,828,486,575,96,2310,73,19,176,86,68,17,437,135,53,511,448,532,53,1729,98,39,401,244,249,41,1080,314,123,1436,1050,1346,190,4463,178,45,611,503
