SA4_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
201,596,48,1212,26,8,87,82,169,22,396,28,25,115,76,79,8,325,34,21,135,117,134,17,450,6,8,68,61,141,20,307,203,108,624,260,320,33,1550,24,25,126,134,274,23,600,249,194,605,459,537,33,2072,811,677,1996,604,732,47,4878,970,842,3097,1747,2323,232,9216,54,39,152,96,142,20,494,44,25,114,241,477,26,924,35,12,132,108,187,106,592,2715,2150,8499,5117,7915,829,27225,60,45,315,326,921,97,1766,34,5,93,40,238,15,430,184,67,613,514,2057,115,3548,49,25,119,88,304,13,598,67,50,406,503,4168,112,5305,23,13,135,151,474,25,824,126,75,727,581,1679,144,3332,125,46,461,450,1121,91,2289,96,19,252,257,896,67,1591,55,47,243,141,219,20,723,104,55,310,251,208,27,962,15,18,146,134,298,22,637,494,209,1573,526,553,68,3425,59,43,239,225,603,42,1206,431,315,1079,960,1263,71,4114,1283
202,535,38,1064,19,9,63,75,118,16,301,25,24,114,30,48,4,250,47,35,293,175,231,33,821,9,8,56,66,125,12,279,202,140,649,236,269,33,1529,27,29,135,136,312,37,678,259,210,603,411,457,43,1978,710,718,1830,486,652,49,4444,1042,926,3109,1730,2245,251,9306,50,41,171,86,112,11,469,43,29,175,230,464,23,969,32,32,129,108,185,111,599,2714,2383,8642,4882,7503,875,27004,53,34,394,293,825,89,1680,45,11,174,67,559,16,872,166,71,700,540,2153,121,3747,46,38,153,116,288,17,669,53,41,378,444,3793,102,4805,16,12,143,142,385,42,744,104,86,683,556,1577,132,3137,74,34,334,390,958,70,1868,46,22,217,257,738,61,1338,46,44,227,87,148,23,574,126,94,687,346,365,46,1665,22,18,121,121,252,16,548,480,239,1496,515,519,56,3303,57,39,240,209,624,45,1220,445,344,1082,904,1163,88,4026,1092
203,1102,95,2491,45,25,169,168,301,30,738,56,51,179,70,78,6,451,153,123,801,400,406,40,1931,29,8,178,168,302,31,722,522,263,1717,624,641,75,3846,87,56,372,325,501,30,1375,470,414,1396,929,883,73,4164,1706,1298,4281,1305,1215,112,9911,1889,1683,6505,3269,4273,420,18048,78,47,317,181,208,18,855,96,63,344,548,1015,57,2120,88,55,372,294,334,221,1370,5851,4392,19807,10847,14446,1531,56875,84,55,371,299,636,69,1513,26,11,53,36,142,10,270,468,103,1359,902,3003,144,5975,120,28,363,246,591,35,1389,280,105,1426,1391,9414,277,12889,139,57,628,471,1157,71,2511,468,156,2234,1647,3111,258,7874,323,79,1177,994,1989,173,4732,308,79,703,702,1691,129,3613,138,79,423,199,239,23,1103,379,226,1619,755,618,62,3661,68,30,408,305,588,60,1461,1305,490,4078,1314,1206,151,8551,196,93,685,557,1140,74,2741,831,630,2587,1936,2194,170,8348,2837
204,783,103,1584,17,17,96,124,236,28,510,16,9,58,41,53,3,174,12,22,129,128,189,15,498,5,7,52,78,175,13,328,147,104,543,253,339,21,1403,16,24,133,174,347,31,718,207,196,751,688,618,54,2513,611,691,1918,694,823,53,4792,636,785,2590,2041,2619,266,8940,36,20,101,87,120,8,385,25,23,123,241,556,20,994,41,23,124,151,255,134,730,2009,2147,8026,6304,9467,1059,29020,125,128,702,719,1661,218,3548,15,5,43,25,189,5,274,132,81,699,624,2674,169,4381,23,9,74,98,363,12,571,68,48,359,550,4985,169,6182,20,17,140,161,628,42,1005,78,64,541,622,1934,166,3407,87,44,464,561,1486,157,2805,39,39,228,319,1262,109,1994,27,11,112,75,148,11,379,46,37,254,235,255,17,846,18,13,85,132,314,27,585,293,178,1090,476,610,44,2703,34,26,213,279,741,56,1359,386,296,1312,1416,1859,127,5397,872
205,1029,111,1853,3,14,67,103,290,33,508,16,21,88,58,84,5,277,34,17,136,221,278,38,723,10,9,75,129,311,35,571,169,120,695,413,492,59,1946,17,29,142,233,501,57,971,241,254,906,866,967,78,3308,938,973,2858,1016,1330,123,7229,1050,1015,3931,3045,4159,436,13637,43,36,209,165,251,17,729,46,38,197,374,916,53,1627,30,42,183,236,376,237,1104,2851,2818,11289,8834,14509,1720,42018,145,125,1000,822,2660,299,5055,19,5,103,113,708,21,973,107,65,564,618,3316,167,4835,98,54,476,378,1649,54,2703,62,51,445,751,7831,262,9401,19,16,164,217,929,65,1412,104,72,764,838,2944,268,4994,76,52,453,622,1841,201,3240,35,32,183,314,1471,121,2157,43,36,212,121,290,22,723,74,42,269,404,369,53,1219,28,16,136,221,594,54,1050,401,235,1552,788,971,100,4059,34,52,259,378,1088,96,1904,439,379,1705,1686,2065,152,6422,1320
206,1420,230,8977,380,123,1111,367,359,49,2392,838,316,2145,349,190,55,3890,1938,614,4402,1004,663,161,8777,433,139,1154,407,426,71,2629,7207,1621,13630,1710,972,281,25431,689,253,2630,806,614,143,5137,3340,1355,4969,1009,724,132,11528,8166,2589,8063,1365,819,197,21192,8294,3019,13710,2921,2053,512,30517,830,293,2181,564,356,55,4270,787,236,1719,987,1085,116,4928,1027,200,2370,649,468,561,5274,38271,11815,73651,17707,12546,3033,157022,157,46,410,123,118,27,882,178,24,307,38,52,7,602,1988,415,5104,1382,1831,195,10917,753,177,1444,272,337,43,3018,1645,354,5190,1944,6048,373,15541,1048,230,3023,806,782,118,6006,2397,555,9461,3321,2675,460,18874,1671,277,7789,4377,3554,547,18225,1221,316,3390,1281,1379,221,7807,1690,566,4737,964,570,153,8685,4358,1303,10909,2051,1230,373,20226,886,266,2599,804,975,174,5708,15559,3079,30899,3688,1989,673,55885,1332,418,4774,1458,1315,301,9599,5644,2153,9038,2080,1702,259,20877,13500
207,462,94,2702,214,53,495,145,124,27,1045,247,93,647,128,55,19,1193,1138,331,2343,503,232,77,4617,313,61,717,258,226,37,1609,2372,652,5094,830,453,149,9553,293,107,736,346,228,45,1754,958,383,1759,415,276,63,3849,3436,1423,4634,922,572,119,11108,4059,1598,8185,2167,1493,388,17898,166,78,517,159,102,13,1041,302,134,827,459,526,49,2286,436,95,1095,332,213,284,2447,16194,5584,34087,9341,6324,1642,73170,95,17,212,72,51,11,458,93,18,165,19,20,0,316,1300,246,2928,862,1001,115,6447,345,70,672,97,119,17,1323,912,188,2756,1257,3387,174,8666,875,181,2193,641,505,101,4487,1523,346,5124,1854,1614,299,10763,660,108,2204,1390,1154,189,5713,754,157,1618,636,570,108,3842,714,180,1649,352,221,53,3167,2721,781,5596,1097,471,163,10825,685,150,1533,533,555,110,3565,6038,1380,12457,1763,903,341,22878,650,184,1564,713,590,79,3779,1794,663,3281,915,655,120,7425,5603
208,579,97,2560,200,69,550,225,190,33,1260,278,106,824,177,94,23,1506,979,323,2500,707,380,103,4992,177,89,708,346,415,59,1787,2319,689,5907,1293,748,191,11141,282,130,1036,461,303,81,2297,1030,582,2197,779,475,90,5155,3714,1935,6077,1436,978,191,14327,3827,1822,8602,2963,2297,481,19990,207,88,675,266,192,35,1467,290,123,822,627,828,75,2754,466,135,1276,467,307,349,2996,15770,6767,39081,13126,10031,2188,86972,81,23,211,100,88,11,511,103,21,214,35,59,7,436,1241,301,3698,1277,2153,206,8875,408,98,802,210,266,23,1815,752,224,3296,1840,6794,307,13212,797,217,2470,877,820,104,5284,1298,381,5290,2213,2228,334,11751,469,91,1966,1313,1321,198,5358,662,185,1703,761,908,149,4369,677,216,1961,476,340,55,3720,2455,823,6285,1557,735,236,12088,407,159,1562,672,836,117,3764,5886,1396,14143,2693,1482,425,26031,598,210,1967,845,859,129,4608,1898,922,4007,1589,1185,182,9783,5678
209,1004,128,3231,197,62,586,427,511,55,1843,243,74,601,191,147,26,1284,601,184,1695,768,544,100,3895,93,36,358,270,404,57,1212,1485,524,3663,1103,809,127,7710,300,110,889,580,688,98,2660,1099,648,2660,1161,1091,163,6828,3449,2348,6587,2018,1744,220,16358,4112,2307,10148,4757,4766,708,26796,175,109,609,295,311,20,1516,294,116,741,860,1311,96,3424,340,97,949,484,551,434,2853,14100,7141,35678,17091,17734,2773,94517,117,40,257,193,272,36,916,62,11,110,30,110,6,335,1283,248,3349,1996,4349,320,11541,322,75,652,274,529,47,1893,727,186,2804,2566,12953,492,19725,521,131,1496,899,1469,120,4636,1159,313,4223,2678,3702,458,12533,560,94,1884,1722,2069,267,6600,1035,177,2350,1842,2635,323,8355,628,151,1504,559,494,72,3412,1407,424,3897,1529,950,193,8394,201,73,745,507,852,102,2484,3840,1008,8947,2336,1612,316,18058,592,169,1698,1086,1631,197,5371,2158,1061,4969,2640,2859,311,14002,5516
210,698,100,2138,166,75,619,547,686,81,2169,101,61,310,110,99,8,685,351,132,1224,653,473,86,2920,55,24,233,209,307,45,879,814,264,2309,694,567,79,4726,205,68,628,479,558,79,2023,575,400,1799,1028,943,103,4856,1997,1398,4517,1419,1385,170,10886,2075,1335,5941,3188,3133,456,16130,73,50,319,173,183,21,820,142,66,429,567,906,71,2178,222,61,625,398,455,392,2153,7869,4286,23007,12343,13234,2107,62844,49,24,179,124,181,36,598,21,5,63,19,78,11,198,796,143,2355,1497,3536,277,8594,187,31,476,238,420,41,1401,466,124,1955,1898,9480,338,14260,302,79,1051,591,1056,117,3189,771,184,2692,1866,2659,347,8514,438,85,1306,1252,1443,198,4719,946,199,2348,2313,3206,365,9383,369,106,874,340,337,41,2059,846,270,2622,1165,774,140,5817,137,40,489,368,641,76,1764,2131,530,5395,1477,1112,199,10845,428,119,1176,888,1250,162,4029,1237,632,3301,2189,2239,218,9815,3035
