SA4_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
201,10196,16335,11414,10425,9283,6974,4541,8379,1300,78847
202,10079,16968,10452,9777,8631,6435,4391,8630,1258,76625
203,19701,36238,22959,20819,17750,13697,9030,14689,2675,157566
204,13250,14298,13044,11155,9056,6876,6046,10412,1610,85750
205,17870,21254,19990,16378,14383,11133,8333,15515,2576,127425
206,62231,149768,27740,33922,42002,24960,7553,16482,6239,370901
207,32272,66923,14307,15930,23071,16303,4180,8916,3360,185265
208,41917,73704,19651,20134,28401,18682,5259,9887,3766,221398
209,33801,65775,36124,29996,35885,22251,15756,21290,5034,265919
210,22279,39724,27517,21781,26461,16070,15287,17563,4250,190944
211,36211,64073,39144,28365,35880,22704,12185,20698,4581,263832
212,44540,82290,58218,44656,51591,34793,34732,44969,9162,404944
213,44535,85876,49022,43835,53596,32709,40182,38283,9428,397466
214,20040,28198,24292,17583,17683,13584,7150,13148,2642,144321
215,12597,10259,8726,8282,6776,5679,4750,10282,1537,68899
216,9437,9414,8512,7155,6226,5278,4191,8934,1200,60348
217,10973,9526,8086,7153,5622,5056,4191,8885,1148,60640
297,0,4,0,0,0,0,0,4,0,15
299,174,334,250,227,143,129,177,308,49,1797
