SA4_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
201,3,0,0,8,0,0,0,9,0,255,7,289,3,4,0,0,0,3,0,20,0,109,0,143,0,3,0,0,0,6,0,18,0,72,0,97,0,0,0,0,0,0,0,20,4,66,0,95,5,18,0,8,0,7,0,41,8,403,9,504,0,24,3,4,0,15,3,81,20,260,3,416,20,34,13,20,0,45,6,175,27,2132,37,2506,24,72,8,32,8,123,13,222,31,1109,9,1651,58,123,12,97,9,184,21,267,55,901,8,1738,116,177,21,299,25,223,33,213,49,842,24,2013,102,77,7,299,19,197,27,119,22,239,4,1121,258,122,22,304,35,164,25,98,33,242,0,1307,772,171,22,646,73,285,41,113,14,219,8,2370,629,97,18,440,50,96,21,45,17,85,4,1508,477,37,12,262,41,101,9,14,12,57,0,1026,329,20,10,103,24,34,7,16,0,26,4,565,550,57,22,264,42,131,12,40
202,8,0,3,6,0,10,0,3,5,239,7,274,0,10,0,0,0,0,0,7,0,133,0,156,0,4,0,0,0,7,0,6,4,73,0,99,0,0,0,0,0,0,0,17,0,45,0,56,4,8,3,4,0,14,5,43,5,388,6,480,0,7,0,3,0,12,4,98,15,216,0,362,11,46,4,22,0,56,8,161,24,1950,39,2312,22,67,5,29,6,113,10,233,36,1057,14,1586,41,113,10,102,13,203,18,217,39,997,18,1771,109,173,17,244,37,192,31,217,46,852,14,1937,94,100,5,249,34,162,21,135,23,222,6,1050,194,104,13,289,33,126,27,102,17,260,6,1174,694,152,21,616,69,323,39,131,37,297,7,2374,620,83,8,437,49,90,29,60,10,145,5,1536,476,60,18,271,36,72,16,25,9,71,0,1057,330,27,13,143,12,25,10,9,0,20,0,587,539,51,14,226,42,125,20,54
203,8,6,0,6,0,7,0,4,6,571,11,611,0,9,0,0,0,0,0,16,5,239,10,288,0,0,0,4,0,4,0,38,9,126,0,194,4,0,0,0,0,5,0,32,5,107,0,157,3,17,0,6,0,13,4,90,9,719,17,884,10,26,9,6,3,32,5,135,21,421,0,659,3,57,6,23,4,63,11,307,34,3202,51,3768,19,109,13,41,4,139,14,374,74,1955,15,2761,29,218,8,119,11,301,20,407,66,1954,24,3152,107,288,15,398,45,365,48,372,63,1744,14,3458,122,172,11,445,56,292,29,214,36,488,10,1874,274,172,29,514,52,255,36,184,33,563,5,2116,1262,303,37,1165,123,523,67,232,68,584,12,4367,1345,180,27,869,129,175,51,133,26,286,4,3233,1057,90,19,584,80,174,32,73,15,179,5,2293,768,56,18,281,51,62,8,44,11,73,0,1371,1399,128,22,592,113,353,28,132
204,16,0,0,4,7,3,0,9,6,302,12,362,9,6,5,4,0,3,0,12,0,142,11,183,0,4,0,6,0,7,0,21,0,73,0,118,3,0,0,0,0,0,0,22,0,77,0,112,19,24,6,15,0,19,7,62,16,497,11,669,10,14,3,9,0,20,6,103,11,248,4,430,26,48,10,41,6,65,15,200,38,2337,60,2849,55,79,10,59,6,127,16,295,35,1248,11,1942,81,172,12,132,15,251,29,291,43,1098,14,2132,173,262,27,355,25,222,59,228,46,919,17,2340,122,118,13,320,34,197,35,121,37,277,0,1279,295,131,21,371,43,176,31,103,17,304,7,1502,983,193,38,788,103,322,69,151,52,287,9,2996,739,98,36,492,71,119,40,54,12,127,4,1788,525,43,15,302,49,89,10,30,4,85,3,1168,322,30,12,126,23,33,9,15,3,26,0,598,544,74,9,265,40,112,19,39
205,28,16,8,7,0,10,0,17,0,666,23,768,8,12,7,5,3,7,4,27,8,298,5,383,7,3,0,0,4,10,3,65,13,170,0,273,0,0,0,0,0,7,0,42,5,156,3,226,28,26,7,17,0,13,5,123,19,968,24,1234,3,26,5,11,0,36,8,180,23,580,6,874,38,105,13,36,0,114,8,401,61,4481,80,5339,69,148,18,108,15,186,33,545,80,2437,39,3675,106,260,36,194,18,354,48,487,86,2120,31,3724,205,354,37,505,40,373,56,441,77,1746,30,3859,158,151,17,485,43,298,42,190,40,457,6,1892,401,186,37,559,61,305,37,156,32,519,11,2312,1216,269,61,1044,119,518,64,193,85,505,14,4104,933,132,37,709,91,173,61,111,29,199,10,2473,681,75,23,455,74,143,24,54,14,141,10,1693,427,32,16,191,23,40,17,17,3,50,0,823,791,93,31,444,56,224,31,79
206,15,4,5,8,0,24,0,20,15,1010,7,1105,4,5,4,3,0,9,4,45,7,263,4,345,6,10,0,0,0,9,0,70,8,173,0,274,0,4,0,7,0,4,0,85,16,124,0,237,4,28,8,3,0,14,11,117,19,696,13,906,4,39,3,12,4,34,18,224,32,347,3,724,19,135,3,25,0,107,24,322,56,2118,39,2841,23,278,13,64,0,235,44,431,62,1027,11,2192,68,598,27,195,27,435,89,487,67,1061,17,3086,202,810,27,674,72,602,103,568,71,1104,16,4240,163,425,31,754,90,633,71,314,54,489,8,3035,500,477,34,993,112,633,98,283,38,598,6,3769,2753,774,91,2362,309,1367,140,502,76,887,13,9268,4012,386,54,2063,245,561,89,305,44,548,20,8318,4084,259,40,1501,202,611,57,187,36,345,9,7331,3949,117,29,854,161,243,24,107,15,180,9,5696,11363,469,116,2621,441,1689,113,526
207,8,3,0,5,0,12,0,11,7,1276,8,1331,5,5,0,0,0,3,0,30,9,400,3,464,0,7,0,0,0,4,5,54,4,211,0,285,0,0,0,0,0,5,0,54,4,120,3,191,9,19,0,0,0,7,0,88,11,782,6,925,6,31,0,5,0,28,5,146,19,433,4,678,11,70,4,18,3,52,18,223,35,2303,26,2759,13,131,3,40,5,141,17,265,39,1391,15,2066,40,231,17,91,14,223,29,319,52,1409,18,2434,82,291,17,274,24,285,26,327,41,1498,14,2883,92,147,5,283,39,274,32,212,23,577,0,1679,193,168,12,368,38,249,30,214,25,779,8,2087,915,264,15,849,85,561,52,347,41,1020,18,4159,1134,190,29,645,80,273,28,182,21,592,11,3192,1052,126,19,498,61,278,18,139,25,410,9,2636,923,72,10,298,34,101,16,96,3,189,0,1754,2653,270,27,1008,129,776,35,340
208,13,5,3,0,3,14,0,13,3,768,12,833,0,4,4,4,0,3,0,20,8,278,10,327,0,7,0,0,0,4,3,46,9,171,0,244,0,0,0,0,0,0,0,42,8,91,0,143,0,18,4,0,0,5,0,84,16,643,4,779,3,21,3,7,0,19,10,128,18,366,0,569,15,57,6,20,0,63,7,211,40,2213,27,2665,20,109,7,27,7,121,10,311,46,1334,8,2000,32,198,6,99,8,264,22,363,54,1530,3,2584,93,303,9,331,41,349,42,393,40,1462,22,3092,99,157,8,330,35,316,38,281,27,590,4,1886,212,155,18,446,47,333,36,251,29,701,3,2229,1254,350,37,1098,118,663,52,388,54,948,20,4983,1736,213,17,984,110,326,50,228,34,523,9,4231,1645,140,27,713,98,300,31,160,16,371,9,3514,1471,83,14,410,75,116,14,90,8,193,3,2484,4093,289,45,1298,175,918,55,379
209,16,4,4,7,3,8,0,15,11,1289,30,1381,0,9,0,0,0,6,0,26,4,404,11,468,0,0,0,0,0,5,0,66,8,212,6,305,0,0,0,0,0,5,0,51,6,187,4,256,9,18,3,4,0,15,3,99,25,1061,27,1265,3,28,0,10,0,53,3,177,30,515,16,829,13,65,7,21,7,125,21,364,48,4285,67,5024,17,129,14,59,6,283,30,437,34,2044,17,3078,40,249,20,151,15,539,49,482,74,1787,28,3427,136,353,37,476,62,606,78,469,83,1651,21,3973,175,193,11,581,52,524,60,284,55,522,15,2459,408,230,20,660,85,452,41,183,34,533,12,2652,1973,376,53,1680,203,844,95,319,72,601,20,6231,2322,207,32,1212,183,332,45,172,38,290,9,4834,1887,124,21,751,113,278,33,95,15,158,8,3482,1503,60,21,408,83,94,11,32,7,69,0,2288,2546,124,47,719,144,445,28,112
210,4,4,0,3,0,11,0,7,5,1024,11,1077,0,3,4,0,0,3,0,22,0,266,0,309,0,5,0,0,0,3,0,36,6,149,4,198,0,0,0,0,0,6,0,40,6,124,6,179,8,13,0,3,0,13,0,73,13,772,12,895,3,17,0,6,0,33,3,147,15,419,13,652,10,50,3,4,3,93,10,255,41,3372,49,3894,15,92,6,41,3,203,15,320,48,1584,19,2353,29,158,16,113,16,417,25,319,63,1217,14,2386,107,252,17,364,34,470,41,284,61,1076,15,2729,153,128,17,390,33,402,26,173,29,340,9,1694,334,153,20,475,67,360,20,122,32,304,8,1905,1530,213,43,1073,139,637,69,187,39,347,9,4272,1660,129,25,794,140,229,41,82,22,156,11,3296,1381,65,22,470,95,208,20,39,17,83,13,2413,1064,23,10,255,65,62,8,9,0,30,5,1542,1698,70,30,391,101,263,22,62
