SA4_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
201,76,41,609,217,39,512,89,762,40,2392,203,227,1220,361,125,408,233,660,66,3506,860,1374,2387,658,430,463,754,989,152,8079,1433,1645,1868,481,434,331,758,816,122,7883,1726,1457,1701,592,475,413,966,854,175,8355,1331,1135,1416,443,400,353,1012,897,142,7119,553,438,306,109,128,136,290,256,49,2270,199,54,25,7,15,17,11,26,16,372,22,0,0,0,0,0,0,0,3,38,6398,6373,9519,2876,2055,2637,4117,5266,779,40026,36,36,74,576,115,1182,23,376,41,2463,152,438,207,1085,490,670,42,298,44,3424,599,2458,491,1588,1260,674,78,452,83,7677,866,2659,421,1325,1570,521,41,465,94,7967,1032,2279,391,1478,1855,589,108,661,104,8501,780,1664,254,1254,1561,577,95,664,81,6927,269,404,57,231,348,116,31,181,39,1676,54,30,7,11,20,11,5,14,19,166,4,0,0,0,4,0,0,0,4,17,3798,9958,1894,7544,7222,4339,425,3108,523,38819
202,44,22,503,173,37,486,118,819,48,2242,150,244,1026,331,144,313,264,692,68,3236,750,1374,2153,577,333,389,692,1097,133,7509,1439,1620,1750,498,389,331,682,880,130,7720,1646,1551,1574,584,479,355,882,802,149,8029,1375,1114,1320,492,409,315,987,817,134,6957,597,493,308,132,134,133,282,270,49,2397,167,60,32,8,18,21,24,34,25,389,26,4,0,0,0,4,0,0,7,41,6201,6489,8669,2798,1950,2345,3924,5408,743,38526,34,14,94,535,116,1166,21,387,37,2405,132,465,226,936,417,583,46,318,42,3165,542,2571,443,1431,1069,578,79,572,94,7375,938,2778,365,1230,1389,486,81,493,98,7864,1100,2433,350,1333,1701,588,108,587,107,8316,749,1722,242,1269,1548,561,114,693,91,6983,301,466,50,235,414,119,17,143,33,1788,73,22,4,6,29,11,0,20,14,186,3,0,0,0,0,0,0,0,3,17,3877,10479,1782,6976,6686,4096,465,3227,515,38101
203,51,41,932,448,71,1006,175,1485,63,4275,325,624,2269,800,343,892,619,1282,149,7309,1756,3561,5225,1456,876,946,1641,2029,314,17804,3231,3820,4122,1171,898,753,1382,1503,325,17197,3300,3083,3444,1101,862,667,1710,1457,329,15959,2290,2303,2442,810,729,609,1755,1284,257,12476,809,969,589,189,264,238,487,422,99,4075,196,120,56,19,25,35,33,56,35,578,20,11,4,0,5,0,0,6,4,47,11977,14538,19087,5999,4072,5140,7802,9524,1581,79722,67,47,156,1233,180,2271,81,613,57,4689,321,993,471,2343,836,1440,198,552,91,7238,1499,6329,1070,3228,2457,1242,238,764,223,17065,2107,6045,886,2549,3092,1061,216,809,259,17023,2052,4525,727,2781,3430,1238,240,1044,237,16262,1277,2990,460,2257,2872,1071,226,1054,133,12339,344,732,89,405,753,234,35,306,55,2955,64,47,4,16,49,10,3,38,21,251,6,0,0,0,3,0,0,0,11,27,7723,21704,3870,14817,13671,8559,1231,5172,1089,77847
204,61,24,736,271,46,535,115,937,64,2786,180,121,1359,366,79,241,323,661,75,3397,933,945,2562,652,235,346,864,1182,155,7877,1528,1171,2096,540,312,319,939,959,163,8025,1947,1145,1914,588,393,395,1242,1054,196,8873,1918,1002,1656,515,443,385,1407,1127,176,8620,1194,473,464,164,154,151,463,404,71,3539,442,64,40,16,23,21,33,59,33,729,43,4,0,0,0,6,4,4,8,84,8253,4939,10824,3109,1686,2392,5388,6389,939,43930,45,22,91,727,141,1103,25,448,68,2673,143,342,255,970,371,469,82,326,53,3023,626,2165,498,1596,1134,615,114,561,105,7415,1033,2387,454,1460,1392,559,105,583,122,8104,1261,2163,472,1548,1995,783,151,830,119,9326,1101,1752,353,1400,1824,750,152,984,97,8411,609,472,88,321,459,192,24,254,60,2496,166,31,3,14,49,12,0,32,29,345,12,4,0,0,7,0,0,0,11,34,4999,9354,2221,8044,7366,4485,659,4022,671,41823
205,82,33,1040,310,46,907,132,1173,89,3811,344,308,1906,424,199,453,356,972,93,5060,1352,1615,3954,800,458,651,1230,1949,287,12301,2150,1708,3310,711,462,509,1393,1637,263,12141,2561,1566,3093,725,546,598,1794,1693,275,12855,2580,1556,2754,709,588,582,2038,1653,296,12754,1453,694,711,188,233,262,596,543,119,4799,442,115,58,27,39,40,54,75,67,911,75,0,3,0,0,0,3,12,20,106,11030,7601,16832,3893,2584,3997,7596,9718,1497,64738,72,48,194,982,197,1745,37,570,101,3944,234,631,354,1430,714,832,61,474,75,4803,989,3473,759,2476,2003,1033,138,809,183,11870,1335,3289,648,2230,2392,922,117,927,199,12057,1760,2935,574,2677,2865,1206,168,1261,178,13620,1491,2575,544,2184,2813,1126,172,1354,186,12446,746,665,92,486,735,246,42,363,91,3466,196,38,4,27,63,15,4,36,42,431,17,3,0,0,4,0,0,3,17,43,6837,13658,3157,12485,11799,7139,734,5799,1077,62688
206,61,202,310,778,204,868,167,1123,50,3770,822,3809,2390,2844,1721,2231,838,2049,342,17052,8368,28643,8516,4768,5351,3683,2163,3628,1186,66309,10404,18132,4271,1829,3091,1793,1091,1497,759,42879,7850,10392,2752,1234,2036,1268,971,1105,517,28120,4792,6789,1869,872,1399,827,885,985,321,18732,1398,2834,500,189,425,319,225,326,142,6368,284,524,68,15,55,67,26,58,66,1170,30,32,0,0,4,0,0,3,12,84,34015,71368,20680,12533,14290,11067,6367,10770,3393,184483,62,234,86,1555,375,2028,28,579,63,5020,1009,5226,882,5337,3254,3556,216,1022,324,20814,8451,33739,3172,7668,8899,4024,437,2095,1008,69497,8426,18695,1404,2764,5485,1619,189,702,652,39943,6261,11200,872,2125,4863,1346,157,584,417,27824,3168,7003,508,1527,3621,1002,114,521,243,17704,751,2076,119,381,1105,289,34,170,104,5032,85,214,10,25,105,39,3,30,34,543,3,13,0,0,4,5,0,0,9,31,28213,78399,7061,21390,27714,13896,1184,5717,2842,186423
207,57,192,305,755,225,1000,168,1037,33,3768,512,1914,1426,1297,987,1561,497,1195,195,9587,2480,7659,2900,1210,1680,1378,790,1151,487,19730,4858,7830,2113,625,1288,1014,587,637,415,19379,6118,6879,2078,628,1246,1055,639,757,355,19753,4140,5342,1798,543,955,818,667,769,237,15272,1234,2162,503,193,395,288,226,327,111,5437,244,431,79,32,66,74,35,59,33,1047,21,30,4,5,8,4,0,7,11,82,19656,32441,11200,5288,6846,7201,3614,5942,1873,94056,49,219,85,1243,346,2017,23,464,48,4486,422,2343,317,2132,1562,2179,76,411,132,9575,2099,9201,788,1999,2842,1357,118,496,337,19247,3589,8553,648,1486,2964,1064,85,336,367,19090,3949,7404,680,1829,4034,1279,124,493,311,20103,1980,5096,466,1538,3218,916,114,557,182,14068,455,1475,108,376,1095,254,30,173,62,4035,69,176,11,41,138,40,5,41,30,552,8,8,0,0,13,5,0,3,15,50,12618,34480,3106,10642,16225,9108,571,2974,1485,91205
208,60,160,516,962,220,1177,209,1264,61,4641,409,1543,1778,1332,851,1464,495,1014,163,9055,2987,7455,4026,1473,1656,1392,893,1297,411,21591,6834,8759,3213,896,1577,1344,669,809,499,24584,8257,7897,3055,953,1632,1359,873,960,453,25438,5224,5451,2466,727,1186,1016,946,916,291,18224,1470,2323,766,218,479,450,359,407,120,6585,247,415,106,30,83,84,37,81,46,1141,29,32,11,3,12,6,5,13,7,118,25524,34030,15945,6585,7691,8294,4483,6762,2055,111364,57,171,103,1638,375,2433,40,601,61,5478,443,1970,378,2313,1600,2039,90,383,116,9333,2704,10214,920,2440,3321,1479,173,515,370,22138,4918,10567,793,2046,3933,1216,121,362,434,24399,5238,9373,795,2542,5407,1598,168,498,398,26030,2429,5618,529,2001,4441,1175,141,526,205,17070,552,1605,172,520,1456,371,41,208,73,5006,52,143,13,46,161,62,7,30,27,545,4,13,0,0,13,0,0,0,14,49,16396,39677,3703,13553,20709,10380,777,3126,1712,110029
209,82,98,1233,572,150,1290,244,1748,97,5521,490,1196,3622,1248,800,1624,1052,1907,305,12248,3220,7466,8195,2308,2331,1800,2938,3171,745,32166,6294,8986,6876,1883,2491,1441,3157,2398,772,34310,5968,5797,5634,1489,1966,1299,3073,2382,514,28125,3673,3614,3884,1057,1430,928,2662,2032,383,19652,932,1227,957,260,418,295,730,635,100,5547,149,151,82,16,41,45,53,96,31,658,17,15,5,4,0,0,3,8,6,58,20817,28545,30482,8834,9625,8731,13917,14373,2963,138284,88,160,174,1323,363,3255,44,636,99,6133,500,1953,617,2956,1856,2644,201,742,201,11675,2841,11375,1549,4976,5095,2133,379,1222,541,30120,4056,11240,1413,4501,6004,1706,352,1125,531,30935,3457,7404,1111,4035,6583,1937,422,1454,386,26794,1658,4119,647,2807,5055,1479,363,1346,215,17693,336,923,117,540,1200,347,64,357,51,3943,47,53,13,34,93,20,4,37,28,327,0,6,0,0,5,0,0,0,4,17,12987,37229,5638,21165,26260,13519,1841,6923,2069,127634
210,69,54,988,381,124,936,216,1411,98,4283,388,806,2921,795,664,1027,1045,1733,268,9642,2563,4958,6772,1789,1981,1288,3179,2868,713,26115,4337,5495,5277,1414,1854,1065,3262,2078,624,25409,3577,3097,4182,1041,1405,852,2782,1956,469,19359,2326,1978,2841,738,1137,660,2486,1511,275,13954,502,625,596,197,292,181,555,396,73,3423,112,88,55,13,21,29,33,57,17,418,6,5,3,0,0,3,0,0,9,25,13877,17109,23639,6379,7473,6046,13555,12019,2535,102630,63,107,107,790,263,2407,65,468,76,4344,369,1324,450,1998,1410,1949,230,635,204,8577,1981,7652,1083,3834,4085,1648,430,1104,477,22288,2645,6688,973,3425,4457,1299,306,904,408,21106,2089,4158,734,3061,4462,1381,390,1184,289,17742,1032,2216,466,1957,3501,1095,260,982,183,11698,203,458,73,327,752,222,47,238,52,2369,23,20,5,16,57,19,5,27,16,184,0,0,0,0,4,0,0,0,3,9,8401,22620,3883,15403,18993,10028,1737,5549,1712,88314
