SA4_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
201,116,70,682,793,155,1690,112,1140,87,4851,352,667,1421,1448,616,1082,273,958,114,6932,1465,3834,2868,2249,1688,1145,835,1439,240,15757,2301,4302,2289,1804,2007,847,796,1274,216,15854,2756,3732,2087,2070,2335,1002,1081,1517,277,16860,2115,2797,1672,1697,1962,928,1102,1563,220,14049,825,845,355,340,476,250,324,440,90,3944,247,79,32,21,35,30,15,43,37,535,24,3,3,6,3,0,0,3,9,54,10196,16335,11414,10425,9283,6974,4541,8379,1300,78847
202,81,37,597,707,156,1645,139,1201,81,4650,279,715,1252,1270,562,902,314,1011,108,6405,1293,3949,2599,2010,1406,968,768,1668,226,14881,2386,4396,2117,1730,1783,812,761,1379,227,15590,2751,3983,1924,1921,2180,941,990,1389,259,16342,2126,2836,1561,1757,1958,868,1097,1517,224,13941,901,960,365,374,541,256,300,412,81,4184,242,81,33,16,43,30,24,53,40,574,34,9,0,0,0,6,0,0,13,61,10079,16968,10452,9777,8631,6435,4391,8630,1258,76625
203,120,90,1090,1679,257,3270,252,2094,122,8967,644,1614,2737,3143,1178,2333,821,1835,245,14548,3257,9894,6296,4684,3331,2188,1878,2794,543,34873,5333,9859,5011,3724,3990,1815,1599,2310,580,34220,5349,7607,4167,3886,4295,1904,1948,2496,573,32219,3564,5297,2904,3066,3597,1677,1974,2337,390,24817,1150,1697,682,599,1021,475,522,725,156,7028,262,168,63,40,75,43,36,95,51,830,28,12,3,0,8,4,0,4,17,77,19701,36238,22959,20819,17750,13697,9030,14689,2675,157566
204,107,48,824,1004,186,1637,143,1384,130,5451,326,468,1611,1338,443,711,405,985,130,6421,1561,3111,3061,2247,1371,962,980,1750,265,15296,2561,3560,2548,2003,1710,882,1042,1545,286,16128,3205,3311,2385,2136,2394,1176,1393,1884,319,18195,3024,2754,2007,1921,2261,1130,1555,2113,275,17035,1804,944,557,482,617,342,490,660,128,6035,611,99,48,32,77,35,35,88,63,1075,65,8,0,3,9,6,4,9,22,118,13250,14298,13044,11155,9056,6876,6046,10412,1610,85750
205,154,80,1228,1288,246,2652,168,1747,191,7756,581,946,2258,1847,916,1287,415,1450,166,9864,2344,5090,4714,3270,2465,1688,1368,2759,472,24169,3481,4999,3954,2952,2853,1429,1509,2561,467,24199,4324,4506,3664,3397,3413,1803,1963,2954,453,26476,4069,4130,3293,2894,3398,1707,2206,3011,485,25202,2203,1355,806,672,968,506,638,912,211,8267,634,152,64,50,108,57,57,117,101,1342,89,0,6,0,3,0,3,10,30,147,17870,21254,19990,16378,14383,11133,8333,15515,2576,127425
206,126,441,401,2336,577,2896,194,1708,111,8791,1829,9040,3279,8182,4979,5778,1056,3074,668,37869,16823,62390,11690,12436,14248,7704,2599,5721,2198,135809,18835,36832,5679,4595,8577,3417,1278,2204,1411,82822,14112,21594,3618,3361,6900,2613,1131,1687,932,55947,7961,13793,2377,2397,5018,1831,997,1510,563,36442,2152,4906,625,572,1534,612,263,496,245,11394,371,735,77,39,160,103,28,89,95,1712,33,45,4,0,9,7,0,0,22,124,62231,149768,27740,33922,42002,24960,7553,16482,6239,370901
207,109,405,382,1996,569,3024,189,1496,78,8250,924,4259,1743,3431,2550,3741,573,1608,329,19154,4574,16863,3687,3210,4530,2736,907,1648,821,38975,8447,16391,2764,2115,4254,2074,672,977,781,38472,10066,14284,2758,2458,5283,2335,764,1254,666,39861,6121,10436,2265,2079,4174,1736,773,1325,425,29344,1685,3641,608,566,1492,549,253,501,174,9469,318,608,88,73,203,112,36,100,55,1599,29,38,0,3,20,7,0,9,22,132,32272,66923,14307,15930,23071,16303,4180,8916,3360,185265
208,116,329,624,2602,596,3608,248,1862,126,10112,853,3513,2157,3644,2449,3508,585,1400,280,18383,5690,17668,4946,3913,4985,2869,1067,1810,781,43725,11751,19319,4009,2940,5512,2556,793,1171,936,48986,13493,17271,3854,3496,7038,2956,1039,1456,853,51460,7657,11065,2994,2727,5626,2192,1091,1441,497,35292,2016,3927,940,735,1938,820,400,613,190,11591,302,564,122,80,241,154,39,109,75,1684,35,47,11,0,15,10,5,12,23,161,41917,73704,19651,20134,28401,18682,5259,9887,3766,221398
209,166,259,1410,1901,510,4547,287,2382,194,11654,989,3147,4243,4204,2661,4270,1254,2648,513,23926,6059,18831,9743,7288,7423,3935,3316,4393,1290,62287,10350,20231,8292,6384,8490,3150,3512,3524,1307,65247,9427,13197,6747,5518,8548,3240,3503,3832,901,54916,5332,7731,4530,3859,6486,2403,3022,3379,597,37339,1276,2153,1068,796,1619,639,795,987,155,9490,192,200,89,47,131,65,58,133,60,983,15,17,5,4,6,3,3,10,14,76,33801,65775,36124,29996,35885,22251,15756,21290,5034,265919
210,128,166,1095,1172,384,3345,282,1885,174,8627,758,2132,3370,2793,2076,2976,1272,2366,469,18219,4538,12618,7851,5628,6064,2930,3611,3974,1193,48402,6985,12185,6243,4842,6310,2369,3568,2986,1027,46518,5662,7248,4911,4102,5866,2239,3170,3137,754,37096,3362,4189,3309,2692,4640,1758,2746,2497,462,25647,703,1087,672,526,1041,412,598,636,127,5795,127,106,62,29,75,45,35,85,31,600,9,5,3,0,4,3,0,0,12,34,22279,39724,27517,21781,26461,16070,15287,17563,4250,190944
211,201,271,1850,2499,506,4964,360,3156,198,14000,1045,3084,4678,3847,2434,4070,1060,2569,422,23217,5302,16161,9301,5595,6269,3308,1975,3315,989,52213,10222,18542,8019,5025,7666,3100,2124,3083,1026,58814,10485,13886,7796,5738,9025,3483,2864,3704,991,57973,6875,9056,5942,4539,7732,2847,2897,3559,658,44100,1790,2705,1423,1039,2061,817,849,1160,214,12056,276,356,132,77,179,94,55,150,50,1370,17,12,3,0,7,11,3,10,24,92,36211,64073,39144,28365,35880,22704,12185,20698,4581,263832
212,259,506,1886,2618,872,6788,664,4205,330,18141,1654,5560,6568,6131,4496,6867,2879,5564,988,40722,8762,25366,16152,10856,11889,6875,8177,10214,2574,100866,13642,24582,13751,10128,12383,5508,7931,8159,2185,98265,11396,15196,10896,8484,11283,4714,7285,8258,1630,79152,6846,8402,7209,5304,8333,3163,6331,6704,1026,53322,1657,2396,1599,1069,2126,773,1391,1652,280,12951,292,262,138,67,200,98,55,195,100,1401,35,10,13,0,9,8,9,8,36,125,44540,82290,58218,44656,51591,34793,34732,44969,9162,404944
