SAL_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
SAL20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20002,0,0,78,85,0,48,232,284,173,539,820,1528,263,254,368,888,146,86,185,417,136,57,116,303,115,26,76,222,52,8,33,89,11,0,4,16,904,1016,1915,3834,0,0,93,96,7,66,250,320,216,523,746,1483,250,188,298,733,155,65,155,376,119,33,149,302,94,17,113,228,42,3,75,118,5,0,43,50,883,901,1913,3694,0,5,172,178,8,117,479,603,392,1057,1565,3015,515,438,665,1620,306,157,337,795,253,91,256,601,203,48,193,447,93,10,104,211,12,0,50,67,1784,1914,3828,7531
SAL20003,0,0,149,149,0,0,152,153,29,33,99,161,132,31,46,209,240,19,43,297,221,13,50,288,110,6,36,154,45,4,19,66,21,0,8,31,801,106,599,1504,0,0,171,171,3,5,135,137,54,32,91,173,152,29,50,232,251,21,68,343,201,11,73,282,104,3,52,164,36,4,38,74,9,0,33,39,805,104,701,1616,0,0,320,320,6,4,283,296,79,65,185,334,285,60,97,438,489,38,109,641,423,27,120,574,214,11,91,318,76,4,50,131,28,0,40,68,1607,211,1303,3124
SAL20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7
SAL20005,0,0,0,0,0,0,0,0,0,4,0,8,3,5,0,3,6,3,0,9,5,0,0,9,8,0,3,11,8,0,3,10,0,0,0,0,31,13,15,58,0,0,5,5,0,0,0,0,0,4,0,0,5,0,0,4,3,3,0,10,3,0,3,10,11,3,4,17,3,0,0,6,0,0,4,4,30,10,25,59,0,0,5,5,0,0,0,0,0,6,0,7,7,3,0,8,9,10,3,22,11,0,3,17,17,7,4,31,15,0,3,19,0,0,4,4,61,19,38,121
SAL20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20007,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,4,12,0,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,13,7,7,26,0,0,0,0,0,0,3,3,0,3,0,0,3,4,0,5,5,0,0,8,0,0,0,3,0,0,3,5,0,0,0,0,0,0,0,0,10,7,8,27,0,0,0,0,0,0,3,3,0,3,0,5,3,6,0,10,8,5,4,18,0,0,8,8,0,0,3,6,0,4,0,0,0,0,0,0,20,14,20,60
SAL20008,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,8,3,0,0,3,0,0,0,0,18,0,7,20,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,3,4,0,0,4,0,0,0,3,0,0,0,0,15,0,10,19,0,0,0,0,0,0,0,0,5,0,0,6,4,0,3,0,5,0,3,4,4,0,0,10,8,0,4,7,6,0,0,9,0,0,0,0,29,0,15,45
SAL20009,0,0,4,4,0,0,0,0,0,0,4,4,4,0,4,7,4,0,0,6,3,4,4,6,5,0,0,6,3,0,0,3,0,0,0,0,18,3,16,39,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,6,3,4,0,5,8,0,0,5,3,0,4,3,0,0,0,5,0,0,0,0,19,0,10,34,0,0,5,5,0,0,0,0,0,0,4,0,11,0,4,10,5,3,0,13,9,5,7,13,6,0,4,12,0,0,0,7,0,0,3,3,36,8,24,68
SAL20010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,7,5,0,0,4,9,0,0,0,0,0,0,3,3,11,0,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,10,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,6,4,0,5,10,6,0,7,17,0,0,0,0,0,0,3,3,20,0,17,46
SAL20011,0,0,156,159,0,18,165,188,420,115,215,749,846,45,71,961,236,25,34,294,104,6,12,121,71,0,14,86,7,0,9,17,0,0,5,6,1689,216,672,2578,0,3,136,142,17,22,152,186,641,121,154,918,733,50,89,867,174,17,61,248,85,5,63,154,45,0,44,92,4,0,20,24,0,0,6,6,1690,213,723,2635,0,3,293,295,15,43,318,371,1059,239,368,1669,1573,96,152,1827,414,41,97,547,184,12,78,271,118,0,58,175,8,0,25,37,0,0,10,12,3380,437,1396,5209
SAL20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,0,0,25,25,0,0,12,12,4,8,14,24,17,3,4,28,20,9,24,52,48,18,17,85,59,6,14,81,25,3,0,31,4,0,6,5,178,49,116,335,0,0,20,20,0,0,4,5,4,8,17,27,14,11,3,31,23,18,21,63,66,25,19,108,49,8,18,84,17,0,15,29,0,0,13,10,174,64,139,375,0,0,39,39,0,6,16,16,6,17,30,51,30,14,10,53,44,24,44,111,118,41,39,195,106,16,35,161,43,4,18,62,4,0,17,22,356,114,245,713
SAL20014,0,0,9,9,0,0,0,0,0,0,0,0,3,0,0,8,8,0,3,10,7,3,6,16,8,0,0,14,0,0,0,0,0,0,0,0,31,4,18,55,0,0,7,7,0,0,0,0,4,0,0,5,6,0,4,12,5,0,0,8,12,5,0,16,5,0,0,10,0,0,0,0,0,0,0,0,32,7,14,59,0,0,11,11,0,0,0,0,4,0,3,3,10,0,3,16,11,0,4,19,19,7,5,27,19,0,0,26,0,0,0,0,0,0,0,0,66,15,35,110
SAL20015,0,0,183,185,0,16,198,210,158,176,244,579,359,95,158,611,257,62,184,500,199,29,174,402,203,13,111,320,168,0,42,218,79,0,36,114,1427,392,1331,3150,0,0,153,154,4,24,136,160,219,180,240,639,353,93,174,619,258,44,201,496,208,31,223,460,213,11,194,421,147,0,165,312,27,0,105,131,1432,382,1588,3404,0,3,338,340,3,39,328,374,382,358,488,1222,716,192,326,1238,513,103,384,1000,410,63,395,866,421,17,307,738,323,0,204,525,102,0,149,246,2861,771,2921,6552
