SAL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SAL20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20002,52,43,95,94,93,188,14,16,27,12,21,33,120,132,251,59,68,131,17,15,32,19,19,42,97,101,197,11,14,31,44,45,89,10,11,21,73,60,132,0,0,0,132,131,267,100,139,241,111,152,261,29,33,62,106,157,263,0,0,0,345,480,827,483,618,1096,14,18,37,36,45,79,0,0,0,53,67,114,272,233,506,1080,1188,2263
SAL20003,40,38,76,58,51,106,85,70,152,32,26,53,172,144,314,65,65,130,69,75,143,40,56,96,174,191,369,0,3,6,3,5,12,7,3,12,6,5,17,0,0,0,23,19,51,90,113,199,11,20,31,16,17,34,14,21,37,0,0,5,133,171,302,156,191,350,6,3,12,13,14,27,0,0,0,21,22,37,57,55,111,613,639,1258
SAL20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20005,0,0,0,5,5,8,0,0,0,0,0,0,5,5,8,0,6,6,0,0,0,3,0,3,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,15,10,24
SAL20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20007,0,0,0,4,4,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,0,6,0,0,0,0,0,0,6,0,6,3,11,20,14,17,32
SAL20008,0,0,0,4,3,6,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,5,6,18
SAL20009,0,0,0,0,0,7,5,3,6,0,0,0,7,5,10,0,0,0,0,0,3,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,23
SAL20010,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,10,11
SAL20011,162,163,323,327,314,643,80,66,145,136,157,296,541,541,1080,134,134,266,34,48,83,49,43,96,217,222,446,32,16,49,21,30,48,8,8,19,31,65,98,0,0,0,100,120,215,72,72,140,22,54,79,12,13,29,21,47,70,0,0,0,126,189,316,221,314,537,38,42,83,34,48,85,0,0,0,75,95,168,167,164,334,1387,1501,2887
SAL20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,3,5,13,25,21,43,0,0,0,3,0,0,26,19,47,13,10,20,9,3,15,11,9,24,31,28,58,0,0,0,0,0,0,3,0,3,5,4,9,0,0,0,7,9,16,4,4,11,0,3,3,0,0,0,0,6,5,0,0,0,13,10,20,22,20,35,0,0,0,0,0,4,0,0,0,0,0,4,42,45,88,130,119,242
SAL20014,3,0,5,3,6,7,0,3,8,0,0,3,10,7,13,3,6,6,5,4,10,0,0,3,12,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,11,24,19,45
SAL20015,105,110,217,108,102,207,161,148,316,22,13,42,290,272,565,122,86,207,73,80,154,22,31,61,215,197,412,12,9,20,14,15,32,30,6,36,26,35,58,0,0,0,83,63,147,68,76,146,18,39,53,11,11,24,25,63,94,0,0,0,119,195,315,206,257,464,10,8,15,20,27,52,0,0,0,31,33,67,128,115,238,976,981,1956
SAL20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20017,49,43,86,171,149,321,58,40,90,5,5,14,227,200,426,123,131,252,36,37,72,19,16,40,182,185,369,21,14,33,25,20,43,11,6,12,20,31,48,0,0,0,68,72,142,60,89,144,12,14,28,4,4,8,14,11,24,0,0,0,90,121,211,157,189,347,28,15,36,28,25,53,0,0,0,55,41,90,194,189,382,863,838,1704
SAL20018,65,80,146,177,167,351,18,17,34,17,25,47,215,213,433,108,107,215,9,9,26,65,91,155,184,207,394,4,5,10,8,9,14,7,3,10,11,20,32,0,0,0,34,29,66,66,94,165,9,21,32,10,11,21,36,65,102,0,0,0,126,199,323,162,231,388,3,3,12,6,28,34,0,0,0,11,31,43,115,126,238,755,883,1639
SAL20019,3,0,9,9,8,23,0,0,4,0,0,0,10,14,22,5,9,13,0,0,0,0,0,0,5,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,9,7,20,37,34,72
SAL20020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,15,18
SAL20021,40,33,78,79,66,147,59,38,99,0,0,3,136,110,251,55,33,90,28,32,54,0,7,11,78,77,158,20,17,37,29,28,58,13,4,20,17,24,40,5,0,5,79,81,162,40,57,96,50,30,81,7,4,15,16,17,41,0,0,0,121,117,231,205,197,404,35,19,54,20,13,30,0,0,0,56,35,86,191,131,320,714,577,1291
SAL20022,27,26,45,51,57,108,39,47,91,0,0,0,89,104,202,78,68,145,7,0,0,7,3,9,88,69,159,3,0,4,7,4,5,10,7,18,4,20,25,0,0,0,18,37,57,0,7,7,0,8,9,4,0,7,6,10,18,0,0,0,16,30,46,33,66,104,0,0,0,7,6,16,0,0,0,7,6,16,83,83,160,325,358,683
SAL20023,170,145,318,354,327,682,204,202,408,83,94,179,644,625,1267,282,298,578,170,133,310,92,95,190,549,522,1074,22,20,42,10,13,25,56,19,78,44,67,113,0,0,0,131,122,256,122,181,307,35,61,92,12,23,45,50,94,148,0,0,0,225,366,589,356,490,843,11,17,24,21,43,67,0,3,6,38,55,98,202,187,391,1957,2024,3986
SAL20024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20025,4,0,4,4,4,10,0,0,0,0,0,0,4,10,16,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,16,23,18,37
SAL20026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5
SAL20027,0,0,3,15,11,27,6,3,4,0,0,0,17,14,36,5,3,3,15,7,19,0,0,0,14,12,26,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,5,5,0,0,0,0,0,0,0,0,0,0,4,4,0,8,8,0,0,0,0,0,0,0,0,0,0,0,8,25,17,34,61,51,109
