SAL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
SAL20002,51,61,245,147,73,60,45,16,10,709,733,859,3279,1784,888,692,508,249,97,9088
SAL20003,42,56,23,24,37,30,15,10,7,252,638,642,361,461,657,595,340,142,81,3925
SAL20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SAL20005,0,0,3,0,0,0,3,0,0,3,10,9,11,8,21,21,31,20,5,146
SAL20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20007,6,0,0,6,4,0,0,0,0,20,23,8,5,14,18,8,6,0,0,83
SAL20008,0,0,0,0,3,0,5,0,0,12,14,6,10,0,4,10,15,7,0,65
SAL20009,0,0,0,0,0,0,0,0,0,0,18,6,0,10,13,13,12,5,3,85
SAL20010,0,0,0,0,3,3,0,4,0,8,0,4,3,3,13,8,19,7,3,61
SAL20011,141,57,94,84,47,16,14,7,0,461,2528,719,1737,1894,583,291,184,42,12,7982
SAL20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,10,9,11,16,24,21,24,0,6,115,104,70,59,74,135,223,209,68,28,979
SAL20014,0,0,6,0,0,0,0,0,0,14,31,15,14,16,23,31,23,4,0,160
SAL20015,74,47,66,71,57,51,37,47,21,470,1349,742,1281,1273,1028,892,770,562,265,8173
SAL20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20017,109,59,76,74,51,51,29,15,6,482,1054,699,847,768,667,663,655,246,51,5641
SAL20018,60,24,39,50,54,71,42,26,13,377,990,531,560,815,984,854,700,476,123,6044
SAL20019,5,0,3,0,5,0,0,0,0,27,54,17,27,21,37,51,58,22,8,297
SAL20020,0,0,0,0,0,3,4,0,0,5,5,5,10,6,13,10,14,3,0,76
SAL20021,49,46,88,80,40,38,31,25,3,403,616,474,1000,725,446,419,367,210,80,4334
SAL20022,34,28,22,19,23,40,21,18,4,199,410,249,231,279,337,418,488,280,96,2801
SAL20023,195,107,101,84,114,75,54,29,22,792,2707,1690,1398,1657,1517,1182,994,533,144,11822
SAL20024,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,9,0,0,24
SAL20025,4,0,4,3,0,0,3,0,0,19,23,6,3,14,24,6,10,4,0,96
SAL20026,0,0,0,0,0,0,0,0,0,3,5,3,5,0,12,16,10,0,4,61
SAL20027,6,5,3,5,14,4,4,3,0,45,66,28,13,39,59,44,32,20,0,297
SAL20028,19,10,13,10,11,18,19,6,0,114,268,145,148,177,210,202,180,70,17,1410
SAL20029,6,0,3,0,6,0,3,0,0,11,29,15,10,23,45,33,23,4,5,185
SAL20030,0,7,0,0,0,5,6,0,0,21,27,16,8,23,27,21,33,8,0,168
SAL20031,4,3,0,6,8,9,4,0,0,31,28,19,11,20,43,31,29,12,4,195
SAL20032,0,0,0,0,0,0,0,0,0,0,5,3,3,4,3,6,0,0,6,31
SAL20033,0,0,0,0,0,4,5,0,0,9,9,7,8,6,3,9,10,3,0,66
SAL20034,47,44,69,39,58,51,17,6,0,339,870,683,922,813,833,775,494,218,97,5702
SAL20035,151,66,100,141,130,100,66,53,24,840,2006,915,1376,1919,1683,1357,1135,750,345,11490
SAL20036,256,152,209,188,186,180,127,71,65,1442,3029,1857,2588,2659,2459,2569,2003,919,402,18479
SAL20037,275,102,199,157,117,76,66,67,33,1098,2624,1153,2047,2077,1508,1035,962,999,561,12962
SAL20038,5,0,4,0,3,4,0,0,0,20,27,14,14,11,15,37,12,4,6,141
SAL20039,3,0,0,0,4,0,3,3,0,14,7,9,5,7,5,18,17,3,0,63
SAL20040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,4
SAL20041,0,0,0,0,0,3,5,3,0,18,18,24,10,24,26,44,51,20,4,223
SAL20042,15,13,14,11,10,13,4,0,0,76,146,74,71,85,110,121,90,26,11,734
SAL20043,5,0,0,3,0,3,0,0,0,8,18,5,4,11,14,24,25,9,0,99
SAL20044,0,0,0,0,0,0,0,0,0,0,5,6,0,4,6,4,5,3,0,26
SAL20045,0,0,0,0,6,4,4,3,0,10,0,0,0,0,5,5,11,0,0,31
SAL20046,48,11,17,27,32,43,46,14,10,250,460,229,254,333,361,543,613,306,102,3208
SAL20047,0,0,0,0,0,0,0,0,0,0,10,4,3,9,3,3,9,3,0,40
SAL20048,0,0,0,0,0,0,0,0,0,0,13,5,9,7,3,11,5,7,0,53
SAL20049,37,8,18,23,28,34,38,21,12,216,239,118,177,181,238,309,319,143,54,1790
SAL20050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,12
SAL20051,0,0,0,0,0,0,3,0,0,4,5,0,5,7,3,9,9,0,0,38
SAL20052,3,5,5,3,13,15,4,5,0,48,44,25,24,23,39,79,60,22,3,329
SAL20053,105,96,261,245,230,171,141,77,34,1365,1223,868,1177,946,1052,1175,1093,664,303,8500
SAL20054,0,4,0,0,8,0,4,0,0,11,6,15,3,8,18,17,17,4,0,92
SAL20055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20056,0,0,0,0,5,3,0,0,0,7,30,39,16,19,45,26,26,12,0,212
SAL20057,0,0,0,0,0,0,0,0,0,3,15,17,9,10,13,21,7,7,3,95
SAL20058,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,3,0,3,0,23
SAL20059,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,12
SAL20060,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,5,0,4,0,16
SAL20061,0,0,4,0,0,0,0,0,0,10,0,6,4,4,8,7,7,0,0,32
SAL20062,68,37,75,54,43,38,23,12,8,365,542,285,605,546,398,276,257,150,107,3170
SAL20063,13,7,8,3,11,8,4,6,0,62,74,62,54,55,70,90,54,29,0,497
SAL20064,0,3,0,0,0,0,0,0,0,3,0,5,0,0,6,3,0,3,0,18
SAL20065,11,3,4,8,9,7,12,8,0,49,42,15,19,22,30,46,53,40,8,272
SAL20066,67,79,87,75,87,47,47,53,25,570,1192,1004,1938,1388,1186,901,898,642,214,9368
SAL20067,0,0,0,0,3,3,3,0,0,8,6,9,4,10,13,25,10,4,0,90
SAL20068,177,96,120,99,67,37,18,12,0,621,2920,1342,2696,1972,933,637,471,186,102,11247
SAL20069,0,0,0,0,0,0,0,0,0,0,5,3,0,9,5,11,7,0,9,56
SAL20070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,19
SAL20071,5,3,0,10,4,8,3,3,0,39,65,62,32,36,63,93,76,41,6,478
SAL20072,0,0,6,0,3,6,0,0,0,17,74,38,19,58,67,67,55,31,13,414
SAL20073,6,0,0,3,0,3,0,0,0,11,15,15,0,10,12,17,6,8,3,93
SAL20074,47,29,20,31,15,17,17,9,0,197,630,263,362,368,261,297,245,121,20,2571
SAL20075,205,120,239,170,179,142,71,38,10,1179,2685,1603,2651,2506,2149,1704,1117,554,228,15197
SAL20076,0,5,0,0,6,4,6,4,0,23,46,23,12,30,42,44,29,6,0,242
SAL20077,73,35,49,50,66,45,35,24,10,385,1585,1014,712,1041,1245,1018,694,420,227,7952
SAL20078,84,46,75,44,40,59,40,26,12,436,1199,846,1041,1017,959,802,605,413,259,7154
SAL20079,93,45,38,59,69,62,43,29,0,427,1521,840,653,1069,1126,929,622,378,141,7285
SAL20080,45,46,26,30,51,39,23,25,14,303,1138,912,492,785,1049,939,566,385,155,6427
SAL20081,4,5,5,0,4,5,0,0,0,26,45,15,24,8,28,20,8,4,0,147
SAL20082,37,38,23,13,40,30,12,8,0,196,547,505,318,370,584,567,290,101,25,3309
SAL20083,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
SAL20084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
SAL20085,8,6,0,5,0,0,0,0,0,26,46,39,21,34,35,34,31,15,0,255
SAL20086,8,7,5,4,9,6,7,0,0,48,183,102,87,133,146,174,180,90,26,1112
SAL20087,32,9,9,18,13,15,24,13,5,141,217,114,122,118,172,169,265,127,49,1356
SAL20088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SAL20089,129,65,108,110,99,87,76,85,24,786,1977,1175,1376,1659,1510,1373,1424,1280,607,12388
SAL20090,0,0,0,0,0,0,0,0,0,5,3,7,3,0,3,8,6,7,0,42
SAL20091,16,14,4,7,12,7,4,0,0,68,162,103,81,129,114,133,81,31,7,844
SAL20092,3,9,0,3,8,4,5,3,0,34,90,72,23,53,77,67,48,22,3,452
SAL20093,19,8,13,14,12,16,10,0,0,103,236,75,138,112,123,128,118,41,7,984
SAL20094,4,0,0,0,0,0,0,3,0,11,10,8,6,6,6,4,3,4,0,39
SAL20095,130,61,84,70,70,61,70,48,10,613,1465,767,1192,962,881,832,940,593,181,7808
SAL20096,3,0,0,3,10,3,11,0,0,25,50,30,34,29,45,69,66,15,3,347
SAL20097,14,11,17,9,17,18,11,6,0,104,278,150,214,180,193,257,220,82,27,1610
SAL20098,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,10
SAL20099,9,7,6,5,6,3,0,0,0,31,75,31,45,40,54,61,37,8,3,355
SAL20100,0,0,0,5,0,0,0,0,0,7,4,0,4,7,11,8,5,8,5,39
SAL20101,0,0,0,0,0,0,0,4,0,3,11,3,3,6,4,9,5,9,0,56
SAL20102,0,0,0,0,0,6,0,0,4,11,19,6,5,16,19,32,19,3,3,120
SAL20103,128,80,89,66,86,99,91,91,95,819,1338,833,1002,817,872,1021,978,727,318,7905
SAL20104,0,0,5,6,4,0,3,0,0,19,24,26,44,20,26,19,16,9,0,180
SAL20105,53,64,131,81,60,40,40,23,3,490,694,564,1409,990,659,479,369,170,56,5392
SAL20106,0,0,0,0,0,0,0,0,0,6,21,19,12,6,21,14,6,5,0,114
SAL20107,3,0,7,0,0,0,0,0,0,7,15,0,9,10,4,4,5,3,3,59
SAL20108,40,14,32,30,27,34,33,12,8,227,627,300,390,446,424,499,379,221,88,3392
SAL20109,0,4,0,0,4,0,0,0,0,8,16,15,5,10,12,9,3,3,0,71
SAL20110,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,3,0,0,19
SAL20111,55,56,54,61,75,55,47,24,19,444,770,659,808,701,711,723,600,285,121,5378
SAL20112,94,60,58,63,58,47,53,25,27,481,880,623,888,695,629,703,715,468,329,5937
SAL20113,71,29,44,35,26,44,30,19,14,315,716,404,501,493,488,500,419,330,195,4041
SAL20114,4,3,0,4,0,3,3,0,0,20,12,14,3,11,16,22,30,11,0,120
SAL20115,14,3,0,15,13,7,6,0,0,45,48,23,22,43,42,38,35,8,0,254
SAL20116,4,6,3,8,8,5,9,3,0,47,41,25,10,29,25,19,37,7,6,199
SAL20117,0,0,0,0,0,0,0,0,0,0,19,3,6,13,10,9,10,0,3,77
SAL20118,7,0,3,3,6,4,3,0,0,21,24,6,13,13,22,20,15,17,0,135
SAL20119,3,0,0,0,4,0,0,5,0,21,40,28,10,23,46,51,42,26,3,281
SAL20120,48,23,18,22,30,19,17,8,4,197,471,201,157,309,324,342,319,187,57,2371
SAL20121,0,3,0,5,4,4,4,7,3,32,61,38,19,41,57,70,96,65,18,471
