SAL_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SAL20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20002,21,50,68,5,18,28,6,36,42,3,73,82,20,102,119,20,123,140,31,83,113,46,116,164,63,195,259,101,206,308,72,184,253,79,197,274,259,415,675,232,62,295,227,106,332,155,33,186,684,206,891,84,77,160,0,18,19,2108,2292,4398
SAL20003,13,10,22,6,0,7,0,5,8,5,16,18,14,28,48,13,20,30,18,22,40,28,28,54,34,26,58,58,20,73,38,24,66,32,21,57,111,43,153,101,5,104,81,8,86,69,0,71,389,11,404,46,0,52,13,6,17,1071,298,1371
SAL20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
SAL20005,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,6,0,8,3,0,6,3,0,5,0,0,0,3,0,3,9,0,9,11,0,11,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,43,13,62
SAL20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,7,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,3,0,0,25,3,27
SAL20008,6,0,6,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,19,7,26
SAL20009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,0,5,0,0,4,0,0,6,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,29,6,33
SAL20010,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,3,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,14,25
SAL20011,10,0,18,3,0,6,0,0,0,5,5,10,12,9,15,24,3,28,55,3,58,56,17,65,90,19,110,108,19,127,126,26,153,138,16,157,350,34,383,258,3,263,220,8,227,138,0,137,274,5,279,95,0,100,21,4,22,1986,179,2164
SAL20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,0,5,9,0,6,4,0,4,4,0,10,10,5,20,27,3,5,13,11,16,25,13,5,17,26,18,41,21,5,30,16,8,19,22,3,33,29,10,36,20,0,20,16,4,17,12,0,12,53,8,55,23,0,23,0,0,0,273,121,400
SAL20014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,7,3,0,3,6,0,6,5,0,5,5,0,5,0,0,0,6,0,6,3,0,5,6,0,6,41,6,46
SAL20015,32,47,78,13,20,28,16,48,60,7,71,78,36,181,215,25,80,110,142,69,213,104,73,178,138,99,237,142,92,235,112,85,198,115,86,198,264,134,387,237,10,244,221,21,242,169,11,177,364,26,395,83,9,95,36,32,64,2260,1177,3438
SAL20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20017,41,21,60,7,4,13,13,12,24,12,40,54,40,90,137,49,26,74,131,28,159,111,25,139,137,26,168,136,27,160,94,16,109,91,20,109,178,15,192,99,0,103,76,10,83,48,4,52,49,6,49,80,5,82,21,16,37,1427,382,1807
