SAL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SAL20001,0,0,0,0,0,0,0,0
SAL20002,928,2474,792,126,36,4354,45,4398
SAL20003,48,421,575,194,129,1363,5,1371
SAL20004,0,0,0,0,0,0,0,0
SAL20005,0,8,27,15,5,57,0,62
SAL20006,0,0,0,0,0,0,0,0
SAL20007,0,0,13,12,0,27,0,27
SAL20008,0,6,11,6,4,27,0,26
SAL20009,0,9,15,9,6,34,0,33
SAL20010,0,5,9,3,6,23,0,25
SAL20011,28,544,1145,285,138,2137,25,2164
SAL20012,0,0,0,0,0,0,0,0
SAL20013,9,168,154,37,25,387,6,400
SAL20014,0,3,18,15,15,49,0,46
SAL20015,229,1407,1291,340,137,3402,37,3438
SAL20016,0,0,0,0,0,0,0,0
SAL20017,109,594,718,250,103,1777,27,1807
SAL20018,307,1198,801,144,46,2489,26,2514
SAL20019,3,34,54,18,12,123,0,123
SAL20020,0,5,12,5,7,30,0,30
SAL20021,307,828,410,115,60,1729,42,1774
SAL20022,61,478,421,167,97,1211,15,1226
SAL20023,131,1347,1832,526,265,4087,33,4122
SAL20024,0,0,0,0,3,10,0,10
SAL20025,0,8,11,3,3,26,0,28
SAL20026,0,4,15,8,3,28,0,28
SAL20027,0,13,42,21,18,96,3,96
SAL20028,13,120,207,92,77,509,5,519
SAL20029,0,19,34,6,12,76,0,76
SAL20030,0,10,22,9,15,56,0,62
SAL20031,0,16,26,19,12,68,0,68
SAL20032,0,0,3,3,3,12,0,12
SAL20033,0,0,9,4,5,25,0,25
SAL20034,160,961,821,199,81,2232,21,2252
SAL20035,417,2085,1674,394,182,4754,55,4803
SAL20036,408,2764,2689,766,405,7038,87,7120
SAL20037,471,1765,1711,449,213,4616,84,4697
SAL20038,0,9,19,6,14,50,0,47
SAL20039,0,7,14,5,3,24,0,24
SAL20040,0,0,0,0,0,0,0,0
SAL20041,0,35,36,13,20,104,0,103
SAL20042,0,37,87,67,56,247,3,246
SAL20043,0,11,12,10,5,41,0,41
SAL20044,0,3,0,5,3,12,0,10
SAL20045,0,0,0,4,0,10,0,10
SAL20046,37,413,576,149,58,1228,22,1245
SAL20047,0,5,0,4,4,14,0,14
SAL20048,0,7,0,9,3,16,0,18
SAL20049,36,337,237,77,20,703,13,720
SAL20050,0,0,5,0,0,10,0,10
SAL20051,0,4,6,4,4,13,0,13
SAL20052,3,38,44,25,21,132,3,136
SAL20053,245,1213,1088,372,236,3149,76,3225
SAL20054,0,12,16,9,3,41,0,41
SAL20055,0,0,0,0,0,0,0,0
SAL20056,0,4,26,29,16,77,0,82
SAL20057,0,9,15,11,4,30,0,30
SAL20058,0,6,7,0,0,9,0,9
SAL20059,0,0,0,0,3,0,0,0
SAL20060,0,0,0,0,3,10,0,10
SAL20061,0,7,7,0,0,13,0,15
SAL20062,99,489,356,115,57,1118,26,1143
SAL20063,0,29,54,30,37,155,0,156
SAL20064,0,0,0,0,3,3,0,3
SAL20065,3,42,38,18,11,106,4,112
SAL20066,576,2208,1222,205,101,4312,41,4354
SAL20067,0,3,15,9,9,35,0,35
SAL20068,43,1006,1978,468,203,3694,33,3721
SAL20069,0,3,9,3,3,24,0,24
SAL20070,0,3,3,8,0,9,0,9
SAL20071,0,12,35,43,57,152,3,157
SAL20072,0,21,75,36,18,147,0,148
SAL20073,0,10,3,8,12,27,3,30
SAL20074,9,205,406,147,95,871,9,880
SAL20075,706,2727,1901,401,143,5882,80,5959
SAL20076,0,18,36,21,8,77,0,77
SAL20077,178,953,1147,276,129,2681,26,2714
SAL20078,244,1062,972,251,117,2647,45,2689
SAL20079,112,822,1210,299,135,2573,20,2597
SAL20080,60,572,945,353,216,2150,6,2150
SAL20081,0,8,13,14,8,39,0,47
SAL20082,27,224,470,228,151,1100,13,1108
SAL20083,0,0,0,0,0,4,0,4
SAL20084,0,0,0,0,0,0,0,0
SAL20085,0,17,25,17,15,70,3,73
SAL20086,4,138,171,76,54,447,8,455
SAL20087,22,187,190,95,56,543,15,559
SAL20088,0,0,3,0,0,3,0,3
SAL20089,298,1580,1743,524,274,4421,69,4491
SAL20090,0,0,7,3,5,16,0,17
SAL20091,7,57,123,57,44,289,0,291
SAL20092,0,13,46,37,34,136,4,145
SAL20093,0,61,129,74,54,317,0,317
SAL20094,0,3,3,6,3,12,0,12
SAL20095,194,1217,1133,369,200,3106,39,3155
SAL20096,0,29,46,39,23,142,3,146
SAL20097,12,195,231,106,57,600,7,609
SAL20098,0,0,0,0,5,3,0,5
SAL20099,0,11,42,28,30,115,0,120
SAL20100,0,3,7,9,0,16,0,16
SAL20101,0,0,13,9,6,21,0,21
SAL20102,0,13,15,10,8,47,3,49
SAL20103,269,1352,1097,348,159,3218,86,3300
SAL20104,4,39,22,3,3,76,0,78
