SAL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SAL20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20002,12,23,33,10,36,25,12,17,0,160,15,12,17,12,43,67,7,35,32,243,294,597,564,398,1431,1622,444,805,61,6223
SAL20003,6,11,8,6,10,5,4,5,0,58,0,9,8,9,17,14,4,13,18,96,128,342,256,167,354,458,123,336,38,2198
SAL20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SAL20005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,13,8,0,14,0,8,4,80
SAL20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,5,8,5,0,4,0,27
SAL20008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,5,0,22
SAL20009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,6,7,0,4,0,35
SAL20010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,6,0,0,0,0,0,0,19
SAL20011,4,15,8,16,15,22,3,9,7,101,0,18,13,9,46,33,4,15,44,180,185,367,456,339,964,993,184,318,99,3901
SAL20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,0,5,5,0,5,0,0,0,0,12,0,0,4,0,0,7,0,0,0,8,32,99,70,52,54,82,18,56,6,454
SAL20014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,3,17,4,6,10,18,0,28,0,86
SAL20015,15,26,22,14,23,34,7,17,0,168,7,14,11,3,56,44,11,17,11,178,249,498,437,294,979,930,253,494,41,4189
SAL20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20017,7,20,22,3,19,10,8,3,5,100,4,14,19,9,55,32,11,11,35,181,95,314,266,143,609,380,72,117,78,2086
SAL20018,3,12,20,7,12,14,5,10,0,88,9,10,14,3,19,37,4,35,21,149,151,443,309,207,390,682,208,686,37,3117
SAL20019,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,19,19,9,17,19,5,18,4,113
SAL20020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,7,4,10,0,3,0,38
SAL20021,9,7,14,4,12,10,4,4,0,61,5,13,11,13,27,23,4,4,30,127,106,269,323,155,509,397,90,130,61,2038
SAL20022,7,10,3,3,5,6,4,4,0,49,3,8,3,5,12,3,0,10,10,50,70,185,131,120,222,211,50,140,26,1158
SAL20023,9,38,21,10,26,29,11,19,0,170,5,19,15,6,25,28,3,21,17,138,299,972,739,483,1221,1147,365,651,49,5921
SAL20024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8
SAL20025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,5,6,11,0,39
SAL20026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,3,0,5,0,31
SAL20027,0,0,0,0,0,0,0,4,0,5,0,4,0,0,0,0,0,0,0,10,12,24,23,10,30,22,3,22,4,143
SAL20028,0,6,3,3,3,8,0,3,0,34,7,0,3,0,5,8,0,0,7,34,46,112,90,51,118,145,49,116,29,756
SAL20029,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,5,6,10,12,9,16,10,11,6,8,88
