SAL_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SAL20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20002,0,0,0,255,0,0,0,0,0,0,0,0,0,6,14,26,0,0,0,0,0,0,0,0,0,0,0,0,139,33,0,153,52,80,3,30,3,34,14,555
SAL20003,0,0,0,294,6,0,6,0,0,0,0,0,0,0,6,26,0,0,0,0,0,0,0,0,0,0,0,3,171,21,9,198,30,86,7,35,8,27,6,600
SAL20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,12
SAL20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
SAL20008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,8
SAL20009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,8
SAL20010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
SAL20011,0,0,0,199,10,0,0,9,0,7,0,0,0,3,30,63,0,0,0,0,0,0,0,0,0,0,12,11,364,75,20,396,79,284,30,97,17,62,45,1481
SAL20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,13,17,0,32,3,3,0,0,0,6,0,78
SAL20014,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,3,0,0,0,0,0,5,22
SAL20015,4,6,0,235,5,3,0,0,4,4,0,0,0,4,14,51,0,0,0,0,0,0,0,0,0,5,4,13,205,46,6,325,64,153,16,37,20,91,24,985
SAL20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20017,0,5,0,29,4,0,3,0,0,4,0,0,3,7,23,48,0,0,0,0,0,0,0,0,3,0,7,10,77,30,8,100,12,153,13,75,21,133,28,658
SAL20018,0,3,0,448,11,0,0,3,0,0,0,0,0,0,15,34,0,0,0,0,0,0,0,0,0,0,5,3,227,26,0,210,31,116,8,22,4,34,20,708
SAL20019,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,3,0,3,0,0,0,26
SAL20020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8
SAL20021,0,0,0,37,0,0,0,0,0,0,0,0,0,5,9,15,0,0,0,0,0,0,0,0,0,0,3,9,52,23,0,80,18,57,6,51,7,43,10,353
SAL20022,0,0,0,17,3,0,0,6,0,4,0,0,0,4,7,17,0,0,0,0,0,0,0,0,0,0,0,6,56,16,9,94,15,27,0,8,0,20,7,252
SAL20023,0,3,0,285,25,4,0,17,0,3,0,0,0,0,46,97,0,0,0,0,0,0,0,0,0,0,5,7,367,86,10,554,75,209,16,58,15,63,50,1510
SAL20024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
SAL20026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
