SED_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
SED20106,0,19,51,201,59,36,16,4,0,386,0,0,3,20,13,8,3,3,0,48,0,0,3,22,9,9,0,0,0,38,16,67,184,1616,263,187,175,132,45,2693,62,125,215,1052,286,246,182,126,47,2347,1494,2560,4205,17473,5429,4384,3186,1676,556,40958,5,3,8,41,9,0,0,0,0,64,2757,4138,4758,14242,6419,5331,3589,1695,463,43384,0,0,9,44,0,3,0,0,0,62,3,0,0,53,14,15,10,4,0,104,0,9,32,419,35,9,6,3,0,515,0,0,4,19,4,0,0,5,0,40,3,7,20,180,55,34,14,8,0,316,3,3,14,155,23,11,0,0,0,214,3,47,535,1688,235,227,126,58,21,2936,0,0,0,39,22,35,16,8,4,120,0,3,3,50,10,24,24,28,8,157,25,111,181,1542,636,559,384,188,46,3673,0,0,3,63,28,17,6,7,0,123,6,17,33,342,53,30,18,15,0,516
SED20207,0,7,27,274,192,149,88,21,5,767,0,0,3,10,5,13,0,4,0,34,0,5,17,73,23,7,3,0,0,127,20,185,193,935,431,296,237,135,49,2498,177,331,234,800,243,186,141,78,37,2219,3997,8369,5544,18829,7079,4900,3570,1683,698,54672,0,0,5,50,11,16,0,0,0,80,7373,12640,7189,12692,6698,4311,2361,1140,421,54820,0,30,27,201,69,22,13,4,0,355,0,0,0,58,46,43,29,3,3,180,0,16,12,147,27,3,5,0,0,214,0,5,12,38,49,40,28,17,8,193,3,17,11,71,22,16,5,6,0,150,0,5,5,40,39,28,38,15,0,163,41,246,287,2608,611,560,444,75,25,4895,0,0,5,40,39,96,102,75,21,378,0,23,31,71,26,34,37,17,10,255,21,225,218,644,546,448,393,246,81,2821,0,0,15,142,78,50,36,18,5,349,0,3,0,58,14,15,7,8,3,99
SED20302,0,3,11,85,25,16,12,3,5,153,0,0,0,12,3,8,10,8,0,46,0,14,27,87,30,7,0,0,0,173,7,87,148,575,213,207,136,83,23,1480,192,404,265,871,320,392,403,257,115,3217,4338,8180,5825,17942,6357,6341,5858,3101,1173,59110,5,50,127,453,113,48,21,5,0,826,8359,13668,8442,18137,7826,7770,7091,3561,1199,76052,0,18,20,134,25,15,4,0,0,215,0,3,0,42,15,11,6,6,0,87,0,4,5,28,9,9,3,0,0,63,3,5,19,102,26,21,9,7,0,182,0,8,3,35,12,18,15,3,0,111,0,0,9,39,30,31,19,15,0,150,0,30,41,334,104,79,61,17,3,672,0,0,0,22,11,21,19,26,10,113,0,42,50,131,38,27,28,15,3,335,3,125,178,492,480,835,1029,712,227,4097,3,8,26,165,64,43,17,4,0,332,0,0,0,28,9,13,6,4,6,64
SED20401,0,6,8,112,58,43,34,15,3,277,0,0,0,3,4,6,6,10,5,31,0,0,0,11,4,3,7,0,0,28,0,22,27,230,107,103,113,100,95,796,56,131,109,335,120,118,102,101,75,1142,1882,3648,3328,9649,4359,3855,3343,1972,1051,33082,0,0,0,4,4,0,0,0,0,16,3615,6673,5719,11854,5779,4798,3714,2001,795,44943,0,0,4,15,11,3,0,0,0,32,0,0,0,22,3,16,8,0,0,53,0,3,0,25,0,0,0,4,0,32,0,0,0,43,39,25,20,6,5,142,0,0,3,26,23,16,7,4,0,88,0,0,0,8,17,15,15,13,0,75,6,74,131,1101,321,317,169,63,17,2191,0,0,3,6,3,21,16,16,10,74,0,6,0,17,6,14,27,16,5,98,3,34,61,283,304,527,498,376,199,2284,0,0,3,25,20,27,14,3,4,97,0,0,5,21,9,9,9,6,0,55
SED20508,0,0,0,16,11,6,0,0,0,41,0,6,0,6,7,14,16,7,0,53,0,0,0,10,0,0,0,0,0,21,0,15,11,87,61,82,74,65,29,424,45,176,107,307,190,271,344,244,94,1778,1666,4137,3127,7563,4659,5561,5907,3190,1241,37050,0,0,0,0,0,0,0,0,0,0,3312,7901,5962,12135,7157,7916,8363,4141,1411,58303,0,0,0,5,0,0,0,0,0,4,0,0,0,6,0,6,7,0,0,17,0,0,0,16,4,0,0,0,0,17,0,0,0,0,0,5,0,0,0,5,6,4,4,50,33,25,16,7,0,133,0,0,0,6,4,0,9,4,0,16,0,11,17,63,30,14,16,4,3,154,0,0,3,4,9,23,35,24,12,121,0,0,0,0,0,12,21,23,3,54,13,86,86,341,364,666,861,592,198,3200,0,0,0,12,9,9,8,0,0,40,0,0,0,16,13,7,5,10,0,62
SED20604,5,19,12,55,5,3,4,0,0,101,0,0,0,4,3,9,3,8,0,28,0,0,6,14,4,0,0,0,0,30,6,58,61,149,85,69,81,77,38,616,71,232,207,467,266,257,252,184,101,2036,1991,4545,3718,8514,4576,4923,4321,2242,955,35781,0,0,0,3,0,0,0,0,0,7,3755,8342,6883,13714,7337,7825,6725,3118,1095,58804,0,0,0,14,3,0,0,0,0,23,0,0,0,0,5,0,4,8,0,19,0,0,0,12,0,0,0,0,0,15,0,4,3,11,0,0,0,0,0,22,0,0,7,31,15,15,17,3,0,85,0,0,0,8,0,6,0,0,0,10,0,4,5,57,11,18,13,4,0,110,0,0,0,0,5,28,26,43,22,121,0,4,0,9,3,0,4,3,0,22,3,35,50,179,224,371,384,268,71,1582,0,0,0,17,10,12,3,7,0,47,0,0,10,12,4,7,10,5,0,46
SED20704,0,0,3,21,8,3,0,0,0,34,0,0,0,4,3,4,4,0,0,20,0,3,5,15,4,0,4,0,0,30,7,16,19,96,39,29,30,26,3,267,96,188,194,468,219,254,188,175,78,1863,2125,4730,4413,9481,4560,4710,3992,2157,1029,37200,0,0,4,25,3,0,0,0,0,30,4157,8984,7751,14797,7263,7519,6477,3256,1399,61612,0,4,10,35,4,7,0,0,0,50,0,0,0,0,0,0,0,0,0,3,0,3,0,16,4,0,0,0,0,24,0,0,0,4,4,0,0,0,0,14,4,9,7,24,15,7,6,6,0,75,0,0,0,0,0,0,0,0,0,7,5,10,22,121,33,30,14,3,0,236,0,0,0,0,4,8,4,4,4,31,0,7,9,30,8,9,5,3,0,67,0,44,49,118,197,269,277,170,62,1189,0,0,6,17,9,3,0,0,0,32,0,0,5,19,6,0,9,0,0,36
SED20804,0,0,3,34,8,5,0,0,0,53,0,0,0,4,0,3,7,9,0,20,0,0,0,0,0,3,0,0,0,10,0,19,18,71,39,38,52,33,6,273,78,191,173,454,239,268,245,201,168,2008,1684,3508,3257,7781,4082,4530,4233,2486,1152,32709,0,0,16,28,7,5,0,0,0,57,3155,6601,5763,12376,6530,7005,6611,3609,1453,53092,0,3,0,8,0,4,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,14,3,0,0,0,0,25,0,3,0,6,4,0,0,0,0,21,0,0,5,31,23,4,10,4,0,76,0,0,0,0,0,0,0,0,0,10,0,4,19,79,25,15,9,5,0,150,0,0,0,3,4,3,3,11,3,32,0,0,0,3,3,6,4,4,0,20,0,22,26,160,189,340,373,277,81,1476,0,0,4,8,7,0,0,0,0,30,0,0,0,17,7,9,7,0,0,48
SED20906,0,15,25,125,65,33,19,4,0,289,0,0,0,4,9,0,0,0,0,25,0,0,3,12,9,9,0,0,0,35,11,118,133,710,464,359,333,213,96,2434,32,116,96,285,137,94,117,102,72,1054,1689,4453,3789,9064,5422,3938,2870,1891,1182,34303,0,0,4,6,0,0,0,0,0,15,3311,7619,6166,8776,5990,4323,2506,1263,918,40881,0,0,0,23,9,4,0,0,0,37,0,7,0,31,15,8,4,0,3,73,0,8,11,87,21,3,4,0,0,131,0,0,0,29,16,4,4,0,0,55,4,15,5,46,31,16,8,0,0,127,0,4,0,20,25,13,4,10,0,76,13,264,314,1600,568,467,258,80,27,3597,0,0,0,20,20,10,21,36,8,119,0,4,3,23,10,29,37,37,16,159,12,170,136,445,391,335,264,167,75,1994,0,0,3,34,13,21,7,0,0,76,0,12,21,58,37,20,14,9,4,172
SED21001,0,9,62,172,113,90,60,24,9,539,0,0,0,4,4,8,0,0,4,21,0,0,10,5,8,9,9,4,0,45,8,37,65,233,101,85,99,105,59,789,41,79,210,391,148,110,129,135,208,1442,1464,3978,4992,10430,5271,4390,3507,2417,1685,38131,0,0,0,7,0,0,4,0,0,13,2761,6437,6504,7705,5260,4574,3320,2151,1418,40120,0,5,17,32,11,5,3,0,0,77,0,0,0,5,6,9,6,6,0,33,0,0,0,17,10,5,0,0,0,33,0,0,9,22,19,15,15,4,0,84,3,11,7,28,33,27,13,0,0,132,0,0,0,8,3,10,9,3,0,34,43,513,1443,4778,1582,1322,860,380,165,11081,0,0,0,4,3,13,8,14,11,47,0,6,4,19,7,14,20,19,11,95,14,105,116,251,262,311,256,251,126,1686,0,0,0,27,11,22,23,11,3,102,0,7,9,28,14,17,9,4,8,88
