SED_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED20106,51,548,1186,436,327,363,441,203,56,3621,34,607,1809,726,464,467,445,212,27,4797,14,619,2582,1059,694,616,459,214,27,6286,9,370,2455,1023,594,527,332,144,19,5482,4,199,2230,1203,790,568,289,119,30,5429,0,85,1528,1059,697,542,241,83,18,4246,6,64,2838,2858,1738,1120,434,140,16,9220,0,18,516,936,689,400,152,49,7,2767,0,26,594,2032,2177,1355,481,144,22,6838,125,367,1405,975,723,636,468,362,171,5231,2489,5593,20445,14274,10699,8793,6174,3277,977,72719
SED20207,100,605,1047,1042,776,583,429,258,73,4906,59,680,1641,1616,1147,760,373,95,37,6402,28,584,2050,2112,1403,956,339,68,13,7561,7,280,1663,1826,1215,723,192,36,14,5945,4,121,1424,1880,1247,631,127,39,9,5477,0,48,887,1607,1049,532,99,13,5,4243,0,45,1399,3687,2045,818,125,15,0,8133,0,4,232,1027,499,180,25,4,0,1971,4,6,211,1090,787,264,58,3,0,2424,322,411,1042,1126,718,497,345,224,139,4827,5853,5620,15432,21413,14192,9594,6750,3072,1101,83020
SED20302,139,791,1525,1354,995,916,883,484,126,7212,97,834,2307,1935,1347,1111,696,262,64,8648,29,706,2688,2324,1595,1266,608,152,21,9385,6,314,1972,1842,1195,826,314,94,22,6577,9,131,1603,1580,1111,669,186,74,25,5384,3,62,919,1111,719,478,131,25,9,3451,0,39,953,1642,1184,667,159,33,4,4678,0,0,118,317,212,129,38,12,0,826,0,13,119,306,285,237,102,50,8,1121,405,371,1095,935,798,762,824,683,498,6378,5970,5815,17584,17368,12615,11993,11190,5951,1961,90453
SED20401,65,426,654,601,608,562,540,299,83,3841,45,473,1012,870,817,677,394,179,44,4519,21,397,1338,1151,1067,874,385,111,34,5380,4,186,1126,947,820,632,220,55,9,3997,0,86,959,958,726,573,156,41,19,3514,4,22,643,767,576,342,86,9,3,2466,0,20,789,1426,1000,569,116,29,6,3953,0,0,93,314,225,120,27,6,0,785,0,3,83,264,256,152,32,13,12,825,150,181,450,428,401,331,365,433,524,3254,3345,3572,9122,9776,8567,7481,6116,3635,1681,53290
SED20508,82,389,532,544,583,758,1059,581,121,4648,49,376,726,753,747,911,820,350,82,4810,24,283,915,898,1037,1052,772,260,42,5277,7,154,738,771,794,746,391,133,34,3782,0,62,642,815,815,683,328,110,29,3481,0,23,427,589,645,467,210,48,20,2426,0,14,529,1149,1166,805,267,90,19,4043,0,0,77,235,271,208,64,19,4,870,0,4,81,337,491,400,173,65,32,1572,220,147,298,365,435,517,740,699,614,4026,3600,2890,6395,8042,8775,10130,11357,6074,2100,59362
SED20604,164,506,786,615,627,760,796,376,75,4697,164,635,1093,888,861,964,654,232,57,5556,102,499,1328,1104,1179,1127,568,133,38,6087,21,224,956,933,939,771,327,85,15,4272,9,97,680,815,816,637,251,58,14,3372,5,45,431,566,661,444,106,39,8,2290,5,21,418,862,959,654,160,31,5,3110,0,9,53,125,159,110,46,12,0,511,7,4,57,172,212,192,62,35,10,749,328,285,548,570,561,580,569,483,312,4239,4265,3539,8156,8401,8863,9520,8557,4341,1548,57194
SED20704,141,557,785,629,592,700,690,347,106,4553,69,670,1233,911,868,859,575,223,68,5471,35,478,1271,1079,986,969,492,157,56,5524,6,259,1051,840,802,660,277,83,14,3995,7,121,900,876,777,628,205,45,22,3593,0,47,554,647,637,412,117,30,9,2454,0,36,570,1015,1058,672,153,41,13,3555,0,6,68,207,231,126,31,10,4,684,0,3,74,244,294,206,75,34,16,941,273,238,511,485,518,548,500,397,323,3789,4395,4442,9251,8796,8677,8905,7723,4031,1692,57912
SED20804,100,441,693,622,627,717,651,362,108,4317,59,499,1031,846,777,845,504,249,62,4866,26,327,1059,870,952,923,442,144,27,4782,0,170,777,702,656,585,281,53,10,3237,0,75,626,656,642,472,198,65,32,2766,0,39,339,453,497,358,111,30,4,1843,0,23,445,691,750,539,145,36,13,2638,0,5,51,134,144,94,39,6,4,476,0,5,54,153,223,154,66,26,12,698,260,294,754,651,598,574,605,562,498,4791,3346,3247,7756,7601,7935,8535,8112,4646,1885,53061
SED20906,48,329,383,421,534,486,466,286,141,3097,41,374,615,641,679,609,417,174,85,3639,13,370,925,764,806,725,391,125,40,4174,5,177,884,767,775,610,261,72,26,3574,3,80,880,824,839,571,177,41,27,3442,0,34,598,745,718,457,138,27,12,2736,0,14,939,1884,1776,920,189,45,25,5789,0,0,200,638,605,259,42,13,8,1765,0,10,192,1137,1318,494,86,19,19,3268,147,161,347,387,355,283,250,258,250,2434,4321,3672,7389,9999,10398,7677,5335,3287,1821,53903
SED21001,34,477,686,466,532,499,532,383,153,3755,32,526,1066,660,604,565,499,295,124,4375,15,469,1395,886,819,724,494,203,88,5092,4,253,1179,687,588,540,349,116,59,3776,3,119,946,728,687,586,250,134,53,3505,3,38,589,642,593,455,207,73,32,2636,3,39,911,1573,1471,950,309,89,49,5390,0,13,180,482,528,314,71,31,11,1628,6,19,146,908,1342,703,169,54,40,3385,153,381,684,377,382,300,301,338,473,3398,4495,5774,10761,9698,9907,8367,6507,4236,2597,62349
