SED_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
SED20106,0,3,20,15,22,46,61,51,23,247,7,0,11,21,37,84,117,98,29,402,59,670,1171,765,583,469,284,133,49,4179,3,0,7,15,25,27,46,48,29,207,119,270,596,476,494,472,422,256,102,3208,3451,2847,7476,4821,3408,2343,1349,467,107,26272,295,311,771,565,399,361,234,163,65,3163,4055,4205,10408,7062,5429,4384,3186,1676,556,40958,0,26,149,264,513,872,1091,844,293,4058,311,615,1422,1090,875,629,501,243,64,5754,14,12,70,124,257,445,559,407,106,1994,0,0,0,0,5,13,46,113,110,286,9,20,117,155,256,384,490,393,116,1942,10,9,42,74,168,361,586,565,246,2066,4,11,38,35,50,85,105,113,54,504,13,6,28,36,82,145,224,186,56,764,103,957,1811,1306,1021,835,497,211,77,6813,10,5,17,32,49,73,121,122,66,488,257,429,943,856,877,875,752,468,183,5637,6975,5759,15147,10044,6780,4755,2587,948,208,53203
SED20207,10,8,19,25,44,44,69,73,44,327,4,5,3,22,56,101,134,119,42,492,166,620,785,830,763,528,323,136,86,4241,3,4,10,17,24,53,65,88,46,306,337,294,440,688,720,651,490,289,144,4052,10627,3954,5942,7795,4245,2390,1317,360,103,36733,801,396,540,638,430,298,203,107,78,3485,12370,5544,8061,10768,7079,4900,3570,1683,698,54672,28,45,139,379,842,1291,1483,1019,408,5636,1260,894,1101,1373,1106,701,542,257,80,7314,23,17,48,165,259,390,513,337,107,1861,0,0,0,0,7,11,44,137,148,353,29,63,140,613,854,1068,1192,681,164,4804,39,31,43,119,265,522,809,572,236,2641,32,12,30,57,81,91,154,145,73,676,15,11,17,36,100,189,264,220,73,917,383,958,1165,1371,1213,876,529,211,110,6817,5,5,15,29,55,113,178,170,83,655,852,522,721,1192,1204,1166,900,466,208,7229,21434,8432,11570,15830,8904,4835,2479,714,182,74385
SED20302,3,7,19,39,47,67,110,133,72,498,13,7,16,31,86,209,401,257,78,1099,236,894,1280,1068,948,886,606,253,148,6317,4,0,4,13,56,90,168,131,76,534,341,299,657,691,726,808,773,396,192,4888,10360,3961,6180,5674,3439,2802,1867,673,161,35118,1012,424,623,607,472,487,429,285,149,4486,12514,5825,9221,8723,6357,6341,5858,3101,1173,59110,17,43,225,492,1042,2000,3056,2164,776,9814,1602,994,1686,1519,1151,1110,1119,649,138,9971,17,30,82,146,292,622,1045,754,245,3226,0,3,5,0,15,38,95,229,241,626,33,54,224,555,796,1180,1575,1038,269,5734,54,30,55,111,314,790,1454,1197,520,4532,23,15,30,86,74,145,242,270,120,1008,29,13,32,61,162,414,740,516,155,2119,501,1389,1932,1692,1511,1401,1049,445,211,10122,11,3,11,31,88,198,366,300,126,1138,895,587,987,1143,1212,1396,1341,716,293,8582,20530,8297,12322,11783,7230,5535,3610,1338,286,70924
SED20401,6,6,18,12,33,38,60,67,52,290,8,5,7,37,42,82,181,146,63,561,144,630,826,735,745,499,349,221,203,4354,0,0,0,25,23,42,58,109,67,328,208,248,435,471,563,547,503,331,240,3556,4524,2078,2912,3015,2260,1766,1104,391,137,18173,387,233,288,294,249,210,169,125,129,2079,5536,3328,4707,4939,4359,3855,3343,1972,1051,33082,13,26,142,296,683,1158,1599,1289,591,5795,791,686,1066,1058,890,724,692,360,150,6414,17,18,23,79,198,393,541,414,215,1912,0,0,4,0,10,8,61,227,297,609,13,41,100,229,434,696,843,642,226,3235,28,14,28,65,171,443,767,718,401,2631,12,17,28,23,70,89,136,134,88,596,13,13,13,54,79,178,319,287,114,1070,295,978,1291,1194,1190,836,551,370,284,6983,6,0,3,32,54,108,165,219,118,708,522,457,664,805,904,960,878,566,348,6109,9101,4595,5997,6293,4764,3515,2026,784,231,37321
SED20508,6,6,9,22,32,48,107,93,54,366,3,7,10,19,35,128,254,219,90,777,165,605,670,697,749,693,538,221,216,4560,5,0,0,12,25,60,90,109,64,369,203,203,303,366,496,715,744,378,282,3689,4700,1911,1985,2542,2634,2611,2203,783,151,19517,461,228,197,279,269,369,400,303,144,2650,5801,3127,3303,4258,4659,5561,5907,3190,1241,37050,7,32,101,265,685,1613,2856,1959,693,8227,904,662,718,955,817,892,1088,573,158,6767,11,22,29,91,231,581,1078,753,236,3035,0,0,4,0,5,23,97,254,335,721,19,36,71,147,329,685,1201,781,213,3481,21,23,23,55,186,591,1331,1131,511,3864,12,9,9,41,57,92,219,183,95,704,9,10,19,31,70,242,490,435,173,1474,342,918,1032,1111,1214,1116,927,400,303,7376,8,11,5,25,57,119,256,261,132,862,477,384,477,553,805,1143,1320,664,418,6243,9493,4282,4079,5016,5108,4887,4200,1511,311,38882
SED20604,8,0,14,20,41,62,97,87,66,392,10,3,17,37,92,195,269,178,56,855,230,662,821,843,778,756,455,203,112,4861,5,4,5,14,36,51,83,95,48,347,298,228,391,459,496,653,593,310,230,3662,5045,2275,2331,2421,2343,2152,1423,499,149,18643,566,334,299,314,343,333,287,186,107,2783,6532,3718,4102,4416,4576,4923,4321,2242,955,35781,13,30,174,359,779,1685,2352,1497,595,7498,1105,843,954,1037,980,964,839,413,129,7263,17,14,40,111,226,529,785,580,190,2490,0,4,0,7,0,33,102,199,187,530,21,49,94,212,397,786,1062,659,184,3468,33,40,44,80,221,606,1126,885,414,3448,14,10,23,28,78,123,213,182,99,778,29,10,26,59,134,346,507,370,114,1597,447,1040,1262,1359,1309,1286,847,369,166,8085,7,4,9,32,60,118,214,224,93,756,697,438,615,744,857,1161,1070,582,334,6503,10026,5073,5029,4839,4763,4284,2867,1026,265,38181
SED20704,10,11,10,19,46,62,76,73,64,374,11,11,11,28,58,163,236,161,74,746,206,916,1141,940,817,763,453,202,111,5555,5,3,6,11,34,55,85,79,71,354,295,328,461,499,552,605,544,256,167,3720,5365,2645,2667,2506,2300,1955,1226,456,134,19249,595,352,338,350,328,349,261,211,154,2934,6860,4413,4828,4654,4560,4710,3992,2157,1029,37200,15,57,184,429,837,1735,2392,1590,643,7884,1183,909,1160,1015,891,936,843,430,144,7514,14,18,38,96,224,499,730,577,224,2414,0,0,7,0,8,17,82,152,216,479,27,45,117,230,411,706,989,540,194,3258,31,16,46,77,184,529,977,781,467,3105,21,21,20,39,68,125,173,172,113,750,22,18,19,48,98,292,427,323,140,1387,449,1388,1698,1462,1345,1236,782,346,166,8870,10,9,16,26,57,116,209,181,127,758,699,562,715,777,909,1067,981,466,247,6425,10828,5694,5582,5098,4630,3818,2396,881,237,39168
SED20804,7,5,12,10,37,55,102,99,55,384,9,7,11,27,61,154,212,195,67,746,154,682,923,777,796,752,480,238,143,4941,0,5,9,14,24,66,99,101,51,366,204,247,369,414,517,599,604,343,240,3535,4064,1905,2130,2136,2025,1843,1344,491,143,16090,505,287,328,316,323,352,280,230,190,2812,5193,3257,3900,3884,4082,4530,4233,2486,1152,32709,18,49,138,335,793,1753,2365,1739,725,7923,793,721,896,863,775,946,851,491,163,6506,20,20,30,88,207,470,765,645,216,2463,3,0,5,8,8,29,82,177,237,535,26,41,107,179,351,649,996,683,228,3260,24,23,33,70,184,528,986,936,486,3264,17,10,26,22,60,98,192,195,104,738,15,9,22,51,117,292,435,370,128,1443,320,1053,1404,1276,1316,1251,809,379,198,8009,3,7,10,24,52,126,225,229,105,782,528,437,603,702,876,1047,1036,549,348,6117,8173,4083,4435,4303,4125,3587,2643,973,237,32548
SED20906,0,6,3,15,19,49,38,60,61,247,3,8,6,6,34,60,111,114,84,427,88,523,474,505,531,404,212,161,100,2990,0,0,3,0,19,16,52,60,65,220,175,244,273,360,472,447,416,269,202,2861,5327,2642,2616,3868,3555,2106,1103,469,226,21917,310,228,196,256,294,212,174,123,85,1877,6146,3789,3711,5356,5422,3938,2870,1891,1182,34303,8,30,72,179,455,836,1097,1037,660,4374,668,616,580,726,744,566,429,281,149,4753,14,19,32,88,239,382,484,365,200,1825,0,5,0,3,6,11,30,112,190,353,15,31,51,149,327,555,724,555,254,2656,28,23,19,45,156,372,585,623,467,2316,6,9,12,25,39,84,102,118,107,507,10,8,15,16,65,113,199,212,142,772,190,778,760,803,863,678,351,237,127,4793,0,0,9,10,37,64,123,129,108,484,450,453,444,604,814,838,741,443,287,5081,10959,5891,5378,7338,6998,4110,2049,831,353,43914
SED21001,3,3,7,13,28,39,35,73,73,273,3,9,0,10,12,39,82,125,82,361,82,690,576,417,505,390,267,184,228,3327,0,8,0,9,13,22,47,85,84,275,179,294,354,363,480,508,503,439,433,3556,4662,3551,3947,3769,3436,2483,1475,604,266,24189,272,325,327,234,282,236,189,172,218,2260,5438,4992,5365,5068,5271,4390,3507,2417,1685,38131,5,22,80,141,455,854,1227,1253,897,4944,633,775,735,664,665,578,480,391,192,5096,4,20,32,82,235,351,552,474,312,2063,0,0,0,0,0,3,53,185,336,580,10,43,73,177,317,567,717,573,288,2766,21,22,20,44,135,352,647,778,678,2709,9,7,18,32,59,78,112,141,117,579,5,14,9,20,32,69,161,231,144,692,198,1074,944,707,824,640,428,294,284,5391,0,8,7,16,33,64,126,163,134,556,426,533,555,624,802,928,924,692,600,6084,9336,7549,8109,7238,6606,4758,2690,1124,432,47846
