SED_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED20106,8228,8083,20445,14274,10699,8793,6174,3277,977,80946
SED20207,25512,11469,15432,21413,14192,9594,6750,3072,1101,108534
SED20302,25362,11786,17584,17368,12615,11993,11190,5951,1961,115817
SED20401,11394,6915,9122,9776,8567,7481,6116,3635,1681,64685
SED20508,11976,6489,6395,8042,8775,10130,11357,6074,2100,71339
SED20604,13209,7810,8156,8401,8863,9520,8557,4341,1548,70404
SED20704,14204,8831,9251,8796,8677,8905,7723,4031,1692,72117
SED20804,10697,6592,7756,7601,7935,8535,8112,4646,1885,63757
SED20906,12876,7992,7389,9999,10398,7677,5335,3287,1821,66780
SED21001,11095,10270,10761,9698,9907,8367,6507,4236,2597,73444
SED21106,10069,7079,6717,7941,9907,8397,6281,3892,1930,62206
SED21203,15492,10213,12275,10099,8487,7743,5074,3476,1506,74380
SED21303,8952,8780,19609,12828,8825,6521,4457,2848,1476,74300
SED21401,10071,7563,8038,8607,8605,8350,7052,6010,2811,67111
SED21503,9745,8117,9138,8248,8100,6821,5654,3621,1477,60935
SED21608,12970,7983,8598,8516,8797,8458,7281,3554,1266,67425
SED21706,11373,10300,9361,8892,9474,7897,5877,3599,2091,68864
SED21805,13127,7389,9544,10452,10031,8795,6645,3498,1360,70841
SED21906,11059,7877,12322,9926,8297,6851,6493,3213,1750,67787
SED22005,11601,9626,14124,10642,8922,7805,6521,4410,2321,75965
SED22105,32571,15738,21200,22726,14512,10081,6619,3257,1176,127892
SED22201,11217,6754,8420,8789,7762,7265,6132,3914,1585,61836
SED22305,14020,9248,13787,11366,8594,7847,6252,3696,1513,76335
SED22404,10303,6425,6184,6857,8612,9900,8564,4203,1315,62365
SED22501,11320,6840,5349,7976,8792,8222,6946,3341,1039,59815
SED22607,10765,8435,12442,10475,9619,8087,5834,2896,1454,70008
SED22704,10811,6912,7028,7076,8883,10570,9819,5343,1940,68383
SED22802,11537,7472,8136,8064,8045,7379,5906,3341,964,60851
SED22901,10229,6865,7388,8577,7628,7470,6731,3606,1608,60096
SED23007,12411,9590,19000,13860,10025,8154,5960,3323,1455,83789
SED23101,10081,7481,6610,8147,8352,7037,6446,4991,2256,61409
SED23205,10928,7003,8640,8418,8325,7627,6352,3922,1776,62994
SED23308,11006,7989,10653,8718,8322,8118,6745,3832,1688,67063
SED23402,17970,10394,12192,12138,10902,9074,6636,3701,1303,84305
SED23502,10091,5720,6056,6177,7336,9968,10844,5880,1826,63901
SED23602,9939,5824,6031,6534,7669,9169,8946,4528,1574,60218
SED23702,13382,8765,9194,8995,9468,9472,7533,4036,1298,72135
SED23806,9494,9268,10758,8485,8343,7146,5835,3547,1543,64418
SED23901,11637,7691,9412,9754,8915,8053,6312,3835,2023,67639
SED24006,10507,9487,6737,7266,9401,8524,6196,3884,2027,64029
SED24105,13536,9984,11199,10941,9696,8444,6809,3846,1479,75941
SED24207,22765,12842,16173,17500,12948,9186,6827,2812,735,101777
SED24308,12399,8802,10785,8915,8954,8210,6927,3887,1635,70504
SED24408,9881,5895,6260,5959,7038,8784,7869,4705,2075,58458
SED24504,12054,6443,5500,8155,9964,9502,8241,3984,1202,65038
SED24606,8642,7855,9166,7567,8091,6899,5983,4053,1891,60148
