SED_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
SED20106,580,100,10,5,466,60,1214,805,579,82,30,1002,170,2666,2825,2755,431,121,3196,717,10032,2016,2410,490,206,1607,487,7213,1540,1846,398,134,978,376,5271,1196,1492,322,114,938,341,4402,687,958,292,92,744,211,2989,319,443,149,45,512,139,1601,72,77,21,11,183,59,421,10034,10654,2195,763,9619,2549,35812,589,156,19,4,449,63,1274,880,814,134,47,862,191,2926,2446,3503,748,394,2630,694,10408,1339,2395,1000,753,1116,463,7062,959,2087,875,506,698,307,5429,730,1634,725,349,700,250,4384,332,1056,626,328,642,194,3186,175,428,269,200,459,143,1676,81,91,41,34,234,76,556,7531,12159,4431,2609,7782,2392,36907,1171,247,23,3,916,123,2489,1685,1394,219,74,1861,360,5593,5267,6260,1176,519,5821,1406,20445,3357,4807,1490,953,2725,942,14274,2494,3938,1273,638,1674,687,10699,1926,3124,1052,465,1635,593,8793,1018,2017,919,429,1389,405,6174,495,864,421,242,970,278,3277,149,165,61,53
SED20207,1146,256,18,12,1431,180,3040,875,365,64,28,1333,228,2890,1769,1766,394,173,2696,560,7369,2222,3539,1065,466,2732,617,10646,1762,2355,647,248,1751,363,7118,1110,1425,411,186,1325,240,4699,544,804,332,175,1197,130,3179,230,296,152,77,565,72,1384,58,49,22,19,232,21,397,9721,10846,3098,1387,13252,2417,40720,1177,327,40,9,1123,137,2814,852,612,136,74,889,163,2732,1165,2243,1045,1068,2031,514,8061,803,2909,2255,2249,2046,509,10768,655,2346,1407,1114,1254,292,7079,459,1391,947,745,1156,200,4900,302,737,644,532,1185,169,3570,154,348,232,195,663,83,1683,86,83,44,28,399,54,698,5654,11002,6754,6007,10760,2126,42303,2325,583,56,24,2553,317,5853,1732,974,204,99,2220,387,5620,2934,4007,1438,1242,4730,1072,15432,3026,6446,3317,2713,4777,1131,21413,2414,4703,2056,1364,3004,649,14192,1565,2818,1363,928,2480,442,9594,843,1541,974,704,2380,303,6750,385,643,386,269,1230,156,3072,142,133,68,53
SED20302,1246,245,28,8,1326,206,3067,930,432,67,26,1265,173,2895,2132,2238,483,194,2778,535,8367,1958,2774,858,413,2172,482,8646,1519,2006,595,256,1476,398,6257,1271,1819,545,245,1487,286,5655,898,1509,712,392,1447,366,5333,388,604,344,266,991,254,2851,70,97,62,47,361,144,788,10418,11724,3707,1858,13301,2858,43859,1232,337,46,16,1069,213,2908,805,729,194,119,909,155,2918,1081,2572,1286,1595,2137,546,9221,674,2358,1801,1941,1501,450,8723,661,2136,1278,925,1020,343,6357,633,2047,1251,868,1191,350,6341,421,1344,1267,983,1466,375,5858,257,589,465,451,1024,308,3101,96,128,86,60,598,207,1173,5859,12238,7670,6967,10919,2950,46599,2479,577,75,23,2394,422,5970,1736,1159,259,144,2173,335,5815,3217,4808,1774,1792,4912,1086,17584,2632,5129,2655,2348,3672,933,17368,2184,4140,1874,1183,2494,740,12615,1903,3866,1801,1117,2672,637,11993,1319,2855,1980,1380,2917,741,11190,650,1193,810,719,2017,568,5951,171,226,146,109
SED20401,844,93,11,3,751,68,1774,738,251,25,14,702,81,1814,1313,1281,248,96,1243,231,4414,1149,1776,505,195,994,216,4836,1075,1494,377,158,910,194,4204,932,1214,328,137,879,146,3630,495,818,347,167,814,138,2770,270,400,190,103,579,131,1667,90,87,33,26,293,106,632,6904,7416,2058,889,7168,1307,25740,763,134,17,0,584,73,1574,622,445,52,35,524,74,1754,907,1617,598,535,834,207,4707,521,1498,1049,983,682,206,4939,512,1576,919,605,604,137,4359,448,1314,826,466,671,126,3855,253,830,713,537,855,152,3343,188,339,315,273,677,181,1972,85,123,59,35,498,246,1051,4307,7876,4557,3470,5932,1402,27548,1612,227,24,4,1338,138,3345,1362,696,83,45,1224,157,3572,2217,2906,855,628,2080,433,9122,1677,3275,1548,1176,1673,425,9776,1584,3073,1298,763,1511,335,8567,1379,2528,1153,605,1551,271,7481,749,1645,1059,710,1669,285,6116,456,739,507,371,1259,311,3635,174,211,90,63
SED20508,907,120,9,0,721,115,1874,617,205,35,13,565,61,1495,981,983,192,87,726,129,3090,1003,1489,456,166,511,159,3783,1019,1632,446,155,647,211,4111,1086,1679,538,216,806,233,4568,965,1748,805,385,1227,315,5450,395,746,410,254,818,267,2890,96,109,87,62,364,143,856,7077,8707,2980,1341,6387,1629,28119,901,154,17,5,555,94,1731,565,333,60,34,341,64,1395,571,1158,528,525,404,129,3303,389,1404,1070,901,318,179,4258,478,1862,1097,640,427,163,4659,619,1959,1253,756,735,234,5561,387,1558,1487,1059,1102,327,5907,230,563,579,583,899,327,3190,108,145,95,84,534,267,1241,4243,9135,6172,4583,5317,1786,31242,1806,276,27,5,1282,211,3600,1183,538,93,47,905,128,2890,1551,2140,715,610,1128,251,6395,1391,2890,1524,1070,828,331,8042,1498,3495,1541,792,1070,372,8775,1707,3637,1792,978,1548,472,10130,1353,3306,2288,1438,2325,639,11357,627,1307,990,834,1724,590,6074,206,259,178,142
SED20604,961,178,10,16,921,168,2249,628,303,35,32,701,136,1837,1119,1223,301,134,980,304,4054,949,1454,421,181,677,301,3981,1077,1530,441,164,795,281,4289,1080,1494,527,208,1008,284,4599,734,1173,571,303,1189,268,4243,302,486,231,162,743,178,2103,82,88,44,34,289,59,594,6920,7919,2581,1242,7302,1982,27943,975,248,27,14,598,156,2018,489,450,112,68,459,124,1700,556,1339,649,708,602,250,4102,438,1425,1026,833,455,244,4416,441,1757,1022,597,521,245,4576,459,1739,1071,657,767,223,4923,296,990,927,855,996,249,4321,179,394,368,358,741,200,2242,99,118,61,56,500,123,955,3938,8458,5258,4155,5633,1804,29251,1937,426,42,29,1516,319,4265,1114,752,151,99,1160,266,3539,1676,2556,945,846,1580,547,8156,1390,2873,1448,1023,1126,542,8401,1518,3287,1462,760,1319,524,8863,1539,3228,1598,865,1779,509,9520,1030,2168,1498,1159,2188,523,8557,483,884,595,530,1482,373,4341,177,201,98,89
SED20704,1028,186,15,3,846,151,2230,845,381,49,19,798,104,2191,1260,1398,337,128,1038,259,4423,1028,1534,476,198,672,227,4141,1033,1480,428,165,754,258,4121,1045,1398,406,187,888,269,4194,693,1054,528,263,975,219,3729,269,461,230,158,612,151,1881,77,92,61,45,308,80,659,7280,7985,2527,1163,6897,1717,27573,1056,250,30,9,697,125,2165,734,635,136,83,547,106,2252,691,1586,783,802,716,247,4828,397,1559,1034,985,432,246,4654,456,1700,1022,660,508,212,4560,550,1476,1056,647,747,239,4710,310,924,888,779,888,200,3992,199,361,371,377,650,189,2157,122,114,78,78,503,137,1029,4526,8609,5391,4413,5698,1710,30343,2087,431,42,9,1546,276,4395,1580,1015,187,98,1345,210,4442,1959,2983,1121,930,1750,514,9251,1428,3099,1507,1182,1103,476,8796,1488,3181,1449,822,1264,474,8677,1594,2873,1460,826,1642,508,8905,1001,1980,1411,1042,1860,416,7723,467,822,606,537,1268,337,4031,202,204,135,118
SED20804,751,132,10,3,665,105,1668,583,285,29,15,599,151,1669,984,1092,249,120,922,483,3858,824,1293,394,203,613,385,3717,903,1381,386,173,690,327,3855,919,1306,434,201,884,268,4008,645,1087,542,345,996,264,3880,298,482,308,189,673,211,2168,76,102,50,56,310,145,735,5980,7156,2394,1305,6358,2348,25544,741,198,21,10,591,127,1684,447,457,90,69,423,86,1574,601,1270,595,588,589,263,3900,356,1233,834,791,432,234,3884,449,1538,860,530,467,237,4082,503,1508,957,602,708,255,4530,306,1032,900,799,948,242,4233,182,445,371,406,819,266,2486,126,107,70,73,481,295,1152,3717,7774,4698,3863,5450,2011,27517,1491,331,24,13,1256,230,3346,1030,737,121,79,1024,244,3247,1586,2360,839,706,1513,745,7756,1181,2527,1228,997,1041,628,7601,1354,2915,1244,695,1158,564,7935,1421,2809,1392,796,1592,520,8535,956,2118,1445,1142,1947,511,8112,480,922,677,595,1488,477,4646,203,211,118,128
SED20906,1119,136,7,5,940,62,2269,815,292,25,15,720,69,1935,1120,1057,155,73,1093,185,3683,1119,1801,497,185,871,174,4647,1307,1963,490,206,862,150,4976,966,1400,335,130,767,138,3736,524,763,282,120,691,81,2464,253,317,145,73,513,85,1396,120,92,62,23,304,39,642,7344,7822,2002,830,6762,982,25743,1042,177,9,0,751,68,2048,708,398,49,22,503,64,1737,816,1265,386,324,760,156,3711,569,1717,1189,966,728,183,5356,524,2040,1338,729,617,171,5422,453,1424,820,469,665,113,3938,281,773,601,422,656,148,2870,204,421,312,227,605,131,1891,173,187,85,64,578,99,1182,4763,8391,4793,3215,5861,1139,28157,2165,313,17,5,1697,136,4321,1522,694,68,30,1221,135,3672,1939,2323,541,400,1849,341,7389,1683,3511,1692,1151,1601,362,9999,1835,4002,1823,937,1484,321,10398,1421,2827,1159,590,1424,251,7677,802,1533,886,547,1343,227,5335,452,741,462,302,1114,220,3287,287,276,152,85
SED21001,1123,160,12,7,917,73,2289,1057,505,54,29,1168,168,2988,1405,1387,237,102,1892,369,5402,1012,1654,463,191,1132,191,4635,1132,1851,507,148,820,175,4638,924,1509,467,143,806,128,3979,593,1029,430,148,688,122,3005,336,516,233,99,532,101,1812,128,163,67,44,403,104,910,7713,8773,2473,915,8356,1426,29662,1199,220,14,5,691,76,2206,966,624,99,47,882,172,2785,1089,1544,493,349,1584,317,5365,531,1485,1024,884,962,180,5068,465,1803,1309,774,744,174,5271,460,1546,983,580,693,127,4390,315,937,851,536,727,133,3507,253,523,478,302,692,164,2417,162,251,150,87,797,246,1685,5438,8932,5398,3560,7777,1588,32687,2323,376,27,14,1607,144,4495,2023,1130,155,74,2049,344,5774,2488,2933,730,447,3476,683,10761,1540,3135,1485,1068,2093,372,9698,1597,3651,1816,927,1565,346,9907,1383,3054,1456,725,1502,256,8367,912,1966,1280,689,1415,254,6507,593,1040,715,402,1227,267,4236,288,414,213,130
