SED_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SED20106,413,136,977,17566,22817,6626,3370,17398,4937,72719
SED20207,632,77,1101,15371,21852,9856,7395,24013,4541,83020
SED20302,957,354,1961,16278,23958,11376,8819,24222,5808,90453
SED20401,793,351,1681,11207,15296,6612,4360,13101,2709,53290
SED20508,899,418,2100,11312,17843,9158,5923,11706,3418,59362
SED20604,785,182,1548,10858,16381,7843,5394,12933,3789,57194
SED20704,810,220,1692,11809,16591,7915,5583,12588,3425,57912
SED20804,785,445,1885,9696,14932,7092,5171,11808,4355,53061
SED20906,887,135,1821,12106,16211,6793,4052,12622,2117,53903
SED21001,1198,345,2597,13148,17707,7868,4472,16130,3012,62349
SED21106,912,251,1930,12601,16569,6758,3631,10065,2521,52137
SED21203,883,131,1506,8537,9954,4332,4581,26100,5382,58886
SED21303,761,112,1476,16733,22852,7040,3462,12581,2673,65349
SED21401,1365,238,2811,11453,14725,7076,5120,16421,2244,57040
SED21503,763,117,1477,10431,13640,5813,4147,14801,2358,51188
SED21608,582,216,1266,10581,15390,7387,5340,12243,3512,54457
SED21706,1099,215,2091,12674,16932,7278,4127,13906,2573,57485
SED21805,741,182,1360,12184,16463,6526,4346,15210,2985,57707
SED21906,931,180,1750,13866,17824,6090,3277,12702,2962,56728
SED22005,1305,274,2321,11844,14797,6406,4413,23115,3785,64367
SED22105,698,126,1176,17307,22374,9698,8001,32685,5247,95316
SED22201,706,229,1585,10911,15186,6556,4103,11815,2055,50618
SED22305,831,142,1513,9995,11609,5056,4542,25702,5412,62313
SED22404,694,120,1315,9504,14875,7574,5641,10279,4181,52053
SED22501,475,130,1039,10543,15660,7514,4458,8851,1468,48500
SED22607,798,119,1454,13494,18331,6921,3934,13657,2902,59245
SED22704,1002,276,1940,9926,15072,7638,6116,13449,5374,57571
SED22802,419,72,964,10683,14680,6521,4684,10964,1777,49311
SED22901,817,232,1608,10550,13881,6161,4295,13046,1945,49873
SED23007,727,235,1455,13564,18077,6649,4549,23309,5229,71367
SED23101,1056,302,2256,10461,13777,6808,4417,13762,2095,51325
SED23205,809,365,1776,10195,14527,6213,4188,12955,3983,52067
SED23308,729,244,1688,11507,16721,7108,4522,13083,3121,56060
SED23402,666,151,1303,13819,18806,8327,6099,15792,3492,66337
SED23502,815,309,1826,8903,14093,7891,6363,11872,4688,53811
SED23602,775,228,1574,8799,13275,7284,5792,10526,4595,50279
SED23702,649,164,1298,12018,16304,7488,5333,14495,3130,58759
SED23806,740,97,1543,13739,18101,6976,3741,10289,2077,54928
SED23901,1064,144,2023,12144,17318,7374,4327,12466,2371,56001
SED24006,929,183,2027,12533,15595,7240,4439,11785,1925,53517
SED24105,884,119,1479,11237,12896,5807,4258,25149,3057,62404
SED24207,417,98,735,13090,15860,7100,6360,29467,7140,79009
SED24308,910,171,1635,10669,14195,6290,4992,17037,4925,58107
SED24408,999,276,2075,8925,12815,6515,5431,11351,3543,48584
SED24504,556,194,1202,10181,16006,8533,5968,8940,3356,52988
SED24606,875,229,1891,12683,15958,6111,3500,10937,2314,51505
SED24703,473,76,890,26326,31451,8135,3998,36024,9569,115506
SED24808,633,86,1020,12902,17360,7880,7046,23600,5191,73975
SED24904,961,265,1833,9494,12950,6361,5114,15522,5164,54597
