SED_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SED20106,921,709,284,170,183,130,59,2457,285,244,128,95,116,56,33,959,391,318,139,79,102,52,23,1107,1012,818,516,317,444,270,137,3515,12,7,5,0,0,0,0,24,2626,2097,1082,661,848,506,245,8067,88,145,88,66,86,62,51,594,39,53,38,33,39,36,13,256,32,66,36,19,41,26,14,233,83,142,119,106,141,104,49,746,15,8,3,4,0,4,0,34,258,404,282,228,317,232,132,1860,2887,2506,1361,886,1165,744,375,9921
SED20207,4330,5114,2384,1152,1290,738,366,15370,508,492,290,170,249,103,49,1859,563,551,272,165,201,96,43,1893,1694,1754,1059,686,832,406,176,6606,34,27,14,0,0,0,0,85,7134,7935,4016,2173,2569,1344,629,25812,261,426,266,209,259,143,117,1693,108,123,82,56,86,39,19,519,58,100,55,49,68,26,9,356,246,411,322,221,285,128,57,1670,31,43,16,12,7,0,0,108,697,1101,739,547,709,343,205,4338,7831,9042,4756,2716,3278,1688,839,30153
SED20302,3302,3160,1498,770,896,493,267,10401,469,447,226,164,161,61,17,1539,459,395,194,107,131,39,8,1331,3298,3052,1619,1076,1244,339,126,10746,31,45,26,10,3,0,3,125,7563,7098,3564,2121,2448,932,417,24141,158,210,131,92,129,52,52,826,95,139,88,83,56,18,11,490,38,66,53,35,48,17,8,274,593,887,519,391,472,137,44,3043,42,43,32,10,12,0,0,140,923,1345,822,620,722,234,122,4780,8481,8441,4387,2743,3172,1166,535,28923
SED20401,999,983,438,267,334,240,133,3384,224,230,136,85,108,52,28,871,331,287,155,105,95,39,17,1038,1768,1674,934,618,773,371,147,6282,0,8,10,4,4,0,0,22,3314,3186,1673,1081,1315,703,323,11595,46,78,48,42,55,50,37,363,49,62,41,28,55,26,5,270,29,29,36,18,35,16,17,176,219,396,282,208,301,122,66,1589,6,10,11,3,0,0,0,33,344,580,414,304,448,220,125,2433,3666,3764,2088,1384,1758,923,449,14030
SED20508,161,175,98,79,105,52,13,688,235,268,171,99,131,51,18,959,244,267,142,84,83,38,15,875,2309,2575,1560,985,1187,451,201,9267,19,9,13,9,5,3,0,59,2963,3303,1981,1250,1508,595,249,11850,10,20,18,17,12,12,6,91,38,76,57,39,45,20,12,279,14,30,44,18,23,5,4,146,266,523,349,284,380,117,47,1972,12,16,8,8,4,4,0,47,333,666,477,368,466,151,70,2540,3304,3967,2465,1619,1977,751,317,14383
SED20604,237,267,143,101,116,35,15,926,153,144,119,72,65,22,8,576,180,179,116,55,71,15,5,623,2590,2621,1615,1132,1308,258,76,9607,13,16,8,3,5,4,0,51,3175,3227,2003,1367,1574,331,105,11784,15,24,21,21,35,15,9,133,26,41,40,21,24,10,3,167,21,31,12,19,26,0,4,112,499,823,539,367,458,104,26,2822,20,14,6,6,4,0,0,52,578,935,628,433,544,129,43,3288,3745,4161,2634,1799,2121,466,152,15077
SED20704,388,410,185,112,159,84,30,1365,130,138,89,78,89,36,17,577,132,162,85,63,52,21,12,524,2837,2910,1699,1145,1311,466,173,10537,20,14,5,8,3,0,0,54,3501,3626,2069,1403,1611,598,241,13057,25,37,24,20,23,12,7,151,47,68,50,32,37,14,3,257,10,18,23,23,23,17,0,119,542,804,595,437,478,126,44,3029,26,20,13,5,3,5,0,63,648,942,710,514,571,164,64,3617,4152,4571,2782,1922,2189,763,302,16672
SED20804,263,248,102,70,108,50,19,858,155,159,90,54,69,26,13,561,119,133,63,51,67,12,3,444,2034,2034,1153,790,993,295,100,7401,19,4,4,4,4,0,0,38,2587,2582,1412,967,1238,387,140,9301,22,30,31,21,30,11,4,139,34,75,40,24,44,12,3,225,17,32,22,18,22,4,0,113,478,735,450,346,370,91,43,2511,19,29,13,15,9,0,0,75,560,904,548,419,460,119,49,3065,3145,3479,1965,1382,1702,501,185,12369
SED20906,1122,1527,919,526,672,449,216,5433,373,383,266,186,208,129,71,1609,434,437,256,162,198,121,54,1662,1296,1460,902,682,921,560,283,6106,7,18,7,6,0,0,0,40,3237,3826,2352,1552,2002,1263,619,14851,40,154,173,140,178,126,66,882,33,60,54,48,69,52,22,329,22,56,46,38,51,29,15,265,80,163,169,136,188,147,73,950,5,5,4,8,0,0,0,29,177,436,444,373,489,350,178,2450,3412,4265,2792,1928,2490,1613,804,17300
SED21001,1304,1502,789,508,625,422,253,5406,209,235,148,98,175,95,65,1021,300,317,208,141,186,110,54,1318,827,1202,901,645,1024,727,342,5664,10,7,7,5,0,0,0,33,2649,3268,2047,1395,2006,1360,707,13437,98,207,153,152,252,182,129,1172,37,38,30,29,41,33,12,225,28,44,23,24,37,27,18,208,55,107,126,125,167,124,72,775,0,6,7,3,8,0,0,30,224,403,341,341,499,368,237,2412,2872,3671,2393,1741,2505,1727,945,15848
SED21106,521,633,421,272,329,236,139,2556,284,338,234,161,213,146,79,1452,330,365,237,181,217,132,60,1524,1167,1400,1055,748,1098,761,376,6613,9,5,10,5,3,0,0,32,2305,2749,1962,1369,1856,1283,654,12178,29,84,105,81,90,68,42,494,28,62,43,29,56,39,27,280,16,52,57,35,34,26,17,238,73,131,119,113,158,125,82,803,4,6,4,0,6,0,0,19,148,332,325,265,341,260,171,1840,2454,3083,2284,1634,2201,1545,824,14012
SED21203,2454,2562,1450,909,1187,798,461,9817,640,559,319,194,237,109,40,2095,368,324,158,82,85,36,30,1081,723,544,251,172,215,111,52,2073,41,35,25,14,10,3,3,130,4230,4028,2207,1374,1730,1058,580,15199,221,328,259,213,319,194,119,1649,107,158,91,77,91,36,20,575,32,77,50,48,46,27,7,279,231,283,153,112,148,52,20,994,23,34,22,19,13,3,0,112,609,874,573,463,612,315,165,3609,4838,4903,2779,1837,2338,1370,745,18810
SED21303,571,462,211,105,157,111,62,1681,373,328,187,102,154,86,40,1274,460,339,191,104,135,78,41,1342,1468,1325,790,532,594,413,159,5279,5,10,3,0,0,0,0,20,2877,2464,1380,849,1038,692,299,9595,44,77,40,27,53,61,39,343,42,58,57,24,60,25,17,280,19,48,32,20,33,21,5,179,79,186,129,100,147,77,46,770,12,11,0,4,3,4,0,33,199,379,260,174,293,183,110,1610,3077,2844,1645,1015,1332,875,405,11196
SED21401,1473,1685,725,491,597,522,384,5879,199,162,111,69,134,80,54,821,305,255,126,71,123,104,44,1034,751,849,650,470,725,423,236,4104,6,14,5,0,0,0,0,35,2742,2962,1623,1111,1587,1132,726,11869,84,231,151,129,189,154,113,1043,26,56,38,24,52,27,18,227,20,32,37,27,43,26,10,190,69,139,119,109,172,106,39,757,4,12,5,4,0,0,0,27,192,476,349,291,454,306,183,2245,2929,3431,1968,1405,2038,1437,908,14122
SED21503,929,888,384,239,378,276,194,3287,237,237,143,101,122,73,55,965,251,232,135,75,104,47,19,866,1427,1318,813,599,755,415,177,5506,10,13,9,4,0,0,0,37,2851,2692,1479,1017,1354,815,450,10657,56,110,72,51,85,59,41,465,22,50,40,39,49,22,13,237,12,32,23,23,33,21,9,146,156,251,211,164,229,99,66,1173,15,4,9,6,0,0,0,32,263,434,353,277,395,203,126,2054,3118,3123,1826,1294,1753,1013,576,12716
SED21608,258,250,132,68,80,33,19,829,144,213,136,92,99,40,19,749,182,197,99,73,91,26,12,684,2482,2693,1622,1075,1173,369,123,9535,18,18,7,5,3,0,0,57,3084,3369,1992,1312,1445,470,168,11845,25,29,21,16,26,13,4,128,38,62,46,25,46,17,10,243,12,24,32,19,19,12,4,125,490,665,484,371,412,99,45,2562,14,22,12,6,5,0,0,62,573,800,596,444,507,137,65,3120,3664,4168,2590,1760,1953,604,235,14969
SED21706,1158,1321,635,444,525,365,247,4691,270,273,214,148,220,137,70,1328,319,338,200,135,179,109,55,1330,1051,1287,1031,737,1098,768,403,6374,13,12,3,3,5,0,0,48,2809,3232,2081,1464,2031,1370,783,13774,73,171,133,128,162,132,77,882,36,43,42,36,44,27,25,246,16,39,36,26,32,22,10,186,79,152,147,121,180,109,66,855,14,17,0,6,4,3,0,46,213,427,364,314,430,295,180,2220,3025,3656,2444,1773,2462,1666,961,15987
SED21805,642,718,386,255,356,196,117,2667,403,317,166,108,137,68,28,1232,466,394,201,110,161,55,35,1416,2336,1946,981,651,783,301,149,7138,13,18,9,5,3,0,0,51,3868,3392,1735,1118,1436,620,331,12503,45,94,67,63,74,43,38,421,72,97,69,54,70,22,9,398,42,66,29,20,46,20,13,236,365,545,373,278,339,112,52,2061,21,19,8,8,12,6,0,64,545,825,549,423,536,200,108,3189,4415,4215,2289,1544,1970,821,447,15698
SED21906,794,843,413,263,338,208,186,3048,574,562,327,195,230,144,63,2095,490,458,305,176,234,118,83,1869,1357,1313,862,560,760,452,279,5579,17,21,16,9,3,3,0,67,3238,3197,1912,1199,1565,928,612,12656,64,85,52,55,66,61,31,398,41,60,59,42,65,43,23,316,28,51,44,25,33,20,19,216,66,130,121,114,157,82,58,725,7,8,3,0,3,0,0,38,204,335,279,228,313,203,127,1691,3439,3529,2192,1429,1884,1133,738,14345
SED22005,2020,1972,891,546,783,590,354,7147,286,216,132,84,99,63,41,923,355,283,147,75,98,58,27,1050,833,789,497,309,413,218,89,3156,21,10,10,0,0,0,0,44,3515,3273,1679,1027,1390,926,519,12333,153,282,198,139,212,163,124,1278,49,57,37,24,50,13,21,253,39,59,26,21,32,25,10,224,105,156,123,95,145,49,36,705,22,20,9,3,4,4,0,60,367,571,388,285,444,256,199,2513,3886,3852,2073,1311,1830,1184,716,14842
SED22105,5712,6019,2998,1689,2097,1188,700,20410,626,519,268,162,172,55,24,1824,556,496,234,140,158,61,27,1668,2860,2423,1169,720,859,258,108,8393,31,28,17,7,9,3,0,99,9790,9490,4684,2719,3299,1564,853,32397,324,469,301,231,273,184,136,1915,141,128,75,59,73,25,13,510,63,108,70,59,68,22,10,397,614,751,472,341,400,104,52,2743,43,41,22,16,9,3,4,130,1187,1498,940,703,826,336,216,5699,10971,10990,5625,3423,4121,1902,1069,38095
SED22201,876,868,431,239,283,209,93,2999,245,230,110,83,88,59,24,833,253,255,134,72,77,45,28,875,1977,1715,988,619,826,394,215,6738,9,19,8,4,0,0,0,35,3361,3086,1670,1016,1277,714,359,11476,43,94,65,49,68,46,26,386,46,90,41,34,47,20,15,294,21,31,29,20,28,9,10,154,184,369,269,225,290,148,65,1543,11,7,6,5,0,3,0,32,302,592,404,334,439,226,117,2414,3662,3675,2076,1345,1712,938,475,13891
SED22305,3102,2641,1513,983,1230,767,475,10705,212,194,103,60,85,40,22,725,285,242,111,72,59,39,22,829,529,400,209,137,171,65,36,1546,37,23,11,12,7,6,0,93,4165,3502,1947,1266,1554,911,550,13894,232,367,254,205,331,204,152,1746,75,86,47,38,60,13,5,316,46,63,30,27,38,15,4,222,168,215,117,84,109,50,10,753,43,61,23,9,12,5,3,156,562,792,473,365,538,291,180,3195,4724,4298,2418,1627,2098,1198,726,17089
SED22404,87,87,63,45,88,25,16,404,117,186,150,93,88,40,10,690,154,173,135,61,79,22,9,627,2036,2147,1334,849,1044,311,117,7838,8,18,10,7,8,0,0,52,2408,2605,1684,1061,1304,396,151,9610,3,15,12,8,13,6,3,58,34,41,47,27,46,11,5,211,3,19,21,17,33,9,11,113,263,415,324,244,289,97,26,1655,15,17,9,10,5,0,0,60,323,500,416,311,386,122,51,2105,2732,3103,2098,1372,1685,522,206,11719
SED22501,431,500,253,180,202,146,63,1771,338,403,267,144,197,95,44,1485,311,350,177,105,150,98,53,1251,1912,2196,1361,896,1208,701,355,8635,4,14,0,0,0,0,0,21,2989,3460,2054,1327,1764,1045,512,13158,20,38,35,20,36,15,21,189,20,47,51,28,39,23,16,223,17,37,33,28,34,21,16,190,123,226,225,194,246,118,69,1205,0,0,5,3,3,0,0,13,182,350,351,278,360,177,116,1818,3176,3816,2409,1605,2127,1220,634,14980
