SED_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SED20106,61,102,69,44,76,48,35,431,14,13,8,10,8,11,0,62,5,8,4,3,0,0,0,20,145,251,187,169,229,164,79,1224,13,14,5,8,5,8,6,48,6,18,3,6,5,4,4,48,20,32,9,5,11,7,8,96,169,282,193,171,242,177,90,1320,86,125,87,52,78,59,42,530,6,0,0,0,0,3,0,10,258,404,282,228,317,232,132,1860
SED20207,134,266,208,146,194,87,55,1087,34,37,15,15,22,13,4,136,16,12,17,13,14,5,0,68,301,631,499,371,504,242,140,2695,22,42,31,15,21,11,7,153,31,51,24,25,18,6,3,151,51,90,58,36,40,17,11,307,353,720,557,406,547,259,153,2999,324,373,179,135,155,86,53,1308,19,11,3,6,0,0,0,35,697,1101,739,547,709,343,205,4338
SED20302,245,415,261,213,232,59,31,1450,33,41,27,16,20,3,3,151,17,24,8,8,12,7,0,78,404,776,510,432,515,167,85,2892,20,29,31,19,21,3,0,115,16,33,22,11,10,0,4,97,34,64,47,26,35,7,11,215,438,837,557,456,548,178,92,3110,463,491,252,154,167,57,23,1606,16,17,14,12,9,0,0,68,923,1345,822,620,722,234,122,4780
SED20401,95,198,129,107,137,78,33,772,16,17,16,10,14,6,0,78,0,10,0,3,4,0,0,19,155,365,289,226,340,187,100,1659,5,3,9,0,6,3,0,29,14,13,5,0,6,0,0,38,12,24,16,0,9,3,0,69,173,386,307,224,354,190,98,1728,172,188,105,76,93,33,21,697,0,8,3,0,0,0,0,7,344,580,414,304,448,220,125,2433
SED20508,94,266,178,138,171,51,22,915,19,24,15,15,13,0,0,95,5,16,5,4,9,0,0,34,166,441,343,266,373,119,51,1759,0,7,4,4,4,4,0,38,11,18,9,6,3,5,3,55,14,29,15,9,12,9,4,93,181,470,363,276,388,125,55,1851,152,195,116,91,77,24,12,665,8,7,4,5,0,0,0,23,333,666,477,368,466,151,70,2540
SED20604,152,292,200,130,173,25,11,989,23,32,15,9,8,6,0,97,4,13,15,3,6,0,0,48,247,569,414,287,387,94,36,2032,8,18,8,6,9,4,0,57,18,20,16,8,7,4,0,70,23,37,21,15,12,11,0,128,269,603,436,299,397,102,36,2154,304,324,186,126,141,25,8,1112,0,3,3,4,6,0,0,25,578,935,628,433,544,129,43,3288
SED20704,168,321,240,172,183,51,14,1146,40,27,14,10,15,4,5,119,12,10,15,0,6,4,0,39,295,548,498,360,414,132,44,2288,8,18,10,10,4,0,0,61,13,28,15,13,14,0,0,85,24,49,31,20,21,0,0,144,322,595,525,376,438,133,46,2433,318,330,179,141,133,25,11,1145,6,10,7,4,5,0,0,35,648,942,710,514,571,164,64,3617
SED20804,145,302,199,131,159,34,7,987,30,41,21,6,11,4,7,116,3,14,5,3,3,0,0,37,232,524,370,268,333,89,37,1856,10,15,4,9,6,5,0,52,11,23,16,9,5,0,0,64,14,38,17,21,15,6,0,112,248,565,391,293,350,93,37,1971,306,323,153,127,109,25,16,1048,7,13,12,3,6,0,0,46,560,904,548,419,460,119,49,3065
SED20906,65,127,133,111,126,82,37,685,15,13,18,7,9,3,6,69,0,0,0,3,0,0,3,15,116,322,344,271,372,280,142,1844,6,3,8,15,9,0,3,41,0,5,5,6,4,5,7,34,8,9,16,17,11,3,11,81,125,331,363,293,380,281,147,1922,53,99,79,72,106,63,33,502,0,4,8,8,0,0,0,17,177,436,444,373,489,350,178,2450
SED21001,59,132,120,105,141,87,66,713,11,8,5,7,8,6,7,50,0,0,0,5,6,0,3,10,134,266,233,226,343,258,165,1621,3,9,5,3,5,3,3,32,20,13,9,4,9,4,7,66,17,23,12,14,9,10,13,95,149,293,246,238,350,265,174,1714,78,111,89,101,143,99,61,687,0,0,7,0,0,3,0,8,224,403,341,341,499,368,237,2412
