SED_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SED20106,138,233,234,116,242,227,59,120,16,1380,84,194,180,118,405,503,105,257,318,2164,2362,5505,5168,2976,9688,12462,3114,7203,595,49076
SED20207,132,243,217,123,336,317,77,120,14,1577,74,218,220,114,509,522,92,209,483,2445,2438,6393,5403,3661,12162,13555,2820,5117,943,52488
SED20302,184,298,266,140,440,382,103,183,20,2008,151,266,202,149,564,519,93,200,483,2623,2982,7467,6405,4508,12026,11011,2646,5148,1093,53279
SED20401,83,199,173,106,298,278,71,124,10,1340,65,150,144,105,398,315,74,134,205,1588,1636,4584,3832,2616,7421,7302,1931,3053,435,32811
SED20508,106,243,185,94,198,208,56,130,19,1239,61,149,106,83,143,209,51,91,208,1105,2033,5522,4215,2846,5476,6239,1705,3318,534,31894
SED20604,69,177,141,71,216,242,64,151,19,1162,47,161,94,63,208,214,55,83,256,1180,1810,4712,3785,2954,6533,6961,2001,4225,636,33619
SED20704,70,222,160,80,249,233,55,144,6,1220,47,130,103,66,177,191,36,118,231,1098,1965,5286,4172,3093,7029,6369,1856,3865,508,34145
SED20804,71,196,146,91,207,215,59,90,5,1076,63,154,95,67,194,202,35,105,176,1096,1570,4632,3731,2729,5581,5310,1470,2924,457,28396
SED20906,93,180,144,108,171,179,59,112,9,1050,52,161,115,69,249,294,57,163,187,1354,1647,5014,3891,2590,6430,8192,2127,4162,382,34435
SED21001,61,218,201,106,208,202,49,108,0,1153,54,207,204,96,264,298,46,108,277,1564,1696,6057,4824,2785,6858,7954,1865,3892,463,36381
SED21106,73,193,119,89,123,143,51,90,4,880,41,210,133,83,176,314,83,207,176,1413,1516,5093,3426,2393,4605,7042,2178,5693,372,32320
SED21203,70,159,133,83,221,171,36,49,15,943,76,202,188,98,372,284,55,80,476,1827,1201,3813,3509,2056,5943,4837,1029,1651,894,24934
