SED_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
SED20106,0,4,0,0,6,0,4,8,70,0,78,4,3,0,6,0,5,7,14,19,0,28,0,0,0,4,0,3,5,8,24,0,32,0,8,0,11,4,3,9,24,35,0,58,0,10,5,17,4,8,10,33,47,0,82,3,24,6,37,3,3,9,40,74,0,121,9,35,9,52,0,6,3,57,67,0,120,16,48,0,69,6,6,7,79,71,0,157,36,46,5,90,3,3,7,90,82,0,173,59,47,14,113,5,3,8,113,64,0,178,68,29,4,103,7,0,6,113,40,0,152,72,26,8,105,0,0,0,114,40,0,151,170,51,5,232,0,0,0,233,40,0,272,45,8,4,63,3,0,3,60,19,0,80,79,7,5,91,0,0,0,92,18,0,108,21,3,0,27,0,0,0,27,8,0,32,186,30,5,224,4,0,3,228,27,0,253,56,42,5,100,5,0,3,111,51,5,167,7,0
SED20207,0,3,4,9,6,5,15,24,106,3,125,4,3,0,4,7,0,6,11,23,0,35,3,6,4,10,9,8,14,30,36,0,64,0,11,0,20,6,6,13,29,41,0,74,3,33,5,38,11,7,18,56,90,0,148,6,52,11,75,11,12,22,97,129,0,229,24,105,24,154,11,11,20,177,146,0,323,72,111,19,201,5,14,22,227,166,0,389,147,119,9,276,10,5,12,292,162,5,458,146,103,19,273,9,6,17,283,108,0,398,157,70,6,234,6,3,9,243,91,0,341,159,47,12,213,0,3,6,216,73,0,294,266,74,19,362,9,6,12,375,107,0,484,122,28,0,150,3,0,8,159,59,0,214,88,18,6,113,0,0,0,115,23,0,137,35,5,5,42,0,0,0,42,12,0,52,85,15,4,102,6,0,6,110,27,0,134,86,50,18,153,3,4,8,160,96,9,267,13,3
SED20302,0,3,4,13,4,7,12,19,57,0,78,0,4,0,12,3,0,3,12,13,0,29,3,5,9,19,3,0,5,25,34,0,53,0,24,4,30,7,0,8,41,64,0,106,0,40,13,49,13,7,22,75,127,0,203,16,104,30,143,8,12,18,159,175,0,337,44,164,19,226,10,14,20,252,204,0,456,95,173,23,295,6,9,18,310,247,0,558,171,149,16,340,4,6,11,351,190,0,543,163,124,13,305,0,8,8,316,117,0,429,131,100,8,235,0,3,9,244,69,3,312,129,49,18,195,0,0,0,201,67,0,266,203,70,11,285,4,0,7,295,73,0,368,96,31,6,127,6,0,6,132,39,0,172,59,10,7,77,0,0,0,77,15,0,95,30,6,3,34,0,0,0,34,4,0,41,34,8,0,44,0,0,0,48,16,0,65,101,64,8,178,4,4,5,183,100,12,299,3,3
SED20401,5,0,0,5,0,0,0,5,45,0,51,0,4,0,6,0,4,3,9,12,0,20,0,5,5,3,0,0,5,11,13,0,24,0,17,0,15,6,6,8,28,35,0,64,0,25,3,32,3,3,8,36,71,0,107,0,41,3,47,3,10,9,58,94,0,150,20,96,11,123,0,3,7,128,102,0,233,54,97,15,161,3,3,3,168,145,3,312,100,92,12,209,0,5,4,216,152,0,368,118,99,13,231,3,5,7,232,99,0,331,93,83,15,196,3,3,5,201,66,0,269,103,37,0,139,0,0,0,140,60,0,197,166,57,9,235,0,0,0,236,61,0,293,91,27,5,132,4,0,4,132,32,0,162,64,14,3,87,0,0,0,87,7,0,96,28,16,6,49,0,0,3,51,15,0,62,40,6,3,51,0,0,0,51,18,0,65,85,37,11,127,4,4,4,132,65,0,199,3,10
SED20508,0,0,0,9,0,4,5,10,19,0,28,0,0,0,5,0,0,0,5,7,0,11,0,5,3,13,3,0,3,12,15,0,35,0,0,3,6,0,5,3,10,33,0,44,0,24,4,32,0,0,0,37,44,0,79,3,56,12,69,6,6,14,86,82,0,165,22,85,10,109,0,0,8,117,81,0,200,43,112,13,167,5,9,13,179,132,0,313,72,110,6,197,3,6,6,205,107,0,315,77,102,10,191,3,4,3,202,79,0,283,76,65,9,149,4,0,3,154,57,0,209,80,35,6,124,0,0,0,124,26,0,152,145,64,15,225,0,0,0,227,47,0,278,60,21,0,85,0,0,0,89,22,0,109,42,10,0,54,0,0,0,58,6,0,62,21,7,0,27,0,0,0,27,6,0,37,49,16,0,66,0,0,0,66,11,0,72,76,63,10,147,0,4,3,154,63,8,219,4,3
SED20604,0,0,0,0,0,0,8,5,25,0,31,0,0,0,0,0,0,0,0,6,0,11,0,5,6,5,4,0,3,10,17,0,27,0,15,0,13,0,0,3,17,56,0,77,0,23,8,27,8,4,15,42,99,0,140,10,64,14,84,3,12,16,100,148,0,251,31,114,21,167,5,10,16,181,129,0,307,74,121,5,201,16,3,15,215,139,3,358,127,114,8,247,0,6,8,255,134,0,390,127,93,14,235,0,7,10,241,99,0,338,107,56,7,163,0,0,0,161,50,0,212,95,32,6,134,0,0,0,139,39,0,179,147,43,13,211,0,5,5,214,46,0,259,46,10,6,68,0,0,0,68,16,0,86,41,8,4,51,0,0,0,51,4,0,56,5,7,0,12,0,0,0,12,4,0,13,28,6,0,32,0,0,0,36,7,0,43,76,50,6,138,5,0,5,144,63,8,208,3,9
SED20704,0,0,0,0,3,0,3,7,23,0,26,0,0,0,0,0,0,0,5,10,0,11,0,6,0,7,0,5,5,9,15,0,25,0,17,5,15,5,6,8,24,42,0,70,0,30,8,41,3,9,11,52,94,0,148,8,80,6,94,17,6,21,116,146,0,259,23,114,15,153,6,13,16,172,119,0,291,55,153,15,235,5,8,13,245,184,0,426,113,123,11,250,3,4,5,257,151,0,408,122,102,12,239,4,0,4,242,117,3,364,143,68,12,223,4,0,5,228,53,0,286,112,47,10,166,0,0,0,174,38,0,211,187,66,11,269,4,0,4,270,53,0,329,57,24,0,82,0,0,0,80,16,0,102,42,10,3,55,0,0,0,59,9,0,68,18,3,3,27,0,0,0,27,5,0,30,26,8,0,39,0,0,0,39,13,0,47,59,40,8,106,8,0,3,114,60,3,179,5,0
SED20804,0,0,0,0,0,0,5,3,14,0,25,0,0,0,0,0,0,0,0,13,0,15,0,0,0,3,0,3,8,10,27,0,33,0,18,3,19,4,3,12,28,53,0,85,0,31,5,38,3,3,12,51,110,0,161,9,77,17,99,8,13,17,119,136,0,262,30,131,12,175,4,7,10,187,144,4,331,56,136,18,208,0,3,6,215,188,0,407,86,131,13,227,0,5,7,231,147,0,380,97,98,10,205,3,0,3,208,115,0,324,93,66,4,167,0,0,4,169,53,0,221,88,24,4,127,0,0,0,127,29,0,160,145,53,6,205,0,0,0,206,46,0,252,58,23,7,84,3,0,3,83,19,0,104,38,6,4,51,0,0,0,51,8,0,57,9,3,0,17,0,0,0,17,12,0,25,20,4,0,18,0,0,0,18,11,0,34,81,59,10,150,5,3,9,160,60,4,218,0,4
SED20906,0,3,4,9,0,3,4,13,89,0,101,0,5,0,15,4,0,4,17,21,0,38,6,7,0,15,4,5,8,25,30,0,49,8,11,3,20,3,3,6,27,19,0,49,4,13,0,13,3,0,4,22,49,0,73,8,57,5,66,6,3,5,75,59,3,134,9,46,6,62,6,3,8,68,56,0,124,33,73,10,122,4,10,10,127,124,0,249,62,78,3,140,4,0,0,143,96,0,246,85,73,5,164,0,3,3,167,92,0,262,96,62,5,160,4,0,3,164,65,0,230,90,42,0,137,0,0,0,138,44,0,180,218,71,9,296,3,4,8,306,59,0,365,78,15,4,106,0,0,0,106,34,0,139,97,18,3,121,0,0,5,123,18,0,145,28,9,0,28,0,0,0,28,6,0,39,154,5,10,168,0,0,0,173,24,0,199,77,39,8,128,7,0,7,135,50,6,187,5,0
SED21001,0,4,0,5,4,5,8,16,171,0,191,0,10,5,12,0,3,3,18,27,0,39,0,9,4,14,0,5,6,18,47,0,67,5,16,0,21,0,6,5,26,37,0,64,3,28,9,39,0,9,16,48,66,0,119,6,55,12,63,6,7,14,75,71,0,145,14,62,9,83,0,0,4,89,56,0,146,31,55,6,93,3,3,9,100,93,0,190,71,85,4,160,5,0,8,174,100,0,271,70,63,7,135,0,5,10,141,75,0,220,80,47,4,131,0,3,0,131,57,0,186,80,37,5,124,0,0,6,128,55,0,180,155,55,13,219,3,0,6,224,75,0,301,71,33,4,114,4,0,5,116,34,0,154,56,22,3,80,0,0,0,82,19,0,99,32,7,0,35,0,0,0,38,15,0,55,113,21,3,136,3,0,3,136,31,0,171,72,36,8,114,0,0,0,113,52,9,176,5,0
