SED_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED20106,310,293,606,115,133,249,8,4,10,1283,1540,2825,81,108,191,6932,4271,11211,294,513,806,44,3,53,255,41,297,686,330,1014,166,128,293,1915,1826,3739,12088,9192,21282,58,62,125,0,0,0,125,143,267,11,9,14,0,13,13,44,27,69,237,249,483,0,0,0,30,45,81,7,6,10,0,4,4,3,10,11,47,61,104,207,184,383,486,489,975,106,112,219,7,7,13,38,20,53,147,144,292,10235,11172,21407,1976,2960,4938,101,89,186,25027,24044,49076
SED20207,613,678,1288,66,125,187,9,0,12,4,0,9,52,64,117,14650,9666,24313,770,1151,1921,156,6,165,115,16,132,132,43,179,129,83,215,166,252,413,16865,12083,28949,136,197,336,0,0,0,35,51,80,177,99,276,25,61,87,26,8,36,402,414,818,0,0,0,0,0,0,10,9,18,18,31,44,0,3,3,27,42,68,174,101,275,604,557,1162,132,180,316,3,6,13,4,3,9,138,194,335,8072,8468,16538,2026,3254,5277,133,95,228,27840,24656,52488
SED20302,300,301,601,45,78,120,11,5,14,4,0,7,50,48,103,18719,13568,32291,917,1134,2048,407,6,418,85,9,96,119,46,159,177,92,265,411,439,849,21246,15718,36966,67,104,170,0,0,0,15,16,31,98,46,145,10,23,29,14,4,18,204,193,394,4,0,4,0,0,0,5,3,13,6,15,28,6,4,3,21,21,44,181,117,299,404,331,735,38,62,99,4,3,9,12,0,10,49,74,118,3939,5247,9185,2123,3800,5924,206,148,353,27962,25312,53279
SED20401,300,238,536,95,89,179,0,5,6,0,3,3,24,23,50,9825,7523,17351,479,559,1038,153,6,158,63,3,68,104,18,122,56,33,93,177,160,340,11275,8662,19934,49,42,91,0,0,0,9,13,20,65,42,106,10,14,21,10,5,13,144,111,253,0,0,0,0,0,0,3,3,7,3,16,19,7,5,10,19,23,40,97,57,157,256,198,452,23,37,60,0,0,0,8,5,10,34,39,75,3862,4408,8272,1312,2668,3980,58,44,98,16792,16017,32811
SED20508,46,17,65,66,84,151,14,0,16,3,0,6,16,8,22,9857,8387,18241,495,557,1049,180,3,178,44,6,52,111,52,162,61,52,106,244,287,535,11136,9454,20586,6,0,6,0,0,0,0,0,4,32,15,50,0,3,5,0,0,0,44,22,67,0,0,0,0,0,0,0,5,12,4,14,14,5,4,6,5,24,35,81,51,132,131,101,226,13,8,23,0,3,3,4,0,4,20,10,30,2964,3762,6729,1463,2649,4111,111,86,205,15828,16059,31894
SED20604,5,0,5,44,34,74,13,0,12,4,0,6,26,17,37,11639,10292,21931,668,710,1372,204,5,209,118,18,133,157,52,207,131,62,195,780,634,1409,13776,11830,25607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,0,0,0,0,3,0,5,0,10,8,0,4,4,3,11,17,122,63,184,127,79,206,0,0,0,0,5,5,6,0,8,6,6,12,1756,2283,4044,1305,2223,3526,110,109,225,17090,16524,33619
SED20704,22,16,32,106,100,204,3,3,7,7,0,5,17,18,36,11593,10118,21715,700,844,1547,214,4,220,80,14,92,126,53,184,61,33,100,320,296,624,13259,11504,24764,7,0,6,0,0,0,0,0,4,4,0,4,0,0,4,4,0,4,12,6,23,0,0,0,0,0,0,5,0,11,15,16,29,7,8,10,27,22,49,106,65,172,141,98,239,3,3,7,5,7,6,7,4,8,15,8,24,2113,2766,4878,1441,2637,4079,92,72,167,17059,17085,34145
SED20804,52,39,92,65,98,161,7,0,13,0,0,0,19,22,39,9157,7909,17068,618,653,1274,176,5,182,64,4,69,164,80,247,53,27,86,491,461,953,10867,9305,20173,3,8,6,0,0,0,3,0,3,9,8,18,0,4,9,20,3,18,35,18,58,0,0,0,0,0,0,9,3,10,3,21,26,6,5,7,13,27,42,80,48,129,127,93,223,8,8,13,6,0,8,0,0,0,12,10,22,1899,2575,4474,1207,2134,3337,90,72,164,14207,14190,28396
SED20906,464,376,837,83,101,180,3,0,3,8,9,13,26,27,56,7436,6146,13583,330,527,862,87,5,92,71,9,79,184,48,227,65,50,112,220,297,518,8985,7584,16570,68,75,142,0,0,0,23,35,57,79,45,125,4,11,21,18,7,22,197,168,366,0,0,0,0,0,0,5,3,6,3,9,17,0,8,7,12,23,31,61,45,107,264,240,501,45,39,85,5,3,4,0,0,0,48,45,89,6457,6744,13203,1497,2463,3956,65,47,106,17305,17130,34435
SED21001,644,602,1249,193,252,445,3,4,5,52,88,136,26,26,56,7560,5835,13393,400,741,1138,62,3,68,58,9,68,130,44,171,82,57,139,452,660,1110,9675,8314,17988,125,127,252,0,0,0,56,69,126,51,26,76,11,17,28,20,8,29,269,248,510,0,0,0,9,16,27,16,17,26,7,21,22,9,13,17,36,65,100,70,66,136,371,377,749,80,98,181,7,4,14,3,0,9,88,109,197,6652,6441,13090,1586,2658,4242,75,51,123,18446,17945,36381
