SOSR_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SOSR201,810604,547663,724369,676438,572446,473959,356840,211345,91687,4465358,389,394,471,439,472,524,641,556,367,4253,189,701,761,386,399,459,333,122,27,3371,9579,13305,15911,10936,9265,8611,6957,4744,2991,82298,118,516,419,284,280,393,329,93,27,2463,67,165,207,132,101,135,97,35,18,965,44,199,180,107,125,161,109,35,8,970,34,137,176,82,85,116,118,40,13,804,26,69,66,35,35,36,17,0,0,295,16,77,61,39,28,31,32,8,0,289,0,0,0,0,0,0,0,0,0,0,10061,15163,17781,12004,10323,9941,8001,5080,3090,91452,10449,15563,18250,12439,10796,10464,8642,5636,3457,95702,821060,563227,742624,688884,583240,484426,365482,216983,95141,4561062
SOSR203,68854,46633,55216,47260,44528,42106,36431,21765,9695,372486,56,65,47,58,63,75,108,85,49,606,16,96,51,31,24,40,26,19,4,318,1075,2279,1817,1150,1149,1075,844,564,401,10350,16,38,31,30,37,32,37,0,0,233,3,27,9,18,14,18,18,4,0,118,7,15,6,18,15,13,9,4,0,88,0,12,3,8,0,15,14,3,0,55,3,12,0,0,3,5,0,0,0,27,0,4,5,0,0,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1129,2481,1933,1255,1258,1199,948,596,408,11200,1185,2551,1980,1314,1318,1278,1054,682,454,11812,70046,49185,57193,48573,45847,43383,37482,22445,10153,384300
SOSR211,26529,13282,17784,16560,12436,10552,8759,4057,1204,111166,23,18,20,11,12,14,22,11,5,138,23,59,49,24,33,18,16,9,4,241,332,339,407,268,204,145,115,39,33,1884,5,14,18,13,5,7,3,0,0,62,0,0,0,5,0,3,3,0,0,24,0,3,0,0,4,0,6,0,0,25,3,0,3,8,0,3,0,0,0,18,0,4,0,0,0,0,0,0,0,10,0,0,3,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,361,427,485,316,251,180,145,49,35,2258,385,440,504,326,262,200,171,62,41,2394,26920,13728,18287,16894,12696,10747,8928,4115,1244,113556
SOSR212,49775,28399,33453,32864,32001,30278,26062,14893,6367,254087,39,36,24,46,37,67,77,66,39,431,32,50,70,30,41,46,31,30,9,339,837,1267,1408,926,988,1150,867,521,356,8328,4,9,28,24,27,35,22,7,0,158,3,24,17,12,12,14,22,8,3,116,7,4,3,7,8,7,13,0,0,47,6,0,5,4,9,13,9,3,0,40,0,3,5,0,0,3,6,0,0,16,0,3,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,892,1365,1529,1011,1084,1260,979,565,363,9051,932,1400,1555,1059,1122,1332,1058,630,400,9481,50708,29801,35005,33919,33122,31609,27121,15523,6768,263572
SOSR213,45254,25681,30268,28679,28887,29431,27485,17387,7402,240472,35,41,45,29,54,66,74,82,29,455,19,32,37,16,35,29,20,9,7,216,648,1071,992,739,737,786,619,369,251,6202,8,8,24,6,39,48,29,3,0,170,3,6,9,18,14,14,9,10,3,82,0,0,5,7,13,14,16,6,0,57,0,0,8,3,3,4,9,9,0,34,6,3,7,7,3,8,4,0,0,33,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,689,1124,1078,788,840,912,703,406,263,6795,728,1167,1121,820,893,976,776,486,289,7246,45976,26847,31390,29496,29784,30404,28264,17867,7692,247723
SOSR214,22827,13295,14978,14702,16112,18509,20073,12776,5447,138711,22,30,11,24,21,50,74,57,25,316,18,24,23,14,18,25,25,6,0,155,447,706,705,489,543,708,614,328,164,4695,8,8,8,11,15,38,18,4,0,112,9,18,3,6,9,4,6,0,0,51,0,4,5,3,5,0,8,0,0,22,0,3,0,0,7,10,8,0,0,34,0,0,0,0,3,0,0,0,0,11,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,490,762,748,525,598,794,672,343,164,5087,507,792,764,549,621,845,744,402,187,5403,23337,14089,15735,15244,16732,19357,20813,13174,5632,144113
SOSR215,39090,20191,23483,24256,26071,29459,28420,16633,6809,214422,45,41,28,40,62,81,88,80,29,494,14,31,27,21,30,35,37,6,3,210,753,1009,1043,762,888,1169,1073,446,194,7338,12,24,26,10,25,40,33,7,0,171,4,21,9,7,11,16,21,0,0,79,9,4,6,10,3,16,13,4,0,63,4,0,5,0,0,9,14,0,0,38,4,0,6,4,4,6,5,0,0,25,3,0,0,7,4,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,798,1088,1113,822,966,1287,1200,471,199,7944,843,1130,1147,858,1029,1368,1286,543,233,8438,39941,21324,24622,25116,27099,30827,29708,17187,7040,222857
SOSR221,10227,5182,5582,6454,7509,9147,8510,4252,1570,58423,0,4,14,10,15,24,35,17,7,136,5,11,4,7,4,18,14,5,0,67,265,284,252,212,271,458,380,136,49,2313,4,4,0,3,4,4,9,5,0,22,0,3,4,3,7,3,5,0,0,22,3,3,0,0,0,4,6,0,0,16,0,0,0,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,280,308,265,227,283,490,412,142,49,2465,283,313,277,241,292,513,449,161,63,2603,10512,5496,5859,6692,7804,9661,8956,4418,1634,61028
SOSR222,5310,2932,3097,3458,4204,5199,4326,2075,666,31260,7,7,7,14,8,24,25,10,5,113,20,64,58,11,24,37,14,0,0,225,702,813,651,511,622,603,363,117,16,4396,9,99,61,12,15,29,14,4,0,247,16,102,59,9,13,19,10,5,0,235,0,38,15,0,8,7,3,0,0,70,3,24,15,5,10,3,0,0,0,62,0,0,3,5,0,0,6,0,0,12,0,4,0,0,3,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,742,1147,860,552,694,698,414,123,25,5260,750,1162,867,567,708,721,445,133,26,5371,6062,4093,3955,4025,4911,5923,4766,2203,689,36628
SOSR231,71115,43006,35653,45218,60536,68818,55848,23942,5587,409722,130,122,72,81,126,179,208,101,36,1044,61,147,92,70,64,75,68,26,4,600,1441,2175,1605,1303,1472,1893,1566,592,184,12235,12,125,100,40,38,50,62,7,0,427,11,74,34,11,24,41,40,9,5,238,14,15,26,19,14,26,24,4,0,139,9,13,7,5,12,17,12,4,0,88,4,13,14,10,7,13,3,0,0,61,6,10,5,3,3,9,4,0,0,40,0,0,0,0,0,0,0,0,0,3,1552,2569,1884,1456,1626,2121,1779,643,195,13822,1682,2688,1957,1537,1748,2294,1986,741,230,14862,72793,45691,37612,46759,62285,71112,57831,24688,5814,424590
