SOSR_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
SOSR201,73044,139561,106805,704892,7841,1032156,1145,2154,1206,22735,382,27623,378051,5604,10954,8940,2000,405539,25362,3858,2088,7994,259,39563,28196,9867,6191,21002,272,65519,266609,115193,85575,660803,8763,1136942,68261,1656,6492,1374,233,78020,15500,2368,1778,7180,130,26953,40765,12510,8830,64819,833,127753,98583,15804,8359,43589,1020,167350,11300,2311,1347,4233,134,19322,241337,4385,3148,2358,493,251720,63605,29321,20260,258741,1969,373902,143570,34425,16396,109758,1774,305926,18122,214,756,226,51,19368,29919,6779,3170,6248,236,46353,30069,4092,2326,7769,252,44509,30333,7214,4284,19280,347,61452,15161,2128,1583,1056,152,20075,17108,5705,4230,2309,145,29489,29296,5030,3885,10880,252,49337,17612,1564,1673,2767,139,23754,16991,1433,652,271,203,19556,62624,28164,21575,204334,1590,318286,19779,2038,1275,2315,198,25606,15765,2599,2104,925,66,21470,17830,1435,1231,2910,118,23527,40260,2754,1943,2126,152,47240,108478,1867,3574,1758,525,116202,8163,2361,1694,8880,65,21163,728378,48551,40632,55795,4942,878302,39609,2405,1878,12131,188843,244869,2331856,296213,218046,1521511,217917,4585537
SOSR203,2208,11976,8534,119898,1539,144160,55,262,152,6041,100,6610,5089,208,323,1331,40,6988,2633,440,235,1118,36,4470,3140,1387,866,3742,45,9172,15845,11033,7866,116716,1570,153020,2968,111,552,129,32,3787,521,157,107,894,9,1683,2810,1246,798,11994,124,16973,1089,341,133,1072,17,2651,611,163,89,364,8,1230,6935,219,112,173,20,7458,3889,2847,1854,43357,349,52296,3838,1481,588,8385,93,14380,350,16,36,16,0,411,200,89,32,172,5,497,1089,174,93,365,9,1737,586,281,137,931,17,1949,510,207,120,159,11,997,796,508,375,315,11,2006,1384,358,229,1029,26,3026,558,87,89,229,8,969,146,56,24,16,0,245,4480,3122,2197,35114,283,45200,1044,149,72,205,18,1477,633,164,106,119,14,1035,743,127,115,363,10,1358,667,95,56,91,6,914,955,39,80,25,0,1097,620,308,188,1272,13,2402,22276,2582,2000,5122,256,32235,994,134,117,2728,17279,21252,74967,23089,16052,251078,21046,386231
SOSR211,1876,3445,2368,27521,348,35558,40,116,60,2330,20,2565,1275,45,71,165,10,1569,596,97,74,206,3,975,590,232,135,540,3,1506,5237,2770,2091,23453,336,33881,2695,51,259,40,11,3053,172,31,14,165,8,394,1093,375,274,2864,43,4646,435,152,77,371,12,1039,200,47,17,99,4,365,5458,102,43,49,14,5656,923,579,353,6812,61,8727,1148,523,256,2074,28,4032,113,0,8,0,0,125,240,50,16,86,0,393,409,79,40,123,5,648,1575,445,292,1350,39,3700,612,68,92,50,4,822,433,147,130,105,3,818,461,99,58,324,9,954,92,15,8,56,0,179,1578,77,42,11,8,1718,1278,609,496,5661,38,8080,552,73,35,98,6,762,147,31,23,20,9,222,387,33,20,90,7,531,410,32,10,24,0,469,902,25,63,25,4,1021,176,52,21,212,0,458,17403,960,677,1282,120,20439,942,57,44,595,6444,8087,42087,6634,4719,53357,7385,114187
SOSR212,1964,8363,6014,80641,1038,98012,49,288,121,6172,126,6755,2969,131,189,505,23,3815,665,187,83,434,11,1379,1864,792,500,1991,30,5174,12286,7342,5404,75989,1063,102083,2077,86,371,85,18,2631,373,92,76,561,0,1096,1942,747,579,7420,80,10760,1027,298,101,981,13,2420,339,87,55,230,9,718,3930,143,73,110,5,4263,2846,1845,1148,27538,233,33613,4447,1452,646,7237,86,13875,182,12,24,6,0,221,148,46,11,144,0,346,310,62,29,186,5,589,1239,459,280,1446,12,3440,546,145,134,104,6,939,690,381,290,209,3,1573,786,242,121,711,10,1865,193,53,36,99,4,389,473,77,27,18,7,602,3383,1925,1404,21771,186,28672,269,50,23,92,3,439,532,105,74,45,6,754,412,80,44,233,0,771,413,58,38,66,7,578,745,20,46,15,12,830,404,130,122,672,11,1340,16394,1886,1333,3384,193,23188,818,147,99,1847,13251,16155,53878,15985,11166,167677,15828,264540
SOSR213,1546,8213,5743,81729,1251,98481,27,182,118,4780,92,5199,1887,80,164,492,17,2640,660,149,46,330,14,1205,2438,859,511,2204,47,6065,12554,7507,5395,76124,1331,102911,2050,74,331,85,32,2571,354,87,58,533,8,1034,2080,786,568,8209,106,11742,707,237,109,635,14,1705,423,101,37,207,5,776,2558,133,47,105,7,2851,2654,1723,1047,23857,277,29551,3395,1167,454,5626,95,10743,90,0,13,12,0,114,130,42,17,111,0,306,196,66,21,148,0,436,1192,333,153,1061,15,2761,395,134,70,105,10,707,553,336,253,204,8,1357,919,205,100,615,7,1845,273,47,31,164,7,519,234,39,16,25,6,318,3425,2013,1424,21085,229,28170,330,54,39,109,0,523,474,91,41,51,3,660,365,55,34,201,9,664,357,80,42,41,3,523,536,12,38,13,6,609,481,175,100,702,5,1469,9978,1568,1110,2939,152,15749,679,124,122,2164,12799,15877,44156,15325,10463,164704,15766,250413
SOSR214,947,4613,3266,47502,855,57178,12,93,55,2342,38,2539,1074,40,72,255,10,1447,316,85,33,176,8,607,1383,447,271,1002,23,3128,8032,4370,3168,44405,963,60931,936,21,133,34,13,1134,217,38,41,306,11,606,1239,478,349,4332,88,6491,570,108,59,298,10,1055,215,55,23,99,4,406,1372,61,34,50,12,1526,1699,947,662,14680,214,18202,2136,675,239,3202,69,6319,48,0,8,0,0,60,82,25,13,49,0,176,133,32,21,84,3,273,648,188,74,461,13,1385,294,74,50,71,12,499,343,215,111,115,4,784,444,96,55,286,10,889,126,27,20,81,4,255,86,16,16,6,3,131,2087,1157,847,12952,197,17243,129,27,20,27,0,207,182,48,34,31,8,300,158,27,30,117,4,345,122,22,17,25,0,183,172,13,18,15,0,214,268,85,47,424,3,834,4697,772,618,1671,90,7847,280,72,43,1218,7786,9403,24861,8618,6008,95842,9865,145199
SOSR215,1226,7835,5460,76192,1318,92045,21,171,95,3567,84,3927,1046,70,89,423,18,1647,417,119,59,208,4,804,2282,773,530,1900,56,5537,12782,7284,5334,68177,1337,94913,1062,25,242,63,19,1417,373,91,66,480,8,1008,2087,799,498,6458,103,9942,560,173,70,516,15,1337,323,77,39,141,10,591,1106,104,57,69,3,1342,2638,1743,1143,22872,336,28730,2541,914,409,4313,80,8265,56,0,8,6,0,62,75,41,16,82,0,212,152,46,18,96,0,310,645,261,156,768,15,1836,349,90,89,96,9,638,583,309,221,164,11,1285,690,183,99,445,16,1429,194,34,34,106,3,369,130,38,23,19,0,205,3240,1924,1339,19270,256,26033,155,40,13,58,3,267,302,74,45,54,7,484,205,46,29,183,0,470,179,48,28,46,0,304,385,14,48,11,4,461,519,150,96,622,8,1393,6948,1381,1051,2550,136,12071,460,126,92,1874,12740,15291,35051,14386,10069,149358,15820,224681
SOSR221,321,2089,1432,20831,342,25019,9,33,17,874,16,957,206,17,28,155,7,406,139,33,6,110,0,282,624,218,145,520,9,1523,3697,1978,1450,18918,399,26439,222,14,54,4,3,298,93,33,10,127,8,266,594,213,123,1822,33,2781,148,55,23,109,5,333,102,24,3,37,0,174,264,22,10,18,0,316,778,463,309,6488,84,8118,550,230,72,1154,18,2026,11,0,0,0,0,10,12,5,5,26,0,45,41,13,5,22,0,77,282,90,43,228,9,654,102,36,17,6,0,163,150,61,53,35,5,307,186,50,38,116,0,394,55,19,9,18,0,107,23,5,0,0,0,39,891,541,356,5648,82,7516,42,10,0,15,0,70,102,19,11,9,0,144,73,10,9,61,0,154,30,10,12,14,0,75,59,0,8,8,0,68,137,34,32,181,0,383,1562,356,281,731,29,2963,103,29,33,516,3537,4213,9276,3883,2671,41427,4363,61615
SOSR222,148,1030,773,11304,215,13470,8,17,16,543,13,592,172,3,20,71,0,262,47,21,8,37,0,116,325,127,72,268,4,789,1806,1033,779,9981,208,13802,199,0,29,5,5,247,69,11,23,62,0,166,317,107,76,1054,24,1574,92,26,8,67,0,193,47,14,10,16,0,86,70,18,11,18,0,117,378,246,165,3383,66,4229,323,99,63,565,15,1064,13,0,5,0,0,17,16,8,7,10,0,39,23,4,4,11,0,42,80,36,20,72,0,211,47,10,11,21,0,84,78,37,14,19,0,147,98,23,20,60,0,200,27,5,3,22,0,63,0,0,0,0,0,5,448,291,171,2971,44,3931,30,7,9,9,0,49,37,10,10,0,0,60,56,12,5,31,0,101,8,10,5,7,0,29,17,0,3,0,0,27,67,20,19,89,0,197,800,186,122,378,25,1511,44,16,6,352,2307,2724,4690,1970,1407,22179,2807,33052
SOSR231,2107,12916,9905,145935,1904,172765,42,201,137,5060,87,5530,1805,115,186,812,30,2946,1022,211,94,465,22,1811,4602,1616,1012,3411,86,10727,21316,11982,9312,128444,2157,173210,1488,22,372,72,26,1976,672,126,131,955,17,1908,4151,1345,1057,13220,204,19982,1470,370,148,1007,31,3024,617,162,81,246,10,1118,1093,100,91,126,8,1417,4474,2857,2003,43863,599,53793,6149,1953,766,8801,172,17834,92,7,15,6,0,124,351,117,69,155,4,693,470,80,24,191,15,786,1912,516,305,1329,23,4094,549,128,115,112,10,902,1147,498,425,287,22,2378,1269,319,208,760,21,2576,442,71,51,206,7,779,202,20,13,10,3,251,5444,3129,2513,39219,445,50749,481,75,36,111,3,708,623,109,129,74,4,939,450,65,62,325,11,917,240,88,46,69,5,452,434,34,59,13,14,551,771,227,159,1172,16,2347,10406,2176,1766,4676,226,19247,650,197,163,3524,32595,37136,61884,24325,18115,287216,37363,428903
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,3,0,0,7,28,38
