SOSR_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR201,422,3333,3677,16566,2298,1038,578,139,27,28076,4,47,113,507,689,346,131,22,9,1879,252,2541,5544,24761,9619,7318,4367,1103,279,55788,8,64,134,2562,1516,2329,3359,1508,1126,12616,21,351,763,1936,1407,1223,530,143,27,6409,23,312,654,3415,2515,3626,3658,2746,1085,18030,199,1833,2525,5933,2484,1829,1382,419,112,16709,140,1263,2382,8656,5569,3634,2620,1285,394,25945,214,2386,5764,27457,10096,8329,6095,2741,964,64043,78,319,582,5766,1023,680,666,106,21,9241,156,1279,2450,9228,2147,906,388,109,21,16690,50,341,490,4530,4264,4111,2175,1227,261,17446,613,2335,2453,7369,2647,1962,1376,513,102,19367,270,2096,6606,28864,19595,17871,10127,2974,1266,89668,3,73,138,847,594,628,525,362,153,3325,17,127,585,2275,912,502,228,74,10,4725,1161,8539,14111,65766,28156,24673,20815,13677,6023,182916,9769,20856,22515,65352,22754,18789,16003,12483,7474,195998,268436,554271,564204,1435905,585234,489125,372835,220034,95489,4585537
SOSR203,18,119,178,627,67,14,9,3,0,1034,0,3,8,38,83,29,3,0,3,175,19,156,276,1323,426,266,180,46,4,2709,0,0,4,73,49,57,102,53,50,393,0,0,3,22,9,8,7,5,0,49,3,24,33,192,158,296,380,304,100,1502,0,24,49,104,54,52,51,3,4,354,12,72,132,378,205,156,106,54,10,1130,14,58,169,714,129,69,67,27,10,1259,3,8,11,149,14,10,3,3,0,194,11,346,542,482,110,58,14,4,0,1577,0,7,4,44,45,32,25,24,0,170,15,87,115,354,154,117,104,43,0,993,9,31,113,387,124,86,39,11,7,796,0,9,14,46,45,54,67,48,14,301,0,9,37,146,55,31,24,6,3,309,58,340,489,1689,690,803,816,713,313,5910,872,2065,2362,5173,2216,2071,1942,1561,798,19063,22929,47200,48785,105891,45780,43953,38749,22789,10152,386231
SOSR211,16,111,58,475,55,28,19,0,0,760,0,0,4,11,17,3,3,4,0,43,9,169,320,980,407,219,117,20,6,2257,0,0,0,25,14,31,45,9,16,145,4,75,98,217,141,80,43,11,0,667,0,6,8,46,32,119,106,72,26,413,0,16,16,35,27,12,11,0,0,110,0,7,41,86,37,34,11,9,6,231,6,40,48,294,109,35,38,6,3,579,3,9,0,29,10,3,4,0,0,58,4,40,70,122,50,7,9,0,0,294,0,0,7,37,32,20,9,12,0,119,7,25,32,75,25,19,23,4,0,208,6,61,35,429,111,71,33,4,6,751,0,0,4,13,11,21,15,10,0,73,0,13,19,68,28,9,7,0,0,146,47,389,729,1830,729,507,416,252,88,4985,470,1200,847,2157,775,620,478,316,113,6986,9361,17535,13751,35110,12751,10892,9296,4235,1265,114187
SOSR212,5,87,63,231,33,22,11,3,0,452,0,0,4,26,40,24,14,0,0,118,22,156,170,927,301,216,119,29,0,1935,0,0,3,40,26,26,47,17,21,180,3,18,35,70,45,28,15,3,0,213,0,9,31,144,127,224,308,228,62,1138,5,16,16,53,37,26,11,4,4,169,12,72,111,274,197,108,72,26,6,881,11,57,47,352,134,71,36,23,8,737,3,4,16,265,10,8,5,0,0,317,5,35,49,260,87,44,14,0,0,505,0,7,7,95,123,120,74,40,7,478,18,72,60,212,88,82,81,22,0,639,5,57,48,339,97,106,48,13,3,709,0,7,11,34,34,30,39,30,6,195,0,8,18,87,42,26,8,0,0,198,55,316,387,1449,605,544,492,339,147,4335,690,1804,1515,3821,1735,1741,1653,1314,775,15043,15901,34860,29653,68597,33063,31866,28154,15815,6635,264540
SOSR213,0,41,22,167,33,16,6,3,0,294,0,0,6,20,36,24,14,5,0,99,30,120,211,841,323,237,153,31,3,1956,0,0,9,48,22,38,71,35,24,241,0,3,18,76,11,17,3,3,0,131,0,13,24,94,98,224,348,289,92,1184,5,18,19,57,31,36,15,3,4,190,6,58,97,225,158,125,70,46,5,793,0,27,31,281,83,38,51,16,6,530,0,3,23,282,12,0,3,3,0,329,13,43,63,227,68,34,7,4,0,460,0,8,5,34,23,19,8,4,0,108,7,46,55,150,79,68,105,40,8,558,6,42,38,291,105,57,20,3,0,570,0,8,3,22,28,37,61,36,16,208,0,13,10,94,48,36,19,4,0,217,17,146,154,856,407,476,514,368,157,3087,642,1565,1314,3253,1598,1624,1788,1464,842,14098,15057,31024,26770,60921,29876,30880,29687,18476,7715,250413
SOSR214,4,14,5,60,4,0,0,0,0,92,0,7,4,17,30,16,9,3,0,79,8,60,94,379,140,110,69,14,4,874,0,0,7,19,13,9,35,13,15,114,0,0,10,27,5,0,0,0,0,48,0,10,7,49,55,131,198,171,43,665,0,6,8,21,22,11,9,0,0,82,0,11,24,84,60,54,55,30,6,335,0,13,13,100,31,21,29,13,4,213,0,3,3,190,0,0,0,0,0,198,0,20,37,114,49,20,12,0,0,255,0,0,0,8,9,10,5,3,0,45,4,20,16,79,39,49,66,27,3,298,4,8,22,71,28,11,5,0,0,154,0,0,0,7,6,27,42,21,9,112,0,0,6,28,8,8,12,0,0,69,6,61,65,358,201,234,282,260,88,1553,326,927,717,1933,1042,1304,1468,1212,665,9584,7369,15958,13867,30696,16679,19633,21732,13555,5699,145199
SOSR215,0,11,10,48,8,7,3,0,0,89,0,0,0,19,40,19,13,0,0,97,3,76,90,434,185,124,86,21,4,1025,0,4,3,36,21,21,50,21,10,163,0,0,0,26,3,5,4,0,0,46,0,11,18,82,106,207,267,200,55,948,0,15,8,17,20,18,15,0,3,102,5,17,40,166,119,104,75,29,5,562,0,8,17,143,38,33,25,13,7,296,4,0,4,78,5,4,0,0,0,102,0,54,55,192,74,40,11,3,0,430,0,0,0,24,26,26,3,4,0,92,12,32,43,134,72,101,138,29,4,556,6,24,18,182,58,80,33,9,0,398,0,7,3,25,35,49,61,37,10,214,0,4,7,42,22,14,17,4,0,113,12,75,72,562,374,405,473,334,126,2435,601,1581,1313,3359,1958,2208,2275,1612,819,15729,12403,27513,21233,49601,27085,31245,30765,17677,7150,224681
SOSR221,0,0,3,9,6,0,0,0,0,19,0,0,0,0,9,8,6,0,0,29,0,19,13,76,36,39,27,0,0,224,0,0,0,11,9,9,9,8,9,44,0,0,0,14,0,0,0,0,0,11,0,0,4,27,25,67,93,55,14,282,0,0,0,5,4,10,0,0,0,21,0,10,6,33,32,34,26,21,0,168,0,4,0,18,5,7,14,13,3,61,0,5,0,17,0,0,0,0,0,17,0,11,21,50,18,11,3,0,0,107,0,0,0,0,3,7,0,0,0,18,3,9,18,31,33,26,44,9,0,173,0,3,0,28,9,4,4,0,0,42,0,0,4,5,3,23,14,8,0,64,0,4,4,4,8,3,9,0,0,32,5,15,26,146,99,132,129,70,27,631,141,408,330,862,580,778,746,448,247,4530,3146,7295,5460,12553,7831,9819,9308,4555,1658,61615
SOSR222,0,0,0,4,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,20,0,26,22,85,37,26,7,0,0,193,0,0,0,9,3,4,0,0,0,17,0,0,0,4,0,0,0,0,0,4,0,0,0,14,14,35,41,21,11,138,0,0,0,5,8,0,0,0,0,14,0,4,0,11,24,13,17,0,0,74,0,4,0,12,0,8,3,0,0,26,0,0,0,34,0,0,0,0,0,36,0,5,4,16,14,3,0,0,0,48,0,0,0,0,0,3,0,0,0,11,0,15,4,26,15,12,11,4,5,95,0,0,0,6,6,0,0,0,0,12,0,0,0,0,4,9,5,8,0,31,0,0,0,6,0,3,0,0,0,11,0,0,12,76,42,62,78,35,20,327,80,271,292,609,408,506,435,236,86,2928,1531,3910,3106,6873,4415,5566,4713,2229,714,33052
SOSR231,4,3,10,56,10,13,5,0,0,97,0,5,3,28,84,49,15,0,0,177,17,136,107,679,213,169,114,23,0,1454,0,0,8,58,43,39,84,35,12,283,0,3,16,91,16,10,0,0,0,141,0,11,20,150,169,397,431,224,47,1450,0,20,21,37,56,45,16,0,0,200,8,52,85,326,272,210,141,36,12,1144,0,4,4,103,54,62,48,26,0,304,6,4,18,151,14,20,6,3,0,222,10,52,74,349,124,53,16,5,0,692,0,3,0,34,62,46,17,18,0,184,16,56,69,218,176,188,239,74,7,1038,0,3,18,198,122,78,24,5,5,453,0,11,6,36,48,85,96,42,13,331,0,5,10,58,49,62,34,6,0,223,17,95,147,918,696,914,850,603,154,4408,1145,3744,3224,6883,5332,6361,5393,2726,762,35562,19348,53269,45579,84507,62773,72485,59700,25286,5963,428903
