SOSR_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
SOSR201,0,0,3,29,536,2447,7002,7136,1166,1339,974,1389,527,453,403,23407,0,3,12,90,246,883,3508,2118,460,499,483,448,235,55,89,9125,9,88,357,774,855,1055,1783,1382,307,299,378,410,186,74,119,8074,121,415,709,1057,11447,17060,51835,35236,9155,9920,9458,11382,3765,773,2797,165138,52,995,5461,1878,784,1857,642,179,26,18,16,28,6,3,346,12297,223,1312,2193,1025,1427,1364,2263,1640,240,271,321,218,112,44,323,12976,20,53,127,525,2591,2225,2800,1159,215,250,239,301,118,40,171,10847,2426,3987,2084,1117,1475,1338,2227,1195,253,267,280,328,150,68,480,17681,384,7724,23152,5707,1625,700,568,2072,254,212,152,161,59,18,1600,44391,45,152,453,1536,5306,5347,4147,2669,726,770,831,887,709,268,411,24262,232,180,2312,3369,6062,11833,77583,46441,13372,15385,20601,23456,7570,1663,3431,233490,45,140,201,488,1294,3799,5438,2578,768,919,962,1252,711,82,301,18974,8,16,66,230,1374,1214,4055,8735
SOSR203,0,0,0,0,5,6,56,411,61,42,19,58,17,10,6,683,0,0,0,0,0,10,120,98,11,31,16,23,9,0,0,313,0,9,34,46,37,60,137,82,22,14,18,29,7,7,6,514,5,5,78,15,50,135,818,553,140,154,178,229,51,11,47,2477,14,222,564,165,67,153,51,14,0,0,0,3,0,0,48,1292,13,11,18,5,7,17,65,40,9,10,26,24,22,11,4,291,3,0,0,7,30,34,67,49,5,6,6,12,3,5,8,237,256,456,127,79,87,46,109,52,18,16,7,3,9,0,59,1319,10,95,182,47,8,17,9,7,3,5,0,0,0,0,33,417,0,4,9,24,39,36,71,53,15,16,17,16,21,0,5,333,13,6,45,40,45,110,1866,1581,544,610,842,1107,455,43,144,7465,0,18,4,6,27,61,111,83,10,14,24,21,21,4,4,416,0,0,0,0,34,27,95,286
SOSR211,0,0,0,0,0,3,22,47,3,5,5,3,0,0,0,98,0,0,0,0,3,31,231,142,18,25,15,12,4,0,6,486,0,0,4,9,11,14,25,14,0,4,0,3,0,0,0,83,0,0,0,6,21,34,123,80,13,16,15,20,0,0,8,335,4,29,136,41,9,49,12,4,3,0,0,0,0,0,6,290,0,13,13,20,14,15,64,39,0,5,11,6,0,0,4,215,0,0,0,0,31,63,84,70,26,17,22,15,6,3,0,347,108,172,69,32,27,20,30,13,0,3,0,3,0,0,12,494,0,15,73,20,8,7,0,4,0,0,0,0,0,0,9,137,0,0,3,6,13,13,9,10,4,0,0,0,3,0,0,60,3,0,22,33,42,105,2645,1480,392,317,372,491,146,34,63,6151,0,0,0,3,11,26,52,25,11,7,6,7,0,0,0,159,0,0,0,0,3,5,18,47
SOSR212,0,0,0,0,0,40,302,386,48,58,58,53,27,17,20,1015,0,0,0,3,7,9,60,25,10,10,4,16,6,0,0,157,0,3,11,39,37,48,86,62,19,18,10,12,9,3,9,361,0,4,15,18,43,55,263,176,71,85,138,121,24,3,27,1035,7,33,113,33,19,24,3,3,0,0,0,0,0,0,13,252,4,21,20,6,9,4,28,19,13,9,17,15,6,0,0,176,0,0,3,8,34,35,62,40,13,9,19,24,13,5,4,279,177,264,93,47,47,26,112,48,12,11,10,6,6,0,27,886,15,113,141,41,18,12,6,13,4,0,0,7,0,0,11,373,0,0,9,15,23,17,37,44,6,10,13,17,12,7,5,212,10,8,48,51,63,127,1484,938,264,251,319,433,161,32,91,4266,0,10,4,13,14,23,60,64,15,22,14,23,21,0,10,281,0,0,4,0,5,8,38,91
SOSR213,0,0,0,0,0,3,30,63,3,3,0,14,0,5,11,131,0,0,0,0,6,9,17,23,0,6,7,0,0,0,0,67,0,8,28,33,33,35,70,36,11,5,9,12,4,5,6,292,6,9,10,0,20,51,204,147,55,87,106,53,16,0,30,795,8,34,119,58,16,34,0,0,0,0,0,0,0,0,6,274,6,21,22,0,3,3,21,7,0,3,0,3,0,4,7,112,0,0,3,7,33,38,52,25,0,0,3,15,8,0,0,196,220,395,132,56,77,35,53,15,4,4,7,8,0,0,40,1049,0,45,86,40,8,5,3,8,0,0,5,0,0,0,14,218,3,4,7,7,23,15,28,19,4,3,5,10,3,0,3,136,15,15,34,27,36,57,945,651,179,156,193,249,86,17,49,2715,3,14,6,3,15,25,62,27,7,21,16,29,19,0,3,234,0,0,0,0,7,10,19,37
SOSR214,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,16,12,5,4,0,0,0,0,0,47,0,4,12,24,18,20,42,33,0,6,3,5,0,0,0,171,4,3,4,3,16,24,115,63,17,16,30,131,0,0,9,440,0,19,74,21,3,0,5,0,0,0,0,0,0,0,10,139,4,23,15,5,4,4,7,3,0,0,0,0,0,0,3,82,0,0,3,4,16,19,23,16,3,0,0,5,0,0,3,92,110,224,89,37,52,30,30,19,0,4,0,3,9,6,23,643,3,56,130,36,0,4,4,4,3,0,0,0,0,0,23,260,0,3,7,0,13,8,13,11,0,0,3,0,5,0,0,63,13,12,35,14,13,19,457,330,82,101,129,133,40,3,42,1429,0,8,0,9,6,17,16,19,7,10,9,5,12,0,10,122,0,0,0,0,3,5,4,25
SOSR215,0,0,0,0,0,0,3,11,0,0,0,0,0,5,0,26,0,0,0,0,0,6,5,7,0,5,3,0,0,0,0,28,4,3,20,49,44,30,69,39,6,5,3,5,5,6,6,286,8,4,10,3,18,28,89,68,14,30,17,24,11,0,15,340,3,38,72,17,3,5,5,4,0,0,0,0,0,0,8,156,4,26,26,7,0,3,15,3,4,0,0,0,0,0,0,86,3,3,9,8,34,19,40,21,7,10,6,4,12,0,3,173,148,325,145,80,85,47,51,30,8,9,4,10,3,4,40,985,0,43,83,22,12,4,5,3,0,0,0,0,0,0,12,186,0,0,8,12,10,7,10,8,0,0,4,4,5,0,4,66,10,11,35,46,23,20,378,222,69,62,98,86,38,7,23,1120,10,4,9,10,6,13,26,21,0,7,15,18,5,0,0,145,0,0,0,0,10,4,4,8
SOSR221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,0,0,0,3,0,0,0,11,0,0,11,8,14,7,15,3,0,0,0,5,0,0,0,63,0,0,7,0,5,8,15,14,4,0,0,4,3,0,0,76,0,5,26,13,3,0,0,0,0,0,0,0,0,0,4,50,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,12,0,4,3,4,10,9,13,0,0,0,0,0,0,0,3,41,41,94,40,23,27,14,15,14,0,4,0,0,0,0,5,284,4,17,23,15,4,0,0,4,0,0,0,0,0,0,3,68,0,0,0,3,0,0,3,4,0,0,0,0,0,0,0,19,5,0,9,5,10,9,63,32,19,19,21,16,11,0,10,222,0,4,3,0,0,3,11,0,4,0,0,0,0,0,0,35,0,0,0,0,3,0,5,4
SOSR222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,10,0,0,10,5,4,8,4,3,0,0,0,0,0,0,0,41,0,0,0,0,4,3,10,13,7,0,0,15,0,0,0,51,0,4,11,3,0,3,0,0,0,0,0,0,0,0,0,18,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,29,46,20,10,13,6,6,3,0,0,0,0,0,0,3,134,0,9,9,4,0,3,0,0,0,0,0,0,0,0,0,26,0,0,0,0,5,0,0,3,0,0,0,3,0,0,0,12,0,0,11,6,6,4,19,7,3,3,6,8,3,0,6,90,0,0,0,0,5,0,5,7,5,6,0,0,0,0,0,29,0,0,0,0,0,0,0,0
SOSR231,0,0,0,0,4,6,21,3,7,0,0,0,0,0,12,51,0,0,0,9,5,3,8,4,3,0,3,9,0,0,0,37,5,13,44,80,65,73,101,59,18,16,11,17,6,0,17,530,8,16,24,9,56,45,204,116,32,36,39,37,18,6,57,705,7,66,228,91,13,39,5,3,0,0,0,0,0,0,27,484,5,29,30,9,8,9,7,0,0,0,0,7,0,0,12,120,0,5,15,31,48,31,32,15,0,4,0,4,5,0,10,198,238,557,267,150,201,118,146,65,9,13,10,23,15,0,62,1864,20,167,236,54,16,5,3,4,0,0,0,0,0,0,35,543,0,5,6,18,16,25,16,21,0,9,3,10,6,5,19,159,15,15,69,73,80,98,305,151,38,48,55,89,23,8,85,1156,9,12,17,8,17,17,41,27,7,10,16,28,6,0,14,231,0,0,3,8,12,9,14,23
