SOSR_CODE_2021,A0_14_SEO_B_05,A0_14_SEO_05_10,A0_14_SEO_11_15,A0_14_SEO_16,A0_14_SEO_17,A0_14_SEO_18,A0_14_SEO_19,A0_14_SEO_20,A0_14_SEO_21,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_UOLSE_VWW_B_05,A0_14_UOLSE_VWW_05_10,A0_14_UOLSE_VWW_11_15,A0_14_UOLSE_VWW_16,A0_14_UOLSE_VWW_17,A0_14_UOLSE_VWW_18,A0_14_UOLSE_VWW_19,A0_14_UOLSE_VWW_20,A0_14_UOLSE_VWW_21,A0_14_UOLSE_VWW_YNS,A0_14_UOLSE_VWW_T,A0_14_UOLSE_NWNAA_B_05,A0_14_UOLSE_NWNAA_05_10,A0_14_UOLSE_NWNAA_11_15,A0_14_UOLSE_NWNAA_16,A0_14_UOLSE_NWNAA_17,A0_14_UOLSE_NWNAA_18,A0_14_UOLSE_NWNAA_19,A0_14_UOLSE_NWNAA_20,A0_14_UOLSE_NWNAA_21,A0_14_UOLSE_NWNAA_YNS,A0_14_UOLSE_NWNAA_T,A0_14_UOLSE_PinE_NS_B_05,A0_14_UOLSE_PinE_NS_05_10,A0_14_UOLSE_PinE_NS_11_15,A0_14_UOLSE_PinE_NS_16,A0_14_UOLSE_PinE_NS_17,A0_14_UOLSE_PinE_NS_18,A0_14_UOLSE_PinE_NS_19,A0_14_UOLSE_PinE_NS_20,A0_14_UOLSE_PinE_NS_21,A0_14_UOLSE_PinE_NS_YNS,A0_14_UOLSE_PinE_NS_T,A0_14_UOLSE_T_B_05,A0_14_UOLSE_T_05_10,A0_14_UOLSE_T_11_15,A0_14_UOLSE_T_16,A0_14_UOLSE_T_17,A0_14_UOLSE_T_18,A0_14_UOLSE_T_19,A0_14_UOLSE_T_20,A0_14_UOLSE_T_21,A0_14_UOLSE_T_YNS,A0_14_UOLSE_T_T,A0_14_L_PinE_NS_B_05,A0_14_L_PinE_NS_05_10,A0_14_L_PinE_NS_11_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_17,A0_14_L_PinE_NS_18,A0_14_L_PinE_NS_19,A0_14_L_PinE_NS_20,A0_14_L_PinE_NS_21,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B_05,A0_14_T_05_10,A0_14_T_11_15,A0_14_T_16,A0_14_T_17,A0_14_T_18,A0_14_T_19,A0_14_T_20,A0_14_T_21,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B_05,A15_24_SEO_05_10,A15_24_SEO_11_15,A15_24_SEO_16,A15_24_SEO_17,A15_24_SEO_18,A15_24_SEO_19,A15_24_SEO_20,A15_24_SEO_21,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_UOLSE_VWW_B_05,A15_24_UOLSE_VWW_05_10,A15_24_UOLSE_VWW_11_15,A15_24_UOLSE_VWW_16,A15_24_UOLSE_VWW_17,A15_24_UOLSE_VWW_18,A15_24_UOLSE_VWW_19,A15_24_UOLSE_VWW_20,A15_24_UOLSE_VWW_21,A15_24_UOLSE_VWW_YNS,A15_24_UOLSE_VWW_T,A15_24_UOLSE_NWNAA_B_05,A15_24_UOLSE_NWNAA_05_10,A15_24_UOLSE_NWNAA_11_15,A15_24_UOLSE_NWNAA_16,A15_24_UOLSE_NWNAA_17,A15_24_UOLSE_NWNAA_18,A15_24_UOLSE_NWNAA_19,A15_24_UOLSE_NWNAA_20,A15_24_UOLSE_NWNAA_21,A15_24_UOLSE_NWNAA_YNS,A15_24_UOLSE_NWNAA_T,A15_24_UOLSE_PinE_NS_B_05,A15_24_UOLSE_PinE_NS_05_10,A15_24_UOLSE_PinE_NS_11_15,A15_24_UOLSE_PinE_NS_16,A15_24_UOLSE_PinE_NS_17,A15_24_UOLSE_PinE_NS_18,A15_24_UOLSE_PinE_NS_19,A15_24_UOLSE_PinE_NS_20,A15_24_UOLSE_PinE_NS_21,A15_24_UOLSE_PinE_NS_YNS,A15_24_UOLSE_PinE_NS_T,A15_24_UOLSE_T_B_05,A15_24_UOLSE_T_05_10,A15_24_UOLSE_T_11_15,A15_24_UOLSE_T_16,A15_24_UOLSE_T_17,A15_24_UOLSE_T_18,A15_24_UOLSE_T_19,A15_24_UOLSE_T_20,A15_24_UOLSE_T_21,A15_24_UOLSE_T_YNS,A15_24_UOLSE_T_T,A15_24_L_PinE_NS_B_05,A15_24_L_PinE_NS_05_10,A15_24_L_PinE_NS_11_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_17,A15_24_L_PinE_NS_18,A15_24_L_PinE_NS_19,A15_24_L_PinE_NS_20,A15_24_L_PinE_NS_21,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B_05,A15_24_T_05_10,A15_24_T_11_15,A15_24_T_16,A15_24_T_17,A15_24_T_18,A15_24_T_19,A15_24_T_20,A15_24_T_21,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B_05,A25_34_SEO_05_10,A25_34_SEO_11_15,A25_34_SEO_16,A25_34_SEO_17,A25_34_SEO_18,A25_34_SEO_19,A25_34_SEO_20,A25_34_SEO_21,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_UOLSE_VWW_B_05,A25_34_UOLSE_VWW_05_10,A25_34_UOLSE_VWW_11_15,A25_34_UOLSE_VWW_16,A25_34_UOLSE_VWW_17,A25_34_UOLSE_VWW_18,A25_34_UOLSE_VWW_19,A25_34_UOLSE_VWW_20,A25_34_UOLSE_VWW_21,A25_34_UOLSE_VWW_YNS,A25_34_UOLSE_VWW_T,A25_34_UOLSE_NWNAA_B_05,A25_34_UOLSE_NWNAA_05_10,A25_34_UOLSE_NWNAA_11_15,A25_34_UOLSE_NWNAA_16,A25_34_UOLSE_NWNAA_17,A25_34_UOLSE_NWNAA_18,A25_34_UOLSE_NWNAA_19,A25_34_UOLSE_NWNAA_20,A25_34_UOLSE_NWNAA_21,A25_34_UOLSE_NWNAA_YNS,A25_34_UOLSE_NWNAA_T,A25_34_UOLSE_PinE_NS_B_05,A25_34_UOLSE_PinE_NS_05_10,A25_34_UOLSE_PinE_NS_11_15,A25_34_UOLSE_PinE_NS_16,A25_34_UOLSE_PinE_NS_17,A25_34_UOLSE_PinE_NS_18,A25_34_UOLSE_PinE_NS_19,A25_34_UOLSE_PinE_NS_20,A25_34_UOLSE_PinE_NS_21,A25_34_UOLSE_PinE_NS_YNS,A25_34_UOLSE_PinE_NS_T,A25_34_UOLSE_T_B_05,A25_34_UOLSE_T_05_10
SOSR201,..,3340,9923,2448,2509,2364,2411,1184,690,1003,25868,..,4445,19379,6559,6848,6588,6444,2329,908,1574,55077,..,47,246,254,388,790,1449,864,761,468,5264,..,9,20,21,26,48,144,88,92,51,495,..,4495,19641,6828,7260,7430,8033,3280,1773,2096,60830,..,0,45,12,15,18,24,10,19,121,267,..,7836,29615,9286,9785,9806,10471,4475,2477,3219,86966,8623,13225,6143,1106,1287,1672,2209,1028,392,757,36451,7961,22163,22775,8016,9492,12558,16578,6541,707,1525,108323,189,192,575,469,720,1159,1410,502,191,186,5594,12,30,25,12,11,11,24,8,0,24,165,8160,22384,23375,8492,10223,13732,18019,7056,903,1736,114083,15,26,36,10,12,22,36,11,0,358,529,16796,35633,29561,9619,11524,15418,20262,8093,1301,2858,151064,21633,10479,15814,4395,4930,5489,5911,1925,712,1371,72670,25091,44260,62198,17972,20161,23406,23728,6483,1640,2789,227721,578,2463,5613,1859,2241,2662,2970,919,275,597,20178,31,52,77,20,23,41,40,15,0,56,362,25706,46773
SOSR203,..,168,543,114,93,121,126,65,32,51,1306,..,178,586,236,222,229,200,87,29,45,1808,..,3,13,13,23,33,46,31,15,21,194,..,0,0,0,0,6,4,6,4,0,16,..,179,600,243,239,261,252,124,47,66,2019,..,0,0,0,0,3,0,0,0,6,8,..,347,1142,359,338,382,380,194,80,124,3332,341,601,269,55,33,58,95,57,11,37,1564,138,771,797,255,271,380,582,300,20,69,3585,3,6,31,22,48,54,42,18,6,17,239,0,0,0,0,0,0,3,0,0,6,12,143,785,829,274,322,434,625,316,30,88,3836,0,4,0,0,0,0,0,0,0,13,17,482,1383,1104,328,357,491,721,377,35,136,5411,809,404,593,146,161,173,195,78,22,74,2650,348,1088,2193,719,799,996,1053,289,53,93,7613,15,114,179,54,64,54,76,22,7,15,598,0,0,4,0,4,0,4,0,0,6,18,361,1204
SOSR211,..,79,315,76,79,54,47,25,14,27,717,..,142,571,194,165,164,145,29,23,52,1495,..,0,4,5,17,25,38,18,13,11,136,..,0,6,0,0,0,0,3,0,0,12,..,141,579,195,189,195,193,47,43,71,1648,..,0,0,0,0,0,0,0,0,3,8,..,221,899,272,262,247,240,75,54,97,2368,147,310,166,26,23,19,19,12,4,17,742,156,607,517,139,111,165,210,63,12,28,2009,0,3,10,3,12,32,31,7,3,0,104,0,0,0,0,0,0,0,0,0,0,3,156,614,528,147,122,192,242,75,18,30,2116,0,4,0,0,0,0,0,0,0,3,12,303,929,700,170,145,216,255,80,22,52,2872,364,227,221,51,35,33,28,12,11,37,1026,456,1270,1428,363,323,334,311,69,41,50,4646,7,57,130,36,31,57,54,7,5,4,388,0,3,7,0,0,0,0,0,0,0,7,457,1328
SOSR212,..,127,375,87,69,82,102,46,24,41,958,..,91,383,141,120,198,267,57,38,39,1328,..,0,0,5,12,26,38,20,17,23,139,..,0,4,0,0,0,9,7,3,3,24,..,97,384,147,125,223,308,85,57,69,1488,..,0,0,0,0,0,0,0,0,4,9,..,218,760,237,195,311,409,135,79,113,2451,212,372,184,23,21,25,23,24,3,21,903,105,399,395,128,135,181,256,84,18,14,1719,5,7,14,9,38,38,54,18,3,13,186,0,0,0,0,0,0,0,0,0,0,4,111,409,412,140,168,222,308,107,24,24,1910,0,0,5,0,0,0,0,0,0,5,8,320,777,597,161,185,241,334,128,28,52,2829,482,253,372,78,87,94,93,39,24,52,1574,313,680,1145,409,407,489,517,152,29,62,4209,25,47,133,88,131,125,177,42,5,32,811,3,0,11,0,0,0,0,3,0,6,28,343,735
SOSR213,..,103,227,54,60,44,40,34,8,28,591,..,56,238,56,103,95,99,42,28,27,752,..,0,5,0,9,18,10,12,14,8,73,..,0,0,0,0,0,0,0,0,0,8,..,60,242,58,108,119,112,54,38,30,825,..,0,0,0,0,0,0,0,0,4,7,..,155,472,113,171,162,153,89,42,72,1429,156,308,167,25,18,23,26,6,3,21,761,54,240,207,53,68,103,112,59,12,18,915,0,0,13,4,9,16,9,13,4,0,64,0,5,0,0,0,0,0,0,0,0,5,56,243,217,56,78,116,124,68,12,18,987,0,0,0,0,0,0,0,0,0,14,20,215,554,380,82,99,130,151,72,20,57,1763,451,226,245,80,47,70,61,40,6,27,1266,175,450,790,246,273,292,334,117,44,40,2760,3,28,66,34,49,94,91,18,3,4,395,0,0,0,0,0,0,0,0,0,0,3,178,475
SOSR214,..,54,93,24,21,27,19,6,5,14,273,..,18,121,32,26,37,43,30,12,13,329,..,0,0,0,0,0,16,0,11,5,36,..,0,0,0,0,0,0,0,0,0,0,..,18,120,32,29,35,56,30,20,18,360,..,0,0,0,0,0,0,0,0,0,0,..,74,221,59,52,61,79,36,26,40,636,74,170,67,12,3,12,12,11,3,5,368,17,74,88,38,24,48,108,26,12,16,457,0,3,0,3,3,17,14,0,0,0,55,0,0,0,0,0,0,0,0,0,0,4,20,74,91,44,33,74,131,27,14,17,514,0,0,0,0,0,0,0,0,0,0,4,89,246,164,52,34,80,141,40,14,24,888,205,111,149,37,39,33,35,11,4,27,650,76,196,383,124,135,157,142,48,22,28,1306,3,6,30,14,34,35,67,14,0,8,206,0,0,0,0,0,0,0,0,0,0,10,81,205
SOSR215,..,86,187,31,37,42,25,28,5,19,454,..,25,96,28,34,33,40,13,6,17,302,..,0,0,0,6,0,8,8,8,5,31,..,0,0,0,0,0,0,0,0,0,5,..,28,99,28,47,33,50,18,19,22,339,..,0,0,3,0,0,0,0,0,0,0,..,116,285,63,80,79,69,43,22,38,798,139,247,92,13,12,19,18,3,0,13,568,23,106,81,28,38,49,51,14,10,7,409,0,0,0,5,16,7,17,3,5,3,59,0,0,0,0,0,0,0,0,0,4,6,20,107,81,30,51,59,72,17,15,16,470,0,0,0,0,0,0,0,0,0,4,0,164,349,175,49,65,81,94,22,18,34,1042,349,174,232,52,48,50,47,15,8,33,1011,87,229,390,130,125,166,193,50,10,37,1425,8,24,42,25,25,19,68,14,3,21,249,0,0,0,0,0,0,0,0,0,0,5,97,257
SOSR221,..,22,59,11,10,4,10,10,0,12,141,..,0,18,7,10,9,5,5,0,13,64,..,0,0,0,0,0,0,0,0,3,7,..,0,0,0,0,0,0,0,0,0,0,..,0,21,7,13,9,8,5,0,16,78,..,0,0,0,0,0,0,0,0,0,0,..,23,79,18,19,21,18,11,0,25,213,31,49,26,0,4,5,4,4,0,3,120,9,33,14,8,3,5,3,3,5,4,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,14,8,3,5,3,3,5,4,83,0,0,0,0,0,0,0,0,0,0,0,33,80,40,13,5,4,10,6,6,6,207,83,29,70,7,14,18,8,5,0,3,235,25,34,39,14,30,25,39,8,3,6,224,0,0,11,3,7,0,4,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,25,39
SOSR222,..,5,34,8,3,0,10,3,0,0,59,..,6,8,3,0,0,8,5,0,0,36,..,0,0,0,0,0,0,5,0,0,5,..,0,0,0,0,0,0,0,0,0,0,..,6,8,3,0,0,8,7,0,0,38,..,0,0,0,0,0,0,0,0,0,0,..,12,44,13,6,0,9,10,4,0,104,6,22,14,0,0,5,4,0,0,3,56,0,11,13,4,0,0,12,7,0,0,50,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,13,4,0,0,7,9,0,3,51,0,0,0,0,0,0,0,0,0,0,0,5,31,31,5,4,10,17,9,0,3,110,42,26,28,13,5,12,15,3,4,5,144,6,11,32,17,16,24,39,15,6,3,178,4,0,0,0,4,4,12,0,0,0,29,0,0,0,0,0,0,0,0,0,0,3,11,11
SOSR231,..,140,316,83,54,62,61,46,29,74,852,..,21,117,37,30,31,66,27,11,16,360,..,0,0,0,5,4,8,4,15,10,44,..,0,0,0,0,0,0,0,0,0,4,..,21,119,37,37,33,74,32,29,25,410,..,0,5,0,0,0,0,4,0,3,11,..,164,435,119,86,96,136,80,54,105,1270,219,433,155,26,20,20,35,19,21,53,998,55,156,129,32,51,40,90,35,16,3,606,3,0,6,6,11,14,21,0,0,3,65,0,0,0,0,0,0,0,0,0,0,4,63,161,128,38,63,54,106,34,22,8,677,0,0,0,0,0,0,0,0,0,47,47,280,591,284,61,83,75,143,57,39,106,1722,431,235,335,70,70,89,123,44,18,49,1456,140,205,352,136,120,164,263,68,50,43,1549,4,16,82,50,44,56,56,19,8,25,355,0,0,0,0,0,0,8,0,4,0,14,152,225
