SOSR_CODE_2021,A25_34_UOLSE_T_11_15,A25_34_UOLSE_T_16,A25_34_UOLSE_T_17,A25_34_UOLSE_T_18,A25_34_UOLSE_T_19,A25_34_UOLSE_T_20,A25_34_UOLSE_T_21,A25_34_UOLSE_T_YNS,A25_34_UOLSE_T_T,A25_34_L_PinE_NS_B_05,A25_34_L_PinE_NS_05_10,A25_34_L_PinE_NS_11_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_17,A25_34_L_PinE_NS_18,A25_34_L_PinE_NS_19,A25_34_L_PinE_NS_20,A25_34_L_PinE_NS_21,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B_05,A25_34_T_05_10,A25_34_T_11_15,A25_34_T_16,A25_34_T_17,A25_34_T_18,A25_34_T_19,A25_34_T_20,A25_34_T_21,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B_05,A35_44_SEO_05_10,A35_44_SEO_11_15,A35_44_SEO_16,A35_44_SEO_17,A35_44_SEO_18,A35_44_SEO_19,A35_44_SEO_20,A35_44_SEO_21,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_UOLSE_VWW_B_05,A35_44_UOLSE_VWW_05_10,A35_44_UOLSE_VWW_11_15,A35_44_UOLSE_VWW_16,A35_44_UOLSE_VWW_17,A35_44_UOLSE_VWW_18,A35_44_UOLSE_VWW_19,A35_44_UOLSE_VWW_20,A35_44_UOLSE_VWW_21,A35_44_UOLSE_VWW_YNS,A35_44_UOLSE_VWW_T,A35_44_UOLSE_NWNAA_B_05,A35_44_UOLSE_NWNAA_05_10,A35_44_UOLSE_NWNAA_11_15,A35_44_UOLSE_NWNAA_16,A35_44_UOLSE_NWNAA_17,A35_44_UOLSE_NWNAA_18,A35_44_UOLSE_NWNAA_19,A35_44_UOLSE_NWNAA_20,A35_44_UOLSE_NWNAA_21,A35_44_UOLSE_NWNAA_YNS,A35_44_UOLSE_NWNAA_T,A35_44_UOLSE_PinE_NS_B_05,A35_44_UOLSE_PinE_NS_05_10,A35_44_UOLSE_PinE_NS_11_15,A35_44_UOLSE_PinE_NS_16,A35_44_UOLSE_PinE_NS_17,A35_44_UOLSE_PinE_NS_18,A35_44_UOLSE_PinE_NS_19,A35_44_UOLSE_PinE_NS_20,A35_44_UOLSE_PinE_NS_21,A35_44_UOLSE_PinE_NS_YNS,A35_44_UOLSE_PinE_NS_T,A35_44_UOLSE_T_B_05,A35_44_UOLSE_T_05_10,A35_44_UOLSE_T_11_15,A35_44_UOLSE_T_16,A35_44_UOLSE_T_17,A35_44_UOLSE_T_18,A35_44_UOLSE_T_19,A35_44_UOLSE_T_20,A35_44_UOLSE_T_21,A35_44_UOLSE_T_YNS,A35_44_UOLSE_T_T,A35_44_L_PinE_NS_B_05,A35_44_L_PinE_NS_05_10,A35_44_L_PinE_NS_11_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_17,A35_44_L_PinE_NS_18,A35_44_L_PinE_NS_19,A35_44_L_PinE_NS_20,A35_44_L_PinE_NS_21,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B_05,A35_44_T_05_10,A35_44_T_11_15,A35_44_T_16,A35_44_T_17,A35_44_T_18,A35_44_T_19,A35_44_T_20,A35_44_T_21,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B_05,A45_54_SEO_05_10,A45_54_SEO_11_15,A45_54_SEO_16,A45_54_SEO_17,A45_54_SEO_18,A45_54_SEO_19,A45_54_SEO_20,A45_54_SEO_21,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_UOLSE_VWW_B_05,A45_54_UOLSE_VWW_05_10,A45_54_UOLSE_VWW_11_15,A45_54_UOLSE_VWW_16,A45_54_UOLSE_VWW_17,A45_54_UOLSE_VWW_18,A45_54_UOLSE_VWW_19,A45_54_UOLSE_VWW_20,A45_54_UOLSE_VWW_21,A45_54_UOLSE_VWW_YNS,A45_54_UOLSE_VWW_T,A45_54_UOLSE_NWNAA_B_05,A45_54_UOLSE_NWNAA_05_10,A45_54_UOLSE_NWNAA_11_15,A45_54_UOLSE_NWNAA_16,A45_54_UOLSE_NWNAA_17,A45_54_UOLSE_NWNAA_18,A45_54_UOLSE_NWNAA_19,A45_54_UOLSE_NWNAA_20,A45_54_UOLSE_NWNAA_21,A45_54_UOLSE_NWNAA_YNS,A45_54_UOLSE_NWNAA_T,A45_54_UOLSE_PinE_NS_B_05,A45_54_UOLSE_PinE_NS_05_10,A45_54_UOLSE_PinE_NS_11_15,A45_54_UOLSE_PinE_NS_16,A45_54_UOLSE_PinE_NS_17,A45_54_UOLSE_PinE_NS_18,A45_54_UOLSE_PinE_NS_19,A45_54_UOLSE_PinE_NS_20,A45_54_UOLSE_PinE_NS_21,A45_54_UOLSE_PinE_NS_YNS,A45_54_UOLSE_PinE_NS_T,A45_54_UOLSE_T_B_05,A45_54_UOLSE_T_05_10,A45_54_UOLSE_T_11_15,A45_54_UOLSE_T_16,A45_54_UOLSE_T_17,A45_54_UOLSE_T_18,A45_54_UOLSE_T_19,A45_54_UOLSE_T_20,A45_54_UOLSE_T_21,A45_54_UOLSE_T_YNS,A45_54_UOLSE_T_T,A45_54_L_PinE_NS_B_05,A45_54_L_PinE_NS_05_10,A45_54_L_PinE_NS_11_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_17,A45_54_L_PinE_NS_18,A45_54_L_PinE_NS_19,A45_54_L_PinE_NS_20,A45_54_L_PinE_NS_21,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B_05,A45_54_T_05_10,A45_54_T_11_15,A45_54_T_16,A45_54_T_17,A45_54_T_18,A45_54_T_19,A45_54_T_20,A45_54_T_21,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B_05,A55_64_SEO_05_10,A55_64_SEO_11_15,A55_64_SEO_16,A55_64_SEO_17,A55_64_SEO_18,A55_64_SEO_19,A55_64_SEO_20,A55_64_SEO_21,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_UOLSE_VWW_B_05,A55_64_UOLSE_VWW_05_10,A55_64_UOLSE_VWW_11_15,A55_64_UOLSE_VWW_16
SOSR201,67891,19848,22426,26115,26734,7414,1919,3447,248268,35,47,91,29,50,35,37,9,5,747,1088,47378,57296,83799,24272,27404,31639,32689,9353,2637,5560,322025,37713,17930,13790,2000,1865,1552,1474,578,270,1156,78329,67246,82880,50051,9712,9143,8233,7284,2401,1102,1916,239973,3196,6596,7185,1831,1974,1943,2093,745,262,585,26416,75,117,69,13,10,12,23,7,3,48,380,70523,89594,57305,11560,11126,10193,9403,3150,1370,2537,266762,44,60,62,10,18,7,11,0,0,485,699,108275,107589,71155,13568,13010,11757,10882,3728,1637,4180,345789,54172,10924,5506,669,678,525,512,292,120,1115,74512,74265,28372,14192,2285,1970,1566,1472,633,322,1349,126425,11445,6125,6185,1596,1648,1451,1704,719,171,796,31850,126,50,21,4,8,3,11,4,0,35,265,85836,34544,20401,3886,3629,3019,3188,1356,498,2177,158537,80,25,27,0,0,3,9,3,3,260,407,140082,45495,25938,4552,4310,3548,3710,1654,615,3553,233456,67896,4407,1753,234,245,228,249,169,65,1259,76508,79378,7474,3400,539
SOSR203,2377,770,862,1052,1128,304,54,110,8229,0,3,6,0,0,0,3,0,0,25,36,1168,1611,2969,921,1024,1228,1328,389,74,206,10920,1424,757,540,72,79,73,65,27,9,57,3112,804,2095,1556,295,280,275,272,113,22,43,5746,20,174,228,63,49,53,43,15,8,16,674,3,0,4,0,0,3,0,0,0,0,7,827,2265,1788,357,333,327,317,128,31,57,6433,0,0,6,0,0,0,0,0,0,7,8,2252,3027,2331,430,408,393,380,152,44,120,9548,2481,486,284,31,28,28,28,19,10,72,3474,1040,814,409,68,69,67,51,33,11,25,2588,98,152,176,38,50,33,37,14,0,9,603,4,0,0,0,0,0,0,0,0,0,6,1145,972,585,103,122,96,86,46,9,33,3196,0,0,0,0,0,0,0,0,0,0,5,3628,1460,867,139,147,127,113,60,19,108,6667,3868,234,83,10,11,13,19,16,7,111,4366,1321,185,88,12
SOSR211,1562,392,350,386,367,76,52,59,5043,0,5,0,0,0,0,0,0,0,3,10,824,1558,1792,446,392,426,392,89,60,103,6077,535,259,154,27,24,26,16,13,4,19,1073,830,2276,1201,221,189,121,114,22,27,34,5042,40,174,157,21,23,35,38,8,3,10,507,3,4,5,0,0,0,0,0,0,0,10,874,2454,1365,243,216,154,149,37,30,42,5561,0,6,0,0,0,0,0,0,0,6,11,1401,2721,1520,268,238,183,168,43,34,62,6640,821,179,98,14,11,9,10,6,0,23,1169,825,631,328,62,39,29,26,13,5,22,1972,90,125,124,20,22,17,15,3,0,10,418,6,0,0,0,0,0,0,0,0,0,10,919,750,449,79,60,47,46,13,5,32,2403,3,0,0,0,0,0,0,0,0,5,9,1739,933,547,92,72,53,58,25,5,61,3573,1284,77,36,3,3,0,8,0,0,30,1450,755,170,76,18
SOSR212,1279,498,541,622,697,198,39,101,5050,0,0,0,0,0,0,0,0,0,8,8,825,989,1651,580,630,718,791,236,60,154,6635,1005,584,474,69,52,48,59,30,18,49,2377,642,1413,1020,235,202,187,239,70,38,47,4088,58,132,185,67,66,89,83,27,5,27,734,3,4,0,0,0,4,0,3,0,0,19,704,1551,1205,300,271,278,328,97,41,77,4844,0,0,0,0,0,0,0,0,0,3,12,1711,2131,1685,367,321,326,384,121,55,128,7237,1904,414,245,28,32,21,23,14,4,54,2727,743,532,325,64,42,53,65,35,8,24,1893,135,141,141,26,47,44,57,12,8,25,636,4,4,0,0,0,0,0,0,0,7,18,880,669,473,83,96,97,129,53,12,55,2545,4,0,0,0,0,0,0,0,0,12,12,2782,1083,715,111,120,123,151,68,12,120,5287,2866,200,97,5,8,5,8,0,8,81,3280,847,176,80,10
SOSR213,859,279,322,389,432,136,48,45,3160,3,0,0,0,0,0,0,0,0,91,95,631,705,1102,355,368,463,496,180,60,161,4509,846,464,275,33,35,28,26,11,7,38,1753,411,1062,665,144,127,152,121,53,19,26,2783,24,55,66,26,45,53,19,9,3,10,301,0,0,0,0,0,0,0,0,0,0,9,436,1120,733,165,167,205,133,63,23,36,3088,0,0,0,0,0,0,0,0,0,59,64,1280,1582,1009,201,206,234,161,78,33,130,4903,1630,363,184,27,24,19,20,6,3,53,2318,540,387,223,36,26,37,19,5,9,27,1312,45,71,57,11,11,7,19,7,0,9,247,0,3,0,0,0,0,0,0,0,0,8,593,461,284,50,39,48,40,12,7,31,1565,3,0,0,0,0,0,0,0,0,39,42,2225,825,460,72,61,68,55,20,17,131,3929,3091,166,60,10,3,10,14,5,3,84,3449,701,134,58,12
SOSR214,411,140,159,199,212,60,19,34,1520,0,0,0,0,0,0,0,0,0,0,0,288,314,557,179,202,229,242,75,25,58,2168,459,224,146,21,12,14,14,7,6,34,947,189,510,347,48,71,48,58,26,21,22,1330,11,21,28,4,4,12,24,3,3,3,116,0,0,0,0,0,0,0,0,0,0,0,200,531,375,58,74,59,88,31,17,23,1451,0,0,0,0,0,0,0,0,0,3,0,656,757,523,75,91,73,103,37,25,59,2403,932,163,109,13,3,14,3,0,5,37,1274,243,141,120,16,17,19,16,3,0,18,592,24,21,26,0,3,9,5,4,0,0,101,0,0,0,0,0,0,0,0,0,0,0,262,162,151,22,20,26,18,6,0,18,687,6,0,0,0,0,0,0,0,0,0,3,1196,323,256,34,29,37,29,10,0,55,1972,1936,120,47,4,7,7,5,3,0,57,2188,348,44,30,5
SOSR215,431,154,153,185,258,67,14,54,1678,5,0,0,0,0,0,0,0,0,3,9,451,430,662,204,206,237,308,85,24,96,2699,823,386,280,41,21,30,25,8,3,50,1667,233,525,334,55,66,62,52,29,11,39,1408,26,52,38,20,16,22,43,11,0,9,234,0,0,0,0,3,0,0,0,0,4,6,262,575,375,76,79,81,97,35,13,46,1647,4,0,0,0,0,0,0,0,0,6,7,1092,961,652,116,104,114,126,45,15,101,3319,1778,325,142,26,19,12,19,8,4,81,2415,392,197,127,27,20,14,7,10,7,17,821,52,44,23,9,14,9,21,10,0,7,191,0,0,0,0,0,0,0,0,0,4,5,442,245,153,38,34,26,26,18,7,26,1021,0,0,0,0,0,0,0,0,0,4,9,2227,570,295,62,56,35,44,27,9,111,3440,3292,158,59,8,14,9,15,3,0,127,3685,503,69,24,7
SOSR221,48,17,38,30,46,8,5,7,263,0,0,0,0,0,0,0,0,0,0,0,105,68,118,27,50,43,56,15,12,6,497,230,82,76,10,3,9,13,0,0,12,428,64,97,45,13,12,20,12,5,7,4,272,0,6,6,0,6,3,5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,64,104,53,11,15,19,22,5,3,4,302,0,0,0,0,0,0,0,0,0,0,0,300,186,128,19,24,25,31,5,3,16,735,464,101,41,3,7,8,6,4,0,25,652,96,47,24,3,6,3,0,3,0,8,187,3,0,6,4,0,5,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,98,48,32,9,8,4,3,3,0,8,216,0,0,0,0,0,0,0,0,0,0,0,565,149,77,13,9,10,9,3,0,28,865,1105,68,33,0,0,5,3,3,0,48,1266,135,12,13,0
SOSR222,37,18,21,32,53,17,6,3,210,0,0,0,0,0,0,0,0,0,0,0,47,42,60,30,30,47,65,18,12,8,356,116,59,35,3,5,3,8,0,0,3,230,26,45,49,14,8,9,7,0,0,4,156,0,4,4,5,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,28,51,49,12,8,11,8,0,0,8,174,0,0,0,0,0,0,0,0,0,0,0,145,108,82,18,7,15,19,0,0,11,399,283,31,20,5,0,0,3,4,0,7,360,47,31,18,0,0,0,0,0,0,7,99,3,4,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,48,32,23,0,0,0,3,0,0,7,112,0,0,0,0,0,0,0,0,0,0,0,337,61,40,5,0,4,7,4,0,13,471,552,24,9,0,0,6,0,0,0,26,620,83,4,6,0
SOSR231,433,185,167,219,313,88,60,71,1914,0,0,0,0,0,0,4,0,0,242,256,582,459,768,260,233,303,441,136,78,367,3630,1394,639,370,46,40,41,41,15,14,78,2679,456,510,380,80,69,78,122,42,29,46,1809,20,40,75,21,21,22,23,6,9,21,258,0,0,4,0,6,0,0,0,0,6,11,476,545,454,103,92,95,150,55,33,71,2078,0,0,0,0,0,0,0,0,0,238,246,1877,1188,829,151,137,143,185,67,44,391,5001,3646,597,278,26,23,23,22,20,9,211,4852,797,276,167,40,29,19,31,13,4,32,1410,64,34,35,17,12,17,17,13,5,17,234,5,0,0,0,0,0,0,0,0,0,6,860,312,200,56,42,36,46,22,8,56,1652,6,0,0,4,0,0,0,0,0,155,165,4518,911,478,86,67,59,66,47,20,418,6667,6945,368,109,18,14,14,11,3,7,314,7798,1153,94,58,13
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
