SOSR_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOSR201,1107,1575,6284,9268,11737,18397,34461,43729,25129,151678,282,1364,6027,6986,8098,10003,9887,9401,5820,57872,9575,15423,41684,32325,24900,21425,21121,19577,14508,200545,95684,309211,744495,690019,584618,488571,372361,219829,95415,3600207
SOSR203,226,253,675,784,948,1522,3283,4069,2701,14460,23,89,328,364,416,369,329,258,176,2354,1051,1482,3116,2420,2353,2229,2460,2496,1886,19495,9287,26278,57229,48599,45763,43925,38731,22785,10151,302743
SOSR211,65,100,308,343,381,548,965,828,356,3889,10,28,155,209,222,184,149,101,34,1082,452,459,1243,1108,819,643,656,492,214,6079,2946,6867,18213,16860,12730,10879,9293,4236,1262,83286
SOSR212,147,121,490,581,643,1066,2329,2870,1821,10069,20,84,289,326,339,296,228,206,114,1908,815,832,2141,1977,1826,1828,1963,1881,1441,14710,6054,14348,34716,33834,33044,31840,28141,15810,6631,204411
SOSR213,142,116,428,503,621,1181,2468,3291,2175,10923,10,34,141,150,197,199,175,145,101,1173,684,767,1816,1662,1651,1664,2140,2100,1500,13980,5648,12917,31357,29528,29860,30861,29675,18469,7715,196026
SOSR214,70,78,235,250,346,735,1682,2257,1527,7171,10,24,66,55,78,91,102,127,75,630,405,367,999,1000,1035,1291,1681,1706,1080,9557,2978,6533,15539,15143,16670,19628,21727,13539,5691,117464
SOSR215,98,94,348,406,544,1027,2199,3033,1972,9721,12,30,93,100,132,154,125,121,72,844,728,671,1583,1702,1834,2198,2529,2197,1341,14783,4593,9606,24478,25095,27068,31230,30761,17669,7144,177650
SOSR221,31,12,74,87,154,285,595,714,433,2383,3,6,17,23,12,31,33,26,6,149,186,148,353,477,542,697,754,551,355,4061,1238,2346,5867,6676,7823,9815,9309,4550,1658,49292
SOSR222,10,11,49,49,77,190,359,400,199,1335,3,6,10,9,12,10,12,15,3,86,139,156,291,299,356,448,458,298,169,2605,712,1421,3266,3606,4406,5560,4710,2229,714,26632
SOSR231,200,123,465,586,944,1903,3782,4059,1574,13630,28,43,116,109,146,164,193,253,133,1195,1880,1475,3262,3983,5033,5838,5296,3051,957,30768,10671,19178,37641,46829,62742,72463,59683,25282,5959,340447
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,15,0,0,0,29,0,0,6,16,3,14,4,0,0,38
SOSR299,13,18,33,35,36,25,38,26,9,227,5,4,9,11,12,10,3,0,0,51,173,211,691,870,646,408,202,34,13,3248,370,669,1819,1736,1393,1074,613,150,29,7852
