SOSR_CODE_2021,LFS_Emp_Dia_ges_dia,LFS_Emp_HD_HA_ang,LFS_Emp_Kid_dis,LFS_Emp_LC_COPD_emph,LFS_Emp_MHC_dep_anx,LFS_Emp_Stroke,LFS_Emp_oth_LTHC,LFS_Emp_no_LTHC,LFS_Emp_LTHC_NS,LFS_Emp_Tot,LFS_Unemp_Arth,LFS_Unemp_Asth,LFS_Unemp_Can_rem,LFS_Unemp_Dem_Alzh,LFS_Unemp_Dia_ges_dia,LFS_Unemp_HD_HA_ang,LFS_Unemp_Kid_dis,LFS_Unemp_LC_COPD_emph,LFS_Unemp_MHC_dep_anx,LFS_Unemp_Stroke,LFS_Unemp_oth_LTHC,LFS_Unemp_no_LTHC,LFS_Unemp_LTHC_NS,LFS_Unemp_Tot,LFS_NLF_Arth,LFS_NLF_Asth,LFS_NLF_Can_rem,LFS_NLF_Dem_Alzh,LFS_NLF_Dia_ges_dia,LFS_NLF_HD_HA_ang,LFS_NLF_Kid_dis,LFS_NLF_LC_COPD_emph,LFS_NLF_MHC_dep_anx,LFS_NLF_Stroke,LFS_NLF_oth_LTHC,LFS_NLF_no_LTHC,LFS_NLF_LTHC_NS,LFS_NLF_Tot,LFS_NS_Arth,LFS_NS_Asth,LFS_NS_Can_rem,LFS_NS_Dem_Alzh,LFS_NS_Dia_ges_dia,LFS_NS_HD_HA_ang,LFS_NS_Kid_dis,LFS_NS_LC_COPD_emph,LFS_NS_MHC_dep_anx,LFS_NS_Stroke,LFS_NS_oth_LTHC,LFS_NS_no_LTHC,LFS_NS_LTHC_NS,LFS_NS_Tot,LFS_Tot_Arth,LFS_Tot_Asth,LFS_Tot_Can_rem,LFS_Tot_Dem_Alzh,LFS_Tot_Dia_ges_dia,LFS_Tot_HD_HA_ang,LFS_Tot_Kid_dis,LFS_Tot_LC_COPD_emph,LFS_Tot_MHC_dep_anx,LFS_Tot_Stroke,LFS_Tot_oth_LTHC,LFS_Tot_no_LTHC,LFS_Tot_LTHC_NS,LFS_Tot_Tot,TPI_wk_NNI_Arth,TPI_wk_NNI_Asth,TPI_wk_NNI_Can_rem,TPI_wk_NNI_Dem_Alzh,TPI_wk_NNI_Dia_ges_dia,TPI_wk_NNI_HD_HA_ang,TPI_wk_NNI_Kid_dis,TPI_wk_NNI_LC_COPD_emph,TPI_wk_NNI_MHC_dep_anx,TPI_wk_NNI_Stroke,TPI_wk_NNI_oth_LTHC,TPI_wk_NNI_no_LTHC,TPI_wk_NNI_LTHC_NS,TPI_wk_NNI_Tot,TPI_wk_1_299_Arth,TPI_wk_1_299_Asth,TPI_wk_1_299_Can_rem,TPI_wk_1_299_Dem_Alzh,TPI_wk_1_299_Dia_ges_dia,TPI_wk_1_299_HD_HA_ang,TPI_wk_1_299_Kid_dis,TPI_wk_1_299_LC_COPD_emph,TPI_wk_1_299_MHC_dep_anx,TPI_wk_1_299_Stroke,TPI_wk_1_299_oth_LTHC,TPI_wk_1_299_no_LTHC,TPI_wk_1_299_LTHC_NS,TPI_wk_1_299_Tot,TPI_wk_300_649_Arth,TPI_wk_300_649_Asth,TPI_wk_300_649_Can_rem,TPI_wk_300_649_Dem_Alzh,TPI_wk_300_649_Dia_ges_dia,TPI_wk_300_649_HD_HA_ang,TPI_wk_300_649_Kid_dis,TPI_wk_300_649_LC_COPD_emph,TPI_wk_300_649_MHC_dep_anx,TPI_wk_300_649_Stroke,TPI_wk_300_649_oth_LTHC,TPI_wk_300_649_no_LTHC,TPI_wk_300_649_LTHC_NS,TPI_wk_300_649_Tot,TPI_wk_650_999_Arth,TPI_wk_650_999_Asth,TPI_wk_650_999_Can_rem,TPI_wk_650_999_Dem_Alzh,TPI_wk_650_999_Dia_ges_dia,TPI_wk_650_999_HD_HA_ang,TPI_wk_650_999_Kid_dis,TPI_wk_650_999_LC_COPD_emph,TPI_wk_650_999_MHC_dep_anx,TPI_wk_650_999_Stroke,TPI_wk_650_999_oth_LTHC,TPI_wk_650_999_no_LTHC,TPI_wk_650_999_LTHC_NS,TPI_wk_650_999_Tot,TPI_wk_1000_1749_Arth,TPI_wk_1000_1749_Asth,TPI_wk_1000_1749_Can_rem,TPI_wk_1000_1749_Dem_Alzh,TPI_wk_1000_1749_Dia_ges_dia,TPI_wk_1000_1749_HD_HA_ang,TPI_wk_1000_1749_Kid_dis,TPI_wk_1000_1749_LC_COPD_emph,TPI_wk_1000_1749_MHC_dep_anx,TPI_wk_1000_1749_Stroke,TPI_wk_1000_1749_oth_LTHC,TPI_wk_1000_1749_no_LTHC,TPI_wk_1000_1749_LTHC_NS,TPI_wk_1000_1749_Tot,TPI_wk_1750_2999_Arth,TPI_wk_1750_2999_Asth,TPI_wk_1750_2999_Can_rem,TPI_wk_1750_2999_Dem_Alzh,TPI_wk_1750_2999_Dia_ges_dia,TPI_wk_1750_2999_HD_HA_ang,TPI_wk_1750_2999_Kid_dis,TPI_wk_1750_2999_LC_COPD_emph,TPI_wk_1750_2999_MHC_dep_anx,TPI_wk_1750_2999_Stroke,TPI_wk_1750_2999_oth_LTHC,TPI_wk_1750_2999_no_LTHC,TPI_wk_1750_2999_LTHC_NS,TPI_wk_1750_2999_Tot,TPI_wk_3000_more_Arth,TPI_wk_3000_more_Asth,TPI_wk_3000_more_Can_rem,TPI_wk_3000_more_Dem_Alzh,TPI_wk_3000_more_Dia_ges_dia,TPI_wk_3000_more_HD_HA_ang,TPI_wk_3000_more_Kid_dis,TPI_wk_3000_more_LC_COPD_emph,TPI_wk_3000_more_MHC_dep_anx,TPI_wk_3000_more_Stroke,TPI_wk_3000_more_oth_LTHC,TPI_wk_3000_more_no_LTHC,TPI_wk_3000_more_LTHC_NS,TPI_wk_3000_more_Tot,TPI_wk_NS_Arth,TPI_wk_NS_Asth,TPI_wk_NS_Can_rem,TPI_wk_NS_Dem_Alzh,TPI_wk_NS_Dia_ges_dia,TPI_wk_NS_HD_HA_ang,TPI_wk_NS_Kid_dis,TPI_wk_NS_LC_COPD_emph,TPI_wk_NS_MHC_dep_anx,TPI_wk_NS_Stroke,TPI_wk_NS_oth_LTHC,TPI_wk_NS_no_LTHC,TPI_wk_NS_LTHC_NS,TPI_wk_NS_Tot,TPI_wk_Tot_Arth,TPI_wk_Tot_Asth,TPI_wk_Tot_Can_rem,TPI_wk_Tot_Dem_Alzh,TPI_wk_Tot_Dia_ges_dia,TPI_wk_Tot_HD_HA_ang,TPI_wk_Tot_Kid_dis,TPI_wk_Tot_LC_COPD_emph,TPI_wk_Tot_MHC_dep_anx,TPI_wk_Tot_Stroke,TPI_wk_Tot_oth_LTHC,TPI_wk_Tot_no_LTHC,TPI_wk_Tot_LTHC_NS,TPI_wk_Tot_Total,CANA_HNA_Arth,CANA_HNA_Asth,CANA_HNA_Can_rem,CANA_HNA_Dem_Alzh,CANA_HNA_Dia_ges_dia,CANA_HNA_HD_HA_ang,CANA_HNA_Kid_dis,CANA_HNA_LC_COPD_emph
SOSR201,71567,36923,8857,10141,186847,5998,149766,1611858,63887,2286127,4463,10754,1265,76,4487,2022,560,751,16797,397,9426,87994,3556,129322,210385,102227,72848,28584,124749,108607,26156,40586,146657,29740,162807,531953,37952,1166937,4920,1986,1439,2054,2697,2674,736,934,3218,958,3233,13049,154658,180448,312774,307493,112411,31225,203497,150226,36308,52412,353518,37101,325234,2244856,260061,3762827,22188,26198,8368,3165,20527,11567,3171,3699,32247,3443,31355,260842,11793,386175,27546,26714,9498,2539,18034,13190,3407,4753,36206,3628,31870,184340,9243,308382,131338,72260,41011,15275,76811,63149,16037,26078,109076,17610,102091,360152,21246,762417,43394,44234,15987,2370,26944,19895,4341,6704,50741,4160,42300,351705,15815,543995,45195,71827,17997,1176,32098,20409,4342,5778,70277,3642,59296,571754,22270,839182,21692,42869,10196,361,16084,9997,2179,2215,34383,1542,34039,331421,11430,478634,10588,18345,5782,283,7005,5698,1133,1069,11293,864,14649,150766,5569,215953,10827,5047,3573,6051,5996,6321,1693,2122,9293,2211,9633,33869,162689,228090,312774,307493,112411,31225,203497,150226,36308,52412,353518,37101,325234,2244856,260061,3762827,75870,31744,24390,26415,45986,43432,13644,18332
SOSR203,5934,3496,799,1270,23420,616,13964,115706,6051,183465,519,1164,116,6,347,168,51,112,2179,52,882,4933,294,9016,26143,13498,8602,2893,12585,12880,2898,6491,19839,3588,16814,36639,3694,107209,751,324,185,354,369,396,107,203,592,148,540,872,13709,16422,38250,35104,12374,3305,19225,16947,3851,8082,46028,4398,32196,158150,23743,316110,1740,2259,605,149,1012,758,201,350,3200,225,2204,12378,826,21622,2991,3229,965,193,1570,1271,314,684,4692,356,3116,13753,982,26729,18500,10891,5601,1794,8833,8533,2006,4596,16645,2427,12182,30543,2509,82229,5891,6024,1919,282,2800,2425,485,1008,7860,555,4902,29354,1696,53159,5092,7617,1796,97,2792,2011,405,703,8610,346,5509,42398,2193,69418,1928,3454,755,22,1089,751,158,223,3090,126,2529,20741,921,32318,598,910,285,21,355,322,65,99,686,65,653,6588,312,9848,1508,724,439,752,771,880,214,424,1249,312,1112,2401,14317,20773,38250,35104,12374,3305,19225,16947,3851,8082,46028,4398,32196,158150,23743,316110,8638,4654,2806,2765,4360,4882,1433,2855
SOSR211,2172,944,225,391,5279,188,3393,32026,1605,49147,184,375,31,5,164,52,21,32,624,12,288,2121,121,3506,6140,3719,1900,513,3768,3015,836,1735,5629,821,4573,11299,898,29145,116,85,34,11,85,62,20,39,77,21,61,337,4832,5498,9173,9584,2742,545,6186,4068,1105,2203,11604,1049,8312,45777,7460,87292,554,763,199,36,555,256,93,139,974,84,782,5482,318,8722,790,845,218,37,455,301,90,176,1197,85,754,3777,238,7041,4376,2898,1270,300,2571,2007,555,1238,4206,556,3134,8147,632,20858,1351,1760,408,39,912,576,163,255,2066,142,1244,9158,475,15381,1319,2298,376,16,1088,558,115,221,2174,99,1510,13209,648,20626,426,723,147,3,372,159,45,41,598,31,528,4465,206,6932,83,103,37,6,75,53,5,24,99,7,103,779,35,1238,270,195,83,109,164,170,49,97,290,45,251,754,4904,6499,9173,9584,2742,545,6186,4068,1105,2203,11604,1049,8312,45777,7460,87292,2176,1473,703,448,1362,1220,421,808
SOSR212,4256,2572,582,942,13287,470,8614,79679,4329,123674,323,680,74,7,215,116,38,70,1143,24,465,3196,214,5565,17794,8531,5883,1966,8414,8862,2136,4262,11671,2381,10872,25377,2553,71879,496,217,123,68,233,244,80,121,228,94,187,781,10832,12654,26194,22484,8512,2073,13126,11796,2837,5398,26330,2970,20134,109030,17931,213775,1291,1574,463,94,803,605,163,266,2025,164,1491,9077,613,15549,2141,2027,687,117,1068,940,229,485,2626,247,1941,9252,659,17622,12246,6507,3755,1212,5788,5791,1406,2978,9097,1607,7393,19739,1724,52178,3968,3889,1309,215,1892,1672,372,690,4512,387,3000,20144,1266,35534,3540,5036,1262,72,1983,1439,331,490,5007,270,3536,29586,1562,47597,1479,2338,554,19,789,585,134,148,1899,100,1606,14528,686,22463,534,653,212,16,280,224,44,67,430,37,450,4680,218,7124,999,470,274,322,530,547,160,265,735,162,713,2018,11198,15718,26194,22484,8512,2073,13126,11796,2837,5398,26330,2970,20134,109030,17931,213775,5652,2967,1849,1740,2892,3194,1044,1811
SOSR213,4099,2416,571,970,12807,448,8113,69152,4013,110423,367,729,82,6,219,152,39,118,1251,31,513,2794,199,5298,20445,9260,6488,1977,9553,9885,2319,5334,12981,2697,11799,24711,3262,76756,686,259,175,300,265,337,71,157,431,125,449,659,9603,11852,28924,22039,8967,2317,14129,12787,2999,6574,27464,3302,20872,97313,17069,204331,1502,1510,527,156,781,640,152,343,2077,187,1504,8037,631,14711,2327,2061,735,142,1213,1016,241,620,2955,305,1966,8379,679,17236,14473,7301,4279,1252,6645,6698,1599,3762,10296,1753,8370,19629,1769,56360,4270,3847,1308,154,2088,1754,346,816,4732,406,3171,18949,1237,35066,3496,4478,1153,64,1895,1358,328,506,4577,270,3223,25951,1512,42483,1234,1812,447,16,697,473,109,129,1589,92,1338,11355,519,17844,376,447,151,8,223,181,47,65,331,38,331,3088,188,4865,1258,584,369,538,585,657,170,336,908,244,964,1927,10534,15764,28924,22039,8967,2317,14129,12787,2999,6574,27464,3302,20872,97313,17069,204331,6469,3196,2060,1891,3141,3521,1099,2194
SOSR214,2273,1467,306,567,6823,245,4301,37365,2032,59685,219,353,51,0,120,97,24,48,609,15,270,1350,88,2614,14414,6094,4587,1598,6535,7195,1495,3655,8608,1901,7787,16524,1786,51642,435,168,109,105,216,220,49,123,186,61,164,430,6460,7928,19536,12817,6122,1730,9146,8979,1873,4390,16233,2217,12516,55675,10368,121867,912,829,318,63,478,417,88,190,1150,107,852,4545,337,8363,1627,1236,529,133,761,742,155,415,1766,224,1248,4751,391,10246,10095,4783,2929,929,4485,4713,1006,2554,6589,1230,5398,12761,1211,37484,2770,2128,967,117,1319,1186,276,504,2617,254,1829,11045,704,20628,2208,2317,712,44,1122,926,155,341,2505,166,1822,14040,728,23303,650,913,260,16,361,265,39,73,788,47,655,5792,284,9057,265,218,123,10,125,151,12,46,178,18,175,1501,70,2495,1009,393,279,416,493,581,140,263,647,168,542,1240,6641,10299,19536,12817,6122,1730,9146,8979,1873,4390,16233,2217,12516,55675,10368,121867,4342,1929,1342,1431,2010,2538,696,1461
SOSR215,3565,2362,484,986,10398,420,6740,61208,3190,96731,339,532,69,0,174,110,33,94,831,24,374,2132,155,3970,19256,8477,6327,2119,8557,9646,2064,4827,11383,2541,10633,24022,2429,71700,516,208,147,120,249,255,75,141,235,69,194,731,10453,12370,27069,19244,8799,2283,12541,12372,2650,6042,22846,3056,17944,88098,16225,184765,1352,1361,446,149,729,615,135,296,1795,185,1287,7251,536,13083,2287,1718,758,134,1029,996,231,511,2382,234,1733,7359,564,15165,13639,6569,4194,1290,6012,6522,1454,3512,8768,1726,7537,18901,1683,52903,3827,3088,1314,179,1756,1664,329,734,3725,351,2545,16882,1026,30480,3330,3928,1124,71,1655,1324,247,493,3827,237,2763,22699,1167,37301,1055,1526,432,14,574,432,72,140,1287,66,1103,9898,442,15327,412,490,183,13,217,199,32,65,354,50,363,3088,142,4883,1154,561,352,437,570,618,154,287,701,207,619,2021,10672,15621,27069,19244,8799,2283,12541,12372,2650,6042,22846,3056,17944,88098,16225,184765,5956,2713,1859,1905,2739,3357,953,1916
SOSR221,985,725,127,285,2797,126,1800,16769,806,26552,91,120,18,0,47,34,10,29,238,3,94,538,30,1016,5452,2317,1683,435,2300,2521,483,1379,3234,612,2864,6824,669,20013,160,78,30,28,65,77,17,34,60,21,57,216,3043,3598,7865,5247,2328,472,3398,3359,641,1723,6326,764,4808,24343,4549,51183,476,358,126,42,238,183,36,113,533,49,381,2011,140,3739,684,465,193,29,291,255,51,142,714,65,472,2127,161,4346,3797,1815,1082,247,1601,1694,316,987,2445,407,2024,5418,426,14695,1177,886,364,33,448,453,90,203,975,95,702,4525,250,8291,987,1047,303,14,451,419,79,159,1082,75,723,6105,296,10120,303,426,133,9,172,125,26,36,324,18,293,2683,123,4176,121,114,43,3,55,73,7,7,84,9,83,840,41,1325,324,138,91,97,146,163,28,70,162,46,126,636,3117,4497,7865,5247,2328,472,3398,3359,641,1723,6326,764,4808,24343,4549,51183,1482,688,447,399,672,815,186,506
SOSR222,517,410,65,172,1519,57,1037,9164,431,14558,72,82,12,0,36,19,5,18,141,4,59,359,27,653,2654,1186,803,178,1121,1225,241,738,1639,342,1422,3579,351,10149,61,35,24,7,33,18,12,19,35,12,17,109,1987,2245,3987,2767,1207,188,1716,1679,330,955,3329,421,2531,13217,2789,27613,224,197,74,5,110,89,17,45,248,29,186,1103,96,1971,365,278,95,10,176,136,25,103,387,41,260,1129,76,2294,1950,967,547,103,808,863,183,542,1333,206,1046,2940,245,7845,545,440,181,12,187,214,38,106,497,43,362,2645,136,4565,536,512,176,6,249,190,26,75,524,39,391,3312,153,5395,172,218,61,0,79,66,15,28,206,6,179,1340,54,2165,51,70,26,3,33,32,4,13,43,3,48,398,9,634,151,88,49,46,76,90,21,46,93,46,64,350,2009,2742,3987,2767,1207,188,1716,1679,330,955,3329,421,2531,13217,2789,27613,729,350,252,155,323,428,116,263
SOSR231,7300,6286,1138,2124,17458,1063,13782,136560,6924,210724,522,664,125,8,268,206,45,123,1130,43,561,3507,252,6227,24972,11190,8441,1418,10526,11787,2281,5871,14078,2893,14209,43931,7111,111759,574,300,171,109,299,306,61,132,283,101,295,1424,24583,27568,43507,31204,14634,1693,18391,18588,3523,8252,32944,4091,28844,185424,38871,356286,2880,2624,984,150,1261,1167,252,531,3035,331,2466,16580,1195,28153,4191,3138,1446,164,1716,1746,323,853,3897,419,3099,16882,1108,31215,17513,8803,5423,838,7337,7792,1524,4119,10850,1886,9983,35931,2736,82016,6718,5112,2314,158,2748,2746,496,1075,5373,516,4265,32970,1839,56163,6847,6531,2416,96,2899,2726,478,916,5986,481,5038,46708,2200,73549,2686,2986,1037,36,1130,1076,194,264,2337,167,2219,21913,977,33480,1267,1203,560,37,617,657,104,146,712,97,1018,9484,453,14615,1401,813,460,216,681,673,143,349,762,206,752,4961,28356,37086,43507,31204,14634,1693,18391,18588,3523,8252,32944,4091,28844,185424,38871,356286,6628,3116,2206,1233,3026,3440,973,2127
