SOSR_CODE_2021,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
SOSR201,12560,111535,6258,130354,17146,131926,9668,158734,30649,313984,24967,369594,35181,288016,18862,342049,38169,233067,13714,284946,28576,197788,10295,236664,24943,141546,7851,174337,13189,80333,6389,99909,2322,30559,3768,36647,202728,1528740,101770,1833238,16152,102048,5713,123919,23604,119626,7968,151199,38266,315995,21360,375628,46880,285473,16287,348635,45166,243031,12093,300286,32896,209877,9689,252467,29884,159764,8851,198500,14724,97483,7914,120121,2575,49192,7075,58840,250140,1582498,96954,1929594,28712,213580,11975,254272,40745,251551,17641,309933,68913,629982,46329,745220,82055,573484,35147,690688,83336,476098,25805,585234,61475,407667,19982,489125,54825,301308,16706,372835,27913,177816,14301,220034,4899,79753,10842,95489,452869,3111234,198726,3762827
SOSR203,1398,9302,632,11331,1413,10829,848,13088,2671,23925,1692,28291,3024,18990,1196,23205,3385,17260,1152,21800,2916,16571,1029,20512,3340,13616,916,17873,1767,7673,715,10157,290,2984,470,3752,20212,121159,8652,150016,1748,8717,638,11105,1985,10546,730,13252,3242,24175,1552,28973,4124,20068,1233,25426,3936,18966,1083,23981,3405,19072,963,23437,3921,15941,1017,20876,1860,9777,991,12629,298,5224,879,6406,24521,132485,9086,166091,3148,18023,1271,22438,3396,21374,1577,26344,5917,48105,3243,57266,7142,39058,2429,48628,7322,36224,2236,45780,6324,35639,1994,43953,7258,29559,1935,38749,3631,17455,1702,22789,592,8210,1352,10152,44730,253640,17735,316110
SOSR211,306,2968,264,3547,235,3069,281,3584,572,7454,691,8713,776,6976,578,8335,631,5232,407,6266,542,4319,310,5168,607,3552,233,4391,238,1600,145,1982,46,402,42,487,3957,35572,2948,42480,331,2701,268,3305,296,2789,238,3319,658,8164,692,9515,945,7011,590,8546,745,5332,402,6478,624,4823,269,5722,688,3974,240,4900,257,1818,173,2255,45,657,76,780,4591,37265,2951,44812,642,5672,533,6850,532,5856,519,6904,1227,15618,1381,18229,1723,13987,1174,16879,1373,10566,813,12751,1168,9139,579,10892,1295,7524,479,9296,499,3424,316,4235,91,1055,116,1265,8554,72837,5904,87292
SOSR212,840,6451,559,7851,643,6143,490,7275,1476,14189,1121,16783,2111,13055,1031,16199,2484,12383,971,15841,2120,11975,828,14923,2623,9810,742,13180,1307,5310,589,7207,203,1937,319,2451,13802,81247,6651,101705,1025,5915,478,7411,850,5854,407,7109,1838,14992,1117,17952,2794,13850,1009,17655,2834,13540,848,17225,2599,13515,830,16943,3089,11066,823,14981,1457,6386,766,8611,247,3319,608,4177,16735,88445,6896,112074,1859,12366,1035,15267,1491,11999,895,14390,3309,29184,2246,34739,4909,26904,2040,33856,5316,25926,1819,33063,4724,25484,1655,31866,5713,20876,1565,28154,2765,11696,1352,15815,452,5254,929,6635,30536,169689,13547,213775
SOSR213,755,5972,459,7189,645,5508,436,6587,1398,12727,1165,15291,1982,11241,962,14183,2261,11062,896,14217,2254,11579,759,14588,2778,10465,790,14037,1583,6175,659,8420,271,2193,431,2897,13933,76916,6553,97402,900,5323,411,6636,709,5265,380,6360,1684,13463,939,16087,2675,11835,853,15359,2645,12273,741,15658,2749,12813,728,16290,3487,11328,837,15650,1941,7225,895,10056,328,3706,791,4820,17119,83232,6572,106926,1659,11294,874,13824,1356,10772,817,12946,3083,26191,2106,31377,4653,23081,1805,29543,4907,23340,1634,29876,5005,24386,1482,30880,6271,21798,1625,29687,3522,13395,1555,18476,599,5891,1223,7715,31055,160145,13129,204331
SOSR214,403,3131,283,3819,307,2943,194,3443,719,6409,501,7627,1007,5728,505,7239,1263,6126,507,7895,1506,7131,570,9208,2204,7379,652,10239,1256,4557,580,6397,220,1647,313,2180,8891,45056,4106,58042,512,2720,271,3501,367,2566,170,3105,817,6627,475,7917,1414,5993,505,7912,1528,6809,454,8788,1881,7997,540,10424,2718,8081,694,11496,1497,4963,703,7159,261,2742,516,3524,10987,48501,4337,63822,911,5856,551,7320,669,5508,370,6544,1536,13036,975,15546,2419,11720,1010,15155,2790,12931,953,16679,3386,15133,1113,19633,4919,15462,1348,21732,2747,9520,1285,13555,480,4389,827,5699,19879,93552,8436,121867
SOSR215,697,4762,567,6021,489,4153,397,5036,1317,9831,848,11998,2000,9171,903,12071,2345,9804,905,13059,2772,11220,965,14946,3706,10288,1036,15028,1973,5680,702,8357,335,2028,348,2708,15625,66932,6665,89222,734,4364,490,5588,564,3690,327,4582,1550,10120,829,12503,2745,9452,840,13034,2881,10243,906,14035,3255,12180,873,16302,4345,10387,1009,15740,2278,6185,861,9321,399,3419,619,4441,18746,70045,6752,95544,1421,9123,1056,11608,1055,7842,727,9623,2869,19953,1676,24498,4743,18619,1744,25102,5225,20048,1818,27085,6022,23400,1830,31245,8050,20675,2038,30765,4250,11864,1556,17677,736,5448,965,7150,34371,136974,13416,184765
SOSR221,207,1221,147,1569,144,1023,93,1257,343,2321,186,2858,594,2420,231,3249,762,2746,285,3797,967,3535,334,4832,1237,3226,363,4826,570,1544,205,2311,89,460,103,653,4909,18493,1953,25357,224,1150,159,1537,150,878,68,1103,439,2381,192,3016,787,2386,258,3431,951,2835,246,4032,1147,3523,315,4990,1330,2862,291,4478,613,1400,228,2240,90,721,186,1002,5731,18153,1945,25825,432,2369,308,3103,289,1905,161,2351,785,4706,378,5867,1383,4811,491,6681,1713,5580,533,7831,2116,7065,646,9819,2566,6084,657,9308,1179,2938,430,4555,180,1187,289,1658,10641,36642,3895,51183
SOSR222,103,624,121,848,70,586,80,737,203,1278,153,1640,313,1266,154,1736,446,1563,188,2200,615,1926,223,2760,613,1699,209,2525,273,722,128,1122,43,212,43,298,2686,9877,1305,13866,146,595,93,831,86,522,80,685,243,1253,134,1631,446,1279,148,1872,511,1544,158,2212,619,1989,194,2803,576,1460,155,2187,277,707,124,1106,38,316,64,414,2934,9662,1154,13745,246,1219,215,1684,157,1107,161,1426,449,2534,290,3270,756,2546,305,3606,959,3102,347,4415,1238,3914,413,5566,1190,3162,358,4713,550,1431,248,2229,78,531,111,714,5623,19533,2456,27613
SOSR231,2023,10300,1424,13752,1302,8128,1010,10442,2269,14312,2676,19262,4364,16145,2909,23421,6562,21794,3035,31393,7706,26219,3054,36977,7617,21860,2731,32210,2890,9647,1430,13965,283,2225,420,2926,35024,130643,18693,184354,2255,9066,1300,12624,1404,6649,704,8759,2826,14064,1507,18401,5869,15657,1902,23422,7678,21377,2326,31378,8226,24746,2537,35508,7141,18228,2116,27492,2378,7727,1213,11317,280,2295,458,3033,38058,119815,14060,171931,4285,19369,2723,26374,2712,14780,1715,19202,5096,28377,4185,37655,10233,31803,4813,46846,14237,43172,5363,62773,15932,50968,5588,72485,14759,40093,4846,59700,5270,17379,2641,25286,567,4522,870,5963,73081,250451,32753,356286
