SOSR_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SOSR201,318,3854,33,4201,119819,6334,130354,1638,3146,56,4846,144171,9720,158734,56728,5673,807,63208,280994,25394,369594,170977,3837,2268,177081,145837,19128,342049,105784,3768,1327,110873,160377,13699,284946,19383,12473,309,32165,194070,10433,236664,3175,23565,159,26901,139431,8004,174337,548,6136,34,6716,86743,6449,99909,58,307,7,369,32506,3769,36647,358611,62752,5006,426367,1303946,102928,1833238,416,6445,41,6901,111250,5768,123919,4111,6300,200,10608,132590,7994,151199,96393,10843,2473,109711,244522,21390,375628,205313,7238,5395,217946,114512,16179,348635,104574,10079,2289,116946,171322,12019,300286,10076,37304,615,47996,194707,9757,252467,2696,41224,328,44244,145336,8917,198500,625,7144,79,7851,104285,7989,120121,102,340,8,457,51261,7121,58840,424308,126911,11431,562658,1269792,97146,1929594,728,10294,77,11103,231068,12105,254272,5751,9446,253,15454,276756,17721,309933,153122,16513,3282,172917,525521,46786,745220,376289,11073,7665,395034,260346,35307,690688,210357,13839,3618,227820,331700,25718,585234,29453,49778,924,80155,388782,20188,489125,5869,64788,489,71146,284764,16917,372835,1176,13277,116,14565,191029,14440,220034,166,649,11,830
SOSR203,31,436,4,468,10206,654,11331,336,360,10,707,11529,856,13088,6564,618,156,7332,19231,1726,28291,12781,391,287,13459,8518,1226,23205,7488,529,120,8138,12522,1138,21800,1219,1639,16,2871,16595,1041,20512,180,2267,7,2448,14480,945,17873,37,520,4,558,8861,742,10157,0,24,0,24,3286,445,3752,28628,6784,596,36009,105231,8779,150016,63,733,0,801,9650,661,11105,786,751,53,1598,10934,726,13252,9813,1259,524,11597,15833,1544,28973,15536,725,648,16913,7276,1238,25426,7406,1439,237,9086,13801,1090,23981,622,4459,48,5131,17349,957,23437,160,3995,13,4172,15699,1006,20876,44,672,3,722,10914,996,12629,5,30,0,40,5502,866,6406,34441,14067,1543,50054,106960,9075,166091,96,1167,6,1271,19858,1315,22438,1130,1117,66,2306,22458,1583,26344,16372,1880,683,18928,35060,3270,57266,28315,1116,939,30372,15800,2455,48628,14891,1974,363,17224,26324,2233,45780,1839,6098,66,8000,33949,1998,43953,342,6255,21,6617,30183,1952,38749,81,1187,4,1273,19779,1739,22789,5,55,0,63
SOSR211,21,126,0,147,3129,265,3547,166,125,9,298,3005,283,3584,2622,238,74,2924,5096,691,8713,4235,131,94,4455,3293,590,8335,1809,179,43,2028,3829,411,6266,316,408,15,735,4107,325,5168,69,434,0,504,3655,241,4391,12,72,0,81,1754,151,1982,0,3,0,4,437,49,487,9246,1704,226,11175,28300,3001,42480,33,294,6,329,2704,269,3305,394,213,21,635,2450,237,3319,4388,337,167,4896,3936,680,9515,4943,235,186,5365,2595,587,8546,1607,518,66,2195,3900,388,6478,150,1085,9,1244,4193,284,5722,44,778,3,831,3826,242,4900,6,105,3,115,1959,180,2255,0,5,0,0,701,73,780,11566,3572,467,15602,26269,2948,44812,54,421,0,474,5837,534,6850,562,335,32,930,5458,519,6904,7006,576,237,7819,9033,1372,18229,9175,364,283,9818,5883,1178,16879,3414,697,104,4214,7728,801,12751,468,1494,22,1986,8298,607,10892,118,1210,5,1331,7477,478,9296,18,177,5,193,3710,331,4235,0,5,0,7
SOSR212,27,276,4,304,6980,561,7851,242,200,4,441,6342,487,7275,4429,400,101,4932,10719,1138,16783,8925,276,217,9408,5745,1047,16199,5283,415,98,5800,9089,955,15841,859,1179,22,2060,12033,825,14923,140,1636,4,1774,10627,773,13180,12,318,0,333,6275,598,7207,0,14,0,11,2115,328,2451,19913,4712,443,25071,69919,6712,101705,35,520,0,556,6359,498,7411,495,449,26,972,5736,404,7109,6770,744,302,7815,9017,1119,17952,11013,467,499,11977,4684,992,17655,5272,1005,145,6418,9955,852,17225,409,3218,41,3671,12440,826,16943,116,2717,16,2851,11292,836,14981,28,362,0,383,7440,782,8611,7,22,0,31,3543,611,4177,24142,9498,1035,34674,70474,6923,112074,58,800,3,859,13340,1064,15267,735,649,30,1413,12080,894,14390,11199,1144,407,12751,19735,2256,34739,19933,739,711,21385,10430,2039,33856,10554,1419,249,12223,19045,1802,33063,1271,4396,62,5730,24479,1655,31866,256,4350,19,4622,21918,1610,28154,42,683,0,725,13718,1377,15815,4,38,0,41
SOSR213,25,288,5,318,6424,451,7189,275,200,14,487,5662,444,6587,4552,358,114,5024,9110,1161,15291,7703,257,189,8155,5076,952,14183,4256,412,94,4763,8554,902,14217,714,1187,32,1924,11914,748,14588,135,1430,4,1568,11666,801,14037,27,277,0,298,7437,677,8420,3,13,0,20,2423,448,2897,17681,4415,449,22552,68270,6586,97402,60,499,3,555,5658,417,6636,651,371,28,1049,4929,375,6360,6742,633,365,7739,7437,914,16087,9293,436,521,10256,4275,825,15359,4219,1047,173,5437,9479,738,15658,349,3176,36,3561,12004,733,16290,80,2504,15,2596,12223,829,15650,25,403,0,431,8692,930,10056,0,36,0,40,3987,802,4820,21417,9116,1138,31670,68688,6565,106926,84,781,9,874,12083,870,13824,923,569,39,1533,10591,818,12946,11286,991,484,12761,16542,2075,31377,16999,696,710,18408,9354,1781,29543,8479,1462,264,10204,18038,1641,29876,1062,4364,65,5481,23917,1479,30880,211,3931,22,4162,23895,1628,29687,47,681,0,735,16124,1614,18476,6,51,3,54
SOSR214,12,164,0,175,3354,284,3819,130,108,4,247,3000,194,3443,2198,192,52,2441,4684,499,7627,3812,147,87,4043,2681,510,7239,2246,216,65,2530,4874,488,7895,408,598,14,1020,7613,577,9208,80,948,0,1031,8535,670,10239,15,195,0,212,5586,601,6397,4,13,0,14,1854,311,2180,8918,2591,217,11724,42183,4133,58042,34,266,6,297,2916,291,3501,290,208,25,520,2411,169,3105,3281,294,166,3739,3696,488,7917,4766,236,234,5232,2205,478,7912,2286,572,87,2953,5398,436,8788,242,1741,33,2011,7867,544,10424,70,1586,8,1660,9128,705,11496,19,245,0,266,6191,698,7159,3,15,0,18,2984,520,3524,10997,5156,549,16699,42795,4334,63822,46,427,6,475,6274,570,7320,425,321,28,768,5408,367,6544,5481,484,223,6184,8376,984,15546,8576,382,314,9271,4885,992,15155,4537,790,152,5484,10273,924,16679,653,2339,43,3033,15483,1118,19633,156,2539,5,2695,17663,1376,21732,35,439,0,478,11772,1300,13555,7,25,0,34
SOSR215,32,241,0,274,5169,575,6021,201,152,6,358,4275,402,5036,3784,282,89,4146,7028,818,11998,6605,209,193,7009,4181,880,12071,3918,333,84,4339,7814,907,13059,715,1035,19,1772,12211,973,14946,134,1432,8,1577,12391,1064,15028,31,295,4,330,7312,717,8357,4,20,0,31,2342,345,2708,15427,3998,410,19832,62712,6677,89222,43,440,7,488,4594,504,5588,438,315,17,765,3492,329,4582,5553,509,315,6384,5308,815,12503,7960,399,484,8841,3354,837,13034,3942,915,159,5012,8098,919,14035,370,2736,25,3131,12302,874,16302,90,2307,15,2412,12293,1034,15740,24,365,4,387,8046,889,9321,7,27,0,31,3792,623,4441,18430,8007,1023,27454,61267,6818,95544,75,684,5,765,9763,1079,11608,637,460,26,1125,7770,731,9623,9336,793,406,10528,12331,1635,24498,14568,607,674,15854,7534,1718,25102,7861,1246,246,9352,15907,1825,27085,1084,3773,45,4900,24503,1847,31245,225,3739,25,3989,24683,2100,30765,59,654,4,714,15355,1607,17677,14,45,0,58
SOSR221,9,51,0,55,1361,155,1569,43,36,0,86,1078,92,1257,958,69,21,1049,1619,190,2858,1823,59,39,1919,1101,224,3249,1096,101,18,1215,2305,274,3797,206,326,9,537,3960,330,4832,40,396,0,434,4024,375,4826,8,78,0,86,2017,208,2311,0,6,0,3,540,106,653,4188,1118,86,5389,18006,1961,25357,8,116,3,132,1242,165,1537,107,64,5,176,853,68,1103,1350,118,79,1547,1283,183,3016,2167,61,105,2333,862,244,3431,1055,276,36,1363,2427,236,4032,103,811,8,928,3752,308,4990,39,584,5,627,3576,279,4478,7,88,0,94,1922,226,2240,5,3,0,7,807,181,1002,4842,2128,236,7206,16723,1895,25825,17,165,3,183,2600,316,3103,153,104,5,257,1936,162,2351,2305,185,101,2596,2904,371,5867,3987,118,139,4251,1958,473,6681,2151,380,55,2578,4730,513,7831,312,1141,18,1468,7712,644,9819,77,983,9,1063,7600,648,9308,15,160,0,182,3942,433,4555,5,11,0,16
SOSR222,4,19,0,24,696,129,848,28,18,0,44,607,86,737,429,37,8,477,998,162,1640,925,34,29,985,591,157,1736,618,60,10,693,1315,189,2200,118,168,5,293,2253,220,2760,17,216,4,236,2083,202,2525,8,30,0,37,958,126,1122,0,0,0,0,256,46,298,2140,586,63,2790,9759,1320,13866,0,59,0,60,676,99,831,53,46,0,101,506,81,685,683,64,33,775,719,127,1631,1097,66,62,1219,509,141,1872,584,138,30,745,1303,163,2212,64,438,4,507,2108,190,2803,11,328,4,340,1705,143,2187,4,35,0,38,949,120,1106,0,0,0,0,353,57,414,2494,1163,133,3794,8832,1120,13745,6,77,0,87,1369,227,1684,77,60,0,140,1117,169,1426,1110,98,46,1258,1723,288,3270,2021,92,91,2207,1104,301,3606,1197,199,44,1444,2621,351,4415,183,602,12,796,4356,415,5566,35,543,5,579,3785,347,4713,11,64,0,71,1907,240,2229,0,0,0,0
SOSR231,35,436,0,478,11854,1421,13752,279,311,3,587,8862,996,10442,5176,431,111,5725,10889,2642,19262,12599,377,321,13295,7235,2892,23421,9696,822,159,10673,17676,3040,31393,1991,2721,41,4749,29151,3071,36977,385,3205,24,3611,25770,2823,32210,48,570,4,624,11927,1413,13965,3,14,0,20,2475,435,2926,30209,8899,657,39774,125841,18744,184354,64,798,3,863,10435,1319,12624,479,538,26,1042,7016,704,8759,7563,791,385,8741,8178,1480,18401,14802,630,731,16157,5409,1859,23422,9027,2057,311,11397,17689,2291,31378,850,6543,73,7470,25505,2533,35508,191,4850,35,5071,20310,2109,27492,41,615,3,661,9416,1240,11317,7,33,0,44,2535,457,3033,33018,16858,1565,51444,106496,13991,171931,98,1229,10,1338,22292,2739,26374,753,847,26,1631,15877,1699,19202,12742,1221,496,14462,19067,4127,37655,27397,1009,1049,29449,12641,4750,46846,18723,2884,468,22077,35364,5334,62773,2845,9268,111,12220,54663,5603,72485,577,8061,57,8690,46076,4936,59700,90,1190,9,1286,21349,2658,25286,14,55,0,62
