SOSR_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SOSR201,..,2051,88495,201098,172877,146377,114067,65459,17585,808014,..,11198,76552,42699,27589,17321,7810,2508,391,186073,..,301,1544,5610,10652,8477,3732,2067,1458,33848,402421,..,..,..,..,..,..,..,..,402421,..,126143,..,..,..,..,..,..,..,126143,..,73140,61477,18505,12479,5477,846,19,0,171941,..,12795,15212,5249,4441,5273,4244,2346,1266,50835,..,7553,13376,4268,2618,1868,807,255,65,30801,..,25408,49562,12404,7070,6022,3953,1545,307,106267,..,8171,33852,30000,29543,30368,24825,15362,7694,179808,3556,4902,6320,3890,3096,2473,1746,867,280,27133,405978,271657,346401,323715,270357,223651,162038,90432,29054,2123284,..,5360,125995,208502,172390,139445,104148,48263,7875,811973,..,16317,80396,39295,25538,14370,6014,1468,194,183592,..,1862,13625,32624,45694,27188,11850,8670,5734,147249,380844,..,..,..,..,..,..,..,..,380844,..,130033,..,..,..,..,..,..,..,130033,..,50733,42475,9867,6941,4071,924,50,0,115056,..,11144,10430,3361,4057,10053,11468,7828,4614,62948,..,6469,8564,2180,1309,974,495,164,66,20213
SOSR203,..,189,6493,12200,11509,11232,10773,6311,1622,60336,..,1845,7277,3515,2539,1675,815,310,32,18023,..,43,314,668,1076,688,296,164,113,3367,33809,..,..,..,..,..,..,..,..,33809,..,7962,..,..,..,..,..,..,..,7962,..,6852,3564,1424,940,448,78,0,0,13305,..,898,832,285,296,398,292,130,71,3200,..,675,979,237,175,104,59,17,0,2251,..,2589,3485,773,602,583,413,152,35,8640,..,695,2763,2376,3079,3730,3251,1873,887,18648,378,631,635,348,263,221,207,83,32,2805,34187,22381,26344,21824,20487,19090,16184,9039,2800,172336,..,380,8572,13106,11654,11533,10105,4930,825,61111,..,2607,7550,3339,2456,1463,648,182,17,18270,..,434,2447,3927,4487,2248,1027,665,466,15700,32163,..,..,..,..,..,..,..,..,32163,..,8413,..,..,..,..,..,..,..,8413,..,4395,2143,651,435,308,78,0,0,8010,..,819,601,195,280,621,688,443,226,3873,..,665,525,150,88,57,37,8,5,1544
SOSR211,..,75,2694,4711,3289,2922,2660,1188,218,17751,..,497,1871,1038,714,381,185,69,6,4755,..,17,122,248,335,190,101,56,19,1095,12560,..,..,..,..,..,..,..,..,12560,..,2392,..,..,..,..,..,..,..,2392,..,2307,1290,462,285,98,11,0,0,4448,..,406,510,190,130,140,131,72,25,1600,..,199,278,128,90,41,28,3,0,774,..,260,428,195,161,174,135,41,6,1395,..,175,756,695,780,821,745,343,118,4431,135,142,159,132,88,52,62,27,6,802,12697,6475,8104,7798,5872,4822,4049,1798,399,52014,..,181,3894,4610,3104,2872,2380,813,89,17940,..,678,1954,1060,625,357,143,42,4,4858,..,201,1114,1394,1269,605,316,219,72,5201,12412,..,..,..,..,..,..,..,..,12412,..,2577,..,..,..,..,..,..,..,2577,..,1447,713,227,113,70,13,0,0,2591,..,330,233,82,123,302,290,147,68,1572,..,192,160,43,43,21,13,4,5,475
SOSR212,..,109,4344,8717,8768,8656,8172,4418,1101,44274,..,897,4333,2469,1832,1261,661,213,41,11709,..,25,162,480,746,466,187,87,63,2224,24494,..,..,..,..,..,..,..,..,24494,..,5508,..,..,..,..,..,..,..,5508,..,5216,2622,838,573,224,44,0,0,9512,..,575,520,193,217,251,205,89,52,2105,..,366,512,202,153,105,51,11,3,1403,..,703,1315,537,414,361,336,95,22,3792,..,394,1466,1432,1841,2267,1963,1280,557,11210,310,303,377,264,239,194,175,90,20,1972,24804,14109,15657,15125,14780,13785,11798,6287,1860,118203,..,244,5723,9461,9073,8760,7676,3383,523,44840,..,1387,4512,2475,1759,1253,527,132,17,12068,..,266,1668,2610,2900,1426,593,390,281,10128,23007,..,..,..,..,..,..,..,..,23007,..,5886,..,..,..,..,..,..,..,5886,..,3351,1543,362,281,201,54,0,0,5796,..,507,313,87,226,430,499,279,139,2481,..,369,352,111,62,42,15,10,0,964
SOSR213,..,113,4072,7328,7288,8038,8294,5197,1219,41561,..,1052,4030,2232,1807,1262,713,218,40,11350,..,25,194,475,688,450,212,102,58,2199,22208,..,..,..,..,..,..,..,..,22208,..,4745,..,..,..,..,..,..,..,4745,..,4825,2228,831,614,252,48,0,0,8805,..,533,453,183,229,254,258,108,59,2068,..,344,422,182,161,87,49,27,3,1262,..,588,999,342,342,398,317,109,22,3126,..,413,1377,1332,1894,2647,2529,1521,708,12409,283,327,325,247,213,195,178,90,26,1889,22497,12964,14105,13152,13232,13582,12608,7367,2136,111640,..,227,5367,7823,7799,8240,7967,3983,603,42008,..,1566,4128,2296,1741,1136,569,157,16,11619,..,317,1704,2455,2733,1354,562,450,289,9873,20990,..,..,..,..,..,..,..,..,20990,..,5042,..,..,..,..,..,..,..,5042,..,3024,1291,416,321,228,41,0,0,5305,..,385,272,79,190,437,467,295,150,2281,..,359,274,86,66,52,33,9,4,874
SOSR214,..,34,1839,3504,3826,4734,5964,3833,868,24598,..,529,2049,1177,1075,803,552,204,27,6419,..,17,80,242,362,263,130,81,54,1233,11168,..,..,..,..,..,..,..,..,11168,..,2435,..,..,..,..,..,..,..,2435,..,2599,1225,524,409,209,39,3,0,5010,..,278,219,113,127,130,140,71,36,1109,..,191,246,92,79,56,36,11,6,711,..,366,488,200,178,264,228,84,12,1824,..,225,773,746,1133,1808,1881,1198,556,8312,168,174,197,116,129,163,167,87,26,1221,11336,6853,7118,6714,7325,8430,9131,5565,1567,64036,..,87,2417,3887,4111,5115,5879,2915,410,24818,..,799,2145,1223,1122,790,447,126,23,6668,..,132,863,1256,1511,806,415,309,199,5487,10539,..,..,..,..,..,..,..,..,10539,..,2531,..,..,..,..,..,..,..,2531,..,1592,701,220,220,148,42,0,0,2919,..,221,123,54,89,241,255,191,108,1283,..,155,157,41,38,32,21,0,8,449
SOSR215,..,81,3064,6066,6494,7771,8447,4861,1091,37873,..,752,3505,2137,1800,1419,880,265,33,10794,..,23,108,345,605,390,204,116,90,1885,19142,..,..,..,..,..,..,..,..,19142,..,3870,..,..,..,..,..,..,..,3870,..,3996,1873,756,568,283,48,0,0,7526,..,394,361,151,189,276,250,116,60,1799,..,229,305,149,126,95,57,15,3,970,..,324,578,271,297,440,377,145,30,2454,..,303,1022,1055,1760,2719,2881,1646,666,12047,240,282,295,183,211,226,264,130,27,1864,19378,10259,11122,11115,12044,13610,13411,7289,2000,100226,..,158,4095,6648,6883,8301,7974,3669,539,38279,..,1154,3677,2149,1837,1334,689,187,19,11047,..,209,1151,1853,2118,1080,503,421,262,7602,17959,..,..,..,..,..,..,..,..,17959,..,4248,..,..,..,..,..,..,..,4248,..,2327,1078,362,283,187,51,0,0,4284,..,305,164,66,137,365,415,286,164,1902,..,231,186,80,80,46,20,13,11,658
SOSR221,..,15,736,1677,1900,2458,2570,1295,246,10894,..,165,831,579,511,490,310,77,9,2974,..,6,32,89,158,103,52,29,21,495,4982,..,..,..,..,..,..,..,..,4982,..,996,..,..,..,..,..,..,..,996,..,1032,472,186,149,65,14,0,0,1916,..,120,68,27,35,71,87,38,19,460,..,49,54,30,26,35,13,4,4,220,..,70,85,56,78,127,101,38,11,567,..,83,276,300,541,922,1007,517,152,3792,46,85,94,53,73,104,132,44,10,638,5029,2626,2639,2998,3470,4380,4280,2047,469,27940,..,35,1011,1852,2109,2573,2392,938,123,11028,..,262,875,573,544,486,225,60,8,3037,..,35,227,409,496,252,120,98,83,1715,4744,..,..,..,..,..,..,..,..,4744,..,1136,..,..,..,..,..,..,..,1136,..,640,292,69,74,57,16,0,0,1155,..,63,30,11,27,91,99,63,40,424,..,64,46,16,9,17,10,0,0,154
SOSR222,..,6,331,824,1027,1295,1325,632,137,5576,..,87,405,292,329,285,142,51,5,1602,..,0,14,51,101,80,44,27,8,320,2522,..,..,..,..,..,..,..,..,2522,..,522,..,..,..,..,..,..,..,522,..,540,317,104,82,42,5,0,0,1087,..,54,35,18,31,36,40,17,6,233,..,36,30,19,11,18,3,6,0,120,..,41,97,37,46,77,59,21,3,381,..,28,130,167,298,552,552,226,80,2037,36,43,42,37,33,56,54,24,0,337,2563,1362,1398,1546,1959,2444,2223,999,243,14738,..,17,473,949,1073,1485,1136,471,49,5653,..,125,464,312,348,250,120,31,5,1649,..,18,142,211,261,144,77,59,43,956,2449,..,..,..,..,..,..,..,..,2449,..,585,..,..,..,..,..,..,..,585,..,372,128,49,30,26,5,0,0,621,..,32,23,11,8,43,67,45,35,264,..,30,27,18,3,9,3,3,0,93
SOSR231,..,146,4487,11978,17333,21357,19286,8510,1417,84502,..,864,4107,3589,4156,3767,2049,526,41,19093,..,29,140,479,1061,796,462,245,142,3356,34260,..,..,..,..,..,..,..,..,34260,..,9069,..,..,..,..,..,..,..,9069,..,9047,4202,1548,1160,544,97,6,0,16605,..,598,372,209,341,590,602,333,195,3240,..,452,541,259,276,250,166,63,8,2012,..,338,662,379,506,688,641,244,38,3494,..,374,1138,1452,2686,4631,4840,2385,657,18174,349,666,631,388,493,578,487,193,43,3839,34602,21581,16279,20280,28013,33199,28621,12501,2554,197636,..,229,6248,13934,19217,22020,17082,5903,582,85219,..,1304,4632,3779,4362,3465,1517,294,13,19365,..,180,987,1673,2168,1393,692,595,419,8108,32170,..,..,..,..,..,..,..,..,32170,..,9924,..,..,..,..,..,..,..,9924,..,5377,2638,709,508,322,58,0,0,9616,..,447,226,93,218,579,709,669,420,3351,..,533,457,144,163,156,106,37,11,1616
