SOSR_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SOSR201,426935,860281,8060,47662,56598,262965,9163,43097,319188,1226137,393006,1579857,32303,140145,55292,196293,97703,322693,185297,659130,578308,2238987,2267,11090,12792,43820,4330,15805,58247,150760,77631,221476,9525,31521,22581,51844,71364,159776,103467,243144,181096,464619,22149,47081,1208493,3610972
SOSR203,39549,79096,617,3480,3801,17666,947,4321,23270,90308,28635,115773,1775,7551,3241,10991,6669,21300,11686,39832,40318,155611,299,1378,1446,4907,694,2528,7453,19769,9901,28578,700,2251,1766,3872,6692,14598,9164,20716,19064,49298,1704,3540,100639,287537
SOSR211,9440,19087,308,1960,1193,5930,395,1904,8383,33151,10279,42944,532,2332,708,2429,1984,6495,3224,11260,13499,54204,144,757,505,1914,254,945,2698,7595,3602,11208,220,769,467,1034,2010,4450,2700,6249,6300,17456,471,1018,29716,91764
SOSR212,27903,55751,538,2996,2920,13593,744,3466,16502,64599,20698,84653,1412,5952,2119,7140,5050,16223,8580,29322,29278,113971,177,815,950,3295,475,1707,4962,13352,6563,19169,530,1656,1043,2251,4213,9214,5786,13119,12349,32284,963,2022,70491,204030
SOSR213,28131,56226,468,2608,2401,11201,694,3161,14632,57330,18202,74303,1204,5109,1786,5990,4686,14937,7672,26038,25875,100337,188,854,879,3042,443,1613,4883,13358,6394,18864,409,1316,1078,2341,4192,9107,5678,12767,12075,31627,906,1882,66984,190070
SOSR214,18492,36851,219,1201,1201,5625,338,1532,7314,28809,9071,37168,610,2560,884,2926,2656,8345,4150,13831,13217,50999,98,416,458,1594,250,901,2502,6732,3309,9647,246,785,545,1212,2622,5636,3412,7635,6722,17278,519,1090,38951,106217
SOSR215,27098,54037,382,2147,2154,10063,640,2949,12787,50524,15961,65688,956,4041,1574,5205,4122,13135,6653,22381,22618,88069,125,547,694,2409,341,1201,3738,10061,4892,14218,329,1042,772,1668,3485,7457,4585,10167,9482,24383,813,1702,60017,168198
SOSR221,7997,15919,109,631,645,2972,157,731,3415,13549,4332,17892,252,1029,435,1452,1165,3694,1855,6168,6185,24062,19,81,145,490,78,284,831,2241,1072,3100,75,232,185,393,872,1855,1137,2479,2210,5578,192,399,16577,45958
SOSR222,4130,8218,43,240,330,1521,98,449,1715,6703,2180,8913,147,609,232,768,678,2099,1049,3468,3234,12382,15,62,90,310,40,138,482,1309,627,1815,29,85,107,219,514,1090,648,1397,1276,3213,108,219,8750,24034
SOSR231,55871,111596,1075,6034,5346,25104,1415,6499,23231,94104,31067,131743,2855,11976,4391,14715,11472,36617,18726,63307,49784,195049,150,687,729,2490,388,1392,3820,10212,5087,14786,422,1330,971,2122,4981,10810,6378,14260,11459,29040,1045,2185,118159,337869
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
