SOSR_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SOSR201,529066,29684,12983,4596,418,188,1369,578308
SOSR203,35070,3080,1636,298,47,28,163,40318
SOSR211,11492,1031,680,184,18,12,86,13499
SOSR212,25356,2289,1223,205,33,14,149,29278
SOSR213,21930,2211,1316,200,43,20,152,25875
SOSR214,11317,1072,615,95,20,3,96,13217
SOSR215,19388,1798,1056,183,33,9,145,22618
SOSR221,5369,469,262,33,3,0,46,6185
SOSR222,2772,245,156,24,7,0,20,3234
SOSR231,43739,3361,1886,405,69,21,315,49784
SOSR279,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0
