SOSR_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SOSR201,15693,20861,36556,5232,6165,11401,5999,13827,19826,6095,26623,32726,17260,59603,76859,18793,38351,57147,53368,29661,83033,51663,37776,89440,65078,43590,108660,78055,37782,115836,62110,34381,96488,65649,27638,93295,148752,48638,197385,118564,7530,126097,100959,13231,114190,68800,3628,72433,219986,21115,241100,61040,9825,70863,12712,12676,25384,1175801,492909,1668713
SOSR203,730,1358,2090,362,559,916,380,1476,1859,494,3316,3813,1707,8732,10437,2216,5889,8103,6492,3737,10229,6094,4664,10761,7160,4749,11914,8291,3552,11846,6019,3015,9031,6177,2271,8446,13279,3251,16528,9811,596,10406,7967,705,8667,4728,221,4959,10665,1019,11685,5321,877,6200,1207,1810,3014,99109,51798,150904
SOSR211,309,352,663,97,100,199,125,291,416,192,713,899,522,1697,2221,715,1077,1785,1894,754,2642,1829,1101,2927,2138,1150,3289,2633,836,3473,2052,651,2701,2127,461,2586,4462,525,4985,2970,94,3065,1832,114,1947,1077,18,1095,1880,119,1996,1587,103,1693,377,385,763,28817,10529,39352
SOSR212,703,950,1648,262,343,609,267,944,1216,370,1945,2316,1250,4980,6229,1405,3461,4866,4297,2219,6523,3985,2674,6656,4717,2673,7387,5480,2036,7517,4011,1715,5727,4251,1176,5427,9352,1833,11189,7144,291,7431,5446,448,5892,3344,97,3443,7902,659,8556,4078,384,4459,949,1382,2334,69211,30210,99425
SOSR213,685,963,1651,277,355,631,303,1096,1398,380,2419,2807,1362,6353,7721,1604,3983,5585,5035,2517,7545,4544,3004,7548,5003,2780,7782,5659,1825,7487,4120,1483,5609,4280,1079,5351,8909,1526,10436,6203,196,6404,4588,311,4900,2556,59,2625,5414,488,5903,3929,291,4223,1021,1438,2459,65885,32171,98057
SOSR214,442,649,1088,231,278,508,172,704,873,275,1547,1822,903,4455,5358,986,2852,3834,3592,1668,5260,2882,1809,4695,3248,1665,4908,3485,1109,4591,2347,910,3259,2530,616,3144,4686,842,5527,3315,87,3406,2335,181,2519,1325,38,1364,2557,289,2841,2350,148,2506,692,1147,1842,38354,20995,59350
SOSR215,552,924,1479,316,400,721,286,994,1283,324,2102,2426,1215,6486,7705,1320,3492,4812,4774,2140,6914,4120,2608,6721,4594,2459,7056,5144,1666,6810,3547,1253,4800,3851,824,4677,7736,1155,8891,5390,122,5512,3866,236,4101,2277,35,2315,4884,453,5331,3749,244,3988,1079,1472,2551,59031,29064,88095
SOSR221,173,299,470,87,120,212,96,276,374,94,611,712,366,1819,2181,365,880,1245,1372,574,1943,1131,763,1894,1240,720,1961,1454,402,1855,1041,362,1402,1048,221,1264,2058,321,2381,1453,31,1485,1038,47,1079,569,12,581,1323,116,1445,1077,64,1145,318,369,688,16307,8011,24321
SOSR222,103,144,250,48,66,108,44,165,205,50,368,417,193,894,1091,177,402,582,784,314,1097,620,346,967,629,360,994,776,226,1003,567,192,761,543,118,664,1149,174,1327,738,20,762,494,32,523,256,3,261,625,74,699,656,47,703,165,227,398,8617,4190,12809
SOSR231,1448,1374,2825,669,564,1231,567,1295,1863,575,2401,2974,2180,5955,8136,1962,3294,5262,6704,2523,9227,6183,3285,9471,7700,3244,10945,8967,2188,11155,6214,1692,7905,7334,1282,8621,14441,1681,16124,10694,178,10868,8219,435,8656,5203,68,5270,14871,868,15739,8862,370,9230,2204,1511,3720,114997,34223,149218
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
