SOSR_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SOSR201,23313,4002,2209,34,16,29568,7124,1231,646,7,3,9012,6126,1058,649,9,4,7843,10347,1845,1174,18,5,13386,14103,2603,2038,21,6,18774,45101,8882,8556,98,30,62666,62984,12161,11440,105,57,86738,108262,17720,13550,144,60,139737,56635,9907,5586,63,38,72229,51956,10186,4475,66,43,66719,47762,9521,3173,53,36,60534,31839,5157,2779,44,25,39841,465538,84272,56274,644,319,607042
SOSR203,1976,116,18,0,0,2109,1086,76,17,0,0,1174,941,72,9,0,0,1028,1979,171,36,4,5,2198,2846,267,53,0,3,3169,9559,665,138,10,18,10382,10193,494,76,7,15,10785,9434,336,64,6,14,9847,3130,106,12,0,5,3262,2234,71,17,0,0,2325,1363,48,14,0,3,1424,2418,124,23,4,6,2564,47162,2536,469,35,58,50264
SOSR211,582,26,0,0,0,614,276,17,0,0,0,294,265,20,3,0,0,286,477,45,0,0,0,524,833,70,12,0,0,913,2966,193,19,0,0,3181,4100,102,9,0,3,4208,3676,51,5,0,5,3733,769,6,0,0,3,777,547,11,0,0,0,558,342,6,0,0,0,355,940,34,0,0,0,975,15771,577,47,0,15,16414
SOSR212,1394,63,22,0,4,1485,731,44,16,0,0,789,648,37,11,0,0,688,1428,94,36,0,4,1569,2327,113,46,0,3,2487,6978,251,111,0,9,7348,6791,173,83,0,0,7053,6685,130,41,5,5,6861,2568,50,3,5,0,2628,1862,34,3,0,0,1898,1148,19,5,5,3,1168,2073,58,35,3,0,2167,34631,1066,404,25,25,36151
SOSR213,1344,65,9,0,4,1426,868,41,10,0,0,914,833,35,9,0,0,885,1861,68,17,4,0,1951,2595,115,35,0,0,2750,6868,218,37,7,3,7138,6730,169,17,0,3,6924,5966,87,5,5,0,6061,1883,14,0,0,0,1902,1233,16,5,0,4,1254,714,8,4,3,4,736,1889,56,9,0,0,1966,32783,891,169,22,23,33897
SOSR214,745,28,4,3,4,778,509,24,4,0,3,535,493,20,3,0,0,523,1113,44,0,6,0,1163,1584,50,9,0,6,1645,3658,112,16,6,0,3798,3145,112,3,9,3,3273,3072,64,3,4,5,3153,1058,23,0,0,0,1082,724,13,0,0,0,738,367,3,0,0,0,377,976,36,0,3,0,1018,17446,521,55,35,21,18080
SOSR215,1373,43,12,7,5,1438,955,24,7,0,0,993,945,17,4,7,0,975,1953,63,0,6,0,2025,2567,57,8,6,3,2640,5970,103,21,5,5,6114,5535,60,26,12,8,5639,5530,48,15,3,11,5610,2102,18,7,5,3,2131,1409,15,3,3,3,1439,825,11,0,0,5,847,1909,27,5,5,6,1949,31087,494,116,63,42,31803
SOSR221,416,8,0,5,0,431,381,4,0,0,0,399,377,3,0,4,0,383,643,4,3,3,0,656,779,8,0,4,0,792,1737,11,3,3,0,1761,1531,12,6,3,0,1553,1261,7,4,8,3,1278,478,3,3,0,0,482,377,7,3,0,0,381,220,0,4,0,0,225,502,4,3,0,0,515,8698,82,38,33,9,8864
SOSR222,251,0,3,0,0,251,256,0,0,0,0,259,245,0,0,0,0,249,389,8,3,3,0,405,498,0,0,3,0,505,1017,6,3,5,0,1035,780,10,0,0,0,789,609,3,0,0,0,620,208,0,0,0,0,213,162,0,0,0,0,167,107,0,0,0,0,107,286,0,0,0,0,290,4812,30,24,21,0,4885
SOSR231,3433,12,3,12,11,3465,1488,0,0,5,0,1499,1457,0,0,11,0,1471,2576,7,4,12,7,2598,3351,12,3,14,6,3387,8587,23,3,18,10,8645,8354,16,6,13,9,8397,9366,30,3,23,14,9438,4491,10,3,12,9,4516,4142,7,0,6,6,4172,3750,13,0,4,7,3781,3862,8,0,10,4,3889,54863,149,29,137,82,55254
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
