SOSR_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SOSR201,455,1426,182,462,88,17,2634,238,2019,239,358,95,16,2964,1070,12294,1007,2275,473,131,17251,2344,4994,1731,3597,662,101,13435,2890,2485,1052,2977,455,55,9918,12060,2488,1125,5471,1300,107,22553,67595,2245,889,14455,2097,250,87537,159812,1766,543,17973,2491,308,182900,72182,405,163,8575,754,121,82202,31283,106,48,3679,219,45,35382,15580,58,25,1876,123,24,17683,8525,43,21,1176,55,11,9835,4617,29,12,584,40,8,5292,8434,24,4,1271,156,24,9919,7210,2602,502,5378,1275,1107,18081,394316,32995,7538,70128,10287,2340,517594
SOSR203,35,288,24,54,15,3,414,27,301,35,46,16,4,419,241,2026,171,394,47,26,2904,1060,843,399,757,76,33,3164,1233,411,169,778,75,15,2676,4602,579,226,1329,118,33,6889,10696,273,182,2001,144,39,13335,11057,99,81,1240,137,13,12627,2899,17,12,309,38,7,3287,569,6,5,93,13,0,684,194,7,0,53,0,0,259,75,0,0,18,3,0,104,27,5,0,7,4,0,44,69,0,0,32,7,0,110,504,332,69,387,142,93,1520,33285,5189,1367,7512,830,263,48446
SOSR211,9,60,0,4,5,0,79,5,79,0,5,5,0,90,44,416,14,51,4,4,530,177,206,44,108,19,4,568,215,92,22,166,6,4,502,926,144,25,271,148,11,1527,3655,53,35,562,96,12,4416,3345,15,14,309,73,11,3769,285,5,0,48,13,4,347,49,0,0,12,0,0,65,20,0,0,5,4,0,26,15,0,0,0,3,0,21,5,0,0,0,0,0,3,20,0,0,8,0,0,33,176,86,19,97,31,20,431,8942,1158,181,1641,408,77,12412
SOSR212,25,140,21,46,16,0,251,14,175,22,27,8,6,251,188,1105,109,270,53,11,1742,681,583,182,442,72,27,1989,940,307,61,540,59,13,1925,2471,300,109,809,95,15,3794,4748,138,109,1188,166,34,6392,5237,56,45,814,96,19,6269,1812,13,5,291,38,5,2165,549,9,4,84,16,0,656,172,9,3,35,4,0,215,73,0,0,21,9,0,105,29,0,0,7,0,0,36,49,0,0,28,8,0,82,303,220,35,255,99,87,994,17301,3052,709,4844,740,225,26859
SOSR213,26,157,18,39,12,0,250,27,173,25,33,9,6,272,255,1241,79,287,73,33,1961,1192,524,184,536,119,12,2566,1183,254,77,597,69,13,2206,2571,295,122,837,125,20,3979,4293,121,84,1066,117,21,5700,5014,40,29,715,58,18,5881,945,15,8,132,12,0,1112,181,0,3,25,0,0,213,41,3,0,9,0,0,61,11,0,0,11,0,0,26,11,0,0,6,0,0,17,28,3,4,10,0,3,39,279,252,45,214,81,66,930,16067,3072,673,4519,677,194,25205
SOSR214,16,83,15,29,7,0,147,10,97,30,29,7,4,170,126,703,75,178,51,15,1149,573,322,121,362,82,16,1476,522,130,42,403,34,8,1140,1612,157,43,562,56,11,2439,2467,73,37,610,77,18,3283,2346,17,7,373,30,12,2785,576,15,0,98,9,4,701,87,0,0,24,6,0,121,28,0,0,6,0,0,33,0,0,0,0,3,0,4,9,0,0,0,6,0,11,17,0,0,17,4,5,42,147,131,36,146,58,35,556,8532,1730,407,2831,413,121,14046
SOSR215,16,88,18,59,26,3,206,16,112,26,53,33,5,242,179,701,155,348,118,17,1522,757,347,117,667,105,36,2018,725,156,30,674,73,9,1657,1693,90,44,818,125,12,2777,2573,42,33,843,84,9,3587,2504,14,10,550,37,8,3126,609,5,0,153,16,0,784,145,6,0,24,5,0,185,43,0,0,23,7,0,70,15,0,0,6,3,0,22,11,0,0,8,0,0,17,27,0,0,28,5,0,68,170,113,16,242,107,59,714,9484,1667,454,4500,734,151,16990
SOSR221,7,28,4,24,33,0,95,0,32,14,23,13,0,83,53,89,18,130,78,8,366,119,14,31,219,34,5,415,129,10,11,194,11,5,357,286,4,3,210,14,0,527,535,0,0,239,19,3,798,424,0,0,119,8,0,559,108,0,0,27,4,0,140,20,0,0,12,0,0,33,9,0,0,0,0,0,14,6,0,0,0,0,0,10,4,0,0,0,0,0,4,12,0,0,3,0,0,17,42,10,4,90,29,6,193,1747,189,93,1296,244,37,3601
SOSR222,0,7,0,20,18,0,50,8,10,0,7,4,0,33,39,37,8,90,29,0,197,78,4,14,136,24,5,259,51,3,5,109,14,0,177,140,0,0,99,15,6,263,158,0,0,112,19,0,290,131,0,0,61,7,0,201,32,0,0,13,0,0,44,16,0,0,8,0,0,24,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,6,7,0,0,3,11,0,20,14,6,0,50,21,5,94,670,72,32,719,163,24,1670
SOSR231,13,6,5,236,176,12,451,14,23,10,168,75,0,294,142,25,27,920,378,29,1511,305,16,19,1057,274,11,1672,347,5,3,931,271,9,1569,663,11,7,876,328,10,1895,986,10,6,949,204,12,2178,1015,3,3,657,123,5,1817,529,0,0,221,33,0,786,230,0,4,71,16,0,322,157,0,0,43,3,0,205,60,0,0,22,7,0,93,30,0,0,10,0,0,46,45,0,0,81,17,0,145,123,11,13,797,612,53,1612,4660,115,99,7041,2518,157,14585
