SOSR_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SOSR201,1833238,1929594,3762827,845499,530629,1376124,278438,483877,762318,64341,83342,147682,68524,60800,129322,1256803,1158643,2415445,485993,680943,1166937,5.5,5.2,5.4,68.6,60,64.2,64.8,56.9,60.8,168838,176303,345136,38885,74576,113463,371483,441008,812484,167626,205774,373397,293991,153735,447726,12155,18053,30205,22639,33992,56638,328793,205775,534571,1790936,1861199,3652138,335204,343911,679110,1136091,1198194,2334286,875103,898178,1773284
SOSR203,150016,166091,316110,64884,37722,102606,22010,46238,68243,5116,7502,12614,4959,4053,9016,96965,95512,192474,44997,62209,107209,5.1,4.2,4.7,64.6,57.5,60.9,61.3,55.1,58,7635,8310,15947,3059,6543,9606,20152,28661,48808,12351,17607,29960,35680,21665,57351,1417,2350,3761,1712,2693,4406,38809,26714,65523,145212,156537,301753,28689,31314,60002,89180,96180,185358,74871,82065,156938
SOSR211,42480,44812,87292,19281,10524,29808,5351,10414,15764,1595,1978,3570,1777,1729,3506,28008,24647,52651,11740,17405,29145,6.3,7,6.7,65.9,55,60.3,61.7,51.1,56.3,1343,1611,2958,439,1164,1596,3748,5540,9287,3629,4836,8470,10663,6901,17568,477,726,1201,579,869,1450,11722,8501,20222,43253,45003,88257,8308,8728,17031,24163,25076,49237,23557,24830,48390
SOSR212,101705,112074,213775,45281,26518,71802,13148,29763,42908,3787,5181,8968,3050,2512,5565,65272,63969,129242,30276,41607,71879,4.7,3.9,4.3,64.2,57.1,60.5,61.2,54.8,57.9,3414,4333,7746,1730,4068,5796,11014,17212,28230,8188,12562,20745,26132,14447,40575,924,1548,2470,1262,1917,3177,28319,17914,46230,101823,108754,210578,16926,18542,35465,64086,68051,132141,47871,52699,100570
SOSR213,97402,106926,204331,40354,22065,62424,12148,27988,40134,3351,4511,7866,2979,2315,5298,58834,56885,115719,32921,43837,76756,5.1,4.1,4.6,60.4,53.2,56.6,57.3,51,54,2450,3344,5791,1434,3373,4812,8166,13595,21764,7416,11664,19081,27087,15515,42601,925,1635,2564,1295,1811,3111,29310,18967,48280,96168,102916,199086,15890,17407,33297,60673,64673,125351,44867,49379,94250
SOSR214,58042,63822,121867,20671,11631,32301,7228,15156,22375,2183,2814,5002,1442,1169,2614,31522,30773,62297,22670,28969,51642,4.6,3.8,4.2,54.3,48.2,51.1,51.8,46.4,49,1506,1848,3354,861,1977,2835,4621,7910,12531,4264,6892,11157,15700,8353,24054,512,1041,1554,767,1128,1896,16977,10523,27500,55533,59655,115195,8956,9729,18687,35451,37805,73252,25840,28451,54294
SOSR215,89222,95544,184765,35247,18281,53532,10822,24219,35043,3620,4534,8161,2163,1799,3970,51864,48833,100697,31286,40417,71700,4.2,3.7,3.9,58.1,51.1,54.5,55.7,49.2,52.4,2309,3126,5434,1336,3258,4591,7323,12478,19803,6268,10866,17134,25564,12931,38491,805,1502,2306,1173,1700,2870,27540,16129,43669,88001,92080,180079,12888,13736,26625,57951,60276,118233,37554,40517,78068
SOSR221,25357,25825,51183,9477,4761,14240,3209,6823,10032,1000,1280,2276,563,453,1016,14251,13320,27569,9282,10734,20013,3.9,3.4,3.7,56.2,51.6,53.9,54,49.8,51.9,665,879,1545,411,879,1289,2040,3622,5667,1825,2960,4781,7496,3531,11029,204,415,615,319,448,766,8018,4395,12409,24710,24865,49573,3424,3542,6964,16733,16693,33421,10085,10381,20471
SOSR222,13866,13745,27613,5115,2753,7868,1803,3529,5328,650,713,1362,366,284,653,7936,7275,15215,4741,5412,10149,4.6,3.9,4.3,57.2,53,55.1,54.6,50.9,52.7,314,430,740,199,452,648,1074,1880,2951,916,1576,2493,3931,1841,5775,115,238,353,181,230,415,4226,2314,6543,13276,13155,26430,1770,1815,3582,9429,9144,18576,4956,5149,10107
SOSR231,184354,171931,356286,80282,39377,119657,23698,50233,73932,7992,9141,17133,3471,2757,6227,115450,101508,216956,54461,57304,111759,3,2.7,2.9,62.6,59,60.9,60.7,57.4,59.1,4504,6218,10724,2485,6222,8712,15782,26379,42161,13377,20317,33698,52180,21546,73722,1431,2702,4133,2337,3176,5512,55945,27419,83365,180010,170168,350178,19020,18968,37989,133903,125007,258912,56914,56263,113184
