SOSR_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
SOSR201,79367,57377,34254,16977,5938,2142,283172,13875,50302,48354,41097,29479,16669,5396,1171,206339,8626,24139,17110,10038,5477,2878,1301,461,70039,7414,18291,15974,11659,7260,4454,1942,523,67518,409,281,205,174,175,217,106,50,1618,1734,5275,6208,5068,3116,1947,797,298,24449,14027,24407,19838,14980,12310,12200,11905,10203,119861,92803,319809,294163,219349,152725,97434,46432,21028,1243749,10572,23428,20255,16361,12171,8004,3557,855,95200,8860,38566,47953,21510,10344,3737,526,50,131539,14278,63179,59746,52079,48385,34820,19444,6365,298290,11101,35273,26605,21285,14688,8682,4814,1465,123911,2383,6903,6515,5241,3719,1893,769,231,27662,16952,69224,51636,38931,30507,20590,9636,3594,241064,6944,36729,34066,31790,29661,25770,11912,2976,179849,28714,130165,141827,103060,64388,35412,13387,4040,521006,21128,75009,69619,59098,42987,26774,9511,2153,306275,14940,41851,30070,17284,9493,5063,2255,723,121676,11035,30625,27849,18178,11505,6505,2954,774,109423,845,692,474,327,321,352,190,76,3266,3003,9725,11520,9363,6151,3869,1715,596,45931,30465,52489,42360,32439,25990,23241,21303,15544,243824,181214,613862,570492,426932
SOSR203,4334,3423,2443,1309,429,152,16675,1403,4214,3902,3662,2915,1735,462,79,18366,523,1258,1021,667,393,269,104,41,4269,863,1970,1406,1030,693,485,211,49,6696,27,28,20,17,7,12,5,0,133,70,251,325,288,179,141,54,29,1326,1475,1778,1502,1354,1227,1460,1663,1259,11714,8253,23703,20871,17090,13842,10292,5077,2325,101454,521,1175,1006,832,599,457,202,41,4831,391,1513,1483,729,461,261,48,3,4891,1440,5020,3761,3916,3888,3314,1793,584,23718,1259,3943,2479,1769,1491,996,534,198,12675,353,822,768,688,512,331,198,53,3736,1958,7058,5144,4124,3914,2838,1198,426,26661,767,3812,3657,3112,2965,3186,1592,393,19493,1552,6278,7315,5870,4353,2689,908,251,29217,2006,5882,5286,4970,3941,2574,770,151,25562,986,2160,1749,1097,649,522,193,62,7409,1155,3036,2315,1640,1115,734,321,94,10417,56,68,38,28,25,18,10,0,252,129,580,677,613,392,320,143,52,2915,3109,3837,3050,2895,2604,2762,2827,1924,23017,15683,45174,38739,32289
SOSR211,1433,931,626,313,86,15,5058,344,1370,1252,915,687,345,60,5,4972,75,218,137,67,50,33,10,6,594,290,707,570,290,166,113,38,7,2171,19,17,10,5,4,4,0,0,60,16,110,129,52,25,32,6,4,371,533,785,698,484,353,375,294,123,3635,2137,7240,6479,4107,2877,1913,734,210,25696,69,245,276,168,81,71,13,0,929,93,580,730,200,97,53,15,0,1768,451,1600,1565,1238,1100,866,358,90,7263,382,855,592,378,293,230,92,18,2833,62,199,216,139,93,69,23,5,809,332,1399,1059,742,578,411,156,36,4715,225,955,938,633,475,427,149,15,3813,418,2260,2459,1525,1034,575,171,26,8472,518,1819,1693,1216,884,461,107,13,6715,154,402,263,118,75,60,15,7,1099,394,1128,982,454,262,178,63,3,3460,36,30,13,11,9,8,0,0,101,49,208,276,131,80,66,29,15,864,1120,1607,1432,1020,764,728,532,197,7400,4299,13285,12495,7967
SOSR212,2958,2464,1743,927,302,92,11363,834,2458,2468,2379,1946,1142,278,42,11549,214,651,550,335,223,128,47,19,2175,588,1367,1110,801,516,345,140,28,4894,23,33,13,11,10,3,0,0,102,44,147,195,189,116,64,21,8,790,945,1300,1207,1053,1068,1165,1180,1049,8962,4708,14134,14056,11785,9784,6947,3335,1604,66358,225,536,614,518,402,321,117,27,2768,151,575,688,392,236,127,23,0,2198,841,2941,2948,2937,2959,2477,1202,336,16640,657,2173,1736,1365,1056,761,318,103,8166,197,635,727,615,464,277,125,34,3066,927,3672,3230,2609,2541,1744,768,241,15738,507,2484,2605,2226,2148,2197,916,193,13272,887,3741,4746,4101,3075,1980,652,150,19326,1179,3400,3306,3179,2578,1579,458,73,15753,399,1095,914,584,341,253,93,32,3704,781,1957,1679,1270,824,531,251,38,7326,41,66,29,20,15,8,5,0,187,95,316,431,412,287,180,74,25,1828,2053,2668,2539,2303,2181,2186,2140,1563,17641,8932,26257,26206,22537
SOSR213,2514,2076,1517,926,347,96,10097,707,2237,2278,2352,1995,1265,308,47,11199,176,481,458,341,229,166,67,24,1936,480,1410,1073,763,502,335,187,48,4798,19,18,10,10,8,6,3,4,76,47,130,168,123,118,76,36,14,715,860,1114,1030,944,947,1250,1382,1092,8610,4151,12529,11990,10419,8970,7185,3911,1733,60904,139,424,488,383,308,266,122,19,2149,143,535,631,349,245,155,44,5,2105,888,2857,2700,2905,3047,2786,1460,412,17044,636,2047,1519,1190,1095,807,439,115,7856,228,610,667,587,459,332,174,44,3092,776,3104,2437,2195,2317,1835,847,255,13765,449,2039,2025,1728,1732,2015,1103,230,11322,765,3206,3874,3304,2562,1756,680,170,16316,940,3007,3010,3072,2582,1751,489,89,14944,343,835,766,545,383,306,117,39,3330,676,1991,1633,1186,797,560,289,66,7197,28,35,22,20,21,19,10,0,153,97,315,374,321,289,203,115,38,1757,1803,2365,2138,2088,1963,2359,2400,1694,16805,7904,23379,22278,19877
SOSR214,1229,1169,994,672,263,88,5656,347,1046,1078,1240,1250,941,267,45,6213,89,251,237,175,140,142,57,24,1107,275,694,534,407,360,275,115,26,2705,10,7,0,5,9,3,4,0,35,19,63,95,104,73,57,26,7,444,497,562,597,592,721,1006,1056,766,5803,2129,6104,6139,5886,5952,5530,2920,1297,35958,47,199,246,239,220,254,93,25,1315,67,234,260,150,143,122,23,0,995,437,1430,1379,1554,1750,1892,1071,286,9796,348,1054,810,705,740,673,338,114,4779,158,366,429,405,357,221,119,54,2102,361,1474,1271,1136,1424,1375,608,202,7858,212,1008,1087,1011,1114,1545,800,171,6944,360,1499,1844,1759,1624,1336,527,134,9079,484,1381,1399,1612,1640,1316,437,82,8343,177,421,399,302,228,252,95,31,1907,396,1025,849,669,581,432,179,49,4184,17,21,3,12,8,5,7,0,83,37,133,200,215,192,166,71,21,1041,1044,1219,1228,1290,1519,1906,1931,1204,11342,4140,11462,11395,11055
SOSR215,2019,1828,1545,985,340,109,8635,496,1710,1824,1906,2035,1296,328,51,9642,151,366,470,340,298,190,78,39,1937,413,1193,873,683,544,395,140,28,4265,9,14,6,5,9,12,3,0,66,26,103,147,143,121,104,36,31,711,860,936,989,1092,1148,1461,1370,934,8789,3272,9861,10187,9670,9542,7974,3857,1631,55981,82,324,376,434,358,364,160,30,2132,89,278,384,269,240,164,26,5,1449,718,2520,2418,2643,3040,2855,1391,364,15953,565,1946,1536,1144,1133,890,398,122,7742,279,786,825,756,622,427,189,48,3941,534,2165,1930,1927,2257,1938,806,275,11836,350,1677,1771,1677,1848,2241,1056,191,10814,450,2207,2979,2811,2543,1869,703,171,13734,672,2201,2333,2486,2607,1852,557,97,12800,274,629,723,544,469,326,141,49,3153,590,1638,1347,1100,887,614,242,57,6475,20,31,16,14,13,19,7,0,114,61,220,344,330,316,244,103,50,1655,1896,1932,2095,2260,2506,2916,2471,1441,17509,6577,18551,19085,18404
SOSR221,531,530,492,266,86,12,2350,122,388,459,528,652,423,94,17,2676,31,99,148,114,125,84,28,11,637,115,274,245,175,153,100,39,11,1114,0,0,0,0,3,5,0,0,10,9,32,25,53,42,33,16,3,219,232,198,303,306,394,405,328,243,2405,833,2345,2727,2785,3088,2328,1001,394,15499,13,66,113,126,104,120,35,8,576,18,66,96,77,74,55,9,0,403,160,628,682,795,1009,872,393,82,4617,135,443,448,400,395,289,120,35,2274,87,224,255,255,244,115,62,13,1248,139,513,466,529,748,533,219,61,3204,81,446,538,512,575,720,290,54,3210,102,526,792,778,779,519,163,29,3689,159,508,598,688,826,644,164,25,3613,67,170,231,174,194,147,46,12,1035,143,358,357,277,264,167,66,8,1636,6,0,4,0,4,0,0,0,23,16,51,70,115,94,70,36,6,455,493,442,606,685,827,911,654,373,4987,1617,4434,5259,5406
SOSR222,285,249,241,137,38,6,1194,65,209,252,304,337,179,46,7,1399,33,53,71,61,49,36,14,3,313,53,146,118,94,89,57,28,3,580,0,3,0,0,0,0,0,0,6,0,13,23,25,22,21,6,3,107,174,146,171,185,232,234,159,111,1407,509,1288,1498,1535,1662,1114,457,167,8237,12,46,64,79,40,55,19,5,319,8,33,41,35,46,19,0,0,181,89,362,339,417,522,440,194,34,2395,74,216,221,204,250,145,48,18,1172,46,127,172,154,130,71,24,8,744,74,256,281,311,408,252,78,17,1683,38,213,256,286,320,299,120,21,1558,55,262,411,408,384,273,68,18,1885,87,282,330,388,417,259,67,8,1855,49,90,117,100,83,67,22,3,530,73,214,195,164,154,99,34,8,935,0,7,0,0,0,0,0,0,13,0,27,46,61,61,50,17,3,274,402,334,352,413,506,531,330,182,3056,1021,2465,2826,3032
SOSR231,3756,4208,3561,1764,430,61,16598,814,2227,2786,3604,3762,2119,453,43,15800,230,625,792,720,711,419,116,25,3643,598,1395,1380,1403,1017,577,183,33,6591,18,19,10,11,5,4,4,4,74,59,134,285,376,323,214,52,10,1460,2146,1661,2175,2760,3081,2734,1630,566,16751,6545,14625,19044,22244,22089,14913,5102,1111,105669,224,564,859,1111,1061,894,301,41,5057,144,309,566,622,543,311,49,3,2549,1626,4062,5105,6803,7816,5838,2224,347,33824,1065,2540,2763,3135,2853,1838,687,108,14996,1082,2413,3166,3542,3355,1665,489,89,15804,1069,3249,3712,4601,5576,3773,1209,244,23413,472,2119,2905,3451,4074,4587,1498,168,19284,911,3223,5275,6309,5753,3526,996,120,26113,1137,2825,3501,4615,4912,3306,804,89,21191,434,979,1182,1115,1031,751,216,39,5754,778,1788,1886,2028,1634,905,298,49,9367,25,34,30,20,16,12,9,0,150,129,292,586,798,732,519,163,34,3254,4543,3769,4738,6007,6766,6170,3540,1096,36635,13649,28184,36269,44161
