SOSR_CODE_2021,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
SOSR201,5487,22496,567,7132,4142,854,111,350,320,41456,1789,7065,133,525,1161,181,26,75,102,11064,44962,169311,10096,31988,49780,17808,2345,7927,4220,338428,96,126,63,372,211,117,15,61,30,1085,6443,10169,2539,8753,11674,3729,577,1896,601,46386,10357,12691,5349,27204,20632,7967,1276,3810,1250,90533,8164,6700,12489,31471,24037,9740,2649,6756,1431,103444,916,652,583,1923,3209,1607,316,1010,108,10330,1770,1521,887,4458,5573,2203,401,1412,305,18525,736,1990,319,979,1275,584,124,420,171,6604,1321,2741,694,2814,3055,1448,305,1242,2703,16313,104094,324195,36723,126409,140627,50668,9004,27477,13169,832364,691,2503,62,138,317,74,33,25,31,3873,4829,30938,521,467,1136,191,151,197,285,38726,44825,128925,8313,11766,23676,8895,6055,6190,3689,242327,1721,5021,246,462,831,318,225,208,158,9186,10150,34353,1410,8169,5702,1409,498,750,519,62962,3282,9432,381,873,1625,346,129,166,169,16398,106198,308523,31306,46885,74914,32321,14635,19615,8683,643071,200,200,267,470,256,168,130,131,60,1880
SOSR203,322,2103,42,688,290,49,8,21,22,3558,152,799,9,76,102,16,3,0,5,1156,2053,13032,528,2380,2543,852,106,453,173,22117,8,9,4,58,17,6,0,3,3,115,458,895,181,829,847,213,34,113,46,3625,771,1161,395,2935,1752,552,82,304,92,8047,1010,861,1766,5171,3261,1489,279,1165,153,15149,96,68,77,248,354,261,35,201,10,1349,119,77,83,422,418,186,37,108,17,1469,44,110,17,65,78,21,6,33,12,382,81,214,61,325,208,146,33,132,175,1373,5922,24154,3324,13643,10367,3964,666,2666,755,65465,28,222,4,8,14,0,0,3,0,281,183,1716,42,22,76,15,5,16,13,2090,1642,6012,371,600,703,330,352,412,116,10545,68,362,15,30,27,16,12,9,6,544,599,3071,118,834,387,78,28,50,35,5196,282,1035,25,120,138,22,4,5,8,1636,4894,21060,1651,3525,3621,1497,641,1138,329,38355,16,15,10,67,16,7,9,9,5,162
SOSR211,54,280,7,268,48,8,6,3,4,674,31,122,0,6,11,0,0,0,0,181,351,2192,120,550,561,161,56,122,46,4159,0,3,0,17,0,0,0,0,0,31,103,143,47,221,221,44,20,37,9,846,223,307,89,990,503,176,54,101,22,2458,260,240,411,1614,1106,406,178,337,61,4613,26,11,22,68,100,73,17,42,3,364,21,25,19,132,113,57,20,41,13,443,16,23,9,21,24,11,8,13,3,123,30,45,21,101,61,43,15,56,57,430,1232,4068,775,4129,2886,1047,387,791,237,15557,3,13,0,0,6,0,0,0,0,22,14,143,6,4,3,0,4,3,0,186,251,1003,85,236,223,99,133,76,34,2136,20,55,3,9,6,6,4,0,0,100,94,384,16,287,62,14,16,10,4,889,44,152,6,18,20,0,0,3,0,243,808,3320,394,803,840,286,359,294,85,7199,0,3,0,17,6,4,9,5,0,54
SOSR212,209,1373,22,445,155,33,6,30,13,2294,90,487,9,48,49,8,0,5,6,706,1395,8065,299,1252,1352,394,51,338,122,13275,10,11,0,28,9,3,0,3,0,73,370,634,130,597,608,152,25,97,35,2645,599,950,302,2006,1303,412,57,253,75,5950,735,633,1201,3319,2516,992,172,710,134,10409,68,48,45,163,255,180,15,115,3,897,83,71,57,286,325,143,20,99,13,1098,18,76,12,49,59,10,3,26,3,256,81,175,60,207,170,118,16,132,136,1098,4198,15189,2215,8602,7033,2511,363,1842,550,42493,15,119,6,10,6,0,0,0,0,152,101,725,25,13,33,0,0,3,5,907,1030,3359,147,238,297,111,52,80,42,5355,38,204,8,19,14,6,0,9,3,293,375,1894,69,504,199,47,24,45,21,3185,159,614,20,78,67,17,3,7,9,977,3104,12483,856,1856,1905,714,248,710,209,22075,13,15,9,39,9,5,4,8,5,108
SOSR213,162,1048,17,441,112,24,3,11,9,1832,69,384,3,28,36,7,3,10,4,545,908,6168,271,1043,1048,300,33,272,87,10126,5,17,4,26,7,9,0,6,4,75,275,527,87,606,515,120,9,72,31,2244,553,817,242,1987,1121,329,55,223,67,5398,697,594,1203,3703,2449,1060,175,861,111,10848,56,33,50,193,248,162,27,128,4,914,60,71,48,309,249,118,18,82,18,977,16,51,12,50,56,19,4,25,3,232,69,143,40,229,167,106,13,133,118,1013,3190,11853,2023,8784,6194,2286,356,1863,479,37031,12,90,6,11,8,0,0,0,0,118,66,549,9,9,31,0,3,8,4,673,635,2400,103,209,226,68,46,77,32,3810,37,145,9,16,8,3,0,0,4,222,304,1437,49,504,136,36,10,22,17,2513,122,470,17,58,56,7,8,11,10,747,2046,9251,729,1511,1396,488,218,580,143,16364,8,19,13,33,13,8,3,13,5,109
SOSR214,119,555,14,234,86,26,4,12,4,1048,29,187,0,13,37,0,0,5,4,275,580,3204,152,559,586,193,21,181,49,5515,5,3,0,18,5,4,0,0,0,37,198,285,58,360,318,81,7,52,15,1364,277,381,124,1103,585,194,19,132,29,2837,373,294,706,1832,1167,555,73,491,57,5533,51,26,46,111,136,106,9,93,0,576,40,31,25,156,155,71,7,63,12,548,9,40,11,15,27,6,5,16,4,139,56,69,22,147,113,60,8,120,72,677,1950,6021,1181,4633,3300,1325,151,1182,263,20003,7,35,0,3,3,0,0,0,0,59,30,221,5,11,14,0,0,0,6,298,401,1229,65,128,126,39,14,54,32,2090,13,66,3,5,4,0,0,3,0,101,183,768,34,273,110,37,10,21,13,1437,63,235,4,22,44,7,0,9,5,389,1159,4760,386,797,755,309,86,355,89,8688,5,3,3,17,6,5,0,3,0,47
SOSR215,215,916,20,397,137,30,6,23,17,1761,59,305,3,25,31,3,0,4,0,435,1012,5095,246,884,985,267,31,210,82,8807,6,11,0,28,8,3,0,4,0,62,332,504,94,524,455,129,17,93,28,2180,483,666,234,1695,970,276,36,235,64,4654,640,493,1119,2819,1891,864,174,773,96,8856,70,46,56,174,241,143,19,106,11,873,91,51,52,246,224,98,14,90,9,876,33,47,11,28,53,14,0,24,9,215,70,121,47,218,159,131,17,137,106,1005,3420,9953,1923,7152,5316,2004,322,1725,451,32263,17,65,0,6,9,4,0,0,0,101,102,446,9,13,14,7,3,3,10,597,734,2030,89,178,183,66,21,49,37,3385,23,115,6,11,19,0,0,5,0,183,341,1299,60,447,166,40,15,35,28,2434,103,366,15,48,44,8,0,4,0,599,2180,7525,608,1301,1238,439,153,456,140,14029,15,10,14,28,11,8,0,11,0,100
SOSR221,52,255,6,100,40,7,0,0,4,468,20,79,0,11,12,0,0,0,0,116,283,1480,80,240,304,83,14,57,23,2560,0,5,5,5,9,0,0,0,0,21,87,134,34,140,115,37,0,17,9,575,116,203,55,412,264,81,3,56,24,1208,177,132,259,754,564,248,42,197,29,2392,20,12,13,51,68,37,0,40,0,238,17,18,5,61,56,29,0,22,9,216,7,11,0,10,13,3,0,0,4,48,24,43,16,60,39,39,6,46,28,304,916,2819,474,1866,1524,580,72,445,123,8820,0,20,0,0,0,0,0,0,0,25,29,153,4,7,5,0,0,0,0,205,189,532,11,36,50,11,0,8,10,859,11,24,0,5,5,4,0,0,0,44,107,358,16,123,46,8,0,9,5,668,26,94,3,13,18,3,0,0,0,147,620,2135,181,340,382,122,43,122,37,3981,0,3,7,5,9,0,3,3,0,32
SOSR222,31,132,6,48,26,6,0,3,0,248,9,41,0,4,7,0,0,0,0,69,173,740,31,149,165,43,8,50,10,1369,0,0,0,8,0,0,0,0,0,10,51,106,20,75,70,14,4,21,7,359,75,117,31,214,108,55,5,34,11,649,103,69,162,367,264,122,26,123,15,1248,20,8,11,26,38,19,0,30,0,156,9,12,4,39,26,11,9,16,0,125,0,11,0,5,4,0,0,3,0,30,14,11,3,30,15,20,3,20,18,136,545,1481,272,982,749,298,47,305,62,4749,3,6,0,0,0,0,0,0,0,14,15,54,0,0,11,0,0,0,0,86,100,273,8,24,14,12,0,13,7,449,9,22,0,3,0,0,0,0,0,29,54,196,11,54,27,5,0,6,0,354,16,55,0,3,7,0,0,0,0,86,333,1088,102,206,196,73,28,106,25,2155,3,0,0,4,0,0,5,0,0,19
SOSR231,595,1903,54,546,315,45,12,51,23,3546,148,602,12,60,73,12,0,16,14,931,3510,10680,551,1597,2211,540,73,607,208,19966,11,25,9,35,14,13,0,5,12,124,1387,1187,237,979,1104,246,42,244,93,5526,1363,1338,489,2435,1881,469,79,462,117,8631,1984,841,1979,4161,3669,1223,302,1407,202,15766,280,89,109,290,498,240,40,222,16,1787,340,124,118,385,555,193,25,185,24,1951,88,134,26,70,92,27,6,39,13,488,504,332,119,374,418,267,40,290,233,2587,11321,20576,3768,11135,11146,3316,623,3583,1011,66474,39,151,0,8,7,0,0,0,0,213,311,1030,43,30,60,8,7,11,18,1508,1785,3638,131,225,378,72,31,99,74,6430,95,253,12,21,25,10,0,0,7,418,961,2507,108,633,374,70,23,98,35,4800,251,728,36,81,89,16,3,31,14,1246,7534,15522,1271,2155,2699,826,280,1153,358,31807,33,32,21,39,18,16,3,15,12,183
