SOSR_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SOSR201,16356,20272,11902,12779,15547,6693,4557,5032,1319,94448,24506,24339,21344,35769,27368,12954,8749,9942,2516,167488,33629,15990,116522,43182,34054,18897,22562,27298,5636,317778,1817,1220,2026,2857,3943,2452,1551,2414,241,18525,4359,3289,3369,5904,6854,3627,2402,3109,598,33515,2011,3944,1574,1496,1781,1046,940,1117,414,14322,3376,5063,3268,3864,4039,2519,2297,3131,5878,33437,257953,594013,202509,175082,202044,91904,64910,79334,30202,1697942
SOSR203,1057,1627,780,1201,1076,388,225,320,84,6758,1776,2032,1460,3895,2217,893,495,726,150,13639,3777,1787,13996,7001,4283,2609,2784,3954,635,40829,185,109,227,348,415,379,178,425,23,2281,270,191,225,568,473,284,167,267,34,2465,101,218,75,105,91,36,39,83,27,787,194,329,274,428,252,232,191,312,361,2566,15082,39786,19259,18755,13802,6778,5119,7734,1824,128139
SOSR211,248,256,223,327,297,92,183,103,32,1757,478,516,409,1226,668,271,435,250,56,4308,922,521,3968,2107,1461,698,1394,1254,224,12546,45,13,72,105,118,97,108,125,4,688,62,43,59,176,147,78,113,101,21,804,32,44,30,37,29,17,40,26,9,257,57,77,94,131,92,64,109,127,130,876,3072,6561,5367,5484,3976,1723,2912,2378,601,32071
SOSR212,850,1120,482,857,777,247,124,222,60,4736,1407,1570,1040,2663,1557,601,285,528,129,9771,3168,1339,10510,4416,3271,1804,2013,2788,489,29790,133,73,131,235,293,260,100,275,12,1516,229,132,177,380,369,226,147,217,21,1899,60,133,60,76,71,32,35,66,17,547,208,275,168,281,208,177,137,315,266,2044,10891,24051,13704,11650,9083,4255,3160,5279,1293,83367
SOSR213,643,958,393,826,644,221,120,203,61,4072,1199,1347,833,2568,1369,484,250,464,121,8643,2830,1228,10356,4722,3096,1842,2345,3048,496,29965,134,68,160,249,293,223,123,281,8,1537,174,137,142,420,294,175,122,217,27,1711,53,92,59,87,64,25,27,56,8,473,162,235,181,295,202,156,154,304,259,1935,8425,18435,13040,11510,7830,3753,3431,5275,1192,72901
SOSR214,414,483,261,479,390,144,55,122,29,2382,610,602,454,1382,695,276,123,264,44,4453,1611,596,5514,2420,1493,953,1173,1792,284,15843,85,42,91,137,153,139,56,180,7,895,106,53,81,197,173,100,84,131,16,948,27,67,36,25,31,10,12,40,14,256,124,113,134,190,130,108,94,253,155,1289,4829,9276,7081,6081,4125,2135,1708,3238,698,39167
SOSR215,701,841,398,697,580,197,122,209,50,3795,1011,1042,680,2100,1140,410,192,436,98,7101,2949,1045,9928,3609,2413,1450,2326,2881,451,27049,133,70,150,231,268,212,120,227,17,1421,195,101,152,308,257,159,129,183,24,1504,63,81,37,43,62,21,25,46,10,390,185,177,241,275,181,192,178,305,214,1955,8743,15205,12382,9285,6591,3206,3288,4852,1080,64636
SOSR221,200,229,101,190,139,62,29,52,9,999,271,317,199,526,314,126,39,97,26,1921,893,288,2722,955,700,416,649,792,133,7538,30,17,35,63,71,50,17,74,4,357,48,32,35,72,62,38,28,48,11,378,14,20,14,11,11,8,3,3,10,92,58,70,66,85,53,62,57,113,53,610,2501,4291,3388,2438,1863,912,866,1314,292,17857
SOSR222,117,157,62,109,83,30,13,41,11,614,160,164,96,268,133,72,25,74,12,1000,504,161,1409,499,339,205,361,441,77,3987,23,13,27,36,37,24,11,48,0,230,23,19,28,59,30,19,25,24,4,225,7,16,6,11,4,0,0,4,0,61,37,32,31,46,23,30,35,38,31,291,1395,2249,1780,1314,915,476,502,802,170,9598
SOSR231,3222,1873,787,1290,1300,401,219,526,165,9787,3159,2078,1360,3043,2165,693,365,867,191,13915,11499,1864,18434,5418,4529,2262,4605,5590,946,55141,543,148,266,371,540,308,179,435,34,2819,841,217,349,507,608,273,249,404,60,3503,228,200,95,92,113,45,26,97,29,919,1266,481,465,480,482,380,327,673,512,5071,31773,30722,23365,14392,13381,5380,6323,9994,2443,137765
