SOSR_CODE_2021,M_AgriForestFish_0,M_AgriForestFish_1_19,M_AgriForestFish_20_29,M_AgriForestFish_30_34,M_AgriForestFish_35_39,M_AgriForestFish_40_44,M_AgriForestFish_45_49,M_AgriForestFish_50_over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_19,M_Min_20_29,M_Min_30_34,M_Min_35_39,M_Min_40_44,M_Min_45_49,M_Min_50_over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_19,M_Mnfg_20_29,M_Mnfg_30_34,M_Mnfg_35_39,M_Mnfg_40_44,M_Mnfg_45_49,M_Mnfg_50_over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_19,M_EGW_WS_20_29,M_EGW_WS_30_34,M_EGW_WS_35_39,M_EGW_WS_40_44,M_EGW_WS_45_49,M_EGW_WS_50_over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_19,M_Cnstn_20_29,M_Cnstn_30_34,M_Cnstn_35_39,M_Cnstn_40_44,M_Cnstn_45_49,M_Cnstn_50_over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_19,M_WTrade_20_29,M_WTrade_30_34,M_WTrade_35_39,M_WTrade_40_44,M_WTrade_45_49,M_WTrade_50_over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_19,M_RTrade_20_29,M_RTrade_30_34,M_RTrade_35_39,M_RTrade_40_44,M_RTrade_45_49,M_RTrade_50_over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_19,M_AccomFoodS_20_29,M_AccomFoodS_30_34,M_AccomFoodS_35_39,M_AccomFoodS_40_44,M_AccomFoodS_45_49,M_AccomFoodS_50_over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_19,M_TransPostWhse_20_29,M_TransPostWhse_30_34,M_TransPostWhse_35_39,M_TransPostWhse_40_44,M_TransPostWhse_45_49,M_TransPostWhse_50_over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_19,M_InfoMedTelecom_20_29,M_InfoMedTelecom_30_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40_44,M_InfoMedTelecom_45_49,M_InfoMedTelecom_50_over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_19,M_FinInsurS_20_29,M_FinInsurS_30_34,M_FinInsurS_35_39,M_FinInsurS_40_44,M_FinInsurS_45_49,M_FinInsurS_50_over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_19,M_RentHirREserv_20_29,M_RentHirREserv_30_34,M_RentHirREserv_35_39,M_RentHirREserv_40_44,M_RentHirREserv_45_49,M_RentHirREserv_50_over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_19,M_ProScieTechServ_20_29,M_ProScieTechServ_30_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40_44,M_ProScieTechServ_45_49,M_ProScieTechServ_50_over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_19,M_AdminSupServ_20_29,M_AdminSupServ_30_34,M_AdminSupServ_35_39,M_AdminSupServ_40_44,M_AdminSupServ_45_49,M_AdminSupServ_50_over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_19,M_PubAdmiSafety_20_29,M_PubAdmiSafety_30_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40_44,M_PubAdmiSafety_45_49,M_PubAdmiSafety_50_over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_19,M_EducTrain_20_29,M_EducTrain_30_34,M_EducTrain_35_39,M_EducTrain_40_44,M_EducTrain_44_49,M_EducTrain_50_over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_19,M_HealthCareSocA_20_29,M_HealthCareSocA_30_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40_44,M_HealthCareSocA_45_49,M_HealthCareSocA_50_over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_19,M_ArtRecServ_20_29,M_ArtRecServ_30_34,M_ArtRecServ_35_39,M_ArtRecServ_40_44,M_ArtRecServ_45_49,M_ArtRecServ_50_over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_19,M_OthServ_20_29,M_OthServ_30_34,M_OthServ_35_39,M_OthServ_40_44,M_OthServ_45_49,M_OthServ_50_over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot
SOSR201,237,721,656,465,1573,1624,474,1010,75,6834,192,115,87,78,319,701,293,1057,42,2884,2083,5069,4958,4015,32957,31533,9688,15436,722,106462,359,545,482,505,4590,5280,1417,2666,119,15968,4543,9315,10473,9055,30479,59847,15199,31711,2540,173168,915,2267,2135,1714,12238,13519,3925,6623,238,43576,4120,20595,12763,6801,20437,17832,4969,9057,934,97490,6548,23042,11491,4436,8795,6776,1922,4626,902,68546,3451,7261,9193,5003,16584,21421,6634,12790,1303,83635,878,1712,1362,985,7029,8294,1806,3720,186,25966,1170,1663,1850,1713,13331,23732,4755,10738,356,59302,571,1329,1225,894,3921,5059,1583,3873,159,18623,1968,7394,6099,4921,26578,45880,9912,23238,707,126703,1586,5855,5984,2992,8225,7701,1752,3437,466,37987,2838,3074,2583,2351,19078,19213,5256,7194,475,62068,2049,9915,4648,3256,13680,12363,4192,8468,351,58924,2566,7436,7890,7868,16575,16644,4217,8736,562,72495,2955,3978,1926,1371,3859,4086,945,2112,176,21411,1845,4091,3909,2339,9595,9930,2670,4911,419,39710,1877,5111,4541,2943,15090,15749,3288,7076,10859,66528
SOSR203,59,172,124,89,317,357,130,297,23,1549,94,40,24,16,70,247,120,608,12,1238,280,430,404,360,2571,3100,942,1363,71,9517,43,41,48,52,383,509,170,293,8,1559,414,680,677,699,2882,5822,1574,3070,169,15992,70,139,126,110,752,842,303,436,25,2799,352,1874,1097,636,1767,1370,446,724,76,8333,522,2374,886,332,720,477,149,361,67,5901,243,431,444,298,861,1198,445,1138,72,5132,53,91,61,49,359,314,98,137,6,1164,56,61,77,63,691,751,226,421,9,2353,27,59,52,40,216,275,100,260,12,1040,121,388,300,237,1168,1704,441,934,25,5316,109,500,354,206,484,429,114,211,35,2432,356,285,235,227,1747,1897,463,581,31,5820,182,651,364,341,1461,1238,458,839,21,5547,294,797,896,937,1777,1624,413,801,60,7605,147,374,142,95,251,248,54,154,19,1485,126,332,241,165,814,873,202,442,25,3219,157,363,238,188,776,902,224,505,643,3996
SOSR211,11,19,16,13,60,61,25,39,3,242,9,0,0,0,9,16,10,49,0,102,87,125,95,102,893,964,311,415,24,3024,15,8,9,13,116,132,32,68,5,408,98,225,236,228,844,1647,449,779,88,4598,31,37,35,31,274,277,113,154,4,946,79,411,257,192,603,414,110,155,32,2254,99,472,185,71,158,126,30,64,24,1233,138,170,233,202,699,852,310,852,73,3523,11,15,14,4,101,68,14,33,5,267,15,13,13,14,146,198,29,42,5,473,9,17,17,15,84,65,24,46,3,269,23,67,37,52,256,364,57,98,9,967,33,113,91,66,226,154,39,80,7,809,82,68,72,65,571,825,174,223,28,2106,27,100,63,64,294,175,53,99,6,885,50,112,143,168,341,245,56,110,18,1252,60,45,18,18,59,36,10,17,0,258,40,86,76,44,321,311,84,142,15,1114,51,106,81,85,367,362,69,115,300,1523
SOSR212,82,214,230,152,485,555,191,466,56,2421,56,6,14,14,48,100,40,209,3,484,187,227,201,202,1563,1902,946,981,58,6261,73,45,48,52,457,555,178,312,9,1738,325,432,444,503,2017,4275,1087,2240,153,11487,50,100,72,74,521,643,208,379,13,2066,221,1170,582,374,1195,966,315,508,54,5381,346,1373,470,211,476,353,94,290,50,3651,223,294,300,198,742,1016,441,950,56,4210,28,58,32,31,206,187,51,108,7,702,26,31,42,44,294,421,113,257,8,1230,23,64,39,27,134,169,72,177,4,707,75,239,196,152,665,979,241,609,20,3178,69,264,188,127,365,332,89,178,22,1642,259,171,109,107,1079,1310,349,444,20,3849,100,325,222,197,855,649,261,494,14,3120,179,359,395,470,1006,957,233,383,35,4007,93,152,81,56,185,167,35,78,7,855,102,204,161,98,595,631,171,315,22,2303,107,226,170,127,547,661,147,398,537,2916
SOSR213,80,201,171,153,453,554,157,470,38,2281,60,4,7,12,69,93,34,208,8,505,198,257,247,251,1912,2020,731,975,72,6669,63,32,45,55,382,396,130,254,14,1366,248,422,410,436,1815,3892,1043,2085,164,10526,63,123,72,56,457,594,209,302,18,1897,178,1057,486,334,1053,855,273,427,48,4713,239,1228,390,171,369,267,74,231,44,3026,199,277,276,195,583,907,328,994,79,3837,26,62,35,32,186,158,36,63,5,612,25,29,22,37,227,298,82,151,7,865,17,29,31,33,96,126,42,132,8,509,47,170,152,122,468,715,179,427,17,2302,76,314,217,131,331,272,70,119,17,1548,217,138,125,118,1027,1334,303,457,37,3762,86,275,197,194,622,452,200,374,18,2421,162,318,388,406,703,734,181,295,25,3223,67,119,62,48,156,126,17,67,5,676,77,224,139,104,572,732,177,372,23,2428,101,199,146,131,564,612,147,330,465,2696
SOSR214,61,149,147,95,213,328,105,283,34,1404,37,11,3,3,20,51,22,164,4,320,132,179,156,178,913,1049,417,495,41,3547,28,17,19,16,147,214,59,99,10,610,208,308,243,332,1059,2111,521,1156,83,6017,19,81,40,65,244,268,96,175,8,999,112,532,305,187,466,465,133,200,30,2426,215,589,219,102,203,169,50,154,33,1735,110,137,159,91,264,413,136,453,34,1797,12,38,14,18,72,69,23,46,0,294,15,22,20,16,99,144,35,61,0,399,10,33,21,20,65,89,21,68,0,334,21,141,91,72,210,311,93,215,15,1176,53,195,111,81,144,146,37,65,18,840,128,118,89,63,578,728,147,215,19,2086,70,158,128,73,288,226,112,187,9,1248,99,194,208,211,365,316,77,145,9,1631,54,77,49,35,85,89,18,33,3,450,59,118,96,70,261,357,107,190,18,1270,78,143,85,75,262,313,63,180,293,1495
SOSR215,135,271,248,188,600,763,227,739,92,3248,52,16,14,14,54,76,51,203,5,498,200,269,213,222,1352,1655,670,825,62,5460,48,30,39,37,276,382,122,212,9,1152,397,481,434,481,1725,3595,926,2029,191,10267,38,83,80,59,399,481,178,287,22,1621,166,792,361,229,697,725,199,407,53,3636,274,810,308,167,325,262,64,296,47,2545,198,240,266,169,541,705,293,874,51,3344,25,41,31,28,101,111,30,56,6,422,20,26,31,24,132,201,58,124,4,635,11,41,34,30,77,89,35,111,3,433,58,222,175,152,312,553,149,416,10,2048,76,302,164,135,232,288,61,133,25,1418,231,127,107,103,867,983,256,324,31,3028,82,263,180,143,500,403,154,337,18,2074,133,273,313,273,437,471,103,217,28,2253,72,103,49,51,198,151,32,71,22,751,81,178,111,114,452,652,205,361,44,2205,126,233,126,105,502,590,151,354,478,2663
SOSR221,46,94,102,72,154,262,97,297,17,1132,20,5,3,7,15,30,21,77,4,177,42,69,70,59,324,397,159,219,19,1359,16,15,13,14,63,124,29,72,9,346,96,157,150,150,445,998,260,518,63,2840,7,35,29,19,101,146,34,91,12,471,58,198,96,57,180,170,56,129,17,959,69,224,71,44,51,59,21,83,8,635,44,62,73,44,112,203,58,239,19,852,9,11,8,7,28,21,6,18,0,106,5,17,14,5,43,48,12,37,0,174,9,4,10,10,20,37,16,29,0,128,23,82,49,44,86,129,43,104,3,570,18,88,51,35,55,68,17,43,10,390,80,39,26,29,260,290,54,89,8,880,27,88,44,54,140,129,45,97,7,630,32,77,80,83,110,126,17,51,9,573,27,37,18,12,53,44,6,24,0,224,19,52,49,31,108,152,51,102,12,580,41,52,41,29,128,146,23,98,114,662
SOSR222,32,63,49,33,98,137,58,176,13,654,10,4,3,0,8,15,12,28,4,87,35,31,21,31,185,227,86,122,6,730,3,3,11,4,30,47,19,37,3,158,63,77,71,77,247,451,117,256,20,1381,16,18,12,9,35,56,30,44,6,214,20,92,53,42,86,80,19,53,10,448,71,129,85,38,63,82,21,71,12,570,27,52,54,35,67,113,38,153,6,545,3,9,6,0,10,13,4,7,0,53,0,9,0,3,10,30,4,27,0,86,4,7,5,4,10,18,4,19,0,78,14,36,31,24,39,79,20,57,3,300,16,48,40,11,37,36,12,27,5,238,48,34,11,23,131,143,35,49,0,475,21,42,31,19,83,57,31,58,5,340,23,46,38,45,46,65,12,20,6,301,18,13,15,14,38,23,11,15,4,146,9,39,22,19,67,91,19,59,8,329,25,36,27,20,61,81,27,53,93,425
SOSR231,622,1801,1549,1297,2098,4404,1608,11373,573,25316,134,45,43,31,122,262,141,622,36,1449,370,549,448,402,2114,2793,1058,1981,136,9851,99,89,83,81,508,611,204,419,34,2134,744,1059,972,985,3010,6740,1739,4581,401,20227,104,219,158,155,562,960,345,783,45,3327,252,1401,586,354,884,972,301,765,93,5610,440,1341,410,188,320,339,82,400,66,3585,393,467,465,301,786,1279,487,1771,169,6128,28,83,54,32,162,192,46,125,10,725,31,90,64,59,198,338,110,284,13,1187,45,68,79,42,155,248,70,244,17,974,115,472,384,270,607,1182,364,1041,46,4487,156,469,286,229,339,445,122,312,35,2389,399,238,186,212,1430,1898,453,840,63,5714,140,490,321,232,777,649,224,597,49,3489,276,482,509,437,633,767,235,483,47,3863,143,232,129,112,299,289,82,283,25,1599,170,393,272,228,784,1241,306,899,71,4367,270,501,308,235,741,1178,333,867,1121,5558
