SOSR_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SOSR201,78,34,33,34,9,118,3,133,69,11904,161,12580,27,59,20,18,0,34,9,276,55,3182,46,3725,3,56,8,16,0,41,10,538,86,1868,19,2650,3,5,0,11,0,49,6,493,88,1353,19,2042,32,201,16,38,0,106,32,911,147,8448,107,10046,26,229,21,83,13,345,57,1666,246,4299,66,7050,110,681,74,190,34,1041,131,2752,434,31204,442,37085,158,1269,87,440,65,2336,214,3598,536,16169,210,25083,396,2447,153,1286,160,4149,367,3822,618,14617,172,28186,1299,3421,216,4336,449,4880,566,3789,582,13538,208,33285,1578,1931,150,4563,498,4248,381,2217,371,4469,61,20457,3617,2115,183,5617,645,3935,404,1753,318,4843,92,23526,16968,3421,421,13012,1609,7334,736,2837,527,5934,146,52954,19441,1885,298,10041,1348,2899,426,1410,243,3074,89,41166,16747,1103,223,6622,999,2676,261,837,169,1976,92,31695,14021,532,146,3571,639,953,116,470,62,910,23,21455,31291,1606,359,8426,1434,5512,321,1763
SOSR203,0,0,0,4,0,11,0,3,0,493,20,536,0,0,0,3,0,0,3,15,4,226,6,259,0,3,0,0,0,4,0,28,6,132,0,173,0,4,0,0,0,3,0,35,0,99,0,137,5,17,3,3,0,11,3,87,12,730,16,887,3,20,3,7,0,31,9,144,28,449,7,695,5,63,10,28,0,86,15,339,45,3815,71,4480,12,122,8,52,7,194,14,448,54,2172,15,3106,53,266,14,152,9,404,33,471,83,1903,23,3413,166,363,23,539,49,457,57,417,72,1745,31,3920,192,194,6,618,56,381,42,223,34,494,8,2257,448,200,28,685,73,292,40,192,37,516,6,2514,1759,329,31,1413,147,601,72,229,64,510,10,5170,1623,183,27,978,126,188,50,95,25,256,4,3549,1231,78,21,650,79,170,36,53,12,144,7,2477,836,44,17,274,49,62,10,25,4,61,4,1377,1313,89,26,528,82,245,19,82
SOSR211,0,0,0,0,0,6,0,4,0,223,3,233,0,0,0,0,0,0,0,5,0,50,0,60,0,0,0,0,0,0,0,12,0,44,0,54,0,0,0,0,0,0,0,7,3,36,0,49,0,3,0,0,0,8,0,19,4,161,5,194,0,5,0,0,0,13,0,37,4,96,7,168,3,13,0,7,0,39,4,94,4,920,18,1104,5,21,4,10,0,70,4,90,14,495,3,710,13,44,3,40,10,153,7,96,22,364,0,751,48,80,0,122,14,162,9,95,24,333,6,903,70,38,8,156,12,135,4,35,14,108,0,585,133,43,3,171,19,126,10,25,11,85,3,634,633,62,14,335,48,178,29,53,19,82,0,1462,478,31,12,228,40,52,12,21,3,22,3,908,274,7,0,130,15,34,0,6,0,22,5,496,152,4,3,47,6,10,0,0,0,6,0,232,212,10,4,60,22,36,4,9
SOSR212,11,5,0,3,4,6,0,6,6,483,15,532,3,3,6,4,0,0,0,12,5,169,6,200,0,0,0,0,0,3,0,36,0,81,0,130,0,4,0,0,0,3,0,21,0,75,0,109,0,9,0,4,0,11,0,64,10,599,9,706,5,27,0,3,0,22,3,99,14,308,0,483,10,40,3,26,0,66,7,205,30,2655,42,3087,21,67,10,41,7,146,11,265,54,1558,17,2184,39,130,4,96,7,280,22,295,44,1472,20,2411,107,234,16,357,33,320,37,280,40,1279,23,2731,142,85,14,340,37,245,24,143,24,335,6,1390,336,127,22,415,44,224,33,114,28,377,10,1722,1159,229,44,922,106,422,63,171,48,378,11,3544,1144,103,27,654,96,140,37,94,23,182,7,2505,806,52,17,425,67,143,22,35,11,120,9,1697,521,44,11,200,32,44,10,18,3,39,4,925,989,80,22,369,69,212,25,73
SOSR213,0,3,3,3,0,8,0,4,3,479,11,523,0,0,0,0,0,0,0,17,3,189,7,219,0,5,0,0,0,5,0,24,5,107,0,149,4,0,0,0,0,4,0,27,10,86,0,129,10,23,0,4,0,12,0,75,10,671,15,821,3,18,0,9,0,26,3,142,15,379,0,589,5,50,6,18,0,59,9,254,43,3214,53,3710,15,84,10,63,12,154,16,331,51,1781,23,2534,41,144,10,122,11,295,20,332,50,1574,11,2615,133,226,18,360,34,349,44,306,62,1244,28,2813,121,115,10,387,39,238,27,150,34,334,5,1462,318,115,23,423,50,216,32,109,22,377,3,1686,1187,201,35,921,95,426,55,135,42,366,8,3465,927,88,21,645,79,123,40,70,13,136,4,2160,694,51,16,373,42,107,16,43,11,98,4,1451,400,24,10,158,27,30,11,17,7,35,0,716,620,50,16,291,56,169,17,47
SOSR214,4,3,3,0,0,0,0,3,0,334,11,371,0,0,0,7,0,0,0,15,3,156,5,194,0,5,0,0,0,8,0,15,0,71,0,97,0,0,0,0,0,0,0,22,0,86,7,119,0,9,3,4,0,12,0,68,9,478,18,602,0,10,4,12,0,9,0,88,14,258,7,402,6,33,6,14,3,29,5,174,23,2462,52,2818,9,66,9,27,3,94,18,249,45,1284,18,1814,22,109,8,77,6,156,8,224,37,1156,20,1828,83,146,16,225,17,142,27,182,40,965,13,1850,83,82,11,225,14,145,25,86,19,239,6,927,178,113,16,248,26,131,27,86,26,280,3,1115,585,128,24,480,68,227,46,98,26,248,10,1951,513,85,18,312,52,83,22,28,11,101,6,1229,348,41,14,181,36,58,8,21,11,74,3,807,239,13,10,80,15,23,7,7,0,34,0,421,316,33,6,166,34,96,11,34
SOSR215,3,5,0,3,0,5,6,0,4,373,15,413,0,8,0,0,0,0,0,20,5,221,5,259,0,0,0,0,0,6,0,28,4,112,0,161,3,0,0,0,0,0,3,26,4,71,0,107,5,18,4,6,0,13,0,63,9,634,9,776,6,26,0,13,0,20,0,128,12,340,3,548,12,62,5,18,6,73,10,267,34,3173,69,3726,30,98,10,42,7,150,13,373,45,1733,13,2524,57,174,18,121,12,272,27,330,46,1486,16,2563,141,237,34,346,34,280,43,300,58,1265,22,2756,117,105,15,364,46,227,33,127,32,298,3,1378,282,112,28,411,31,212,34,118,27,368,4,1619,1014,189,26,847,100,362,60,150,48,372,9,3179,785,102,35,544,86,122,37,68,17,171,0,1967,602,57,15,324,58,124,25,39,11,104,3,1355,344,20,5,144,27,31,14,12,3,38,0,640,603,68,14,289,63,173,17,60
SOSR221,0,0,0,0,0,0,0,0,0,133,7,143,0,4,0,0,0,0,0,8,0,48,0,68,0,0,0,0,0,3,0,11,4,35,0,61,0,0,0,0,0,0,0,8,0,38,0,48,4,6,0,3,0,3,0,26,4,217,4,268,0,12,0,0,0,8,0,37,10,116,0,188,13,18,4,9,0,36,0,96,11,951,16,1147,15,30,0,24,0,44,6,112,23,464,12,721,19,67,5,32,3,79,10,116,15,388,9,743,37,80,3,95,10,88,16,93,16,356,5,801,39,52,6,112,8,69,7,34,10,104,5,440,78,43,7,124,17,67,9,33,6,116,4,496,227,68,11,239,26,115,19,45,22,87,3,867,207,26,13,152,26,40,11,31,6,54,6,563,143,8,7,92,18,26,8,16,0,34,0,354,95,10,0,37,6,0,0,5,4,9,0,172,149,15,3,88,10,42,7,18
SOSR222,0,0,0,0,0,0,0,0,0,71,6,82,0,0,0,0,0,0,0,3,0,25,0,30,0,0,0,0,0,0,0,8,0,13,0,25,0,0,0,0,0,0,0,3,0,21,0,26,5,0,0,0,0,0,0,12,0,106,0,133,0,12,0,0,0,3,0,13,5,43,0,79,3,9,0,8,0,13,3,54,12,508,6,623,9,15,0,8,0,30,3,66,13,224,0,367,11,22,3,23,7,46,8,47,10,177,0,358,27,45,0,54,8,68,10,46,10,182,0,458,14,19,3,44,3,47,8,25,10,47,0,221,49,24,0,59,6,28,8,15,4,44,0,241,147,49,9,125,14,67,3,28,6,38,0,481,115,12,6,69,20,23,5,9,3,17,0,279,62,12,5,54,10,15,8,9,0,11,0,178,49,0,3,21,7,0,0,0,0,4,0,84,81,5,7,43,10,19,0,3
SOSR231,93,27,11,33,11,25,0,33,15,900,33,1190,27,33,13,16,8,18,0,37,11,407,10,570,19,14,6,13,0,20,4,73,18,211,5,375,9,0,0,4,6,15,8,68,18,227,4,352,106,63,18,66,9,59,5,163,36,1160,27,1724,27,67,8,40,8,70,12,258,47,600,17,1156,141,183,26,128,12,208,26,535,87,4245,93,5686,220,273,43,224,26,324,53,641,115,2311,43,4259,310,439,56,432,56,564,65,657,132,2155,38,4907,547,532,79,841,79,540,109,557,122,1889,38,5329,305,263,26,700,78,465,69,313,64,500,9,2788,732,332,73,882,98,452,52,277,60,646,21,3622,1948,506,116,1722,223,773,136,366,98,767,20,6679,1527,293,58,1265,150,299,89,196,46,341,18,4273,1200,180,52,737,106,267,46,117,38,231,9,2977,806,85,32,390,54,93,25,53,11,112,5,1662,1839,297,72,1002,144,498,65,243
