SOSR_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
SOSR201,654,1205,7650,5732,1612,10997,2286,14108,828,45054,4583,14450,25935,12047,8554,14396,9531,16427,2632,108558,32334,84711,62403,19356,22914,17171,26131,26570,7142,298729,57645,83995,49506,13106,20507,13146,24116,18615,6299,286936,52648,54841,40355,10549,15888,10981,22532,17950,4739,230484,32970,35314,28763,7635,11929,7859,20184,15267,3069,162999,8829,13222,6930,2024,3656,2727,5059,4684,1025,48162,1460,2211,705,197,453,490,333,683,292,6822,120,140,36,17,35,37,11,47,89,532,191244,290088,222284,70650,85545,77811,110183,114359,26109,1188278,657,1555,1138,11789,3092,24760,583,5972,700,50244,4830,20388,5089,25708,16754,22786,2181,6928,1926,106584,28315,112326,13817,40269,44359,19869,4236,12312,5243,280750,38647,94430,10837,33217,46504,14732,3602,10319,4720,257009,33360,63845,8823,30501,48808,15103,4338,12272,3558,220606,16239,37346,5262,20897,37466,11201,3180,10903,2034,144537,3375,9491,1086,4255,9820,2688,560,2752,626,34658,365,833,75,256,859,250,38,311,230,3225,20,51,3,4,36,11,0,5,86,232,125821,340270,46143,166903,207705,111400,18714,61773,19122,1097849
SOSR203,91,59,1072,515,90,1245,226,1776,86,5168,419,833,2793,1090,474,1145,770,1719,217,9458,2101,4777,6246,1927,1240,1347,2128,2790,432,22995,3266,4418,4239,1307,1126,898,1698,1956,335,19240,3249,3449,3266,1295,1068,837,1956,1730,334,17188,2160,2330,2612,913,877,711,2014,1631,252,13489,644,861,579,236,246,252,532,501,86,3927,119,100,52,20,30,40,37,61,42,500,11,5,5,0,0,0,0,5,7,45,12058,16825,20865,7293,5153,6475,9364,12173,1797,92003,78,68,184,1315,266,2852,77,783,59,5686,437,1432,578,3118,1247,1893,204,792,119,9813,1680,7953,1294,4254,3235,1723,278,1214,260,21886,2054,6747,914,3159,3517,1209,209,1086,257,19151,1959,4906,731,3193,3872,1332,257,1342,223,17820,1193,3303,468,2659,3181,1148,265,1397,149,13768,282,774,80,492,731,245,55,361,50,3065,30,44,4,15,43,12,3,42,34,233,0,4,0,0,0,3,0,0,11,24,7714,25222,4255,18207,16093,10427,1353,7018,1166,91459
SOSR211,15,18,429,82,28,299,68,406,26,1376,99,107,971,171,104,206,348,435,59,2504,499,739,1893,491,417,345,1322,948,187,6846,765,954,1411,488,440,251,1416,774,157,6654,649,507,912,343,338,205,1051,590,112,4697,404,317,609,212,228,133,779,431,86,3199,116,100,132,56,67,49,184,128,19,863,19,13,8,4,0,4,8,16,0,84,0,0,0,0,0,4,0,0,3,8,2573,2750,6358,1853,1628,1503,5177,3729,656,26233,18,19,40,240,83,752,27,182,27,1395,105,213,124,575,354,455,113,162,47,2145,406,1494,306,1410,1089,551,220,385,130,5994,526,1285,262,1242,1122,413,166,409,82,5506,379,768,162,901,1005,409,169,421,75,4287,213,415,101,631,781,323,85,334,33,2924,39,89,22,125,167,64,21,85,7,619,0,0,0,0,13,0,0,15,9,46,0,0,0,0,0,0,0,0,0,4,1690,4282,1016,5123,4607,2977,801,1991,416,22912
SOSR212,63,48,868,303,62,953,152,1266,63,3766,254,373,1907,439,227,575,440,988,93,5292,1322,2318,4143,1041,638,747,1174,1887,302,13575,2416,2565,3143,867,703,608,1266,1533,260,13360,2611,2116,2544,838,723,659,1493,1405,296,12678,1871,1602,1906,607,641,559,1562,1183,185,10125,548,606,454,147,235,189,413,358,62,3010,87,72,42,12,25,32,34,58,13,379,15,0,0,0,0,4,0,0,5,32,9189,9699,14994,4254,3254,4325,6543,8679,1282,62220,48,49,115,894,219,1985,45,504,58,3914,231,748,340,1549,780,982,88,449,90,5264,1069,4532,784,2483,2081,1026,145,953,194,13271,1592,4466,640,2112,2480,901,128,838,209,13370,1582,3310,521,2293,3016,1102,152,951,186,13120,918,2216,373,1786,2599,978,123,952,99,10041,206,507,75,357,612,208,29,256,48,2293,17,26,0,17,42,16,3,20,17,159,0,0,0,0,0,0,0,0,11,20,5672,15857,2855,11497,11827,7206,700,4923,921,61456
SOSR213,66,28,878,235,57,785,132,1200,68,3455,258,277,1771,379,180,469,402,983,77,4796,1176,1696,3877,858,515,650,1273,1952,262,12253,1813,1892,2893,780,542,541,1331,1472,266,11528,1914,1523,2472,762,568,544,1589,1386,234,10988,1489,1237,1906,613,588,466,1689,1226,197,9399,513,511,510,149,186,179,471,362,68,2946,109,71,49,17,25,33,39,46,33,426,18,8,3,0,0,0,3,3,7,46,7355,7243,14353,3792,2667,3671,6920,8636,1202,55852,47,38,129,787,177,1713,42,553,58,3543,226,595,319,1363,653,901,89,437,67,4641,856,3541,709,2500,1855,973,157,898,180,11667,1119,3231,619,2167,2213,882,118,852,168,11360,1152,2588,510,2413,2513,1027,175,1080,165,11617,803,1902,339,1908,2139,865,174,1085,93,9304,219,494,62,386,551,187,23,272,47,2242,35,28,5,19,31,10,3,26,34,179,3,0,0,0,4,0,0,0,8,18,4457,12415,2680,11539,10130,6557,780,5198,823,54572
SOSR214,41,13,461,133,22,393,48,572,48,1736,126,104,934,227,80,245,180,567,45,2511,596,775,1984,437,212,344,594,1065,145,6148,909,839,1566,371,236,269,596,806,119,5717,1027,753,1410,423,298,300,772,839,148,5956,942,703,1114,389,315,315,916,805,135,5638,372,350,334,117,125,133,295,256,60,2038,89,61,38,10,10,29,14,36,29,310,10,5,3,0,0,0,0,3,4,25,4122,3592,7836,2108,1294,2024,3417,4948,741,30084,22,10,65,443,89,821,19,271,24,1765,88,290,157,717,262,420,37,283,39,2294,430,1596,411,1244,912,511,63,517,93,5775,653,1588,331,1103,1082,452,59,485,76,5833,757,1337,320,1285,1337,620,86,614,87,6439,511,1126,260,1133,1295,562,86,680,79,5733,197,345,53,260,383,150,16,158,38,1589,32,28,0,15,38,7,0,18,19,155,0,4,0,0,0,0,0,0,10,20,2687,6323,1600,6201,5403,3550,362,3026,462,29604
SOSR215,55,30,791,248,28,563,86,851,61,2717,219,176,1534,283,105,300,289,791,87,3775,991,1038,3548,637,303,417,1106,1554,226,9817,1735,1369,2733,552,422,397,1168,1232,206,9812,1945,1359,2337,571,434,456,1473,1330,234,10140,1655,1178,2030,547,495,441,1674,1279,213,9520,660,548,524,164,214,185,539,406,92,3324,190,97,53,15,32,32,39,53,34,539,24,5,0,0,0,0,0,4,10,46,7465,5791,13567,3016,2033,2789,6386,7487,1163,49696,32,18,112,698,106,1193,26,419,71,2680,162,384,234,1033,478,586,63,349,53,3344,728,2589,671,1915,1551,791,113,659,126,9133,1125,2720,559,1759,1829,703,112,707,152,9661,1325,2293,492,1975,2085,910,159,938,139,10317,975,1836,396,1733,2059,920,147,1036,129,9235,290,527,97,347,547,199,26,278,57,2376,65,39,7,15,51,18,5,34,25,261,9,4,0,0,4,0,0,0,11,25,4709,10421,2568,9483,8707,5329,647,4416,763,47034
SOSR221,26,7,227,49,7,130,24,263,20,746,52,39,397,60,19,90,87,189,14,951,283,256,815,147,73,108,267,369,39,2360,489,342,809,142,107,106,279,300,52,2638,530,373,694,189,138,127,424,359,60,2885,543,364,664,154,129,133,474,398,68,2935,276,195,140,41,59,60,124,103,20,1025,55,27,13,0,7,5,14,13,11,143,9,0,0,0,0,0,0,0,0,12,2269,1606,3756,790,541,756,1703,1991,286,13690,13,4,23,198,33,339,12,135,18,763,34,104,62,233,114,140,15,80,19,799,181,645,146,458,367,211,24,151,38,2222,270,746,130,428,526,204,30,178,37,2541,381,691,148,534,637,251,45,250,51,2987,317,590,108,522,606,243,41,317,41,2786,92,172,21,103,157,70,9,63,15,701,15,8,0,0,13,5,0,13,6,60,0,0,0,0,0,0,0,0,0,6,1293,2945,648,2477,2449,1462,181,1188,224,12865
SOSR222,7,10,90,35,4,60,12,107,11,340,23,14,206,53,4,28,62,112,19,521,146,134,423,95,28,52,143,215,29,1270,263,183,389,62,47,56,148,187,35,1375,306,198,383,107,68,83,266,222,38,1665,308,202,362,112,67,58,298,237,32,1682,133,94,102,27,32,37,112,71,16,617,42,7,7,5,8,10,5,3,8,88,0,0,0,0,0,0,0,0,0,6,1234,838,1960,497,259,374,1051,1154,190,7570,5,3,15,124,23,128,11,82,8,399,20,61,44,148,62,83,16,54,0,483,115,297,85,247,172,92,21,115,21,1165,167,376,71,222,270,114,10,103,17,1343,209,414,77,286,319,134,31,155,18,1643,202,331,74,272,289,142,29,184,21,1539,49,79,13,50,88,34,3,48,8,375,17,4,0,5,7,3,0,0,3,39,4,0,0,0,0,0,0,0,0,4,779,1552,390,1346,1235,729,116,745,102,6997
SOSR231,282,61,2003,507,77,1112,312,2142,159,6651,746,376,2996,551,202,570,655,1536,179,7807,2846,1404,4580,772,380,482,1477,2341,328,14609,5274,2145,4691,741,558,557,2038,2062,378,18457,7547,2787,5543,1023,824,814,3003,2600,526,24663,8303,2852,4685,1018,841,880,3383,2819,527,25293,5259,1450,1214,291,364,360,1057,1080,263,11331,1927,203,113,23,56,66,96,161,151,2791,278,9,3,0,0,4,9,27,39,370,32471,11286,25825,4919,3296,4836,12026,14772,2541,111976,149,90,288,1595,292,2478,69,1159,154,6268,349,791,583,1793,860,1048,135,850,113,6521,1554,3807,1014,2411,2221,969,231,1198,241,13645,2942,5070,1048,2345,3551,1026,202,1196,279,17665,4398,5747,1169,3455,5260,1610,315,1764,342,24058,4268,4771,927,3135,4715,1491,322,1938,334,21902,2622,1259,217,628,1403,335,61,543,204,7263,772,72,12,33,166,33,3,98,97,1295,71,0,0,0,20,0,0,4,31,127,17130,21609,5256,15385,18481,8995,1336,8761,1787,98750
