SOSR_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
SOSR201,4192,7352,7912,6754,35050,56809,19255,52332,1584,191244,5773,18216,14492,13569,68928,98012,22503,46368,2239,290088,7440,15109,16553,12552,54296,70825,16521,25211,3774,222284,8139,15216,9519,5654,10254,12353,3420,4953,1140,70650,2381,6739,5828,4070,26785,24323,5557,9063,796,85545,4197,19085,9695,4764,14737,14151,3683,6559,949,77811,3900,10539,11990,7099,26953,26097,7898,13394,2320,110183,5681,26128,16517,8138,22981,19641,5041,8050,2186,114359,1046,2101,1755,1086,4946,4976,1029,2545,6613,26109,42745,120484,94253,63701,264920,327183,84911,168476,21593,1188278,6087,8369,11945,10376,28385,30114,9782,19937,830,125821,17661,38831,43150,38211,72046,76354,19413,32237,2369,340270,4030,8406,8712,4452,9924,6827,1363,1853,570,46143,15461,45558,35956,20538,26270,13121,2711,4843,2462,166903,8532,31083,34155,21203,57876,38441,6821,7927,1667,207705,10070,43448,20672,7839,14607,8986,1954,2550,1267,111400,884,2892,2869,1904,5513,3068,618,676,282,18714,4013,19767,12893,5385,10947,5282,1009,1480,997,61773,1232,2261,1862,1144,3563,2787,430,923,4924,19122,67964,200613,172210,111052,229130,184976,44100,72421,15378,1097849
SOSR203,324,483,420,389,2148,3369,1338,3508,75,12058,442,1016,921,976,4319,5003,1420,2640,98,16825,638,1205,1118,946,5019,7067,1760,2862,243,20865,693,1394,909,698,1126,1437,374,561,93,7293,172,427,359,261,1702,1301,360,530,45,5153,343,1695,816,441,1188,1079,313,526,77,6475,398,809,731,514,1877,2237,816,1837,144,9364,596,2917,1417,841,2349,2331,618,899,207,12173,109,145,99,60,329,337,75,208,424,1797,3713,10092,6794,5127,20066,24169,7072,13581,1402,92003,369,635,863,699,1839,1578,551,1125,54,7714,1698,3067,3848,3644,5094,4340,1335,2065,122,25222,314,794,815,459,896,619,130,186,39,4255,1619,4767,3992,2534,2737,1428,318,577,237,18207,785,2546,2837,1926,4473,2477,466,488,91,16093,890,4461,1954,785,1295,655,130,155,108,10427,75,286,204,114,326,209,50,69,15,1353,528,2672,1372,647,887,506,119,169,115,7018,99,143,95,77,195,149,10,53,337,1166,6375,19373,15986,10876,17745,11966,3124,4897,1123,91459
SOSR211,73,98,83,99,495,781,260,658,23,2573,67,157,121,135,844,868,221,314,28,2750,173,280,282,257,1676,2265,531,780,112,6358,127,205,186,176,371,480,101,175,33,1853,55,86,86,58,568,432,118,196,21,1628,85,375,178,104,314,255,69,102,21,1503,181,297,375,318,1159,1297,448,965,140,5177,153,679,366,267,867,795,213,311,87,3729,34,47,24,24,140,115,36,58,175,656,957,2212,1703,1440,6420,7290,1996,3576,645,26233,82,113,144,126,472,396,126,221,11,1690,259,380,554,598,1052,817,247,337,36,4282,87,144,191,102,263,156,27,32,23,1016,398,1040,1008,767,1084,461,95,177,104,5123,224,536,688,442,1488,853,143,184,51,4607,257,1125,573,261,427,181,48,60,47,2977,36,116,109,83,216,142,28,46,20,801,153,644,363,203,346,179,23,41,40,1991,27,45,31,30,66,61,9,22,125,416,1519,4140,3661,2612,5414,3243,737,1122,454,22912
SOSR212,264,328,331,316,1595,2525,1060,2678,89,9189,306,579,539,574,2455,2874,785,1526,66,9699,516,659,674,661,3595,5159,1290,2216,214,14994,441,630,420,335,722,966,294,387,55,4254,106,230,216,132,949,900,290,399,31,3254,217,1085,472,270,865,783,209,375,46,4325,294,474,411,311,1325,1611,704,1293,114,6543,437,1879,858,560,1726,1735,547,736,193,8679,52,87,57,51,204,264,65,157,342,1282,2631,5951,3982,3211,13436,16823,5257,9768,1159,62220,307,430,612,478,1280,1238,425,852,48,5672,1039,1859,2395,2199,3165,2853,878,1362,108,15857,251,500,550,315,622,386,95,119,26,2855,1069,2716,2331,1622,1975,1013,225,387,155,11497,545,1805,2093,1436,3213,1911,334,386,101,11827,578,2977,1334,594,966,432,106,128,89,7206,48,119,125,70,143,117,24,45,11,700,316,1713,783,457,751,471,150,161,116,4923,76,107,78,60,136,115,19,39,295,921,4231,12223,10302,7234,12259,8529,2255,3475,949,61456
SOSR213,228,264,289,273,1233,1976,798,2224,76,7355,235,481,395,456,1737,2136,616,1133,57,7243,438,720,654,608,3504,4954,1236,2009,225,14353,351,530,425,319,591,937,234,349,51,3792,96,196,166,156,794,740,202,303,16,2667,162,956,371,236,742,674,181,312,43,3671,292,457,448,307,1370,1686,648,1570,134,6920,371,1808,835,611,1870,1798,447,717,189,8636,60,87,45,56,216,241,50,130,309,1202,2244,5502,3616,3023,12055,15136,4420,8746,1110,55852,252,363,485,393,1031,934,302,660,35,4457,811,1540,1936,1861,2353,2110,648,1075,86,12415,215,523,526,324,558,349,62,100,34,2680,975,2780,2593,1691,1810,941,225,348,174,11539,468,1577,1781,1284,2733,1592,315,308,76,10130,501,2612,1268,589,872,432,93,110,79,6557,48,152,123,82,173,125,41,45,6,780,380,1874,918,503,800,423,76,145,83,5198,68,109,74,36,139,112,12,37,238,823,3703,11522,9702,6761,10461,7013,1773,2816,806,54572
SOSR214,141,229,203,170,652,1142,415,1131,51,4122,148,295,252,230,789,959,277,604,38,3592,296,488,408,426,1787,2576,642,1069,140,7836,254,329,227,160,345,462,129,184,28,2108,38,114,108,66,343,367,104,139,13,1294,120,498,232,148,360,368,94,185,21,2024,186,219,237,167,638,826,293,791,61,3417,299,971,494,398,912,1027,303,423,124,4948,50,73,39,41,127,124,19,71,194,741,1525,3221,2197,1808,5952,7848,2271,4599,661,30084,169,261,250,262,571,543,184,424,27,2687,421,842,956,904,1084,1140,313,614,53,6323,142,318,290,167,315,226,45,69,29,1600,660,1517,1319,850,904,532,115,191,107,6201,273,971,996,660,1331,777,152,194,47,5403,287,1341,698,345,458,261,47,55,57,3550,25,74,56,38,68,64,11,24,0,362,260,1097,542,274,375,268,69,82,58,3026,54,60,46,22,67,47,9,6,149,462,2289,6476,5152,3531,5170,3850,942,1666,533,29604
SOSR215,260,333,349,296,1152,1980,763,2234,102,7465,221,473,397,433,1225,1566,477,953,44,5791,515,809,638,652,3029,4498,1093,2063,264,13567,387,465,317,217,472,615,199,284,55,3016,74,185,163,109,532,564,150,220,20,2033,135,678,305,178,516,509,153,267,48,2789,346,378,400,285,1179,1559,620,1479,138,6386,388,1374,655,516,1491,1624,466,746,220,7487,88,110,53,41,179,213,49,121,304,1163,2418,4808,3280,2734,9780,13140,3968,8368,1204,49696,293,460,538,415,855,961,318,807,52,4709,760,1455,1666,1508,1665,1735,571,968,91,10421,215,550,498,286,478,334,69,100,45,2568,951,2365,2114,1332,1303,760,183,296,179,9483,479,1606,1595,1042,2093,1320,224,274,81,8707,432,1942,1046,513,750,354,71,121,95,5329,42,103,103,66,131,97,38,43,14,647,395,1588,776,431,556,339,103,122,98,4416,85,92,85,41,96,100,11,37,220,763,3650,10167,8421,5632,7927,5999,1588,2763,890,47034
SOSR221,85,121,124,103,318,557,207,721,31,2269,62,167,125,121,324,414,115,265,10,1606,148,253,226,197,759,1216,311,558,90,3756,91,135,79,81,113,178,31,76,13,790,19,64,51,34,135,137,38,69,4,541,41,166,82,44,130,168,41,70,8,756,86,105,118,76,288,426,149,411,41,1703,122,363,189,142,360,447,125,184,41,1991,23,23,12,18,43,44,7,44,75,286,681,1399,1002,813,2467,3579,1030,2408,322,13690,71,129,135,115,230,298,81,221,17,1293,224,468,478,433,485,450,146,242,22,2945,61,149,124,81,109,62,17,29,12,648,247,663,523,355,330,205,38,73,49,2477,140,471,489,294,549,346,55,76,23,2449,113,551,281,151,195,86,25,28,33,1462,13,31,38,15,32,21,10,22,6,181,116,482,187,101,129,87,21,30,33,1188,34,26,25,18,20,12,4,10,74,224,1017,2985,2279,1560,2072,1564,392,723,265,12865
SOSR222,40,75,57,58,183,279,108,413,22,1234,35,88,73,67,165,208,60,138,12,838,81,137,123,99,454,602,149,285,32,1960,78,91,52,37,58,90,37,30,15,497,18,21,14,19,54,68,24,36,0,259,26,81,52,25,65,65,11,43,3,374,58,69,92,52,164,249,110,241,23,1051,86,192,113,83,205,252,77,110,27,1154,18,19,10,3,14,29,6,23,69,190,446,768,581,449,1355,1841,585,1328,206,7570,42,96,76,68,128,153,61,149,8,779,120,208,251,202,288,259,79,143,3,1552,38,85,67,41,73,54,10,14,6,390,155,322,275,199,176,98,39,54,30,1346,59,237,240,152,277,180,32,37,20,1235,67,234,154,73,97,54,15,23,21,729,3,11,25,11,22,24,6,13,4,116,65,295,130,76,85,42,10,27,24,745,11,14,11,0,9,13,6,5,38,102,555,1495,1224,808,1156,879,260,457,156,6997
SOSR231,792,1632,1592,1372,2788,6465,2402,14718,710,32471,437,1036,857,734,2073,2839,933,2252,121,11286,964,1574,1403,1290,4953,8286,2076,4758,533,25825,629,789,457,336,704,1072,316,526,87,4919,127,343,272,184,817,801,236,462,50,3296,254,1263,490,280,687,931,246,584,101,4836,704,825,763,555,1882,2811,1097,3090,310,12026,864,2838,1342,1027,2349,3170,899,1904,388,14772,167,216,140,104,283,400,103,367,753,2541,4933,10508,7311,5885,16528,26780,8307,28669,3061,111976,672,2108,2163,1502,2039,3251,916,4085,392,17130,1516,3378,3766,3047,3149,3417,1109,1993,234,21609,432,1147,913,555,862,714,145,381,107,5256,1581,4151,3365,1910,1942,1383,284,507,271,15385,927,3936,3691,2209,3620,2692,443,726,243,18481,706,3543,1712,805,1077,623,132,234,169,8995,101,228,211,114,246,234,47,132,18,1336,716,2969,1500,812,997,871,214,471,209,8761,176,267,140,91,152,148,37,98,673,1787,6831,21726,17466,11048,14075,13340,3335,8626,2310,98750
