SUA_CODE_2021,A0_14_SEO_B_05,A0_14_SEO_05_10,A0_14_SEO_11_15,A0_14_SEO_16,A0_14_SEO_17,A0_14_SEO_18,A0_14_SEO_19,A0_14_SEO_20,A0_14_SEO_21,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_UOLSE_VWW_B_05,A0_14_UOLSE_VWW_05_10,A0_14_UOLSE_VWW_11_15,A0_14_UOLSE_VWW_16,A0_14_UOLSE_VWW_17,A0_14_UOLSE_VWW_18,A0_14_UOLSE_VWW_19,A0_14_UOLSE_VWW_20,A0_14_UOLSE_VWW_21,A0_14_UOLSE_VWW_YNS,A0_14_UOLSE_VWW_T,A0_14_UOLSE_NWNAA_B_05,A0_14_UOLSE_NWNAA_05_10,A0_14_UOLSE_NWNAA_11_15,A0_14_UOLSE_NWNAA_16,A0_14_UOLSE_NWNAA_17,A0_14_UOLSE_NWNAA_18,A0_14_UOLSE_NWNAA_19,A0_14_UOLSE_NWNAA_20,A0_14_UOLSE_NWNAA_21,A0_14_UOLSE_NWNAA_YNS,A0_14_UOLSE_NWNAA_T,A0_14_UOLSE_PinE_NS_B_05,A0_14_UOLSE_PinE_NS_05_10,A0_14_UOLSE_PinE_NS_11_15,A0_14_UOLSE_PinE_NS_16,A0_14_UOLSE_PinE_NS_17,A0_14_UOLSE_PinE_NS_18,A0_14_UOLSE_PinE_NS_19,A0_14_UOLSE_PinE_NS_20,A0_14_UOLSE_PinE_NS_21,A0_14_UOLSE_PinE_NS_YNS,A0_14_UOLSE_PinE_NS_T,A0_14_UOLSE_T_B_05,A0_14_UOLSE_T_05_10,A0_14_UOLSE_T_11_15,A0_14_UOLSE_T_16,A0_14_UOLSE_T_17,A0_14_UOLSE_T_18,A0_14_UOLSE_T_19,A0_14_UOLSE_T_20,A0_14_UOLSE_T_21,A0_14_UOLSE_T_YNS,A0_14_UOLSE_T_T,A0_14_L_PinE_NS_B_05,A0_14_L_PinE_NS_05_10,A0_14_L_PinE_NS_11_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_17,A0_14_L_PinE_NS_18,A0_14_L_PinE_NS_19,A0_14_L_PinE_NS_20,A0_14_L_PinE_NS_21,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B_05,A0_14_T_05_10,A0_14_T_11_15,A0_14_T_16,A0_14_T_17,A0_14_T_18,A0_14_T_19,A0_14_T_20,A0_14_T_21,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B_05,A15_24_SEO_05_10,A15_24_SEO_11_15,A15_24_SEO_16,A15_24_SEO_17,A15_24_SEO_18,A15_24_SEO_19,A15_24_SEO_20,A15_24_SEO_21,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_UOLSE_VWW_B_05,A15_24_UOLSE_VWW_05_10,A15_24_UOLSE_VWW_11_15,A15_24_UOLSE_VWW_16,A15_24_UOLSE_VWW_17,A15_24_UOLSE_VWW_18,A15_24_UOLSE_VWW_19,A15_24_UOLSE_VWW_20,A15_24_UOLSE_VWW_21,A15_24_UOLSE_VWW_YNS,A15_24_UOLSE_VWW_T,A15_24_UOLSE_NWNAA_B_05,A15_24_UOLSE_NWNAA_05_10,A15_24_UOLSE_NWNAA_11_15,A15_24_UOLSE_NWNAA_16,A15_24_UOLSE_NWNAA_17,A15_24_UOLSE_NWNAA_18,A15_24_UOLSE_NWNAA_19,A15_24_UOLSE_NWNAA_20,A15_24_UOLSE_NWNAA_21,A15_24_UOLSE_NWNAA_YNS,A15_24_UOLSE_NWNAA_T,A15_24_UOLSE_PinE_NS_B_05,A15_24_UOLSE_PinE_NS_05_10,A15_24_UOLSE_PinE_NS_11_15,A15_24_UOLSE_PinE_NS_16,A15_24_UOLSE_PinE_NS_17,A15_24_UOLSE_PinE_NS_18,A15_24_UOLSE_PinE_NS_19,A15_24_UOLSE_PinE_NS_20,A15_24_UOLSE_PinE_NS_21,A15_24_UOLSE_PinE_NS_YNS,A15_24_UOLSE_PinE_NS_T,A15_24_UOLSE_T_B_05,A15_24_UOLSE_T_05_10,A15_24_UOLSE_T_11_15,A15_24_UOLSE_T_16,A15_24_UOLSE_T_17,A15_24_UOLSE_T_18,A15_24_UOLSE_T_19,A15_24_UOLSE_T_20,A15_24_UOLSE_T_21,A15_24_UOLSE_T_YNS,A15_24_UOLSE_T_T,A15_24_L_PinE_NS_B_05,A15_24_L_PinE_NS_05_10,A15_24_L_PinE_NS_11_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_17,A15_24_L_PinE_NS_18,A15_24_L_PinE_NS_19,A15_24_L_PinE_NS_20,A15_24_L_PinE_NS_21,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B_05,A15_24_T_05_10,A15_24_T_11_15,A15_24_T_16,A15_24_T_17,A15_24_T_18,A15_24_T_19,A15_24_T_20,A15_24_T_21,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B_05,A25_34_SEO_05_10,A25_34_SEO_11_15,A25_34_SEO_16,A25_34_SEO_17,A25_34_SEO_18,A25_34_SEO_19,A25_34_SEO_20,A25_34_SEO_21,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_UOLSE_VWW_B_05,A25_34_UOLSE_VWW_05_10,A25_34_UOLSE_VWW_11_15,A25_34_UOLSE_VWW_16,A25_34_UOLSE_VWW_17,A25_34_UOLSE_VWW_18,A25_34_UOLSE_VWW_19,A25_34_UOLSE_VWW_20,A25_34_UOLSE_VWW_21,A25_34_UOLSE_VWW_YNS,A25_34_UOLSE_VWW_T,A25_34_UOLSE_NWNAA_B_05,A25_34_UOLSE_NWNAA_05_10,A25_34_UOLSE_NWNAA_11_15,A25_34_UOLSE_NWNAA_16,A25_34_UOLSE_NWNAA_17,A25_34_UOLSE_NWNAA_18,A25_34_UOLSE_NWNAA_19,A25_34_UOLSE_NWNAA_20,A25_34_UOLSE_NWNAA_21,A25_34_UOLSE_NWNAA_YNS,A25_34_UOLSE_NWNAA_T,A25_34_UOLSE_PinE_NS_B_05,A25_34_UOLSE_PinE_NS_05_10,A25_34_UOLSE_PinE_NS_11_15,A25_34_UOLSE_PinE_NS_16,A25_34_UOLSE_PinE_NS_17,A25_34_UOLSE_PinE_NS_18,A25_34_UOLSE_PinE_NS_19,A25_34_UOLSE_PinE_NS_20,A25_34_UOLSE_PinE_NS_21,A25_34_UOLSE_PinE_NS_YNS,A25_34_UOLSE_PinE_NS_T,A25_34_UOLSE_T_B_05,A25_34_UOLSE_T_05_10
2000,..,231,509,129,85,99,94,69,34,94,1343,..,58,285,82,93,91,141,64,43,52,899,..,3,4,0,8,7,25,14,40,12,113,..,0,3,0,0,0,5,0,0,7,10,..,57,290,81,105,92,169,78,86,71,1026,..,0,0,3,0,0,0,0,0,0,7,..,292,801,211,183,191,261,148,124,166,2379,331,649,260,49,38,56,80,32,28,59,1580,60,282,244,81,99,131,243,61,42,25,1275,8,3,6,12,28,41,45,10,9,10,171,0,0,0,0,0,0,7,0,0,3,10,65,289,252,96,126,176,296,75,49,41,1460,0,0,0,0,0,0,0,0,0,29,31,394,938,512,143,167,228,373,107,78,131,3078,828,429,656,136,144,176,216,84,51,93,2814,239,439,919,354,382,487,619,188,103,103,3830,23,44,134,84,102,117,192,50,7,47,798,0,0,0,0,0,3,7,0,6,3,24,265,488
2001,..,14,26,9,8,8,0,0,0,8,74,..,6,45,17,8,9,13,0,6,0,103,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,6,45,17,8,8,15,0,6,7,105,..,0,0,0,0,0,0,0,0,0,0,..,21,67,26,12,7,21,5,6,12,178,12,41,14,3,0,0,0,0,0,0,84,11,18,17,10,11,14,16,16,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,17,10,11,14,16,16,0,0,113,0,0,0,0,0,0,0,0,0,0,0,25,62,35,14,15,9,16,15,0,3,196,51,35,48,3,10,8,3,3,5,0,163,16,58,155,56,33,40,32,3,6,5,406,0,0,3,6,0,8,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,22,58
2002,..,3,18,4,5,0,0,0,0,3,36,..,4,16,4,3,0,0,0,3,0,36,..,0,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,0,..,4,16,4,3,3,0,0,5,0,38,..,0,0,0,0,0,0,0,0,0,0,..,7,37,5,6,6,5,3,5,6,73,7,11,16,0,4,0,0,0,0,0,35,4,4,10,0,0,3,5,6,0,3,38,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,4,10,5,3,9,11,6,0,3,44,0,0,0,0,0,0,0,0,0,0,0,11,18,27,6,4,9,8,6,0,3,82,27,12,15,6,5,4,9,0,0,3,82,5,16,38,16,16,15,24,12,0,0,146,0,0,6,4,4,6,9,0,0,0,32,0,0,3,0,0,0,0,0,0,0,3,5,20
2003,..,49,144,23,17,44,29,29,10,22,376,..,28,113,36,38,42,38,16,7,16,327,..,0,6,0,0,0,0,7,6,9,18,..,0,0,0,0,0,0,0,0,0,3,..,28,109,42,38,39,37,21,10,19,350,..,0,0,0,0,0,0,0,0,0,0,..,80,257,64,56,85,69,47,24,44,725,90,143,69,9,3,15,19,13,0,15,370,35,153,106,39,55,95,137,87,3,8,718,0,0,3,0,0,0,5,0,0,8,20,0,0,0,0,0,0,0,0,0,0,4,35,153,111,47,55,95,145,93,3,11,739,0,0,0,0,0,0,0,0,0,4,4,125,292,177,53,61,110,163,103,6,32,1117,215,98,148,32,41,44,29,13,5,12,629,58,213,445,142,144,180,207,41,13,19,1465,0,8,5,9,15,10,10,0,0,5,60,0,0,0,0,0,0,0,0,0,0,3,61,225
2004,..,32,65,28,25,18,23,15,11,6,221,..,57,131,67,53,62,43,23,4,7,450,..,3,3,5,9,17,13,9,0,0,70,..,0,0,0,0,0,0,0,0,0,6,..,58,140,70,63,86,62,34,9,13,524,..,0,0,0,0,0,0,0,0,0,0,..,86,208,104,91,105,82,44,19,18,746,68,108,38,13,14,14,10,5,6,10,270,24,233,187,61,63,58,51,23,5,17,713,0,8,15,9,21,24,6,0,7,3,85,0,0,0,0,0,0,0,0,0,0,0,24,239,200,68,86,82,58,23,5,17,798,0,4,0,0,0,0,0,0,0,0,4,91,345,240,75,94,99,70,29,7,26,1075,134,63,76,27,18,24,19,9,3,10,395,44,263,360,125,122,144,117,43,7,13,1248,7,71,72,16,16,24,25,9,0,4,242,0,0,0,0,0,0,0,0,0,0,7,54,333
2005,..,10,16,0,8,0,0,4,0,0,37,..,5,0,0,0,0,4,0,0,0,8,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,5,0,0,0,0,4,4,0,0,15,..,0,0,0,0,0,0,0,0,0,0,..,10,20,0,7,0,4,5,0,0,49,3,10,0,0,0,0,3,0,0,0,20,0,8,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,15,6,17,0,0,0,3,3,0,0,15,52,19,3,7,7,0,0,0,0,0,3,43,3,3,14,3,5,6,6,5,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2006,..,5,8,0,0,4,0,0,0,0,11,..,3,9,0,15,0,11,6,0,0,44,..,0,0,0,4,9,3,0,0,0,13,..,0,0,0,0,0,0,0,0,0,0,..,3,9,0,12,9,12,3,0,0,58,..,0,0,0,0,0,0,0,0,0,0,..,4,17,0,12,7,12,3,0,0,70,4,11,7,0,0,0,0,0,0,0,27,4,10,4,0,6,0,7,0,3,0,43,0,0,0,0,3,0,6,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,10,4,0,9,6,14,6,3,0,56,0,0,0,0,0,0,0,0,0,0,0,10,17,11,0,10,0,14,6,3,0,82,11,3,6,0,3,3,7,3,0,0,44,6,13,35,18,13,33,42,11,19,6,187,0,5,11,9,20,38,33,9,0,0,113,0,0,0,0,0,0,0,0,0,0,0,10,13
2007,..,4,20,5,0,8,4,8,0,3,50,..,0,11,0,10,13,14,4,0,0,49,..,0,0,0,0,0,4,0,0,0,10,..,0,0,0,0,0,5,0,0,0,0,..,0,11,0,10,13,22,5,0,0,63,..,0,0,0,0,0,0,0,0,0,0,..,4,36,12,5,16,22,7,0,4,112,6,18,5,0,0,0,0,0,0,0,33,0,4,7,3,6,3,9,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,6,3,9,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,9,21,11,3,6,3,9,3,0,0,72,25,14,23,9,3,0,9,0,0,0,91,4,11,53,21,23,31,32,5,0,7,183,0,0,9,0,0,3,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,16
2008,..,171,509,105,88,90,115,51,22,46,1196,..,106,421,155,143,154,149,66,21,35,1248,..,0,8,5,13,19,31,17,9,18,121,..,0,0,0,0,0,0,6,4,0,11,..,106,429,162,158,172,182,88,34,51,1376,..,0,0,0,0,0,5,0,0,4,9,..,273,933,267,242,257,299,139,58,99,2579,271,547,264,46,29,46,85,46,7,30,1369,116,486,561,161,171,252,422,203,17,46,2425,3,0,17,16,26,29,26,14,7,5,136,0,0,0,0,0,0,3,0,0,6,9,114,487,574,177,202,275,452,211,18,52,2572,0,0,0,0,0,0,0,0,0,27,33,391,1036,842,218,225,323,537,260,28,112,3970,669,341,519,131,125,140,172,67,22,58,2238,321,740,1624,521,594,715,790,232,29,65,5628,14,40,111,31,37,25,45,15,4,5,331,0,0,0,0,0,0,0,0,0,6,13,334,776
2009,..,20,35,12,7,3,0,3,8,4,94,..,0,10,0,0,0,0,0,0,0,23,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,10,0,0,0,0,4,3,0,25,..,0,0,0,0,0,0,0,0,0,0,..,20,47,16,11,5,0,12,5,5,117,26,41,15,4,0,0,0,0,0,5,84,0,7,0,0,0,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,30,44,16,5,3,0,3,0,0,5,104,30,14,21,0,3,6,4,6,0,0,91,10,13,31,10,8,7,4,0,3,0,85,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,14
