SUA_CODE_2021,A25_34_UOLSE_T_11_15,A25_34_UOLSE_T_16,A25_34_UOLSE_T_17,A25_34_UOLSE_T_18,A25_34_UOLSE_T_19,A25_34_UOLSE_T_20,A25_34_UOLSE_T_21,A25_34_UOLSE_T_YNS,A25_34_UOLSE_T_T,A25_34_L_PinE_NS_B_05,A25_34_L_PinE_NS_05_10,A25_34_L_PinE_NS_11_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_17,A25_34_L_PinE_NS_18,A25_34_L_PinE_NS_19,A25_34_L_PinE_NS_20,A25_34_L_PinE_NS_21,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B_05,A25_34_T_05_10,A25_34_T_11_15,A25_34_T_16,A25_34_T_17,A25_34_T_18,A25_34_T_19,A25_34_T_20,A25_34_T_21,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B_05,A35_44_SEO_05_10,A35_44_SEO_11_15,A35_44_SEO_16,A35_44_SEO_17,A35_44_SEO_18,A35_44_SEO_19,A35_44_SEO_20,A35_44_SEO_21,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_UOLSE_VWW_B_05,A35_44_UOLSE_VWW_05_10,A35_44_UOLSE_VWW_11_15,A35_44_UOLSE_VWW_16,A35_44_UOLSE_VWW_17,A35_44_UOLSE_VWW_18,A35_44_UOLSE_VWW_19,A35_44_UOLSE_VWW_20,A35_44_UOLSE_VWW_21,A35_44_UOLSE_VWW_YNS,A35_44_UOLSE_VWW_T,A35_44_UOLSE_NWNAA_B_05,A35_44_UOLSE_NWNAA_05_10,A35_44_UOLSE_NWNAA_11_15,A35_44_UOLSE_NWNAA_16,A35_44_UOLSE_NWNAA_17,A35_44_UOLSE_NWNAA_18,A35_44_UOLSE_NWNAA_19,A35_44_UOLSE_NWNAA_20,A35_44_UOLSE_NWNAA_21,A35_44_UOLSE_NWNAA_YNS,A35_44_UOLSE_NWNAA_T,A35_44_UOLSE_PinE_NS_B_05,A35_44_UOLSE_PinE_NS_05_10,A35_44_UOLSE_PinE_NS_11_15,A35_44_UOLSE_PinE_NS_16,A35_44_UOLSE_PinE_NS_17,A35_44_UOLSE_PinE_NS_18,A35_44_UOLSE_PinE_NS_19,A35_44_UOLSE_PinE_NS_20,A35_44_UOLSE_PinE_NS_21,A35_44_UOLSE_PinE_NS_YNS,A35_44_UOLSE_PinE_NS_T,A35_44_UOLSE_T_B_05,A35_44_UOLSE_T_05_10,A35_44_UOLSE_T_11_15,A35_44_UOLSE_T_16,A35_44_UOLSE_T_17,A35_44_UOLSE_T_18,A35_44_UOLSE_T_19,A35_44_UOLSE_T_20,A35_44_UOLSE_T_21,A35_44_UOLSE_T_YNS,A35_44_UOLSE_T_T,A35_44_L_PinE_NS_B_05,A35_44_L_PinE_NS_05_10,A35_44_L_PinE_NS_11_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_17,A35_44_L_PinE_NS_18,A35_44_L_PinE_NS_19,A35_44_L_PinE_NS_20,A35_44_L_PinE_NS_21,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B_05,A35_44_T_05_10,A35_44_T_11_15,A35_44_T_16,A35_44_T_17,A35_44_T_18,A35_44_T_19,A35_44_T_20,A35_44_T_21,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B_05,A45_54_SEO_05_10,A45_54_SEO_11_15,A45_54_SEO_16,A45_54_SEO_17,A45_54_SEO_18,A45_54_SEO_19,A45_54_SEO_20,A45_54_SEO_21,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_UOLSE_VWW_B_05,A45_54_UOLSE_VWW_05_10,A45_54_UOLSE_VWW_11_15,A45_54_UOLSE_VWW_16,A45_54_UOLSE_VWW_17,A45_54_UOLSE_VWW_18,A45_54_UOLSE_VWW_19,A45_54_UOLSE_VWW_20,A45_54_UOLSE_VWW_21,A45_54_UOLSE_VWW_YNS,A45_54_UOLSE_VWW_T,A45_54_UOLSE_NWNAA_B_05,A45_54_UOLSE_NWNAA_05_10,A45_54_UOLSE_NWNAA_11_15,A45_54_UOLSE_NWNAA_16,A45_54_UOLSE_NWNAA_17,A45_54_UOLSE_NWNAA_18,A45_54_UOLSE_NWNAA_19,A45_54_UOLSE_NWNAA_20,A45_54_UOLSE_NWNAA_21,A45_54_UOLSE_NWNAA_YNS,A45_54_UOLSE_NWNAA_T,A45_54_UOLSE_PinE_NS_B_05,A45_54_UOLSE_PinE_NS_05_10,A45_54_UOLSE_PinE_NS_11_15,A45_54_UOLSE_PinE_NS_16,A45_54_UOLSE_PinE_NS_17,A45_54_UOLSE_PinE_NS_18,A45_54_UOLSE_PinE_NS_19,A45_54_UOLSE_PinE_NS_20,A45_54_UOLSE_PinE_NS_21,A45_54_UOLSE_PinE_NS_YNS,A45_54_UOLSE_PinE_NS_T,A45_54_UOLSE_T_B_05,A45_54_UOLSE_T_05_10,A45_54_UOLSE_T_11_15,A45_54_UOLSE_T_16,A45_54_UOLSE_T_17,A45_54_UOLSE_T_18,A45_54_UOLSE_T_19,A45_54_UOLSE_T_20,A45_54_UOLSE_T_21,A45_54_UOLSE_T_YNS,A45_54_UOLSE_T_T,A45_54_L_PinE_NS_B_05,A45_54_L_PinE_NS_05_10,A45_54_L_PinE_NS_11_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_17,A45_54_L_PinE_NS_18,A45_54_L_PinE_NS_19,A45_54_L_PinE_NS_20,A45_54_L_PinE_NS_21,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B_05,A45_54_T_05_10,A45_54_T_11_15,A45_54_T_16,A45_54_T_17,A45_54_T_18,A45_54_T_19,A45_54_T_20,A45_54_T_21,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B_05,A55_64_SEO_05_10,A55_64_SEO_11_15,A55_64_SEO_16,A55_64_SEO_17,A55_64_SEO_18,A55_64_SEO_19,A55_64_SEO_20,A55_64_SEO_21,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_UOLSE_VWW_B_05,A55_64_UOLSE_VWW_05_10,A55_64_UOLSE_VWW_11_15,A55_64_UOLSE_VWW_16
2000,1055,441,479,607,820,242,110,152,4650,4,4,4,0,4,0,0,0,0,167,179,1093,924,1712,578,622,777,1039,325,160,413,7645,2269,1074,702,97,62,76,82,35,28,141,4555,630,1164,888,173,179,174,216,91,82,95,3687,51,96,118,49,47,56,95,16,10,35,576,0,0,0,0,6,0,5,0,0,4,18,684,1262,1012,227,227,230,311,107,96,138,4283,4,3,0,0,0,0,0,0,0,178,190,2947,2335,1713,318,291,304,394,137,121,459,9022,5249,920,462,60,42,36,51,34,14,281,7161,1064,504,350,76,54,47,47,25,15,63,2244,95,77,82,25,21,31,41,22,8,22,437,5,0,0,0,0,0,0,0,0,3,11,1163,589,429,103,82,76,88,48,21,90,2688,8,0,0,0,0,0,0,0,0,104,112,6423,1508,895,165,120,115,143,80,34,477,9961,10584,567,215,32,29,34,23,16,10,463,11972,1477,173,101,15
2001,158,56,37,45,32,3,6,5,421,0,0,0,0,0,0,0,0,0,0,0,70,93,210,59,44,50,38,8,7,8,582,135,70,42,7,0,3,0,0,0,9,260,73,202,96,28,14,14,19,7,0,5,456,0,3,5,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,74,207,106,28,17,14,22,3,0,5,472,0,0,0,0,0,0,0,0,0,0,0,206,276,145,35,17,19,22,3,0,9,735,261,43,28,0,3,4,0,0,0,4,343,67,54,22,6,0,0,0,0,0,0,152,0,0,3,0,0,4,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,71,57,27,6,0,0,4,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,326,99,53,10,3,3,4,3,0,4,507,370,29,7,0,0,0,0,0,0,3,408,95,16,7,0
2002,50,18,24,18,31,12,0,0,181,0,0,0,0,0,0,0,0,0,0,0,30,27,66,26,30,21,41,13,0,5,261,39,23,6,0,7,0,6,0,0,0,82,9,34,44,6,4,12,9,8,5,0,121,0,3,7,0,0,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,7,38,50,6,3,13,9,8,5,0,140,0,0,0,0,0,0,0,0,0,0,0,50,65,56,6,13,13,6,8,5,0,219,76,21,5,0,4,4,0,0,0,6,119,21,7,20,4,4,0,0,0,0,0,61,0,3,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,21,10,30,4,4,3,0,0,0,6,76,0,0,0,0,0,0,0,0,0,0,0,96,30,34,4,3,6,0,0,0,7,194,167,9,6,0,0,0,0,0,0,8,191,27,8,5,0
2003,450,149,156,191,214,39,11,27,1527,0,0,0,0,0,0,0,0,0,6,9,272,319,592,182,201,233,242,56,12,47,2170,374,164,133,14,23,22,11,7,0,14,769,189,560,385,95,73,74,63,26,7,13,1477,4,11,20,8,4,4,3,4,0,0,57,0,0,0,0,0,0,0,0,0,0,4,194,579,398,99,77,75,71,27,7,13,1537,0,0,0,0,0,0,0,0,0,0,0,564,739,534,110,103,99,81,40,8,28,2307,661,109,81,10,3,12,7,6,0,22,900,232,230,97,10,13,7,7,10,4,9,614,11,23,13,5,0,0,5,4,0,0,71,0,0,0,0,0,0,0,0,0,0,4,246,254,115,14,16,11,18,8,4,9,686,0,0,0,0,0,0,0,0,0,0,0,905,361,189,27,14,23,25,12,7,31,1589,976,59,22,3,0,4,3,4,0,29,1097,215,33,20,0
2004,430,147,134,166,140,48,14,20,1490,0,0,0,0,0,0,0,0,0,0,0,184,397,510,175,153,195,160,61,16,33,1888,243,141,62,10,13,12,14,5,8,12,513,127,400,317,70,50,77,65,33,0,7,1154,0,68,61,24,11,21,11,3,0,3,209,0,0,0,0,0,0,0,0,0,0,0,127,468,381,92,62,98,75,38,0,16,1368,0,0,0,0,0,0,0,0,0,0,3,370,610,447,103,76,111,87,41,9,29,1881,513,91,53,4,9,0,4,0,3,17,699,142,166,75,9,16,20,16,7,0,0,451,16,62,57,16,17,14,6,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,159,228,131,23,34,32,18,9,0,4,640,0,0,0,0,0,0,0,0,0,0,0,666,322,179,27,48,34,28,9,4,24,1341,721,53,19,0,4,0,8,0,0,25,831,146,38,21,0
2005,14,9,5,6,6,5,0,0,42,0,0,0,0,0,0,0,0,0,79,79,21,8,26,8,5,6,5,0,0,85,168,50,36,12,0,4,0,0,0,0,4,108,15,23,8,0,4,3,5,0,0,0,57,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,26,8,0,4,3,5,0,0,0,61,0,0,0,0,0,0,0,0,0,55,55,59,60,24,5,8,5,6,0,0,62,224,137,17,6,0,0,0,0,0,0,10,173,25,7,6,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,33,7,4,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,39,39,165,31,10,0,0,0,0,0,0,51,261,186,8,4,0,0,0,0,0,0,10,210,20,0,0,0
2006,46,28,31,68,72,17,19,4,294,0,0,0,0,0,0,0,0,0,0,0,18,18,48,26,36,72,81,16,19,4,337,32,9,5,0,0,0,0,0,0,0,53,13,42,31,5,6,14,4,0,3,0,120,0,3,7,7,16,14,5,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,17,47,35,11,23,28,8,0,3,0,172,0,0,0,0,0,0,0,0,0,0,0,44,59,42,16,22,31,8,0,3,0,223,39,12,8,3,0,0,0,0,0,0,59,20,23,7,0,0,3,0,0,0,0,58,0,8,0,0,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,20,32,7,0,0,9,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,59,39,17,3,0,9,0,0,0,4,135,77,0,0,0,0,0,0,0,0,3,80,10,0,0,0
2007,59,21,20,33,33,11,0,7,198,0,0,0,0,0,0,0,0,0,0,0,29,26,85,24,22,30,44,14,0,11,287,44,19,19,0,0,4,0,4,0,0,97,15,48,42,11,13,15,10,7,0,6,174,0,3,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,52,50,11,13,19,10,7,0,9,182,0,0,0,0,0,0,0,0,0,0,0,58,80,68,9,12,14,14,10,0,7,275,84,15,9,0,5,6,0,0,0,3,118,13,15,19,3,0,6,5,0,0,3,59,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,13,20,19,3,0,3,5,0,0,3,64,0,0,0,0,0,0,0,0,0,0,0,97,36,26,3,5,6,5,0,0,4,182,174,14,4,0,0,0,0,0,0,4,197,27,0,0,0
2008,1737,550,636,741,838,240,37,73,5969,0,0,0,0,0,0,3,0,0,99,112,999,1118,2259,681,763,886,1006,318,52,231,8321,1387,811,630,77,83,63,60,18,7,59,3200,671,1445,1068,187,181,165,170,58,20,28,3981,24,106,163,36,36,27,36,8,12,14,451,0,0,0,0,0,3,0,0,0,0,9,695,1553,1229,226,209,189,201,72,25,39,4444,0,0,6,0,0,0,0,0,0,69,78,2084,2370,1860,302,298,249,264,92,38,176,7719,2413,575,304,35,36,27,26,13,5,67,3484,945,575,300,58,43,46,35,20,8,22,2057,89,86,112,25,30,13,31,10,3,9,410,6,0,0,0,0,0,0,0,0,0,6,1035,662,420,80,74,61,73,26,10,29,2468,0,0,0,0,0,0,0,0,0,58,63,3446,1234,717,118,110,80,94,47,13,157,6020,4015,238,75,13,8,12,14,9,3,107,4488,1266,166,63,12
2009,31,11,8,7,8,0,3,0,88,0,0,0,0,0,0,0,0,0,0,0,38,28,50,14,12,11,12,5,3,0,178,151,86,37,6,5,0,0,0,3,4,289,33,41,20,6,3,0,0,0,0,6,106,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,33,47,26,6,3,0,0,0,0,4,113,0,0,0,0,0,0,0,0,0,0,0,186,128,63,10,4,4,0,0,5,5,405,307,74,15,4,0,4,0,4,0,13,422,57,17,12,5,0,3,0,0,0,0,89,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,52,21,12,6,0,5,3,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,364,89,33,6,0,7,0,4,0,19,523,448,21,4,0,0,3,0,0,0,15,492,67,11,3,0
