SUA_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
2000,0,0,0,56,84,9313,78,49,9,10,3,22,13,0,559,10056,1890,16,10,0,0,0,0,0,0,182,2107,505,0,0,0,0,3,0,0,0,50,561,194,3,3,0,0,0,0,0,0,18,222,12,0,0,0,0,0,0,0,0,5,13,711,9,9,0,0,3,0,0,0,73,798,22,0,0,0,0,0,0,0,0,36,65,2618,22,12,0,0,0,3,0,0,292,2966,42393,4137,2953,537,422,494,586,289,179,2338,54320,7230,2666,2813,784,825,943,1314,457,280,585,17911,969,344,441,190,226,277,480,140,85,211,3361,63,4,10,5,6,8,14,3,6,35,153,8269,3012,3269,982,1053,1228,1807,597,365,836,21425,109,12,11,4,4,0,5,4,0,709,848,50769,7160,6230,1520,1477,1718,2396,891,548,3886,76593
2001,0,0,0,0,0,313,6,5,0,0,3,0,0,0,12,340,77,0,0,0,0,0,0,0,0,5,83,24,0,0,0,0,0,0,0,0,0,27,10,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,7,40,4,0,0,0,0,0,0,0,0,0,4,114,0,0,0,0,0,0,0,0,9,126,1593,244,177,25,25,23,10,4,5,54,2154,445,359,351,113,66,75,91,23,12,22,1553,50,10,24,6,3,11,18,10,0,7,144,0,0,0,0,0,0,0,0,0,0,10,501,370,372,115,72,82,111,35,12,32,1709,0,0,0,0,0,0,0,0,0,3,10,2102,616,550,137,93,105,119,43,16,87,3875
2002,0,0,0,3,3,257,5,0,0,0,0,0,0,0,12,283,59,0,0,0,0,0,0,0,0,5,66,9,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,3,70,0,0,0,0,0,0,0,0,10,78,867,86,72,10,21,11,19,7,0,44,1135,134,72,136,34,35,30,35,17,13,21,523,14,12,32,10,7,13,14,0,0,3,98,0,0,3,0,0,0,0,0,0,0,3,152,87,168,40,36,43,47,23,10,23,629,0,0,0,0,0,0,0,0,0,4,10,1015,171,238,44,57,56,63,33,10,71,1772
2003,0,0,0,3,9,1021,17,7,0,0,0,9,0,3,55,1110,273,0,0,0,0,0,0,0,0,27,312,76,0,0,0,0,0,0,0,0,9,78,27,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,6,110,0,0,0,0,0,0,0,0,0,7,8,373,0,6,0,0,0,0,0,0,44,420,4811,650,609,91,97,138,102,76,21,216,6800,1181,1237,1165,331,315,398,462,178,32,83,5390,102,89,89,23,21,28,52,26,4,28,475,10,5,0,0,5,0,0,3,4,3,22,1294,1332,1254,358,345,420,519,215,38,116,5890,4,0,3,0,0,0,0,0,0,27,35,6111,1981,1868,446,437,563,624,286,57,356,12729
2004,0,0,0,10,13,672,14,19,6,0,0,5,0,0,45,761,154,0,0,0,0,0,0,0,0,27,178,29,0,0,0,0,0,0,0,0,3,35,5,0,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,3,36,0,6,0,0,0,0,0,0,7,48,0,0,0,0,0,0,0,0,0,12,12,188,0,6,0,0,0,0,0,0,41,236,3272,512,332,89,79,71,73,31,25,149,4635,732,1175,1101,335,309,377,302,133,23,64,4538,81,279,291,78,94,121,92,25,6,26,1090,5,0,5,6,0,3,0,0,0,5,20,814,1456,1390,419,403,494,394,157,31,94,5650,6,3,0,0,0,0,0,0,0,31,40,4081,1967,1722,506,481,567,468,191,52,273,10319
2005,0,0,0,5,5,150,8,3,0,0,0,0,0,0,14,172,30,0,0,0,0,0,0,0,0,0,30,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,13,13,37,0,0,0,0,0,0,0,0,13,48,802,87,55,6,9,0,6,4,0,43,1027,100,50,32,6,11,18,12,3,0,8,233,4,3,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,102,53,37,5,11,12,12,6,0,3,255,0,0,0,0,0,0,0,0,0,229,228,910,148,97,14,20,19,20,14,0,275,1511
2006,0,0,0,0,0,104,0,0,0,0,0,0,0,0,5,113,34,0,0,0,0,0,0,0,0,4,36,18,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,4,56,374,42,33,5,3,14,8,4,0,26,517,104,82,88,25,35,52,68,12,28,5,510,13,19,17,13,42,63,43,19,0,0,226,5,0,0,0,0,0,0,0,0,0,12,120,106,112,40,79,116,112,32,28,9,747,0,0,0,0,0,0,0,0,0,0,8,497,154,148,45,85,130,114,33,28,34,1269
2007,0,0,0,0,3,236,3,0,0,0,0,0,0,0,17,267,48,0,0,0,0,0,0,0,0,12,56,3,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,7,65,864,95,84,15,11,17,13,18,0,59,1182,99,90,137,38,49,70,73,21,0,20,591,15,4,14,0,4,4,13,10,0,0,65,0,0,0,0,0,0,5,0,0,0,7,107,98,150,46,50,73,87,26,0,25,658,4,0,0,0,0,0,0,0,0,0,4,981,191,234,58,61,86,104,44,7,84,1851
2008,0,0,0,31,52,4680,41,39,7,7,0,19,5,0,192,4999,979,7,0,0,0,0,0,0,0,100,1083,543,0,0,0,0,0,3,0,0,38,588,313,3,0,3,0,0,4,0,0,34,354,4,0,0,0,0,0,0,0,0,3,8,860,7,3,3,0,0,6,0,0,73,953,16,0,0,0,0,0,0,0,0,58,71,1851,10,0,3,0,0,7,0,0,227,2105,17797,2767,2381,417,382,372,486,219,73,713,25602,6438,3553,4057,1109,1148,1336,1610,588,97,328,20262,1481,346,548,145,176,147,242,95,33,123,3341,29,0,3,6,0,7,7,5,4,16,82,7949,3902,4601,1252,1326,1489,1865,690,132,473,23680,54,3,5,0,0,9,6,5,0,404,479,25798,6673,6988,1674,1711,1865,2353,914,209,1586,49762
2009,0,0,0,4,9,307,0,3,0,0,0,0,3,0,14,331,37,0,0,0,0,0,0,0,0,3,42,18,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,12,20,57,0,0,0,0,0,0,0,0,21,76,1665,265,138,28,17,22,10,15,10,66,2223,313,100,76,20,14,13,11,8,3,14,573,18,4,4,0,0,3,4,3,0,6,41,0,0,0,0,0,0,0,0,0,0,6,331,102,80,22,14,14,9,12,4,22,612,9,0,0,0,0,0,0,0,0,21,28,2002,363,215,52,33,35,24,20,16,108,2863
