SUA_CODE_2021,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,M_3500_more_15_19_yrs,M_3500_more_20_24_yrs,M_3500_more_25_34_yrs,M_3500_more_35_44_yrs,M_3500_more_45_54_yrs,M_3500_more_55_64_yrs,M_3500_more_65_74_yrs,M_3500_more_75_84_yrs,M_3500_more_85ov,M_3500_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot
2000,7412,967,1003,1065,1490,2997,2777,999,308,19013,3853,401,233,269,437,957,1292,561,169,8169,1793,977,896,838,1202,2272,3087,1580,405,13051,716,833,1260,1266,1909,3685,8642,6013,1454,25782,1050,910,1203,1216,2077,3665,7966,4904,1604,24594,1373,1471,1409,1406,1979,3367,5769,3002,745,20523,808,2190,2132,1860,2437,3689,4498,2258,505,20372,498,2611,4098,3308,4158,5224,3876,1444,315,25533,279,1995,5540,4739,5540,6457,3753,1082,157,29541,74,1008,3907,3931,4397,4545,2113,601,94,20664,33,503,3280,3660,3942,3900,1635,477,115,17544,17,221,1983,2698,2971,2714,958,249,49,11860,15,177,2616,4641,5335,4242,1404,313,63,18806,3,26,416,971,1248,980,407,123,24,4202,18,53,525,1492,2186,1938,932,342,94,7579,2159,1611,3859,4311,4816,5188,5016,3260,1428,31643,20096,15950,34352,37663,46126,55812,54129,27203,7533,298872,6350,774,1909,2120,2538,5460,3360,1083,432,24030,4870,459,792,939,968,1804,1638,556,201,12225,2147,1157,1595,1718,1906,3396,3658,1582,480,17638
2001,286,48,41,46,49,77,76,27,8,650,132,15,11,9,10,15,30,10,0,231,78,50,14,18,25,30,58,26,7,314,20,49,53,33,46,59,173,127,31,598,38,47,43,30,60,57,154,111,32,563,43,63,60,41,40,50,139,64,21,528,26,105,69,59,56,45,84,32,7,485,17,96,195,133,90,99,87,39,12,759,5,75,263,197,172,147,92,23,8,973,3,49,238,199,175,144,60,12,0,878,0,27,231,213,153,108,31,4,0,771,0,13,122,156,139,103,20,3,0,564,0,7,245,308,270,181,37,8,0,1059,0,3,36,87,57,37,5,0,0,237,0,0,29,76,90,45,14,0,0,252,43,32,80,81,88,71,79,36,11,517,696,684,1735,1692,1510,1260,1134,526,145,9369,274,24,146,149,138,195,117,30,4,1077,177,19,32,46,31,55,43,22,3,420,97,70,80,62,38,79,77,41,13,567
2002,138,23,20,19,15,35,42,22,7,320,104,10,5,6,7,14,22,23,4,192,52,36,32,28,22,36,50,32,5,304,13,25,24,44,39,64,181,145,49,582,23,28,32,27,48,77,143,120,36,529,40,45,39,26,50,77,116,81,23,497,11,51,69,49,43,79,103,66,19,492,13,70,137,88,102,92,65,37,6,607,3,47,150,114,115,108,69,28,7,630,0,19,92,74,74,70,44,13,4,403,0,7,94,61,79,58,30,11,3,345,0,7,41,47,51,42,19,5,0,209,0,0,57,72,67,44,14,8,0,260,0,0,4,14,10,14,3,3,0,56,4,0,8,16,39,27,9,3,0,99,37,32,57,59,60,76,82,96,46,548,442,404,865,738,826,916,993,674,226,6081,120,16,50,28,52,91,62,25,7,449,97,8,19,17,23,31,31,29,16,265,54,23,40,37,41,62,65,45,11,383
2003,1361,194,200,147,164,260,238,104,40,2707,720,98,63,33,56,75,133,46,17,1243,401,266,222,154,146,201,264,165,41,1857,144,281,319,204,254,393,901,674,189,3341,173,257,299,216,284,364,736,507,222,3045,208,410,373,237,295,433,680,371,113,3124,115,480,520,261,296,384,488,306,77,2928,72,533,1002,565,505,546,420,183,67,3902,36,390,1207,869,726,710,397,145,17,4487,6,194,923,689,625,561,234,61,17,3316,4,75,724,626,574,479,169,43,16,2716,0,41,484,586,494,360,91,24,6,2082,4,37,625,1068,950,604,137,19,6,3447,0,6,98,215,235,153,26,10,0,741,0,7,110,319,450,256,94,26,9,1271,209,240,458,343,389,348,348,281,184,2805,3449,3513,7627,6541,6439,6124,5345,2967,1015,43024,1167,142,367,374,333,585,393,122,67,3554,897,92,139,178,108,190,191,77,23,1897,452,348,280,253,262,350,395,197,44,2583
2004,1114,181,149,136,141,225,231,88,24,2286,646,76,37,34,43,70,139,59,11,1121,397,266,161,122,127,194,243,150,48,1702,134,233,240,209,227,319,817,662,234,3080,140,211,244,185,222,355,739,519,233,2852,168,315,318,245,256,372,619,370,125,2776,105,410,486,300,294,321,472,289,77,2750,60,555,901,596,530,574,439,195,43,3889,25,357,1046,778,701,711,415,140,38,4211,3,181,816,607,546,488,241,55,6,2952,7,107,711,664,554,458,185,37,17,2736,0,45,439,494,462,332,98,25,3,1905,0,36,562,864,846,558,128,31,7,3035,0,5,76,188,187,129,31,10,0,625,0,7,80,218,260,174,68,19,8,828,175,217,448,352,365,364,343,267,199,2737,2984,3196,6723,5982,5766,5649,5212,2909,1081,39492,928,163,339,286,260,551,327,107,38,2996,798,97,134,122,107,205,199,78,27,1757,505,320,264,219,239,342,410,201,60,2556
2005,95,9,15,12,16,35,37,12,6,228,66,3,8,4,4,15,26,13,0,128,27,19,12,6,16,28,40,25,0,182,8,9,20,25,24,52,110,87,23,355,7,24,31,19,28,66,116,61,29,377,9,8,22,22,38,58,84,59,16,315,12,23,29,34,36,53,67,43,8,294,4,28,51,44,56,81,57,33,6,361,0,16,64,63,82,76,61,34,4,408,0,3,44,51,41,54,44,5,0,248,0,4,34,69,59,59,32,9,3,255,0,4,24,50,63,28,20,11,0,201,0,0,25,95,89,69,25,9,0,317,0,0,0,20,21,19,7,0,0,71,0,0,6,21,27,19,4,3,3,89,37,51,235,183,132,73,80,58,61,906,260,202,615,713,746,771,819,457,169,4743,92,8,22,25,32,61,43,12,3,299,67,9,16,20,7,26,38,21,0,195,31,13,22,37,24,44,77,30,3,275
2006,112,17,24,33,30,26,42,22,6,307,93,0,4,3,3,11,14,12,5,157,33,15,16,14,17,30,42,38,11,224,4,13,28,29,36,52,92,112,34,407,14,21,35,21,32,50,103,87,51,414,17,27,29,29,29,41,89,68,21,352,19,44,48,35,28,59,77,30,8,358,28,86,134,88,72,76,57,24,3,578,9,66,230,111,127,116,53,22,0,735,6,30,102,95,82,73,29,9,6,427,0,5,64,71,68,48,16,0,3,274,0,7,35,50,61,39,6,3,0,214,0,0,40,52,72,44,18,4,0,236,0,0,4,15,14,11,0,0,0,45,0,0,5,14,13,11,14,0,0,53,19,14,55,41,46,45,51,55,21,346,358,356,852,714,727,736,708,492,173,5120,91,9,39,25,33,65,63,22,11,371,102,3,10,18,13,26,27,13,5,228,48,26,51,27,31,42,62,31,23,334
2007,202,17,36,19,22,60,79,43,10,490,161,0,6,6,11,24,37,20,9,273,81,28,23,14,33,43,100,64,12,386,26,21,25,22,44,80,275,240,64,790,38,36,40,27,43,76,226,159,45,696,60,45,35,34,57,96,156,115,32,630,34,84,65,44,61,98,146,85,18,634,14,95,151,101,114,160,121,47,18,819,8,81,229,154,166,195,102,30,5,973,5,34,123,131,124,130,62,12,4,619,0,21,123,117,148,121,33,11,5,585,0,7,66,89,108,75,27,4,0,380,0,8,90,166,170,121,25,9,5,589,0,0,15,35,42,28,4,6,0,131,0,0,9,33,65,54,28,4,7,200,55,40,96,66,107,95,116,108,55,733,679,510,1136,1066,1314,1446,1532,949,290,8928,171,28,56,52,49,159,115,40,15,686,192,15,14,14,25,52,41,17,8,374,106,26,40,41,45,88,144,47,10,558
2008,3350,594,547,336,428,726,756,269,79,7097,1917,301,121,100,120,222,358,140,57,3330,980,799,434,283,357,532,774,430,149,4747,321,755,683,424,514,834,2083,1663,521,7800,354,734,633,447,542,820,1727,1226,606,7085,471,993,909,524,546,860,1695,993,271,7255,238,1177,1195,654,651,840,1278,783,197,7016,130,1256,2180,1197,1155,1339,1206,497,107,9067,61,950,2968,1951,1792,1826,1163,367,68,11157,20,502,2425,1751,1549,1392,711,198,45,8595,5,239,2092,1992,1665,1282,523,166,36,8006,8,98,1435,1690,1503,994,349,82,15,6181,7,75,2120,3580,2966,1919,479,132,23,11299,0,13,352,819,784,496,121,37,8,2627,3,29,387,1252,1485,877,324,93,35,4482,489,673,1601,1255,1138,909,952,744,509,8277,8352,9198,20094,18266,17197,15871,14489,7821,2727,114008,2630,441,1078,1167,1006,1745,1160,378,145,9739,2366,344,319,410,351,565,553,218,70,5199,1191,845,655,696,617,902,1186,602,175,6866
2009,381,46,15,20,37,73,78,44,21,704,206,20,8,3,5,15,35,17,3,305,67,44,20,7,10,26,54,35,10,267,21,39,23,18,16,46,102,97,21,385,26,38,20,15,22,37,96,76,15,341,43,56,26,26,27,56,106,73,10,423,18,60,34,44,36,65,109,62,5,434,21,78,65,58,62,79,90,44,0,517,4,43,83,94,123,142,121,37,3,650,0,41,102,120,99,104,69,22,0,574,0,17,95,154,159,144,55,17,0,647,0,8,91,127,138,111,22,7,5,513,0,10,151,374,412,266,62,4,4,1278,0,0,28,119,121,90,13,5,0,377,0,0,37,177,240,145,35,5,0,637,50,27,42,63,86,82,60,40,27,477,835,522,837,1423,1603,1476,1113,587,127,8530,267,35,62,126,107,154,136,38,33,958,218,20,18,25,34,59,58,28,8,456,99,44,33,60,49,69,90,40,10,492
