SUA_CODE_2021,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,F_3500_more_15_19_yrs,F_3500_more_20_24_yrs,F_3500_more_25_34_yrs,F_3500_more_35_44_yrs,F_3500_more_45_54_yrs,F_3500_more_55_64_yrs,F_3500_more_65_74_yrs,F_3500_more_75_84_yrs,F_3500_more_85ov,F_3500_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot
2000,806,1169,1929,2173,2772,5137,9817,5259,1230,30293,750,1211,2141,2545,3225,5300,9060,6489,3331,34049,643,1730,3578,3719,4376,5510,6181,3133,1324,30198,450,1914,3862,4049,4759,5080,4166,1837,500,26613,276,1933,4204,4187,5010,5027,2838,1096,313,24881,123,1334,4053,4092,4984,4900,2218,656,185,22548,26,615,2810,2828,3369,3147,1141,338,91,14376,14,252,2227,2389,2962,2588,885,350,124,11799,6,89,1092,1688,2063,1634,547,143,46,7299,4,61,1097,2276,3117,2273,649,183,50,9701,6,4,124,428,558,451,172,63,24,1834,8,21,196,617,925,836,434,217,58,3323,1970,1257,2977,3425,3834,4392,4462,3540,2502,28361,18448,13966,34580,39196,47378,56946,51245,26527,10876,299168,13761,1739,2917,3185,4027,8456,6139,2085,738,43041,8726,856,1026,1205,1404,2762,2929,1126,375,20397,3940,2135,2490,2553,3104,5664,6748,3169,888,30690,1522,2001,3187,3435,4680,8823,18461,11272,2682,56076,1798,2116,3338,3766,5304,8973,17025,11390,4937,58644,2017,3200,4986,5126,6357,8877,11956,6135,2063,50722
2001,27,98,85,61,72,96,204,114,28,776,25,57,88,82,92,106,248,190,111,997,12,87,132,171,111,120,156,92,42,919,19,76,209,170,151,144,98,48,17,933,7,98,219,190,178,120,75,34,41,963,5,92,243,175,157,111,53,14,3,855,0,28,178,153,149,96,33,3,6,644,0,16,160,148,139,67,28,6,4,567,0,5,80,97,85,44,4,0,5,323,5,5,84,145,154,62,5,5,0,464,0,0,14,17,27,12,0,0,0,64,0,0,5,22,31,9,3,4,0,80,40,34,86,80,70,69,81,53,24,543,690,697,1830,1750,1620,1407,1245,659,293,10187,562,70,187,189,192,269,191,59,13,1730,307,34,43,53,39,65,69,32,3,647,174,120,95,80,67,109,136,71,20,878,47,149,135,92,117,149,377,242,61,1374,63,101,127,112,149,166,401,298,142,1560,60,145,189,211,150,171,294,157,65,1445
2002,22,31,57,44,61,112,231,158,31,748,23,39,56,55,75,118,214,203,77,850,24,57,98,83,86,118,157,115,34,777,13,61,122,110,105,106,88,59,21,683,14,58,115,103,106,102,60,30,19,612,3,33,109,98,124,95,41,16,0,523,0,23,76,69,62,55,25,10,4,318,0,5,70,43,54,60,25,8,0,277,0,3,32,24,38,31,10,3,0,150,0,0,25,48,37,28,9,4,4,150,0,0,8,6,9,3,3,0,0,29,0,0,6,17,8,5,4,5,3,47,40,32,63,60,75,65,97,99,109,644,396,393,946,841,960,1091,1124,805,339,6900,259,38,65,44,69,122,107,45,15,765,194,15,30,20,24,44,56,48,19,461,108,55,79,67,69,100,118,84,19,692,32,56,87,86,100,176,415,295,79,1329,43,66,92,81,123,194,358,317,114,1382,64,109,141,114,133,195,269,192,54,1271
2003,186,367,415,323,377,575,1148,706,197,4295,137,346,454,427,447,638,1264,976,539,5221,147,487,740,708,668,687,878,517,256,5089,89,502,849,722,636,617,558,297,104,4368,47,481,1005,810,751,634,373,152,93,4341,17,344,1015,866,855,699,271,78,24,4173,7,167,721,606,588,453,138,36,13,2735,0,63,627,566,526,375,88,42,26,2313,0,19,318,411,399,222,70,15,8,1461,4,17,330,507,580,372,87,16,5,1912,0,4,29,102,96,66,18,4,6,325,5,13,32,137,161,106,49,32,5,534,220,233,450,352,340,321,398,404,421,3134,3367,3611,7775,7337,7125,6896,6325,3662,1834,47933,2532,332,567,522,498,848,632,224,109,6262,1610,194,201,212,170,270,326,117,40,3145,856,612,497,406,408,556,662,365,84,4447,326,650,735,524,630,966,2042,1374,385,7631,300,595,750,641,723,1006,1999,1480,765,8265,348,896,1116,943,963,1122,1562,889,367,8209
2004,166,302,359,285,329,522,1062,730,177,3944,122,283,406,374,409,609,1192,930,532,4848,131,442,714,669,533,703,869,446,273,4780,74,429,764,666,610,649,493,231,101,4014,41,436,1017,784,716,623,340,145,52,4165,27,335,900,756,745,639,222,77,32,3738,5,193,694,592,552,400,142,37,17,2628,3,73,598,530,474,329,100,37,21,2169,0,25,327,359,382,227,53,19,4,1404,0,22,283,441,494,284,62,7,10,1608,0,3,24,61,78,43,16,9,3,228,0,0,19,82,100,70,29,22,17,345,196,173,411,358,343,357,371,380,374,2963,2996,3295,7259,6600,6367,6563,5887,3449,1728,44151,2042,345,494,423,398,778,556,192,60,5287,1448,173,176,159,153,277,342,133,39,2882,898,587,427,336,372,537,649,351,110,4263,299,542,599,500,552,837,1877,1393,414,7025,263,490,656,556,627,963,1933,1445,767,7704,300,754,1035,908,793,1077,1484,810,389,7560
2005,16,8,18,39,46,68,149,95,32,466,9,7,26,31,57,94,195,156,57,630,3,10,57,59,91,75,124,74,32,540,7,28,51,76,78,76,88,54,9,464,5,17,46,64,75,78,56,35,8,378,0,13,61,64,86,88,38,16,0,363,0,9,37,62,65,56,21,6,0,264,0,0,25,41,59,44,22,11,4,210,0,0,9,31,40,41,10,4,0,135,0,0,19,47,55,46,13,10,0,185,0,0,0,7,15,3,4,0,0,27,0,0,0,9,13,18,12,3,0,59,25,17,25,39,53,41,76,100,139,502,245,128,442,657,788,856,967,605,303,4999,185,20,38,37,47,91,81,22,11,525,129,10,17,26,18,33,63,29,7,326,52,34,32,47,40,79,118,52,12,458,18,24,42,59,72,120,253,178,55,825,16,31,56,52,86,155,314,224,85,1007,18,24,82,83,124,134,208,133,48,856
2006,19,26,54,22,48,65,131,105,39,512,22,22,42,54,56,94,172,167,120,755,16,32,83,77,76,84,102,67,48,588,9,57,86,73,78,96,80,32,16,519,11,60,134,84,123,101,38,30,3,596,5,51,133,91,101,69,36,10,5,499,0,20,71,58,48,36,20,8,5,261,0,3,29,40,50,35,10,0,3,171,0,0,9,26,25,20,3,11,0,97,0,0,12,40,35,24,8,3,0,124,0,0,3,9,7,5,0,0,0,20,0,0,0,9,12,8,6,6,0,35,12,6,41,42,34,37,69,58,54,353,347,326,799,698,767,819,826,561,327,5461,206,28,62,63,59,94,103,47,25,680,199,13,15,23,17,36,49,26,8,384,86,43,65,43,47,77,105,68,30,561,24,37,80,54,87,116,228,222,74,914,41,50,75,74,91,141,273,255,168,1165,38,61,111,106,107,128,194,132,63,939
2007,30,43,47,48,63,142,351,224,45,991,30,46,68,78,88,139,291,262,134,1136,15,75,115,117,140,170,219,129,40,1023,21,83,142,155,151,176,128,69,25,942,7,76,175,122,175,183,90,34,18,886,4,64,167,142,165,160,55,21,10,794,0,36,128,104,139,75,26,11,0,509,0,18,90,97,102,79,22,12,5,437,0,4,38,75,69,46,13,7,0,249,0,4,38,93,116,57,18,4,0,331,0,0,6,14,11,5,3,0,0,45,0,0,8,15,24,19,5,6,8,79,36,27,70,68,81,105,110,139,150,781,608,542,1214,1240,1449,1644,1634,1034,466,9829,374,46,95,72,74,216,194,84,21,1170,354,15,20,20,33,75,79,38,20,651,185,52,64,56,74,129,242,118,19,947,54,60,76,74,108,221,619,461,108,1785,70,81,106,109,134,209,519,419,186,1835,76,118,157,150,195,270,376,242,72,1652
2008,484,955,908,803,887,1384,2685,1742,469,10319,287,897,992,1022,1121,1620,2866,2396,1421,12615,257,1169,1638,1614,1506,1723,2205,1287,537,11941,137,1068,1948,1797,1612,1614,1468,718,215,10579,95,1111,2244,2037,1971,1627,1043,398,146,10680,34,834,2669,2108,1955,1702,785,217,83,10390,5,430,2182,1705,1571,1179,427,127,36,7658,0,160,1865,1568,1497,965,329,119,54,6556,0,44,1100,1106,1078,662,179,50,22,4244,4,28,1210,1797,1649,935,201,70,24,5915,4,6,116,292,301,169,46,27,7,975,4,10,135,482,519,288,126,54,25,1637,461,526,1024,958,885,827,1100,1037,986,7794,7959,8867,20083,19555,18523,17905,16358,9450,4403,123112,5974,1030,1624,1507,1435,2474,1918,648,230,16832,4279,651,439,507,469,792,908,357,126,8528,2170,1644,1092,978,974,1441,1963,1038,323,11612,807,1714,1592,1227,1404,2216,4767,3402,988,18121,646,1634,1625,1467,1659,2442,4590,3621,2024,19706,726,2160,2549,2134,2054,2584,3895,2280,809,19204
2009,35,42,37,44,59,83,158,88,17,560,21,43,36,66,70,101,151,112,34,635,12,61,60,106,133,103,160,74,13,729,8,54,74,115,148,118,105,50,6,696,0,38,80,151,182,123,80,35,0,688,0,49,111,155,169,131,63,22,4,704,0,15,93,130,142,107,41,11,0,544,0,19,89,148,157,94,15,4,0,531,0,0,48,134,113,70,12,4,0,382,0,5,92,196,195,110,33,3,0,627,0,0,7,58,51,24,5,0,0,142,0,0,15,69,77,38,16,3,0,225,52,33,35,72,92,69,74,59,51,541,711,448,887,1638,1776,1475,1210,581,192,8914,646,81,70,146,144,228,209,83,53,1660,422,37,20,25,41,74,89,43,8,765,158,85,50,62,60,98,149,74,19,762,60,78,61,65,78,125,261,183,39,946,45,81,56,81,90,136,249,193,50,976,57,117,87,129,157,165,267,145,23,1147
