SUA_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
2000,47591,25782,23327,24195,27995,28742,20847,7607,1674,207764,6483,5443,5649,6861,9309,13671,16001,8225,2151,73793,437,680,925,1393,2509,5014,7559,4743,1419,24686,20,67,161,347,959,2629,4750,3915,1329,14182,6938,6197,6736,8595,12774,21311,28315,16893,4898,112660,6341,4064,4291,4868,5359,5761,4969,2709,961,39319,60872,36044,34352,37663,46126,55812,54129,27203,7533,359738,46059,21386,21468,23695,26981,28118,19716,7190,2076,196690,4768,6317,7619,8530,10656,14458,15311,8467,3220,79342,321,1184,1828,2371,3750,6032,7221,4739,2206,29645,18,92,323,649,1620,3455,4620,3484,1943,16190,5103,7593,9768,11541,16016,23940,27152,16688,7366,125174,5975,3432,3342,3958,4380,4892,4373,2651,1434,34440,57146,32414,34580,39196,47378,56946,51245,26527,10876,356315,93651,47175,44796,47891,54977,56858,40563,14798,3749,404457,11247,11767,13266,15387,19954,28132,31318,16699,5364,153138,762,1865,2752,3763,6256,11050,14775,9481,3622,54328,35,155,484,992,2574,6076,9369,7396,3277,30367,12043,13789,16502,20139,28791,45256,55464,33580,12264,237832,12317,7497,7633,8822,9740,10651,9344,5361,2398,73767
2001,2148,1034,1246,1186,932,658,390,122,32,7748,308,208,307,326,342,340,354,161,32,2379,21,27,45,63,93,120,174,100,32,683,0,3,9,11,35,47,134,110,39,388,332,238,361,402,466,506,668,367,105,3446,222,107,126,104,112,90,75,32,4,878,2695,1380,1735,1692,1510,1260,1134,526,145,12067,2023,927,1167,1078,931,687,433,141,43,7430,228,294,422,406,391,371,380,216,83,2775,19,65,119,125,131,180,205,137,66,1033,0,4,13,37,69,87,143,119,78,554,246,358,550,563,582,635,725,471,227,4364,194,101,114,108,106,90,79,42,16,857,2461,1389,1830,1750,1620,1407,1245,659,293,12651,4168,1964,2409,2259,1860,1344,822,268,72,15171,538,502,724,730,731,709,734,378,118,5153,40,86,167,187,221,297,382,232,98,1716,3,10,22,49,98,131,275,231,119,940,580,603,913,967,1051,1140,1393,842,334,7811,414,204,247,211,219,175,160,78,21,1731
2002,1074,600,596,498,524,457,377,208,39,4374,133,144,143,135,160,231,281,200,60,1486,13,21,33,34,39,94,148,113,50,546,0,0,5,9,24,53,106,88,36,319,149,161,184,175,225,374,531,402,150,2355,148,77,82,66,77,89,83,67,38,726,1372,845,865,738,826,916,993,674,226,7449,1079,515,563,512,521,512,408,184,66,4358,111,162,229,203,224,290,354,277,96,1942,7,33,60,53,80,129,167,157,56,742,0,4,8,18,41,79,108,110,40,410,117,200,294,269,345,496,634,545,192,3096,128,71,87,60,91,86,85,77,88,778,1329,795,946,841,960,1091,1124,805,339,8232,2157,1121,1158,1008,1041,969,779,394,98,8730,245,311,368,337,382,521,637,479,149,3425,22,56,87,90,126,222,314,270,104,1292,0,4,13,20,63,129,214,198,81,729,269,370,477,448,573,864,1160,949,339,5452,279,149,172,125,167,168,175,144,121,1504
2003,8303,4831,5139,4260,3787,3032,1909,722,195,32171,1421,1332,1563,1391,1495,1640,1703,921,291,11751,118,172,294,331,417,626,806,602,215,3580,3,17,42,92,164,349,571,504,206,1957,1543,1516,1902,1817,2072,2615,3077,2020,714,17284,938,610,585,462,586,477,359,225,106,4344,10779,6963,7627,6541,6439,6124,5345,2967,1015,53805,8223,4276,4463,4277,3873,3325,2228,914,320,31902,1037,1693,2051,1840,1770,1804,1928,1162,584,13871,95,381,598,562,661,819,1093,751,414,5369,0,31,85,157,318,508,678,570,341,2678,1132,2102,2728,2555,2750,3135,3703,2473,1337,21918,873,599,581,505,508,437,389,268,182,4341,10229,6981,7775,7337,7125,6896,6325,3662,1834,58167,16525,9112,9606,8538,7656,6358,4132,1637,511,64078,2466,3023,3611,3233,3266,3445,3630,2082,870,25617,211,551,887,896,1076,1450,1903,1349,630,8948,3,48,128,248,477,859,1253,1075,552,4637,2676,3623,4628,4370,4816,5751,6779,4505,2049,39205,1812,1213,1167,968,1090,909,754,490,289,8690
2004,7779,4366,4539,3873,3476,2735,1876,704,180,29522,1206,1100,1343,1292,1268,1552,1638,905,279,10576,88,143,231,288,369,565,821,540,243,3290,8,14,35,65,146,311,524,523,244,1880,1301,1257,1612,1639,1787,2427,2984,1970,766,15741,895,559,578,472,501,486,357,231,134,4205,9967,6180,6723,5982,5766,5649,5212,2909,1081,49462,7619,3913,4258,3890,3457,2923,2010,792,269,29142,870,1504,1837,1584,1588,1820,1869,1101,485,12651,56,341,559,488,586,840,1000,675,372,4921,0,30,73,140,270,513,647,585,349,2611,929,1874,2463,2215,2444,3173,3520,2360,1207,20187,873,504,532,498,469,472,358,298,247,4244,9417,6293,7259,6600,6367,6563,5887,3449,1728,53577,15400,8281,8796,7762,6935,5656,3882,1501,451,58663,2077,2601,3179,2870,2854,3370,3504,2001,762,23231,146,483,788,775,960,1405,1822,1218,615,8208,11,43,110,208,417,826,1179,1108,590,4491,2230,3127,4075,3852,4229,5597,6505,4329,1976,35926,1762,1058,1107,963,965,959,709,523,390,8448
2005,696,312,290,369,404,381,342,125,29,2949,78,59,72,126,142,201,251,139,50,1115,14,11,17,24,38,63,95,90,25,374,0,0,0,3,13,35,48,45,21,172,85,74,88,152,188,303,397,275,103,1657,67,85,235,184,149,89,76,54,43,987,850,471,615,713,746,771,819,457,169,5598,643,232,276,396,465,439,398,154,52,3045,57,87,124,173,195,229,295,207,75,1428,0,23,15,38,57,89,131,101,59,518,0,0,0,8,17,41,73,67,37,251,57,111,138,215,269,357,502,375,174,2203,60,35,28,47,58,63,67,79,79,510,761,379,442,657,788,856,967,605,303,5759,1339,546,562,768,866,823,742,273,79,6001,130,141,193,295,331,431,551,340,126,2544,16,36,27,64,93,150,224,192,88,891,0,0,3,11,30,76,128,116,62,429,144,179,226,366,455,658,899,655,271,3861,125,117,261,230,212,150,143,133,117,1497
2006,908,535,644,471,450,360,256,124,37,3791,117,101,111,153,158,204,240,154,55,1298,4,12,19,26,37,79,90,99,30,400,0,0,3,4,15,34,67,69,30,232,122,112,135,184,214,320,405,330,117,1929,105,68,80,56,65,59,47,39,23,538,1133,716,852,714,727,736,708,492,173,6256,869,448,533,439,415,403,321,155,53,3634,73,135,163,143,188,233,245,194,131,1512,4,25,44,42,69,89,108,104,63,545,0,0,7,17,27,33,87,65,60,293,75,173,213,205,282,351,433,362,251,2349,96,52,53,53,60,59,75,48,19,517,1045,668,799,698,767,819,826,561,327,6503,1781,986,1179,915,867,762,572,274,89,7425,185,241,276,301,347,433,488,357,186,2810,11,37,58,71,106,171,201,203,91,948,0,0,8,21,43,71,152,137,90,523,200,283,343,391,497,676,835,689,369,4279,196,117,133,108,133,115,126,88,36,1050
2007,1540,862,782,742,835,808,594,250,60,6471,209,184,207,197,263,338,487,271,82,2240,13,32,33,36,75,114,192,181,48,719,0,0,6,8,16,59,136,155,46,436,219,211,240,238,354,509,816,613,183,3394,180,110,112,89,129,124,129,85,48,1002,1937,1191,1136,1066,1314,1446,1532,949,290,10860,1525,775,783,780,866,858,619,270,72,6543,182,238,271,276,329,395,494,342,130,2658,15,48,63,64,94,166,249,165,85,940,0,4,12,22,52,89,147,152,86,560,190,288,345,366,475,648,887,663,301,4155,161,93,89,95,111,136,125,103,95,1006,1878,1153,1214,1240,1449,1644,1634,1034,466,11712,3059,1638,1570,1519,1700,1665,1208,520,134,13013,389,424,477,473,587,736,984,615,217,4895,21,74,93,101,170,278,434,345,137,1662,0,5,22,31,71,143,284,313,131,995,408,498,581,601,827,1159,1707,1278,483,7550,337,204,196,182,238,259,252,194,134,2006
2008,21704,12749,14413,12466,10936,8462,5867,2292,618,89501,3018,2859,3252,3428,3602,4091,4354,2473,798,27871,197,356,529,604,883,1387,2053,1428,536,7973,5,21,47,130,313,699,1241,1082,530,4069,3216,3238,3825,4157,4798,6178,7650,4985,1871,39916,2023,1566,1856,1635,1465,1232,982,543,244,11535,26946,17551,20094,18266,17197,15871,14489,7821,2727,140950,21218,10940,13119,12599,11216,9340,6573,2655,820,88478,2199,3780,4472,4320,4190,4687,4878,3020,1314,32860,148,709,1081,1109,1348,1777,2336,1774,901,11179,6,49,129,241,539,990,1453,1311,997,5704,2347,4541,5683,5669,6073,7457,8669,6100,3212,49739,2001,1346,1283,1293,1235,1113,1113,698,376,10461,25567,16832,20083,19555,18523,17905,16358,9450,4403,148681,42925,23691,27534,25065,22156,17804,12434,4943,1429,177973,5212,6649,7726,7748,7792,8777,9228,5490,2110,60728,342,1069,1610,1709,2231,3165,4391,3203,1443,19155,10,63,180,372,843,1687,2698,2393,1523,9769,5566,7780,9507,9824,10871,13627,16314,11087,5080,89658,4022,2914,3138,2927,2695,2347,2092,1238,617,21997
2009,2021,1040,644,1021,1111,829,471,160,27,7332,251,172,113,253,314,379,342,190,38,2059,16,15,21,46,49,125,146,108,30,560,0,0,0,0,10,34,78,85,29,235,268,188,138,298,373,544,568,380,93,2850,187,127,55,107,116,106,75,42,6,821,2481,1361,837,1423,1603,1476,1113,587,127,11006,1957,816,611,1108,1150,838,484,155,27,7151,179,227,190,339,363,373,374,201,68,2316,16,24,36,72,100,129,183,114,49,741,5,0,3,8,22,42,83,76,39,277,200,255,231,426,490,544,640,394,155,3330,135,88,44,101,128,84,86,30,17,714,2285,1160,887,1638,1776,1475,1210,581,192,11198,3977,1859,1255,2138,2264,1673,958,322,50,14485,430,398,307,592,679,753,717,396,106,4376,34,45,59,120,151,258,327,223,77,1293,5,0,3,14,36,75,159,159,64,507,465,441,369,721,866,1089,1210,776,246,6180,326,212,102,206,247,192,162,70,19,1538
