SUA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
2000,118011,68456,68929,76856,93509,112766,105370,53737,18413,716050
2001,5158,2767,3571,3442,3135,2664,2371,1187,431,24717
2002,2698,1638,1807,1580,1787,2010,2117,1477,567,15684
2003,21017,13946,15403,13881,13566,13020,11670,6629,2851,111973
2004,19389,12471,13979,12582,12136,12212,11096,6354,2812,103034
2005,1608,844,1057,1365,1533,1631,1779,1064,472,11352
2006,2176,1387,1657,1409,1489,1553,1536,1056,502,12756
2007,3814,2338,2351,2308,2763,3085,3166,1985,753,22568
2008,52506,34379,40178,37815,35719,33780,30849,17271,7134,289630
2009,4763,2519,1727,3066,3378,2951,2322,1172,319,22200
2010,3161,1932,2254,1913,1893,2136,1857,1245,589,16985
2011,872036,592184,778028,722456,615047,516353,393854,229530,98370,4817843
2012,10038,6113,7176,6274,6686,6775,5804,3359,1391,53620
2013,3680,2384,2703,2390,2689,3141,2886,1515,602,21997
2014,1764,1171,1080,1204,1474,1755,1622,816,346,11230
2015,2805,1687,1869,1785,1900,1899,1800,1098,465,15301
2016,10632,6420,7295,6540,6425,6290,5443,3386,1406,53841
2017,2146,1253,1643,1338,1133,1321,1116,813,417,11186
2018,7803,4876,5760,5089,5134,5586,4902,2879,1221,43252
2019,3429,2165,2282,2229,2388,2478,2399,1714,795,19882
2020,8318,4574,5681,4929,5047,5318,4958,2949,1045,42827
2021,6258,3982,4543,4287,4493,4622,4121,2376,1073,35743
