SUA_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
2000,70802,59833,22694,4120,30217,30638,6300,15239,63391,7203,50910,331346,23137,579745,1263,959,403,54,603,566,124,304,946,135,873,5355,429,9650,6019,2629,1981,453,2759,2929,515,1517,2951,693,3099,11053,902,26255,1901,599,697,204,976,1104,221,492,756,264,1049,4607,330,9723,1750,488,533,214,1229,976,214,319,703,232,891,3371,393,7921,152,81,56,8,145,85,16,30,128,22,123,662,96,1238,314,395,99,18,329,146,41,27,262,31,396,6487,534,8549,62,66,30,7,63,32,0,9,59,10,100,2052,95,2471,177,151,51,12,274,133,25,27,106,15,162,3163,154,4098,431,289,166,16,196,187,37,86,378,35,392,2190,123,3698,267,215,110,10,153,133,29,37,214,17,271,1788,110,2861,12324,5876,4120,1010,6727,6293,1225,2846,6503,1459,7357,40719,3173,76459,2562,1235,748,242,1143,1184,274,637,1402,307,1067,6138,47452,59851,85688,66939,27558,5369,38088,38118,7797,18721,71283,8972,59332,378207,73767,716050,25966,30876,8298,197
2001,1778,2287,566,127,888,712,162,443,2342,210,1861,11813,776,19841,50,36,11,4,22,19,0,7,45,8,24,254,14,415,183,104,78,24,117,98,12,48,119,29,122,375,50,962,85,28,27,14,51,34,7,22,43,17,35,132,9,323,101,33,32,18,78,55,12,23,59,15,72,261,19,540,18,4,0,0,11,6,3,0,5,0,6,31,0,56,19,19,3,0,17,3,4,0,13,0,27,192,6,289,4,4,4,3,4,0,0,0,0,0,3,52,3,77,14,19,4,0,33,8,3,0,12,0,22,729,29,844,13,18,6,0,8,4,0,3,13,0,20,117,3,185,16,13,0,0,13,5,0,4,19,0,30,109,0,183,495,284,162,63,350,231,52,113,317,81,362,2260,135,3869,44,21,13,8,26,23,9,16,25,7,16,74,823,1004,2316,2599,743,202,1265,965,219,573,2691,295,2238,14149,1731,24717,733,1350,222,0
2002,1620,1354,486,72,691,766,140,414,1607,193,1221,6965,523,12735,29,19,12,3,20,11,0,11,11,4,14,79,9,170,113,50,45,6,57,55,12,34,60,19,55,201,19,510,47,13,12,0,28,31,7,9,17,7,22,89,11,202,36,4,11,8,21,14,3,5,10,3,11,48,10,123,0,0,0,0,4,3,0,0,0,0,4,20,0,32,9,6,0,0,14,7,4,0,11,0,9,302,10,351,3,0,0,0,0,0,0,0,0,0,3,60,0,71,3,0,0,0,4,0,0,0,0,0,14,127,5,148,5,5,6,0,3,4,0,4,10,0,3,32,0,69,16,9,4,0,6,10,5,5,3,0,8,48,5,85,266,110,91,15,153,143,24,63,137,37,141,1001,69,1758,57,24,6,7,26,26,0,12,31,13,23,139,917,1185,1933,1486,589,86,873,936,169,489,1781,242,1387,8104,1504,15684,414,666,132,0
2003,10071,11693,3300,672,4786,4294,880,2322,13550,1111,9530,51096,3778,93684,145,121,45,15,71,53,13,34,135,11,151,575,28,1109,604,335,204,66,272,308,42,181,412,62,412,1260,94,2952,292,94,105,29,134,165,23,80,131,38,152,491,31,1172,195,61,57,34,126,117,17,39,84,30,101,326,30,803,22,26,8,0,15,13,6,3,22,0,25,255,9,355,56,90,26,0,82,40,4,9,61,13,91,1087,25,1431,8,20,12,0,20,13,0,3,29,7,52,810,12,963,35,64,10,4,116,40,7,7,44,3,89,2249,52,2625,65,66,23,0,31,18,8,10,89,4,68,403,12,665,28,42,11,3,26,17,0,5,43,0,48,441,16,631,1444,918,494,156,897,783,122,362,1053,170,1179,7891,309,12709,218,144,68,27,103,116,15,66,148,27,114,398,4597,5577,11731,12754,3862,855,5788,5200,1025,2743,14743,1305,10826,59376,8690,111973,3371,6072,1068,17
2004,10596,10303,3172,726,4359,4189,1008,1886,12543,1034,8728,47264,3788,87405,115,98,32,4,52,49,16,26,114,14,87,465,33,862,471,216,163,38,210,210,48,127,266,53,273,782,72,1995,145,55,52,25,72,88,12,27,80,16,66,255,23,643,118,31,39,13,78,66,21,22,59,25,46,178,22,466,16,20,0,5,17,7,3,0,24,0,35,236,4,322,77,86,33,4,121,35,15,5,71,12,170,2171,69,2723,9,11,3,4,17,6,0,5,13,0,20,480,10,568,31,43,14,4,86,30,5,3,33,3,70,1580,44,1862,28,34,8,0,13,11,5,7,53,3,32,237,8,388,28,20,3,0,15,11,3,4,49,0,42,348,15,479,1049,616,349,95,682,522,120,216,756,130,845,6756,293,10300,263,130,83,30,106,129,38,55,145,40,86,398,4367,5333,11911,11043,3594,850,5151,4835,1158,2153,13438,1202,9659,54417,8448,103034,3445,5239,973,10
2005,1200,854,426,61,388,482,107,197,1135,124,963,4733,615,9079,28,21,4,0,0,6,0,0,29,0,21,90,33,193,85,38,42,9,26,46,9,16,56,13,63,233,31,520,21,8,3,3,9,12,0,8,19,0,21,93,20,178,13,12,9,4,0,12,0,6,3,0,7,46,20,99,5,4,0,0,0,0,0,0,5,0,0,22,36,73,8,5,0,0,3,0,0,3,0,0,9,58,68,145,3,0,0,0,0,0,0,0,0,0,3,23,15,49,0,3,3,0,4,0,0,0,4,0,3,36,20,69,15,3,5,0,3,3,0,0,12,0,13,62,10,115,5,8,5,0,3,0,0,5,4,0,3,30,8,60,182,96,78,22,53,87,13,42,137,20,139,706,254,1506,34,4,10,3,9,11,3,9,23,3,17,74,625,770,1408,959,513,85,446,584,121,247,1296,143,1120,5511,1497,11352,327,427,109,0
2006,1327,1086,380,118,644,552,145,279,1189,163,931,6007,497,10808,21,13,9,0,12,4,0,0,17,0,3,100,16,167,44,11,16,3,24,32,5,18,23,8,23,92,9,210,20,5,9,7,15,18,0,9,3,0,8,38,6,90,19,12,8,4,13,11,0,0,7,0,9,19,9,75,0,0,0,0,0,0,0,0,4,0,0,45,4,57,3,5,0,0,6,0,0,0,0,0,3,121,9,142,0,0,0,0,4,5,0,0,3,0,3,317,0,331,0,3,0,0,9,0,0,0,4,0,3,123,5,147,0,3,5,0,3,0,0,0,9,0,0,16,0,28,4,0,0,0,3,3,0,0,0,0,7,15,0,25,119,50,41,20,87,68,16,24,68,10,64,879,48,1263,43,19,10,8,25,21,0,8,20,4,18,71,508,689,1486,1155,432,142,749,644,163,311,1275,184,1014,6959,1050,12756,394,539,90,0
2007,2399,1959,779,162,1063,1036,265,476,1953,262,1637,10969,826,19246,21,33,14,4,20,11,4,3,17,0,26,123,20,234,132,61,56,12,81,58,11,37,54,16,46,216,12,551,39,15,11,4,20,18,4,12,23,5,16,99,7,193,35,9,13,3,25,13,8,5,19,8,14,47,3,129,4,0,0,0,0,4,0,0,0,0,3,31,0,32,9,13,4,0,5,7,0,0,10,0,4,203,7,257,4,3,0,0,0,0,0,0,0,0,4,75,0,83,0,15,0,4,15,4,0,0,3,0,10,211,4,250,5,8,0,0,0,0,0,0,13,6,8,36,0,62,5,4,0,0,4,0,0,0,4,0,0,45,4,63,261,152,106,27,170,119,35,60,136,31,133,1073,64,1853,85,32,20,14,41,27,9,26,44,13,35,174,1113,1480,2733,2142,900,200,1278,1182,307,557,2136,310,1806,12215,2006,22568,729,976,194,0
2008,19781,24637,7016,1725,9282,8915,2058,4050,27341,2308,20330,134143,9327,226534,311,361,124,13,199,135,29,48,351,41,273,2110,148,3538,2149,1130,728,267,1045,1060,207,449,1254,241,1322,5579,416,11716,812,342,319,149,427,536,96,199,409,121,533,2122,144,4474,1511,387,459,321,1144,871,185,226,735,221,966,3398,265,7504,100,80,30,5,114,50,15,18,112,18,172,1327,100,1892,217,295,68,9,300,100,32,40,193,25,395,4222,217,5673,52,65,34,4,76,44,10,4,50,8,113,2116,48,2520,105,175,41,16,270,92,29,17,121,14,230,6959,159,7951,130,184,63,14,76,45,19,17,208,9,183,1475,63,2199,120,136,60,9,80,70,11,17,153,13,170,1520,93,2201,5512,3147,1929,812,3726,2991,635,1041,3581,722,4359,30829,1657,49674,485,261,159,66,242,221,65,141,286,96,232,1181,11020,13426,25782,28043,9096,2597,13247,12129,2758,5230,31215,3122,24918,166157,21997,289630,7415,14369,2625,45
2009,1405,1708,546,111,585,639,139,265,1529,126,1455,11819,714,18425,29,38,18,6,13,14,0,3,41,3,31,210,3,336,202,102,60,23,71,83,17,33,97,20,121,535,33,1083,42,11,25,4,29,33,9,6,28,9,43,175,9,323,65,24,33,9,36,39,7,18,34,6,41,204,8,386,5,3,0,0,3,6,0,0,3,0,6,36,0,59,0,3,0,0,9,0,0,0,0,0,3,108,4,136,8,3,0,0,0,3,0,4,0,0,9,60,3,85,4,10,0,0,14,7,0,0,4,0,7,102,3,143,21,21,11,3,10,9,3,5,11,0,20,127,0,193,7,10,7,0,8,0,0,0,11,0,13,70,0,113,389,235,151,43,189,196,40,71,225,39,283,1635,59,2860,20,9,6,0,9,9,6,9,9,3,17,84,762,917,1814,1951,705,158,778,844,187,340,1770,172,1762,13539,1538,22200,647,1044,266,3
