SUA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
2000,8829,2852,18413,105366,160664,85297,66829,126086,53807,598038
2001,274,34,431,3925,5426,2395,1843,5028,942,19557
2002,209,154,567,2233,3364,1762,1366,3144,1108,12979
2003,1363,456,2851,18192,26031,11578,8097,21725,5320,90958
2004,1358,425,2812,16664,23534,10617,7600,20168,5052,83646
2005,114,201,472,1593,2873,1520,1002,1418,1340,9742
2006,274,57,502,1961,2572,1276,1017,3131,624,10580
2007,338,181,753,3496,5018,2372,1785,4744,1347,18753
2008,3535,923,7134,47627,68443,31040,20853,55194,13959,237121
2009,129,73,319,3636,5301,2900,1964,2779,862,17437
2010,285,58,589,2676,3733,1766,1291,3536,822,13824
2011,50090,11533,98370,806114,1066316,443649,305230,1106027,218479,3945813
2012,747,181,1391,7608,10621,5155,3937,12265,4003,43582
2013,341,52,602,3101,4479,2264,1948,5033,1488,18322
2014,206,35,346,1651,2447,1283,946,2498,644,9468
2015,253,73,465,2230,3379,1673,1238,3138,843,12493
2016,737,176,1406,7686,10352,4652,3718,13181,3621,43207
2017,205,49,417,1635,2259,1033,823,2631,655,9037
2018,604,233,1221,6092,9031,4192,3334,9812,2996,35452
2019,399,120,795,3036,4484,2055,1463,4374,1039,16453
2020,586,95,1045,6774,9623,4597,3546,7862,2104,34506
2021,477,186,1073,5858,8366,3793,2509,7072,1892,29490
